,Provincia di TARANTO,,
,Massafra (TA) Via Frappietro,,
Parm,SO2,O3,BENZENE



20/04/2010 3.00,"1,493618","96,150752","0,111514"
20/04/2010 4.00,"1,556378",,"0,113446"
20/04/2010 5.00,"1,208258","84,809007","0,120108"
20/04/2010 6.00,"1,340553","81,39265","0,174771"
20/04/2010 7.00,"1,153627","76,235295","0,181789"
20/04/2010 8.00,"1,609208","64,122039","0,220587"
20/04/2010 9.00,"1,203293","69,220041","0,211994"
20/04/2010 10.00,"1,379386","84,961883","0,290862"
20/04/2010 11.00,"1,155884","117,067864","0,155296"
20/04/2010 12.00,"1,189296","121,072339","0,148431"
20/04/2010 13.00,"1,064678","126,365485","0,147923"
20/04/2010 14.00,"1,04481","129,532733","0,12382"
20/04/2010 15.00,"0,968053","128,052526","0,128091"
20/04/2010 16.00,"1,152724","133,351075","0,119091"
20/04/2010 17.00,"0,973923","134,709882","0,131142"
20/04/2010 18.00,"0,93148","132,369054","0,14538"
20/04/2010 19.00,"0,75313","121,180253","0,157584"
20/04/2010 20.00,"0,71701","107,862861","0,210163"
20/04/2010 21.00,"0,832145","104,806221","0,221655"
20/04/2010 22.00,"0,549046","104,63266","0,214231"
20/04/2010 23.00,"0,507053","119,423068","0,172127"
21/04/2010 0.00,"0,521502","127,402353","0,115074"
21/04/2010 1.00,"0,604131","130,459898","0,098852"
21/04/2010 2.00,"0,584263","127,348396","0,095191"
21/04/2010 3.00,"0,477254","124,385279","0,085581"
21/04/2010 4.00,"0,488091","118,078652","0,08553"
21/04/2010 5.00,"0,265492","116,720742","0,084665"
21/04/2010 6.00,"0,365277","113,421295","0,106683"
21/04/2010 7.00,"0,31245","105,718988","0,129617"
21/04/2010 8.00,"0,568008","100,087716","0,151991"
21/04/2010 9.00,"0,411333","101,806233","0,142888"
21/04/2010 10.00,"0,357601","111,600259","0,133685"
21/04/2010 11.00,"0,090304","123,225215","0,130379"
21/04/2010 12.00,"0,093012","133,78812","0,113446"
21/04/2010 13.00,"0,027544","137,371729","0,118684"
21/04/2010 14.00,"0,079015","137,39421","0,103022"
21/04/2010 15.00,"0,016707","134,50034","0,088733"
21/04/2010 16.00,"0,004966","126,070524","0,180873"
21/04/2010 17.00,"0,164804","124,617295","0,154889"
21/04/2010 18.00,"0,270007","106,692006","0,336322"
21/04/2010 19.00,"0,031607","90,34945","0,340136"
21/04/2010 20.00,"0,200021","60,251551","0,430649"
