,Bari,,,,,
,Caldarola,,,,,
Parm,SO2,NO2,CO,O3,BENZENE,PM10



08/01/2010 11.00,"7,31277104","49,29965808","0,51463992","47,2389267","1,2415536","33,40000153"
08/01/2010 12.00,"6,59756783","48,09003128","0,5222229","45,9239424","0,9842526","33,40000153"
08/01/2010 13.00,"4,10880509","47,75388256","0,54051107","46,2456162","0,86806035","33,40000153"
08/01/2010 14.00,"3,31774791","53,22572064","0,57988807","47,834913","0,87985755","33,40000153"
08/01/2010 15.00,"3,21480209","48,67667112","0,52396108","50,5027068","0,89653635","33,40000153"
08/01/2010 16.00,"5,21050695","47,0244928","0,47810552","52,7272116","0,7551225","33,40000153"
08/01/2010 17.00,"4,32553389","45,8122848","0,54615783","44,28598755","0,68062725","33,40000153"
08/01/2010 18.00,"3,9300053","48,959628","0,60046663","46,2739851","0,8966889","33,40000153"
08/01/2010 19.00,"4,14673309","51,48658456","0,66954647","40,50055485","0,96752295","33,40000153"
08/01/2010 20.00,"4,76802042","50,34445136","0,66010648","40,53163695","1,0968345","33,40000153"
08/01/2010 21.00,"4,00947165","45,98490016","0,56985626","42,8723505","0,9957447","33,40000153"
08/01/2010 22.00,"3,95528996","40,34304704","0,48873032","46,83348285","0,86663655","33,40000153"
08/01/2010 23.00,"5,28275057","38,03153464","0,40408957","51,3068115","0,6916617","33,40000153"
09/01/2010 0.00,"5,81734679","37,45527696","0,43529177","50,5446018","0,53173845","33,40000153"
09/01/2010 1.00,"6,07561394","36,87643808","0,45199787","50,0594178","0,54038295","36,59999084"
09/01/2010 2.00,"6,38264624","37,29044344","0,48177876","51,0473418",,"36,59999084"
09/01/2010 3.00,"6,61201635","37,14899368","0,50030226","52,7988321",,"36,59999084"
09/01/2010 4.00,"6,36458533","35,13598272","0,45993734","54,73954815",,"36,59999084"
09/01/2010 5.00,"3,67354333","30,53632256","0,45239397","50,4702681",,"36,59999084"
09/01/2010 6.00,"4,20452717","32,60382552","0,38548685","49,3161207",,"36,59999084"
09/01/2010 7.00,"3,78010154","32,52076824","0,45049851","43,19536095","0,4645656","36,59999084"
09/01/2010 8.00,"4,87457863","34,211894","0,59355469","37,35029025","0,77775075","36,59999084"
09/01/2010 9.00,"7,03283061","54,67673744","0,75130384","21,24493455","0,89948565","36,59999084"
09/01/2010 10.00,"5,18160992","46,44953528","0,60512663","33,6337848","1,4822775","36,59999084"
09/01/2010 11.00,"4,02933875","49,0297028","0,57447781","43,0777956","1,20006","36,59999084"
09/01/2010 12.00,"4,91431181","51,38792536","0,61476351","43,25752515","1,2026025","36,59999084"
