, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,NOX,PM10
,,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
11/01/2009 14.00,,"14,0","17,8","32,3"
11/01/2009 15.00,,"12,2","15,4","32,3"
11/01/2009 16.00,,"13,6","16,9","32,3"
11/01/2009 17.00,,"17,1","20,4","32,3"
11/01/2009 18.00,,"25,7","30,7","32,3"
11/01/2009 19.00,,"20,1","23,5","32,3"
11/01/2009 20.00,,"18,9","23,0","32,3"
11/01/2009 21.00,,"23,7","28,9","32,3"
11/01/2009 22.00,,"27,1","36,9","32,3"
11/01/2009 23.00,,"22,1","27,6","32,3"
12/01/2009 0.00,,"19,0","22,2","32,3"
12/01/2009 1.00,,"15,8","18,7","41,4"
12/01/2009 2.00,"0,3",,,"41,4"
12/01/2009 3.00,"0,4","12,4","15,2","41,4"
12/01/2009 4.00,"0,2","10,3","13,1","41,4"
12/01/2009 5.00,"0,4","9,4","12,1","41,4"
12/01/2009 6.00,"0,4","11,9","15,3","41,4"
12/01/2009 7.00,"0,9","13,9","18,3","41,4"
12/01/2009 8.00,"0,9","29,8","39,0","41,4"
12/01/2009 9.00,"0,8","41,1","65,1","41,4"
12/01/2009 10.00,"1,1","38,7","54,9","41,4"
12/01/2009 11.00,"0,8","27,0","37,7","41,4"
12/01/2009 12.00,"0,8","18,4","23,8","41,4"
12/01/2009 13.00,"0,9","15,3","21,4","41,4"
12/01/2009 14.00,"0,9","32,8","46,5","41,4"
12/01/2009 15.00,"0,8","22,3","27,2","41,4"
12/01/2009 16.00,"0,9","26,5","31,0","41,4"
12/01/2009 17.00,"1,0","28,4","36,2","41,4"
12/01/2009 18.00,"1,0","32,3","37,7","41,4"
12/01/2009 19.00,"0,9","39,3","45,9","41,4"
12/01/2009 20.00,"0,9","41,3","52,8","41,4"
12/01/2009 21.00,"1,0","33,7","42,9","41,4"
12/01/2009 22.00,"1,1","31,5","43,5","41,4"
12/01/2009 23.00,"1,1","37,7","47,1","41,4"
13/01/2009 0.00,"1,1","53,5","65,6","41,4"
13/01/2009 1.00,"1,1","43,0","49,7","25,1"
13/01/2009 2.00,"0,6","26,6","29,6","25,1"
13/01/2009 3.00,"0,6","30,1","33,6","25,1"
13/01/2009 4.00,"1,0","25,0","28,1","25,1"
13/01/2009 5.00,"0,8","16,6","19,3","25,1"
13/01/2009 6.00,"0,9","24,3","29,4","25,1"
13/01/2009 7.00,"0,5","16,7","21,4","25,1"
13/01/2009 8.00,"0,3","16,9","20,3","25,1"
13/01/2009 9.00,"0,2","33,1","51,6","25,1"
13/01/2009 10.00,"0,0","30,1","39,7","25,1"
13/01/2009 11.00,"0,0","24,1","31,0","25,1"
13/01/2009 12.00,"0,0","18,7","24,3","25,1"
