GROTTAGLIE,,,,,
,,,,,,
,SO2,NO2,CO,O3,PM10
08/09/2011 13.00,"2,582047","9,810615","0,184077","135,740441","17,1"
08/09/2011 14.00,"6,001906","12,062417","0,269115","142,669076","17,1"
08/09/2011 15.00,"3,26638","6,534785","0,170471","139,21746","17,1"
08/09/2011 16.00,"1,514921","5,430296","0,140517","133,11348","17,1"
08/09/2011 17.00,"0,195008","4,854042","0,016493","117,212772","17,1"
08/09/2011 18.00,"0,559745","5,014977",,"117,627596","17,1"
08/09/2011 19.00,"0,160701","7,810595",,"108,218218","17,1"
08/09/2011 20.00,"0,126394","13,474504",,"93,265794","17,1"
08/09/2011 21.00,"0,030696","12,16495",,"89,296981","17,1"
08/09/2011 22.00,"0,041529","9,626318",,"89,251753","17,1"
08/09/2011 23.00,,"6,925446",,"82,679959","17,1"
09/09/2011 0.00,,"6,39202",,"73,002058","17,1"
09/09/2011 1.00,,"4,804722",,"63,281079","23,5"
09/09/2011 2.00,"0,08667",,,"68,623475","23,5"
09/09/2011 3.00,"0,455018","13,679568",,"76,068591","23,5"
09/09/2011 4.00,"0,60308","22,118321","0,302534",,"23,5"
09/09/2011 5.00,"0,240148","36,340409","0,370038","24,608384","23,5"
09/09/2011 6.00,"0,505576","42,884267","0,240039","29,110542","23,5"
09/09/2011 7.00,"0,38821","70,875489","0,323196","10,208666","23,5"
09/09/2011 8.00,"0,380988","54,819504","0,276902","35,212746","23,5"
09/09/2011 9.00,"0,314179","18,515445","0,155552","81,711606","23,5"
09/09/2011 10.00,"0,601274","11,671758","0,13759","100,148279","23,5"
09/09/2011 11.00,"0,198619","7,545828","0,125655","113,384012","23,5"
09/09/2011 12.00,,"6,382935","0,145494","127,188769","23,5"
09/09/2011 13.00,,"10,992971","0,214133","148,080577","23,5"
09/09/2011 14.00,"3,419859","8,73987","0,204899","150,107129","23,5"
09/09/2011 15.00,"2,87817","4,158382","0,094154","129,722215","23,5"
09/09/2011 16.00,"1,076154","3,839105","0,130116","135,498479","23,5"
09/09/2011 17.00,"0,545299","2,473746","0,170343","127,532771","23,5"
09/09/2011 18.00,"0,559745","2,974722","0,198246","120,721343","23,5"
09/09/2011 19.00,"0,574189","5,20836","0,209281","113,593403","23,5"
09/09/2011 20.00,"0,447795","7,440701","0,194176","97,640883","23,5"
09/09/2011 21.00,"0,274456","16,868439","0,256944","82,27853","23,5"
09/09/2011 22.00,"0,048752","24,995708","0,263871","54,917222","23,5"
09/09/2011 23.00,"0,20223","7,981915","0,246105","91,632588","23,5"
10/09/2011 0.00,"0,370153","9,443316","0,277802","95,551622","23,5"
10/09/2011 1.00,"0,010834","22,336367","0,277215","62,074843","23,700001"
10/09/2011 2.00,"0,097504","14,402482","0,238278","74,370668","23,700001"
10/09/2011 3.00,"0,158895","5,319977","0,171948","96,220067","23,700001"
10/09/2011 4.00,"0,15709","11,8275","0,135829","85,471288","23,700001"
10/09/2011 5.00,"0,120977","14,777567","0,151365","79,202118","23,700001"
10/09/2011 6.00,"0,167923","14,329803","0,247553","97,436402","23,700001"
10/09/2011 7.00,"0,581412","23,451234","0,315879","82,502045","23,700001"
10/09/2011 8.00,"0,985873","22,701061","0,465483","84,720347","23,700001"
10/09/2011 9.00,"6,334141","28,734873","0,473817","89,95866","23,700001"
10/09/2011 10.00,"11,312254","18,777613","0,3095","110,354762","23,700001"
10/09/2011 11.00,"7,863507","12,65035","0,265358","126,840407","23,700001"
10/09/2011 12.00,"5,866483","11,182463","0,279759","141,289614","23,700001"
10/09/2011 13.00,"4,17461","9,621126","0,217656","148,187106","23,700001"
10/09/2011 14.00,"3,22485","6,94102","0,158213","137,001761","23,700001"
10/09/2011 15.00,"2,009663","3,840403","0,116066","139,709513","23,700001"
10/09/2011 16.00,"2,661495","5,029254","0,138608","141,868546","23,700001"
10/09/2011 17.00,"1,917576","4,102575","0,135477","137,228868","23,700001"
10/09/2011 18.00,"0,893785","6,610063","0,107498","128,571489","23,700001"
10/09/2011 19.00,"0,594051","8,86317","0,087188","116,291885","23,700001"
10/09/2011 20.00,"0,193203","11,503039","0,093644","106,426588","23,700001"
10/09/2011 21.00,"0,05778","13,056594","0,061269","87,468883","23,700001"
10/09/2011 22.00,"0,048752","7,075998","0,040267","101,330063","23,700001"
10/09/2011 23.00,,"6,826807","0,044285","96,846937","23,700001"
11/09/2011 0.00,,"7,910531","0,025515","92,635971","23,700001"
11/09/2011 1.00,,"5,979296","0,01924","93,653463","16,29999"
11/09/2011 2.00,"0,02889",,"0,007656","88,943268","16,29999"
11/09/2011 3.00,,"18,669883",,"56,302072","16,29999"
11/09/2011 4.00,,"12,233742","0,139944",,"16,29999"
11/09/2011 5.00,,"32,33127","0,154933","24,696563","16,29999"
11/09/2011 6.00,,"34,091207","0,135969","44,929992","16,29999"
11/09/2011 7.00,,"11,199339","0,082149","47,509728","16,29999"
11/09/2011 8.00,,"6,559445","0,046519","67,945548","16,29999"
11/09/2011 9.00,,"1,893595","0,022102","84,077579","16,29999"
11/09/2011 10.00,,"1,610659","0,101741","88,240227","16,29999"
11/09/2011 11.00,,"0,838425","0,153949","94,64053","16,29999"
11/09/2011 12.00,,"1,140829","0,204703","100,030334","16,29999"
11/09/2011 13.00,,"0,724212","0,247468","101,91226","16,29999"
11/09/2011 14.00,,"0,747575","0,292201","102,797142","16,29999"
11/09/2011 15.00,"0,120977","0,529532","0,344527","104,3398","16,29999"
11/09/2011 16.00,,"0,790404","0,367543","101,444491","16,29999"
11/09/2011 17.00,"0,001805","2,194701","0,385759","99,77067","16,29999"
11/09/2011 18.00,,"4,337488","0,332843","89,165345","16,29999"
11/09/2011 19.00,,"9,942998","0,256792","71,294599","16,29999"
11/09/2011 20.00,,"11,251244","0,17484","60,725963","16,29999"
11/09/2011 21.00,,"5,504275","0,170277","67,385253","16,29999"
11/09/2011 22.00,,"4,894276","0,158788","56,350192","16,29999"
11/09/2011 23.00,,"6,646402","0,195889","67,985053","16,29999"
12/09/2011 0.00,,"7,369318","0,178066","70,319382","16,29999"
12/09/2011 1.00,,"9,065637","0,251559","44,240421","26,9"
12/09/2011 2.00,"2,052999","26,864652","0,470227","33,861614","26,9"
12/09/2011 3.00,"0,624747","32,642773","0,48207","19,948204","26,9"
12/09/2011 4.00,"1,301858","30,943865","0,478962","27,385824","26,9"
12/09/2011 5.00,"2,168558","37,245014","0,468655","30,550692","26,9"
12/09/2011 6.00,"4,904083","38,867363","0,498162","39,835004","26,9"
12/09/2011 7.00,"5,714811","62,345863","0,64322","13,54691","26,9"
12/09/2011 8.00,"6,240249","32,73363","0,470465","52,184013","26,9"
12/09/2011 9.00,"19,305751","50,280856","0,58692","46,442083","26,9"
12/09/2011 10.00,"30,791363","47,537155","0,481362","55,873166","26,9"
12/09/2011 11.00,"27,813871","42,227553","0,588807","75,747299","26,9"
12/09/2011 12.00,"11,131685","11,914457","0,364514","108,166528","26,9"
12/09/2011 13.00,"0,684333","4,460786","0,353142","108,344381","26,9"
12/09/2011 14.00,"0,236537","2,892957","0,364277","104,734152","26,9"
12/09/2011 15.00,"0,001805","2,672318","0,389339","101,207384","26,9"
12/09/2011 16.00,"0,005417","3,634043","0,407043","99,401592","26,9"
12/09/2011 17.00,"0,037918","7,035764","0,390835","95,831682","26,9"
12/09/2011 18.00,"0,245566","12,525756","0,376159","90,614776","26,9"
12/09/2011 19.00,"0,325013","17,174735","0,346022","83,347194","26,9"
12/09/2011 20.00,"0,4171","19,191624","0,347675","79,697558","26,9"
12/09/2011 21.00,"3,721398","20,625757","0,358219","75,452315","26,9"
12/09/2011 22.00,"14,981284","29,285167","0,521846","58,428362","26,9"
12/09/2011 23.00,"9,116612","18,729591","0,434623","77,867785","26,9"
13/09/2011 0.00,"2,771638","14,058549","0,377576","75,498182","26,9"
13/09/2011 1.00,,"17,635478","0,33355","52,308899","27,6"
13/09/2011 2.00,"0,422517",,"0,377221","40,227358","27,6"
13/09/2011 3.00,"0,13181","20,490789",,"42,472053","27,6"
13/09/2011 4.00,"0,426128","12,83855","0,219785",,"27,6"
13/09/2011 5.00,"0,083058","46,32883","0,196125","54,013626","27,6"
13/09/2011 6.00,"0,001805","79,281807","0,190416","26,301502","27,6"
13/09/2011 7.00,,"16,366164","0,031821","77,851187","27,6"
13/09/2011 8.00,,"6,373849","0,002031","93,329652","27,6"
13/09/2011 9.00,,"4,642489","0,000941","101,112666","27,6"
13/09/2011 10.00,"0,075837","3,370573","0,00687","112,717158","27,6"
13/09/2011 11.00,"0,218481","3,335532","0,037934","115,942998","27,6"
13/09/2011 12.00,"0,200424","2,902043","0,062327","123,060163","27,6"
13/09/2011 13.00,"0,130005","7,1357","0,098395","131,337414","27,6"
13/09/2011 14.00,"0,063197","5,309595","0,013193","108,500248","27,6"
13/09/2011 15.00,,"5,153849",,"98,155197","27,6"
13/09/2011 16.00,,"4,804722","0,001862","116,762645","27,6"
13/09/2011 17.00,"0,016251","4,725552","0,003724","116,284663","27,6"
13/09/2011 18.00,"0,003611","6,802146","0,016991","105,044371","27,6"
13/09/2011 19.00,"0,001805","8,510147","0,028582","96,057655","27,6"
13/09/2011 20.00,,"9,3927","0,049132","83,913653","27,6"
13/09/2011 21.00,,"9,540658","0,053019","86,386094","27,6"
13/09/2011 22.00,,"15,779524","0,110479","75,862367","27,6"
13/09/2011 23.00,,"26,300075","0,134843","38,816157","27,6"
14/09/2011 0.00,,"21,603056","0,195265","42,63706","27,6"
14/09/2011 1.00,,"22,781536","0,202891","47,673696","28,9"
14/09/2011 2.00,,"17,579676","0,220333","44,548928","28,9"
14/09/2011 3.00,,"14,699691","0,190807","50,667855","28,9"
14/09/2011 4.00,,"7,403061","0,167263","60,950122","28,9"
14/09/2011 5.00,,"28,545394","0,177276","51,150064","28,9"
14/09/2011 6.00,,"77,77498","0,31251","4,945567","28,9"
14/09/2011 7.00,,"52,694889","0,30203","33,574773","28,9"
14/09/2011 8.00,,"57,128416","0,23316","33,406733","28,9"
14/09/2011 9.00,,"21,672882","0,132262","77,544773","28,9"
14/09/2011 10.00,,,"0,160615","89,181152","28,9"
14/09/2011 11.00,,"12,267483","0,152873","100,843657","28,9"
14/09/2011 12.00,,"9,589976","0,145285","115,568075","28,9"
14/09/2011 13.00,,"8,656807","0,138872","126,384785","28,9"
14/09/2011 14.00,,"7,54453","0,152951","112,638817","28,9"
14/09/2011 15.00,,"6,231083","0,137894","111,442916","28,9"
14/09/2011 16.00,,"4,497127","0,218456","111,28399","28,9"
14/09/2011 17.00,,"8,275233","0,253575","107,510473","28,9"
14/09/2011 18.00,,"14,673734","0,260184","100,487136","28,9"
14/09/2011 19.00,,"21,565428","0,221507","98,535028","28,9"
14/09/2011 20.00,"0,492936","23,696543","0,178606","86,708026","28,9"
14/09/2011 21.00,"0,662665","39,165883","0,262492","46,73118","28,9"
14/09/2011 22.00,,"48,662406","0,284743","21,81696","28,9"
14/09/2011 23.00,,"34,769988","0,277665","41,361296","28,9"
15/09/2011 0.00,,"48,24448","0,328193","18,460624","28,9"
15/09/2011 1.00,,"34,902354","0,280833","41,172811","24,5"
15/09/2011 2.00,,,"0,244775","62,124919","24,5"
15/09/2011 3.00,,"19,529072",,"48,159421","24,5"
15/09/2011 4.00,,"25,643341","0,329267",,"24,5"
15/09/2011 5.00,,"71,581533","0,350837","14,29215","24,5"
15/09/2011 6.00,,"98,869289","0,447053","5,647263","24,5"
15/09/2011 7.00,,"34,938702","0,328103","51,100608","24,5"
15/09/2011 8.00,,"62,301736","0,405735","41,107313","24,5"
15/09/2011 9.00,,"35,106118","0,294273","72,17407","24,5"
15/09/2011 10.00,,"20,462243","0,321003","72,549548","24,5"
15/09/2011 11.00,,"7,711956","0,307231","97,312909","24,5"
15/09/2011 12.00,,"11,757415","0,329422","102,339473","24,5"
15/09/2011 13.00,,"9,571806","0,362399","106,730902","24,5"
15/09/2011 14.00,,"8,366084","0,364416","109,675503","24,5"
15/09/2011 15.00,,"7,892359","0,36527","108,099474","24,5"
15/09/2011 16.00,,"8,842403","0,37528","110,167434","24,5"
15/09/2011 17.00,,"8,991658","0,369111","109,782755","24,5"
15/09/2011 18.00,,"9,099382","0,326318","106,065395","24,5"
15/09/2011 19.00,,"11,347287","0,278366","97,859178","24,5"
15/09/2011 20.00,,"14,519293","0,279141","80,942119","24,5"
15/09/2011 21.00,,"15,545907","0,236931","81,345824","24,5"
15/09/2011 22.00,,"13,20844","0,259859","81,80035","24,5"
15/09/2011 23.00,,"8,715211","0,266998","89,207605","24,5"
16/09/2011 0.00,,"17,251308","0,309636","67,166487","24,5"
16/09/2011 1.00,,"6,453021","0,30273","92,723155","20,79999"
16/09/2011 2.00,,"5,562681","0,310644","88,823664","20,79999"
16/09/2011 3.00,,"7,218765","0,300325","89,61698","20,79999"
16/09/2011 4.00,,"10,377779","0,301023","82,432022","20,79999"
16/09/2011 5.00,,"32,213166","0,314059","50,74841","20,79999"
16/09/2011 6.00,,"70,828758","0,418228","21,348016","20,79999"
16/09/2011 7.00,,"85,9334","0,400536","17,066004","20,79999"
16/09/2011 8.00,"0,032501","51,743557","0,317085","43,370801","20,79999"
16/09/2011 9.00,"0,119171","34,001629","0,285194","69,19141","20,79999"
16/09/2011 10.00,"0,247371","17,121525","0,261528","103,288054","20,79999"
16/09/2011 11.00,"0,070419","5,52634","0,251246","123,233023","20,79999"
16/09/2011 12.00,"0,254594","7,609425","0,277163","126,345508","20,79999"
16/09/2011 13.00,"0,427933","7,843041","0,293496","129,444651","20,79999"
16/09/2011 14.00,"0,090281","7,10585","0,320964","127,246151","20,79999"
16/09/2011 15.00,"0,348486","8,617871","0,323175","124,643208","20,79999"
16/09/2011 16.00,"0,130005","9,220082","0,315959","123,602862","20,79999"
16/09/2011 17.00,"0,211258","9,525083","0,28209","123,876674","20,79999"
16/09/2011 18.00,"0,334041","11,867739","0,229289","118,01229","20,79999"
16/09/2011 19.00,,"12,554308","0,162285","111,062385","20,79999"
16/09/2011 20.00,,"13,087741","0,16764","101,036654","20,79999"
16/09/2011 21.00,"0,079448","12,723038","0,185331","92,120402","20,79999"
16/09/2011 22.00,"0,124589","32,319607","0,271693","63,132214","20,79999"
16/09/2011 23.00,,"23,792583","0,289151","57,083572","20,79999"
17/09/2011 0.00,,"21,426559","0,281043","67,27447","20,79999"
17/09/2011 1.00,,"4,077914","0,253148","110,367174","21,700001"
17/09/2011 2.00,"0,021667",,"0,258657","108,282213","21,700001"
17/09/2011 3.00,"0,462241","9,177254",,"103,629719","21,700001"
17/09/2011 4.00,,"6,092211","0,130268",,"21,700001"
17/09/2011 5.00,,"12,591954","0,123324","101,92172","21,700001"
17/09/2011 6.00,,"9,767786","0,092119","98,626138","21,700001"
17/09/2011 7.00,,"34,496131","0,150624","80,157343","21,700001"
17/09/2011 8.00,,"34,817999","0,162894","78,968801","21,700001"
17/09/2011 9.00,"0,009028","26,767292","0,103994","95,864003","21,700001"
17/09/2011 10.00,"0,482103","10,133785","0,10565","124,832058","21,700001"
17/09/2011 11.00,"0,586829","6,826807","0,10782","128,172449","21,700001"
17/09/2011 12.00,"0,947955","5,26417","0,145733","125,105535","21,700001"
17/09/2011 13.00,"0,881146","6,726873","0,196389","127,287962","21,700001"
17/09/2011 14.00,"0,966011","6,94751","0,239509","129,801377","21,700001"
17/09/2011 15.00,"0,229314","6,999425","0,239429","126,821176","21,700001"
17/09/2011 16.00,"0,510993","6,514021","0,242033","125,823752","21,700001"
17/09/2011 17.00,"0,113755","6,968274","0,239076","121,401417","21,700001"
17/09/2011 18.00,"0,016251","8,285615","0,213826","116,537889","21,700001"
17/09/2011 19.00,,"9,452404","0,167826","108,666397","21,700001"
17/09/2011 20.00,"0,001805","14,371333","0,174927","93,855654","21,700001"
17/09/2011 21.00,"0,261815","60,012305","0,349064","47,877306","21,700001"
17/09/2011 22.00,"0,323208","27,442189","0,233354","54,783996","21,700001"
17/09/2011 23.00,,"32,187219","0,248346","31,246369","21,700001"
18/09/2011 0.00,"0,001805","27,514883","0,244993","48,116708","21,700001"
18/09/2011 1.00,"0,366542","28,666079","0,235722","65,448107","26,700001"
18/09/2011 2.00,,"38,924476","0,351866","29,721091","26,700001"
18/09/2011 3.00,,"21,098193","0,203371","63,613087","26,700001"
18/09/2011 4.00,"0,016251","9,996211","0,128966","88,951624","26,700001"
18/09/2011 5.00,"0,010834","19,479743","0,041338","100,147845","26,700001"
18/09/2011 6.00,,"18,011867","0,018654","77,520275","26,700001"
18/09/2011 7.00,,"50,44957","0,103362","34,525671","26,700001"
18/09/2011 8.00,"0,191396","21,355165","0,103692","75,872801","26,700001"
18/09/2011 9.00,"2,596493","16,608864","0,160843","97,132118","26,700001"
18/09/2011 10.00,"4,396702","14,222073","0,139499","105,787108","26,700001"
18/09/2011 11.00,"12,122975","18,238993","0,333639","108,240896","26,700001"
18/09/2011 12.00,"11,252668","13,741861","0,331746","124,717683","26,700001"
18/09/2011 13.00,"3,29527","5,547106","0,253553","129,741758","26,700001"
18/09/2011 14.00,"3,576947","3,61068","0,27024","122,614814","26,700001"
18/09/2011 15.00,"2,874559","3,173299","0,320186","121,2316","26,700001"
18/09/2011 16.00,"2,824002","3,728786","0,338531","121,019972","26,700001"
18/09/2011 17.00,"1,596174","5,088956","0,331075","122,197061","26,700001"
18/09/2011 18.00,"0,23112","10,601009","0,276869","118,911419","26,700001"
18/09/2011 19.00,,"15,606908","0,134687","115,570313","26,700001"
18/09/2011 20.00,,"12,462161","0,017964","109,908302","26,700001"
18/09/2011 21.00,,"11,965076",,"100,062579","26,700001"
18/09/2011 22.00,,"13,417398",,"88,725712","26,700001"
18/09/2011 23.00,,"15,538116","0,000652","87,585488","26,700001"
19/09/2011 0.00,,"11,711988",,"91,041685","26,700001"
19/09/2011 1.00,,"6,480276",,"94,854509","20,79999"
19/09/2011 2.00,,,,"94,828215","20,79999"
19/09/2011 3.00,,"5,753468",,"78,495667","20,79999"
19/09/2011 4.00,,"13,862569","0,159952",,"20,79999"
19/09/2011 5.00,,"20,346738","0,191942","73,842709","20,79999"
19/09/2011 6.00,,"19,895066","0,099479","77,512437","20,79999"
19/09/2011 7.00,,"24,841257","0,045554","71,845578","20,79999"
19/09/2011 8.00,,"16,319435","0,000103","75,63532","20,79999"
19/09/2011 9.00,,"10,9774","0,001383","80,824928","20,79999"
19/09/2011 10.00,,"8,167509","0,018182","92,870323","20,79999"
19/09/2011 11.00,,"19,170858","0,053682","65,293739","20,79999"
19/09/2011 12.00,,"22,695879","0,102814","62,344888","20,79999"
19/09/2011 13.00,"0,081253","6,842382","0,082494","84,199915","20,79999"
19/09/2011 14.00,,"5,523745","0,071951","87,460542","20,79999"
19/09/2011 15.00,,"5,201871","0,098926","84,285143","20,79999"
19/09/2011 16.00,,"5,574361","0,115669","82,3377","20,79999"
19/09/2011 17.00,,"6,530893","0,132098","83,097636","20,79999"
19/09/2011 18.00,,"6,615254","0,109681","77,620404","20,79999"
19/09/2011 19.00,,"5,369297","0,184023","78,465561","20,79999"
19/09/2011 20.00,,"6,193446","0,216486","70,819989","20,79999"
19/09/2011 21.00,,"11,27591","0,312183","59,73411","20,79999"
19/09/2011 22.00,,"12,934594","0,413158","54,454302","20,79999"
19/09/2011 23.00,,"8,310274","0,332117","58,339926","20,79999"
20/09/2011 0.00,,"4,569808","0,294257","62,81505","20,79999"
20/09/2011 1.00,,"8,636041","0,299497","53,821488","7,9"
20/09/2011 2.00,,"5,352424","0,293272","63,594175","7,9"
20/09/2011 3.00,,"2,782639","0,249542","60,659533","7,9"
20/09/2011 4.00,,"2,877382","0,213808","68,132503","7,9"
20/09/2011 5.00,,"16,146819","0,249934","47,685149","7,9"
20/09/2011 6.00,,"29,242338","0,222632","14,452491","7,9"
20/09/2011 7.00,,"17,765271","0,225667","35,391779","7,9"
20/09/2011 8.00,,"46,645515","0,381482","17,744948","7,9"
20/09/2011 9.00,,"28,610268","0,288111","32,014064","7,9"
20/09/2011 10.00,,"31,572032","0,287402","33,813056","7,9"
20/09/2011 11.00,"0,063197","11,771698","0,224879","67,709202","7,9"
20/09/2011 12.00,"8,127129","25,512255","0,535012","63,847002","7,9"
20/09/2011 13.00,"2,672328","8,451744","0,33389","87,891659","7,9"
20/09/2011 14.00,"0,010834","8,32585","0,310922","84,728307","7,9"
20/09/2011 15.00,"0,780031","6,212914","0,277474","91,39163","7,9"
20/09/2011 16.00,"0,610302","5,12919","0,284249","93,038641","7,9"
20/09/2011 17.00,"1,767709","8,114296","0,302136","88,572752","7,9"
20/09/2011 18.00,"0,673499","11,11367","0,281098","81,942108","7,9"
20/09/2011 19.00,"0,756557","9,492636","0,276725","73,840578","7,9"
20/09/2011 20.00,"0,588635","6,119467","0,273494","76,920118","7,9"
20/09/2011 21.00,"0,538077","3,308276","0,283462","81,194249","7,9"
20/09/2011 22.00,"0,451407","3,567849","0,244892","82,427197","7,9"
20/09/2011 23.00,"0,382793","4,663255","0,242292","75,77309","7,9"
21/09/2011 0.00,"0,501965","5,358913","0,234216","73,867565","7,9"
21/09/2011 1.00,,"3,706724","0,198443","68,398118",8
21/09/2011 2.00,"0,539883",,"0,156721","56,258979",8
21/09/2011 3.00,"0,588635","8,229806",,"46,545945",8
21/09/2011 4.00,"0,505576","8,588019","0,14285",,8
21/09/2011 5.00,"0,639192","14,641296","0,078701","33,279455",8
21/09/2011 6.00,"0,575995","16,1611","0,083042","24,580953",8
21/09/2011 7.00,"0,368348","22,097556","0,062011","16,587977",8
21/09/2011 8.00,"0,617524","6,338807","0,029207","70,576337",8
21/09/2011 9.00,"0,449601","3,862467","0,037524","86,110684",8
21/09/2011 10.00,"0,557938","5,532829","0,069744","86,577235",8
21/09/2011 11.00,"0,326819","3,631446","0,04583","91,816324",8
21/09/2011 12.00,"0,729474","4,362147","0,105377","95,506158",8
21/09/2011 13.00,"0,752946","4,495829","0,121728","97,754521",8
21/09/2011 14.00,"0,973233","3,766424","0,123448","99,22224",8
21/09/2011 15.00,"0,588635","4,167468","0,136474","105,8857",8
21/09/2011 16.00,"0,265427","4,42185","0,155523","107,931293",8
21/09/2011 17.00,"0,579607","5,953341","0,165146","96,967515",8
21/09/2011 18.00,"0,662665","7,923509","0,123213","88,27821",8
21/09/2011 19.00,"0,227509","10,283038","0,088949","76,83148",8
21/09/2011 20.00,"0,106532","8,829424","0,063393","71,420801",8
21/09/2011 21.00,"0,227509","7,275871","0,030784","73,648601",8
21/09/2011 22.00,"0,393627","5,606808","0,024109","76,796031",8
21/09/2011 23.00,"0,088476","5,698957","0,035413","73,513898",8
22/09/2011 0.00,"0,151672","5,297915","0,019389","71,978127",8
22/09/2011 1.00,"0,070419","4,733339","0,024095","72,899159","18,700001"
22/09/2011 2.00,"0,184174","4,750211","0,031697","69,585823","18,700001"
22/09/2011 3.00,"0,097504","5,231723","0,013521","65,419499","18,700001"
22/09/2011 4.00,"0,018056","6,08702","0,027968","65,556356","18,700001"
22/09/2011 5.00,"0,054168","6,485467","0,048307","64,431101","18,700001"
22/09/2011 6.00,"0,083058","6,567232","0,036769","57,746991","18,700001"
22/09/2011 7.00,"0,158895","10,78272","0,044448","54,477604","18,700001"
22/09/2011 8.00,"0,24376","9,081212","0,049716","60,201677","18,700001"
22/09/2011 9.00,"0,447795","6,359574","0,088401","70,55365","18,700001"
22/09/2011 10.00,"0,651832","5,53802","0,121728","81,483502","18,700001"
22/09/2011 11.00,"0,751141","6,250552","0,175354","89,403472","18,700001"
22/09/2011 12.00,"0,637386","5,261573","0,159513","95,790487","18,700001"
22/09/2011 13.00,"0,635581","5,702849","0,162681","101,419552","18,700001"
22/09/2011 14.00,"0,478491","5,419914","0,145862","103,481371","18,700001"
22/09/2011 15.00,"0,386404","4,908553","0,135771","102,449077","18,700001"
22/09/2011 16.00,"0,572384","4,529574","0,163034","99,464735","18,700001"
22/09/2011 17.00,"0,574189","5,01238","0,169253","94,058325","18,700001"
22/09/2011 18.00,"0,456824","6,478978","0,182631","89,758006","18,700001"
22/09/2011 19.00,"0,113755","7,754787","0,163151","83,149029","18,700001"
22/09/2011 20.00,"0,084865","7,033169","0,138469","80,042016","18,700001"
22/09/2011 21.00,"0,08667","5,769041","0,11367","83,492908","18,700001"
22/09/2011 22.00,"0,068614","6,272616","0,118676","79,325885","18,700001"
22/09/2011 23.00,"0,050557","5,095446","0,094464","83,996324","18,700001"
23/09/2011 0.00,"0,037918","4,510106","0,076315","88,913519","18,700001"
23/09/2011 1.00,,"6,006551","0,064971","78,405553","27,9"
23/09/2011 2.00,"0,07403",,"0,053054","65,123823","27,9"
23/09/2011 3.00,"0,050557","8,672383",,"56,197735","27,9"
23/09/2011 4.00,,"11,253848","0,152063",,"27,9"
23/09/2011 5.00,"0,014445","30,322178","0,154071","38,676306","27,9"
23/09/2011 6.00,"0,054168","35,090553","0,148087","32,926419","27,9"
23/09/2011 7.00,"0,148061","65,250514","0,249056","7,200877","27,9"
23/09/2011 8.00,"0,019862","46,555956","0,192726","22,233277","27,9"
23/09/2011 9.00,,"28,528511","0,121123","49,307103","27,9"
23/09/2011 10.00,"0,068614","10,813866","0,15045","82,26684","27,9"
23/09/2011 11.00,"0,460435","5,814466","0,175799","95,651135","27,9"
23/09/2011 12.00,"0,579607","7,099361","0,18812","102,541862","27,9"
23/09/2011 13.00,"0,624747","7,753487","0,198749","105,132491","27,9"
23/09/2011 14.00,"0,575995","6,469892","0,173399","112,050235","27,9"
23/09/2011 15.00,"0,478491","5,288829","0,171981","111,101251","27,9"
23/09/2011 16.00,"0,427933","5,06819","0,142261","111,590541","27,9"
23/09/2011 17.00,"0,315985","5,907913","0,16958","114,250561","27,9"
23/09/2011 18.00,"0,225704","8,732083","0,17765","100,624845","27,9"
23/09/2011 19.00,"0,003611","10,202567","0,160565","90,236224","27,9"
23/09/2011 20.00,,"6,83719","0,130058","81,537368","27,9"
23/09/2011 21.00,,"9,008531","0,090498","50,239108","27,9"
23/09/2011 22.00,,"8,449147","0,109708","53,536504","27,9"
23/09/2011 23.00,,"26,104075","0,272241","34,446927","27,9"
24/09/2011 0.00,"0,012639","30,533721","0,224453","16,56554","27,9"
24/09/2011 1.00,"0,010834","22,110539","0,221069","34,269173","30,700001"
24/09/2011 2.00,,"24,422051","0,230712","44,209478","30,700001"
24/09/2011 3.00,,"11,854761","0,179499","64,50088","30,700001"
24/09/2011 4.00,,"7,941679","0,157613","79,638684","30,700001"
24/09/2011 5.00,,"9,858637","0,158794","75,322201","30,700001"
24/09/2011 6.00,,"24,991808","0,141986","51,258933","30,700001"
24/09/2011 7.00,"0,001805","61,328333","0,231304","10,652764","30,700001"
24/09/2011 8.00,"0,014445","57,365924","0,235396","10,683927","30,700001"
24/09/2011 9.00,,"30,633661","0,113644","45,331269","30,700001"
24/09/2011 10.00,,"10,420612","0,081837","79,635153","30,700001"
24/09/2011 11.00,"0,025279","9,159084","0,134703","89,984817","30,700001"
24/09/2011 12.00,"0,075837","8,175297","0,187688","97,628441","30,700001"
24/09/2011 13.00,"0,030696","8,286913","0,200284","101,594362","30,700001"
24/09/2011 14.00,"0,07403","6,735957","0,117226","80,793893","30,700001"
24/09/2011 15.00,,"11,357674","0,049475","63,92086","30,700001"
24/09/2011 16.00,,"4,299851","0,054756","82,521801","30,700001"
24/09/2011 17.00,,"4,76449","0,08227","92,456444","30,700001"
24/09/2011 18.00,,"6,250552","0,104158","82,87731","30,700001"
24/09/2011 19.00,,"7,216169","0,111636","78,93686","30,700001"
24/09/2011 20.00,,"9,49134","0,09963","71,388145","30,700001"
24/09/2011 21.00,,"38,245677","0,168556","32,111282","30,700001"
24/09/2011 22.00,,"31,004859","0,168006","34,095646","30,700001"
24/09/2011 23.00,,"16,686741","0,192963","47,011838","30,700001"
25/09/2011 0.00,,"20,699751","0,216109","28,800438","30,700001"
