, TARANTO,,,,,
,TA V.Archimede,,,,,
,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


07/01/2009 0.00,"1,726503","33,214212","28,751738","0,586014","1,099353","37,606831"
07/01/2009 1.00,"1,505034","42,811822","30,559686","0,587868","0,896943",
07/01/2009 2.00,"1,597555","16,270547","14,493336","0,467863","0,861448","20,02442"
07/01/2009 3.00,"1,514736","9,692291","8,254467","0,426586","0,773193",
07/01/2009 4.00,"1,601877","13,02422","11,47708","0,360684","0,778949","35,164822"
07/01/2009 5.00,"1,43615","6,619759","5,126596","0,374615","0,757844",
07/01/2009 6.00,"1,633364","10,387469","8,43487","0,409263","0,784703","23,44322"
07/01/2009 7.00,"1,627455","30,768113","25,368187","0,461865","0,897902",
07/01/2009 8.00,"1,543754","61,358566","43,552683","0,579068","0,92572","21,001221"
07/01/2009 9.00,"1,508209","71,303775","47,716252","0,57591","1,130052",
07/01/2009 10.00,"1,686284","48,950412","37,448793","0,650612","1,071534","12,21001"
07/01/2009 11.00,"1,311966","48,509428","34,433839","0,699822","1,155952",
07/01/2009 12.00,"1,003267","38,491599","26,07553","0,704202","1,044673","24,42001"
07/01/2009 13.00,"1,444088","22,541409","17,015097","0,566401","1,060022",
07/01/2009 14.00,"1,371941","19,96822","14,894371","0,425798","1,013977","22,954821"
07/01/2009 15.00,"1,521263","25,025116","20,480406","0,496119","1,097435",
07/01/2009 16.00,"1,377586","15,872375","12,504996","0,447422","1,056185","16,60561"
07/01/2009 17.00,"1,22209","31,682469","26,845168","0,562178","1,154033",
07/01/2009 18.00,"1,323784","67,028944","43,507254","0,743823","1,254759","16,60561"
07/01/2009 19.00,"1,492157","74,891203","49,019319","0,781036","1,47156",
07/01/2009 20.00,"1,69722","32,82382","27,848432","0,754518","1,182812","20,02442"
07/01/2009 21.00,"1,411279","26,157383","21,355185","0,796584","0,992871",
07/01/2009 22.00,"1,38473","32,585163","26,834786","0,762212","1,026447","15,14041"
07/01/2009 23.00,"1,258429","34,926215","29,272202","0,783798","1,102232",
