,ILVA 1 ARIA,ILVA 1 ARIA
Stazione,COKERIA,COKERIA
,IPA2,IPA
Unit,ng/m3,ng/m3
29/09/2013 14.00.00,,5
29/09/2013 15.00.00,,7
29/09/2013 16.00.00,,8
29/09/2013 17.00.00,,9
29/09/2013 18.00.00,,7
29/09/2013 19.00.00,,7
29/09/2013 20.00.00,,7
29/09/2013 21.00.00,,6
29/09/2013 22.00.00,,4
29/09/2013 23.00.00,,6
30/09/2013 00.00.00,,11
30/09/2013 01.00.00,,9
30/09/2013 02.00.00,,8
30/09/2013 03.00.00,,5
30/09/2013 04.00.00,,5
30/09/2013 05.00.00,,11
30/09/2013 06.00.00,,28
30/09/2013 07.00.00,,33
30/09/2013 08.00.00,,59
30/09/2013 09.00.00,,24
30/09/2013 10.00.00,,18
30/09/2013 11.00.00,,77
30/09/2013 12.00.00,,31
30/09/2013 13.00.00,,21
30/09/2013 14.00.00,,22
30/09/2013 15.00.00,,23
30/09/2013 16.00.00,,7
30/09/2013 17.00.00,,12
30/09/2013 18.00.00,,19
30/09/2013 19.00.00,,17
30/09/2013 20.00.00,,20
30/09/2013 21.00.00,,21
30/09/2013 22.00.00,,17
30/09/2013 23.00.00,,15
01/10/2013 00.00.00,,21
01/10/2013 01.00.00,,13
01/10/2013 02.00.00,,19
01/10/2013 03.00.00,,17
01/10/2013 04.00.00,,25
01/10/2013 05.00.00,,15
01/10/2013 06.00.00,,14
01/10/2013 07.00.00,,39
01/10/2013 08.00.00,,28
01/10/2013 09.00.00,,17
01/10/2013 10.00.00,,22
01/10/2013 11.00.00,,26
01/10/2013 12.00.00,,113
01/10/2013 13.00.00,,71
01/10/2013 14.00.00,,61
01/10/2013 15.00.00,,177
01/10/2013 16.00.00,,250
01/10/2013 17.00.00,,142
01/10/2013 18.00.00,,197
01/10/2013 19.00.00,,102
01/10/2013 20.00.00,,84
01/10/2013 21.00.00,,31
01/10/2013 22.00.00,,53
01/10/2013 23.00.00,,52
02/10/2013 00.00.00,,191
02/10/2013 01.00.00,,82
02/10/2013 02.00.00,,56
02/10/2013 03.00.00,,74
02/10/2013 04.00.00,,78
02/10/2013 05.00.00,,37
02/10/2013 06.00.00,,29
02/10/2013 07.00.00,,36
02/10/2013 08.00.00,,49
02/10/2013 09.00.00,52,63
02/10/2013 10.00.00,104,127
02/10/2013 11.00.00,86,104
02/10/2013 12.00.00,98,117
02/10/2013 13.00.00,196,225
02/10/2013 14.00.00,171,184
02/10/2013 15.00.00,178,203
02/10/2013 16.00.00,140,172
02/10/2013 17.00.00,144,174
02/10/2013 18.00.00,95,116
02/10/2013 19.00.00,67,82
02/10/2013 20.00.00,128,152
02/10/2013 21.00.00,71,83
02/10/2013 22.00.00,65,77
02/10/2013 23.00.00,110,128
03/10/2013 00.00.00,38,45
03/10/2013 01.00.00,25,30
03/10/2013 02.00.00,90,100
03/10/2013 03.00.00,77,91
03/10/2013 04.00.00,57,67
03/10/2013 05.00.00,87,101
03/10/2013 06.00.00,32,37
03/10/2013 07.00.00,79,89
03/10/2013 08.00.00,38,42
03/10/2013 09.00.00,115,131
03/10/2013 10.00.00,182,212
03/10/2013 11.00.00,169,188
03/10/2013 12.00.00,163,190
03/10/2013 13.00.00,162,187
03/10/2013 14.00.00,149,171
03/10/2013 15.00.00,148,169
03/10/2013 16.00.00,134,158
03/10/2013 17.00.00,140,158
03/10/2013 18.00.00,21,24
03/10/2013 19.00.00,18,20
03/10/2013 20.00.00,45,52
03/10/2013 21.00.00,58,69
03/10/2013 22.00.00,40,47
03/10/2013 23.00.00,12,15
04/10/2013 00.00.00,22,26
04/10/2013 01.00.00,18,21
04/10/2013 02.00.00,17,20
04/10/2013 03.00.00,9,11
04/10/2013 04.00.00,31,37
04/10/2013 05.00.00,23,26
04/10/2013 06.00.00,21,22
04/10/2013 07.00.00,30,31
04/10/2013 08.00.00,23,24
04/10/2013 09.00.00,17,17
04/10/2013 10.00.00,19,20
04/10/2013 11.00.00,36,40
04/10/2013 12.00.00,42,47
04/10/2013 13.00.00,41,46
04/10/2013 14.00.00,11,12
04/10/2013 15.00.00,21,23
04/10/2013 16.00.00,76,85
04/10/2013 17.00.00,27,29
04/10/2013 18.00.00,10,11
04/10/2013 19.00.00,6,6
04/10/2013 20.00.00,6,6
04/10/2013 21.00.00,5,5
04/10/2013 22.00.00,8,8
04/10/2013 23.00.00,9,9
05/10/2013 00.00.00,4,4
05/10/2013 01.00.00,6,6
05/10/2013 02.00.00,7,7
05/10/2013 03.00.00,5,5
05/10/2013 04.00.00,10,10
05/10/2013 05.00.00,12,12
05/10/2013 06.00.00,14,14
05/10/2013 07.00.00,25,24
05/10/2013 08.00.00,39,37
05/10/2013 09.00.00,12,12
05/10/2013 10.00.00,7,7
05/10/2013 11.00.00,7,7
05/10/2013 12.00.00,8,7
05/10/2013 13.00.00,7,6
05/10/2013 14.00.00,5,5
05/10/2013 15.00.00,7,6
05/10/2013 16.00.00,9,9
05/10/2013 17.00.00,15,14
05/10/2013 18.00.00,7,7
05/10/2013 19.00.00,4,4
05/10/2013 20.00.00,7,7
05/10/2013 21.00.00,7,7
05/10/2013 22.00.00,9,8
05/10/2013 23.00.00,8,8
06/10/2013 00.00.00,6,6
06/10/2013 01.00.00,6,6
06/10/2013 02.00.00,4,4
06/10/2013 03.00.00,3,3
06/10/2013 04.00.00,2,2
06/10/2013 05.00.00,3,3
06/10/2013 06.00.00,5,5
06/10/2013 07.00.00,4,4
06/10/2013 08.00.00,5,4
06/10/2013 09.00.00,5,5
06/10/2013 10.00.00,7,6
06/10/2013 11.00.00,6,6
06/10/2013 12.00.00,8,8
06/10/2013 13.00.00,8,7
06/10/2013 14.00.00,3,3
06/10/2013 15.00.00,4,3
06/10/2013 16.00.00,6,5
