, Brindisi,,,,
,Via Taranto,,,,
Parm,SO2,NO2,CO,O3,BENZENE
,,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
13/01/2008 23.00,"0,060968",,"0,561022","29,390879","1,431224"
14/01/2008 0.00,"0,283739",,"0,364193","58,69282","1,987726"
14/01/2008 1.00,,,"0,244969","75,261174","0,560723"
14/01/2008 2.00,"0,467688",,"0,311497","74,698589","0,299252"
14/01/2008 3.00,"0,199168",,,"71,346425","0,734071"
14/01/2008 4.00,"0,257995",,"0,287407",,"0,730206"
14/01/2008 5.00,"0,276239",,"0,291554","46,021","0,479515"
14/01/2008 6.00,"0,093795",,"0,323361","46,050863","0,634303"
14/01/2008 7.00,"0,12081",,"0,423413","39,854057","0,752936"
14/01/2008 8.00,"0,068417",,"0,649721","30,100201","0,922368"
14/01/2008 9.00,"0,605106",,"0,799976","24,353663","2,253164"
14/01/2008 10.00,"1,291142",,"0,685146","31,873516","1,8067"
14/01/2008 11.00,"1,22834",,"0,628767","40,820613","1,279335"
14/01/2008 12.00,"0,463361",,"0,477497","47,17377","1,747206"
14/01/2008 13.00,"0,071808",,"0,503834","55,012564","0,923944"
14/01/2008 14.00,0,,"0,442868","71,781081","0,840347"
14/01/2008 15.00,0,,"0,421383","73,997001","0,346034"
14/01/2008 16.00,"0,00421",,"0,393812","76,271307","0,467261"
14/01/2008 17.00,"0,118237",,"0,499688","58,32985","0,530467"
14/01/2008 18.00,"1,238749",,"0,782683","29,695815","0,747037"
14/01/2008 19.00,"4,557946",,"1,552","20,125401","0,89857"
14/01/2008 20.00,"12,031953",,"2,799696","17,494644","3,781206"
14/01/2008 21.00,"11,29048",,"2,70088","17,829572","10,77003"
14/01/2008 22.00,"5,711905",,"1,678961","13,636058","7,036624"
14/01/2008 23.00,"3,19862",,"1,181391","13,01068","3,737983"
15/01/2008 0.00,"2,893376",,"1,111911","12,684091","4,697523"
15/01/2008 1.00,,,"1,017196","14,185003","4,465138"
15/01/2008 2.00,"1,166734",,"1,059724","14,333006","5,343826"
15/01/2008 3.00,"0,400935",,"1,145658","14,979232","4,808884"
15/01/2008 4.00,"0,355993",,"0,9737","27,061556","2,650098"
15/01/2008 5.00,"0,013305",,"0,582711","50,97608","3,263553"
15/01/2008 6.00,"0,110582",,"0,555404","39,805419","1,791445"
15/01/2008 7.00,"0,172378",,"0,581829","23,621976","1,843821"
15/01/2008 8.00,"0,944386",,"0,820842","18,725254","2,239943"
15/01/2008 9.00,"4,244715",,"1,327103","16,703199","2,356898"
15/01/2008 10.00,"4,169021",,"0,886088","25,871939","2,934553"
15/01/2008 11.00,"0,954144","25,59273","0,57477","60,057301","4,910584"
15/01/2008 12.00,"0,154934","17,242225","0,61712","67,50835","3,238636"
15/01/2008 13.00,"0,009757","14,903464","0,456985","73,136761","3,283384"
15/01/2008 14.00,"0,005322","19,390184","0,420983","73,710023","1,720815"
15/01/2008 15.00,"0,013305","16,315551","0,363989","76,688916","0,715459"
15/01/2008 16.00,"0,19485","17,362923","0,383488","74,59878","1,367967"
15/01/2008 17.00,"0,579523","21,560247","0,402194","61,799334","1,108327"
15/01/2008 18.00,"1,129479","25,836721","0,442073","53,4102","0,916825"
15/01/2008 19.00,"1,559095","17,479737","0,426236","59,3548","1,434021"
15/01/2008 20.00,"1,71876","23,895105","0,416442","54,629685","1,752291"
15/01/2008 21.00,"1,501735","24,537556","0,458528","46,01683","1,949589"
15/01/2008 22.00,"1,633014","34,045778","0,493732","31,331515","1,794496"
15/01/2008 23.00,"1,548452","38,550681","0,644515","26,64534","2,094003"
16/01/2008 0.00,"0,737709","24,649179","0,626208","37,92511","1,959962"
16/01/2008 1.00,,"19,435612","0,572829","41,268808","2,584705"
16/01/2008 2.00,"0,237963",,"0,450499","52,442247","2,441817"
16/01/2008 3.00,"0,210088","8,308976",,"53,839624","1,523466"
16/01/2008 4.00,"0,402864","7,888467","0,369181",,"1,500583"
16/01/2008 5.00,"0,472405","9,166871","0,355248","42,716081","1,21684"
16/01/2008 6.00,"0,224759","12,228545","0,370372","44,133808","0,836279"
16/01/2008 7.00,"0,203046","29,165761","0,454542","26,782716","1,295149"
16/01/2008 8.00,"1,185412","47,123132","0,690434","15,517928","1,760427"
