Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
09/01/2014 2.00,"4,4","6,7","0,3","49,3","1,0",,,
09/01/2014 3.00,"4,9","7,1","0,2","45,8","0,7",,,
09/01/2014 4.00,"3,8","6,0","0,2","48,6","0,6",,,
09/01/2014 5.00,"3,5","5,8","0,2","53,5","0,6",,,
09/01/2014 6.00,"3,2","5,5","0,2","53,3","0,5",,,
09/01/2014 7.00,"4,5","7,0","0,2","50,8","0,5",,,
09/01/2014 8.00,"7,1","10,2","0,2","47,4","0,6",,,
09/01/2014 9.00,"12,8","17,8","0,3","40,1","0,8",,,
09/01/2014 10.00,"7,5","10,9","0,3","47,1","1,0",,,
09/01/2014 11.00,"5,0","8,3","0,3","54,1","1,0",,,
09/01/2014 12.00,"4,7","7,8","0,2","58,8","0,7",,,
09/01/2014 13.00,"5,4","9,3","0,3","60,0","1,0",,,
09/01/2014 14.00,"5,9","10,4","0,2","60,5","1,0",,,
09/01/2014 15.00,"5,3","8,3","0,2","62,3","0,8",,,
09/01/2014 16.00,"5,4","8,8","0,2","64,8","0,8",,,
09/01/2014 17.00,"9,0","11,8","0,5","60,2","0,9",,,
09/01/2014 18.00,"16,4","19,7","0,7","47,8","1,7",,,
09/01/2014 19.00,"20,6","23,7","0,9","34,7","3,9",,,
09/01/2014 20.00,"27,6","31,3","1,7","33,2","4,6",,,
09/01/2014 21.00,"33,6","40,8","2,4","18,4","7,4",,,
09/01/2014 22.00,"32,6","43,3","2,7","12,2","10,8",,,
09/01/2014 23.00,"30,2","39,3","2,9","10,2","10,3",,,
10/01/2014 0.00,"21,0","30,3","2,7","6,0","11,3",,,
10/01/2014 1.00,"18,8","23,8","2,3","5,6","8,3",,,
10/01/2014 2.00,"10,5","13,1","1,3","7,1","5,3",,,
10/01/2014 3.00,"6,4","8,8",,"16,3","3,0",,,
10/01/2014 4.00,"3,9","6,3","0,4","26,4","1,8",,,
10/01/2014 5.00,"3,7","6,1","0,3","37,3","1,2",,,
10/01/2014 6.00,"3,9","6,2","0,3","38,4","1,0",,,
10/01/2014 7.00,"3,9","6,4","0,3","43,2","1,0",,,
10/01/2014 8.00,"9,5","16,1","0,3","41,3","0,8",,,
10/01/2014 9.00,"21,2","43,4","0,4","23,6","1,0",,,
10/01/2014 10.00,"11,6","18,0","0,4","26,0","1,8",,,
10/01/2014 11.00,"7,8","13,5","0,4","39,2","1,4",,,
10/01/2014 12.00,"5,8","8,9","0,4","48,8","1,1",,,
10/01/2014 13.00,"6,6","9,8","0,4","53,7","1,4",,,
10/01/2014 14.00,"6,2","11,0","0,3","60,7","0,9",,,
10/01/2014 15.00,"5,5","9,7","0,3","61,1","1,0",,,
10/01/2014 16.00,"6,2","9,8","0,3","62,4","0,9",,,
10/01/2014 17.00,"9,0","12,7","0,3","57,8","1,1",,,
10/01/2014 18.00,"18,1","26,6","0,4","43,2","1,3",,,
10/01/2014 19.00,"28,0","41,0","0,7","18,9","4,0",,,
10/01/2014 20.00,"34,6","46,3","1,4","21,6","4,9",,,
10/01/2014 21.00,"45,2","62,7","2,8","16,1","14,4",,,
10/01/2014 22.00,"41,4","59,3","3,0","13,0","16,0",,,
10/01/2014 23.00,"29,0","36,7","2,6","9,3","14,3",,,
11/01/2014 0.00,"24,6","29,0","2,4","8,7","9,5",,,
11/01/2014 1.00,"14,8","17,4","1,7","10,6","7,5",,,
11/01/2014 2.00,"9,8","12,2","1,0","16,6","3,9",,,
11/01/2014 3.00,"7,9","10,2","0,8","22,4","2,8",,,
11/01/2014 4.00,"7,3","9,7","0,7","25,6","2,3",,,
11/01/2014 5.00,"6,2","8,6","0,6","19,4","1,9",,,
11/01/2014 6.00,"10,3","14,5","0,8","11,9","2,1",,,
11/01/2014 7.00,"13,0","16,7","0,8","12,1","2,2",,,
11/01/2014 8.00,"23,6","44,3","0,8","4,9","2,1",,,
11/01/2014 9.00,"29,1","55,0","1,2","5,7","4,3",,,
11/01/2014 10.00,"38,9","67,7","2,1","10,2","11,2",,,
11/01/2014 11.00,"28,6","44,5","1,7","14,4","15,4",,,
11/01/2014 12.00,"11,3","16,4","0,7","30,1","5,9",,,
11/01/2014 13.00,"7,5","10,6","0,5","46,4","2,0",,,
11/01/2014 14.00,"7,2","10,0","0,4","49,8","1,3",,,
