,Provincia di TARANTO,,
,MARTINA FRANCA,,
Parm,NO2,CO,O3
,,,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22/01/2010 11.00,"29,521393","0,410084","52,008192"
22/01/2010 12.00,"25,111213","0,36339","62,684993"
22/01/2010 13.00,"29,00483","0,456378","64,386071"
22/01/2010 14.00,"31,813424","0,523999","66,031567"
22/01/2010 15.00,"23,377258","0,519878","73,012073"
22/01/2010 16.00,"23,325347","0,56118","72,083599"
22/01/2010 17.00,"26,224801","0,550477","65,866202"
22/01/2010 18.00,"38,10551","0,620159","52,938025"
22/01/2010 19.00,"35,800497","0,606999","48,709061"
22/01/2010 20.00,"31,976956","0,515755","50,362677"
22/01/2010 21.00,"27,213781","0,505132","56,604495"
22/01/2010 22.00,"20,213052","0,407388","61,287537"
22/01/2010 23.00,"18,764634","0,362203","59,964634"
23/01/2010 0.00,"22,422024","0,378135","52,123405"
23/01/2010 1.00,"15,003393","0,245352","61,119459"
23/01/2010 2.00,"4,965659","0,14959","69,544879"
23/01/2010 3.00,"3,421191","0,127631","72,200166"
23/01/2010 4.00,"3,291405","0,126204","72,938892"
23/01/2010 5.00,"4,083105","0,142852","67,625572"
23/01/2010 6.00,"6,979956","0,153949","63,937412"
23/01/2010 7.00,"19,003437","0,266756","60,899871"
23/01/2010 8.00,"33,62007","0,375757","42,692261"
23/01/2010 9.00,"41,064674","0,601371","35,604666"
23/01/2010 10.00,"34,44292","0,496095","43,414713"
23/01/2010 11.00,"37,43321","0,574418","47,272282"
23/01/2010 12.00,"37,887465","0,544057","49,187522"
23/01/2010 13.00,"46,03551","0,58615","48,42577"
