,Regione Puglia,,,,,,,,
,S.Barbara Galatina,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10


13/01/2007 2.00,"0,43702016",,,"3,97668085",,,,,
13/01/2007 3.00,"0,61310964",,,"3,61587115",,,,,
13/01/2007 4.00,"0,38982322",,,"2,85142487",,,,,
13/01/2007 5.00,"0,44694913",,,"3,73267906",,,,,
13/01/2007 6.00,"0,46561413",,,"3,37576602",,,,,
13/01/2007 7.00,"0,39874739",,,"3,88712659",,,,,
13/01/2007 8.00,"0,44983944",,,"5,83653105",,,,,
13/01/2007 9.00,"0,35293358",,,"13,26425144",,,,,
13/01/2007 10.00,"0,6910993",,,"10,05850811",,,,,
13/01/2007 11.00,"0,61958284",,,"4,80342391",,,,,
13/01/2007 12.00,"0,92318378",,,"4,46857344",,,,,
13/01/2007 13.00,"0,79780904",,,"3,86506402",,,,,
13/01/2007 14.00,"0,86090474",,,"3,5289153",,,,,
13/01/2007 15.00,"0,85116391",,,"3,58602101",,,,,
13/01/2007 16.00,"0,79259285",,,"3,35110504",,,,,
13/01/2007 17.00,"1,58920895",,,"11,83788606",,,,,
13/01/2007 18.00,"0,95749736",,,"10,14546778",,,,,
13/01/2007 19.00,"0,86976586",,,"9,05784953",,,,,
13/01/2007 20.00,"0,82382695",,,"11,39012051",,,,,
13/01/2007 21.00,"0,78523994",,,"12,72433132",,,,,
13/01/2007 22.00,"0,70995245",,,"16,27401859",,,,,
13/01/2007 23.00,"0,68129542",,,"17,13191005",,,,,
14/01/2007 0.00,"0,52443639",,,"12,20388874",,,,,
14/01/2007 1.00,,,,"10,23630882",,,,,
14/01/2007 2.00,"0,86904379",,,,,,,,
14/01/2007 3.00,"0,96418719",,,"10,52703989",,,,,
14/01/2007 4.00,"0,73358956",,,"10,07019043",,,,,
14/01/2007 5.00,"0,80930521",,,"9,26291344",,,,,
14/01/2007 6.00,"0,58174536",,,"9,19023258",,,,,
14/01/2007 7.00,"0,70410063",,,"9,94170021",,,,,
14/01/2007 8.00,"0,8132288",,,"10,98258727",,,,,
14/01/2007 9.00,"0,84293943",,,"11,49135135",,,,,
14/01/2007 10.00,"0,92644022",,,"15,100737",,,,,
14/01/2007 11.00,"1,78073954",,,"16,59847926",,,,,
14/01/2007 12.00,"2,06550666",,,"8,60099816",,,,,
14/01/2007 13.00,"1,52992395",,,"5,2550842",,,,,
14/01/2007 14.00,"2,22877279",,,"6,64380804",,,,,
14/01/2007 15.00,"2,31420282",,,"6,26093578",,,,,
14/01/2007 16.00,"2,78122041",,,"6,17527626",,,,,
14/01/2007 17.00,"1,98197537",,,"6,70870132",,,,,
14/01/2007 18.00,"1,68012265",,,"8,80087099",,,,,
14/01/2007 19.00,"1,52445046",,,"17,01120166",,,,,
14/01/2007 20.00,"1,5434348",,,"24,1027676",,,,,
14/01/2007 21.00,"1,41244113",,,"19,95087872",,,,,
14/01/2007 22.00,"1,37067599",,,"17,62639531",,,,,
14/01/2007 23.00,"1,51305904",,,"23,05409296",,,,,
15/01/2007 0.00,"1,34599645",,,"19,35255656",,,,,
15/01/2007 1.00,"1,32890983",,,"13,03192814",,,,,
15/01/2007 2.00,"1,27173511",,,"7,95465803",,,,,
15/01/2007 3.00,"1,13716669",,,"6,16229761",,,,,
15/01/2007 4.00,"0,9701041",,,"5,48740367",,,,,
15/01/2007 5.00,"0,96731955",,,"5,06299894",,,,,
15/01/2007 6.00,"1,01756545",,,"5,5990205",,,,,
15/01/2007 7.00,"0,97301475",,,"7,60033958",,,,,
15/01/2007 8.00,"0,78930896",,,"8,43616846",,,,,
15/01/2007 9.00,"0,74409415",,,"12,41024517",,,,,
15/01/2007 10.00,"1,17323764",,,"12,91512406",,,,,
15/01/2007 11.00,"1,28692299",,,"10,62696866",,,,,
15/01/2007 12.00,"1,17681341",,,"10,99297134",,,,,
15/01/2007 13.00,"1,65164563",,,"9,51340265",,,,,
15/01/2007 14.00,"1,36877725",,,"8,80476382",,,,,
15/01/2007 15.00,"1,36687851",,,"8,5166369",,,,,
15/01/2007 16.00,"1,27765202",,,"7,85212703",,,,,
15/01/2007 17.00,"1,16184724",,,"7,4277223",,,,,
15/01/2007 18.00,"1,28122779",,,"8,16102019",,,,,
15/01/2007 19.00,"1,32701211",,,"9,36025336",,,,,
15/01/2007 20.00,"1,20930758",,,"9,7054879",,,,,
15/01/2007 21.00,"1,08356774",,,"8,87095726",,,,,
15/01/2007 22.00,"1,07018402",,,"9,91833939",,,,,
15/01/2007 23.00,"1,10299549",,,"10,14936062",,,,,
16/01/2007 0.00,"1,24895431",,,"7,84044662",,,,,
16/01/2007 1.00,,,,"7,6094254",,,,,
16/01/2007 2.00,"0,59420361",,,,,,,,
16/01/2007 3.00,"0,52457572",,,,,,,,
16/01/2007 4.00,"0,57611626",,,,,,,,
16/01/2007 5.00,"0,42560535",,,,,,,,
16/01/2007 6.00,"0,37235726",,,,,,,,
16/01/2007 7.00,"0,66389353",,,,,,,,
16/01/2007 8.00,"0,47885343",,,,,,,,
16/01/2007 9.00,"0,64384643",,,,,,,,
16/01/2007 10.00,"0,7690615",,,"18,16242069",,,,,
16/01/2007 11.00,"0,93816623",,,"17,17733917",,,,,
16/01/2007 12.00,"1,12295309",,,"21,90677824",,,,,
16/01/2007 13.00,"0,94252916",,,"12,70097624",,,,,
16/01/2007 14.00,"1,05288281",,,"7,94168129",,,,,
16/01/2007 15.00,"1,09601276",,,"7,78982834",,,,,
16/01/2007 16.00,"1,00855178",,,"6,61265965",,,,,
16/01/2007 17.00,"1,02625877",,,"6,8501702",,,,,
16/01/2007 18.00,"0,80074512",,,"8,28691392",,,,,
16/01/2007 19.00,"0,86341571",,,"14,86971578",,,,,
16/01/2007 20.00,"0,84254687",,,"15,9365678",,,,,
16/01/2007 21.00,"0,87884665",,,"19,10207309",,,,,
16/01/2007 22.00,"0,93291647",,,"16,65818719",,,,,
16/01/2007 23.00,"0,92836337",,,"11,44073689",,,,,
17/01/2007 0.00,"1,00241724",,,"6,03770213",,,,,
17/01/2007 1.00,"0,86088643",,,"5,62497781",,,,,
17/01/2007 2.00,"0,71954479",,,"4,46597886",,,,,
17/01/2007 3.00,"0,84760645",,,"4,05455278",,,,,
17/01/2007 4.00,"0,89200053",,,"5,57176494",,,,,
17/01/2007 5.00,"0,66123815",,,"4,8683191",,,,,
17/01/2007 6.00,"0,79796261",,,"9,90665707",,,,,
17/01/2007 7.00,"0,87517833",,,"8,1272753",,,,,
17/01/2007 8.00,"0,77253964",,,"8,81774439",,,,,
17/01/2007 9.00,"0,80763835",,,"17,18771368",,,,,
17/01/2007 10.00,"0,70240732",,,"17,4213314",,,,,
17/01/2007 11.00,"0,87562175",,,"8,85668036",,,,,
17/01/2007 12.00,"0,98395157",,,"4,88269734",,,,,
17/01/2007 13.00,"0,86619822",,,,,,,,
17/01/2007 14.00,"0,72454131",,,"5,73140355",,,,,
17/01/2007 15.00,"0,56675681",,,"4,93840346",,,,,
17/01/2007 16.00,"0,56017987",,,"5,69246758",,,,,
17/01/2007 17.00,"0,6244319",,,"8,14155221",,,,,
17/01/2007 18.00,"0,74496776",,,"9,61333906",,,,,
17/01/2007 19.00,"0,90079046",,,"11,4005065",,,,,
17/01/2007 20.00,"0,972252",,,"13,34082513",,,,,
17/01/2007 21.00,"0,55385617",,,"13,01765698",,,,,
17/01/2007 22.00,"0,71341025",,,"16,18575685",,,,,
17/01/2007 23.00,"0,88118677",,,"18,7075185",,,,,
18/01/2007 0.00,"0,82793868",,,"12,12860757",,,,,
18/01/2007 1.00,,,,"12,29084842",,,,,
18/01/2007 2.00,"0,64849107",,,,,,,,
18/01/2007 3.00,"0,50862001",,,"11,58739302",,,,,
18/01/2007 4.00,"0,56795992",,,"10,33495654",,,,,
18/01/2007 5.00,"0,59244827",,,"6,84497721",,,,,
18/01/2007 6.00,"0,59715799",,,"5,87027594",,,,,
18/01/2007 7.00,"0,57549488",,,"7,91312748",,,,,
18/01/2007 8.00,"0,56466281",,,"13,4407539",,,,,
18/01/2007 9.00,"0,70076588",,,"16,61535457",,,,,
18/01/2007 10.00,"0,74880185",,,"17,20069425",,,,,
18/01/2007 11.00,"0,79683882",,,"8,66329686",,,,,
18/01/2007 12.00,"0,66261923",,,"5,15904253",,,,,
18/01/2007 13.00,"0,68663772",,,"4,15059446",,,,,
18/01/2007 14.00,"0,66638722",,,"4,25053087",,,,,
18/01/2007 15.00,"0,47659569",,,"3,92216973",,,,,
18/01/2007 16.00,"0,53499285",,,"4,13242472",,,,,
18/01/2007 17.00,"0,63200753",,,"4,53606322",,,,,
18/01/2007 18.00,"0,59621625",,,"6,193446",,,,,
18/01/2007 19.00,"0,63295029",,,"13,76912269",,,,,
18/01/2007 20.00,"0,79259997",,,"14,61533756",,,,,
18/01/2007 21.00,"0,79354171",,,"16,7931591",,,,,
18/01/2007 22.00,"0,64707845",,,"13,92616481",,,,,
18/01/2007 23.00,"0,74550575",,,"9,44591287",,,,,
19/01/2007 0.00,"0,67298043",,,"7,38878634",,,,,
19/01/2007 1.00,"0,76858148",,,"6,09740433",,,,,
