,Comune Lecce,,,,,,
,Via Garilliano,,,,,,
Parm,NOX,NO2,CO,Benzene,SO2,PM10,PM2.5



07/01/2010 20.00,"66,33376168","50,67538032","0,48308822","1,46337656","1,7168455","20,4573307","9,65011597"
07/01/2010 21.00,"46,48615008","36,4825852","0,35214688","1,38535638","1,90665228","20,4573307","9,65011597"
07/01/2010 22.00,"26,95501272","20,45069464","0,21560422","0,94602459","1,65148088","20,4573307","9,65011597"
07/01/2010 23.00,"19,91632888","13,82575039","0,20495263","0,62031712","1,81120378","20,4573307","9,65011597"
08/01/2010 0.00,"13,96971443","8,32138919","0,14908855","0,5007586","1,65002962","20,4573307","9,65011597"
08/01/2010 1.00,"12,43928462","6,86748145","0,14328918","0,3857064","1,84382507","30,52815056","4,34920597"
08/01/2010 2.00,,,"0,12869173","0,35735549","1,50637633","30,52815056","4,34920597"
08/01/2010 3.00,"15,34450744","10,19292362","0,11800052","0,31296039",,"30,52815056","4,34920597"
08/01/2010 4.00,"11,5275111","6,39149096",,"0,38350867","3,3325951","30,52815056","4,34920597"
08/01/2010 5.00,"10,84011459","5,61589963","0,13084465","0,32933409","3,56079566","30,52815056","4,34920597"
08/01/2010 6.00,"11,57160755","5,84287124","0,14217777","0,29340043","3,62089629","30,52815056","4,34920597"
08/01/2010 7.00,"17,50137728","9,93741924","0,17031368","0,32823472","3,82901619","30,52815056","4,34920597"
08/01/2010 8.00,"25,55040016","15,62335734","0,22186493","0,41746426","3,99001034","30,52815056","4,34920597"
08/01/2010 9.00,"23,86302192","15,1940579","0,2202118","0,53669226","3,32504896","30,52815056","4,34920597"
08/01/2010 10.00,"23,51025792","14,99821365","0,22119622","0,55548337","3,77046546","30,52815056","4,34920597"
08/01/2010 11.00,"24,16133216","15,21610708","0,22497315","0,62910806","3,58886079","30,52815056","4,34920597"
08/01/2010 12.00,"24,38960584","15,43788952","0,22780643","0,63141564","3,52317174","30,52815056","4,34920597"
08/01/2010 13.00,"23,80724888","14,30044263","0,23992709","0,61020712","3,62884415","30,52815056","4,34920597"
08/01/2010 14.00,"21,1134512","12,5975141","0,20561202","0,62042695","4,13932933","30,52815056","4,34920597"
08/01/2010 15.00,"16,20310442","9,66764942","0,19376746","0,4790009","3,74656088","30,52815056","4,34920597"
08/01/2010 16.00,"19,81906544","12,34330796","0,23331572","0,507902","3,86366131","30,52815056","4,34920597"
08/01/2010 17.00,"20,70229472","13,51966405","0,23304078","0,62855888","3,48479932","30,52815056","4,34920597"
08/01/2010 18.00,"22,010944","14,42365574","0,23366988","0,62877856","4,0303049","30,52815056","4,34920597"
08/01/2010 19.00,"23,07835624","15,31337817","0,23154492","0,62998777","3,37918895","30,52815056","4,34920597"
08/01/2010 20.00,"22,18604496","14,85165694","0,24154062","0,63020744","3,62493276","30,52815056","4,34920597"
08/01/2010 21.00,"19,27173632","12,75055822","0,23008983","0,63042711","3,33110417","30,52815056","4,34920597"
08/01/2010 22.00,"14,31600631","8,73771763","0,20514019","0,57921913","3,63573737","30,52815056","4,34920597"
08/01/2010 23.00,"12,5067266","6,86229228","0,18943949","0,50064876","3,36223963","30,52815056","4,34920597"
09/01/2010 0.00,"11,04633335","5,73392548","0,18259162","0,471529","2,59688306","30,52815056","4,34920597"
09/01/2010 1.00,"10,0917597","4,68596975","0,17058979","0,47174867","2,47618346","52,64915085","12,02902985"
09/01/2010 2.00,"8,78051775","3,71712876","0,16425335","0,42021118","3,6505754","52,64915085","12,02902985"
09/01/2010 3.00,"8,3538148","3,13608534","0,15524208","0,38867299","4,30814828","52,64915085","12,02902985"
09/01/2010 4.00,"8,37975299","3,3098785","0,14843498","0,38889368","3,53676903","52,64915085","12,02902985"
09/01/2010 5.00,"9,31487204","4,31762869","0,14485377","0,31032331","3,3605748","52,64915085","12,02902985"
09/01/2010 6.00,"11,69741524","6,51729674","0,15882329","0,31867492","3,354664","52,64915085","12,02902985"
09/01/2010 7.00,"20,02139328","12,41723544","0,19105185","0,32647734","3,55583066","52,64915085","12,02902985"
09/01/2010 8.00,"29,83949416","19,314546","0,2459082","0,39537706","3,7829471","52,64915085","12,02902985"
09/01/2010 9.00,"27,72023336","17,54158282","0,23280428","0,60559197","3,69285616","52,64915085","12,02902985"
09/01/2010 10.00,"23,78520352","14,47164311","0,20655683","0,57932897","3,69527865","52,64915085","12,02902985"
09/01/2010 11.00,"24,36884152","14,1435095","0,2264294","0,57856011","3,82715304","52,64915085","12,02902985"
09/01/2010 12.00,"25,8305464","14,78940222","0,25417271","0,56020835","3,87346926","52,64915085","12,02902985"
09/01/2010 13.00,"25,6749096","14,36140102","0,32390379","0,5460334","3,65715743","52,64915085","12,02902985"
09/01/2010 14.00,"22,06541688","12,64550338","0,30902907","0,57592202","3,62276045","52,64915085","12,02902985"
09/01/2010 15.00,"18,33143958","11,03076967","0,32406106","0,46889192","3,34920067","52,64915085","12,02902985"
09/01/2010 16.00,"29,74869328","21,05247752","0,40067845","0,50878069","3,39731799","52,64915085","12,02902985"
09/01/2010 17.00,"36,1778124","27,14955872","0,46159514","0,8932789","3,40048595","52,64915085","12,02902985"
09/01/2010 18.00,"56,70760648","44,61980864","0,54769679","1,32151217","4,27915259","52,64915085","12,02902985"
09/01/2010 19.00,"62,10820344","50,31483448","0,58803259","1,47139865","3,71818963","52,64915085","12,02902985"
09/01/2010 20.00,"77,99097712","62,87862472","0,63970034","1,54271578","3,80455327","52,64915085","12,02902985"
