,Regione Puglia,,
,Enaip,,
Parm,SO2,NO2,CO
,,,,
,,,,
,,,,
,,,,
,,,,
12/01/2008 19.00,"5,01508093","10,68194695","1,1941002"
12/01/2008 20.00,"5,14649582","12,00474139","1,21904485"
12/01/2008 21.00,"2,44716001","9,0501644","1,2619019"
12/01/2008 22.00,"3,36173797","7,7899339","1,26279545"
12/01/2008 23.00,"4,24612617","6,80294687","1,31757915"
13/01/2008 0.00,"3,12909794","5,38311164","1,3270977"
13/01/2008 1.00,"1,99253595","3,85857806","1,28156115"
13/01/2008 2.00,"6,71992397","3,35678369","1,3075937"
13/01/2008 3.00,"6,94013309","3,87390069","9,5183453"
13/01/2008 4.00,"5,82133007","5,02176965","0,95037035"
13/01/2008 5.00,"7,3769989","5,3167161","0,8381982"
13/01/2008 6.00,"8,32709408","7,46562128","0,81418735"
13/01/2008 7.00,"7,53860378","11,07904109","0,82887285"
13/01/2008 8.00,"6,73945904","6,74166012","0,78644475"
13/01/2008 9.00,"7,95948696","10,39721998","0,8019088"
13/01/2008 10.00,"9,52472878","9,83721242","0,75145025"
13/01/2008 11.00,"5,69701815","5,76105344","0,77008715"
13/01/2008 12.00,"3,5517571","4,64638037","0,7567598"
13/01/2008 13.00,"3,05095911","3,1767513","0,7429667"
13/01/2008 14.00,"2,17722702","4,34632701","0,74976665"
13/01/2008 15.00,"1,31770205","4,8493967","0,70842645"
13/01/2008 16.00,"3,82346606","8,8177819","0,705939"
13/01/2008 17.00,"2,74018002","12,48100118","0,7027535"
13/01/2008 18.00,"4,81618309","16,40725763","0,74817275"
13/01/2008 19.00,"2,89112997","15,4726113","1,61865835"
13/01/2008 20.00,"1,70661902","30,6783576","0,86263685"
13/01/2008 21.00,"4,57999086","40,16775807","0,8011314"
13/01/2008 22.00,"5,81777811","54,46824867","1,31618075"
13/01/2008 23.00,"6,860219","54,57038697","1,3017655"
14/01/2008 0.00,"6,00957298","38,10695328","0,8522627"
14/01/2008 1.00,"6,36829996","34,33265154","0,71701235"
14/01/2008 2.00,"4,00993299","24,09248754","0,71980915"
14/01/2008 3.00,"4,75047493","15,70499004","0,6052289"
14/01/2008 4.00,"6,59738922","12,27542857","0,6015765"
14/01/2008 5.00,"5,69346714","13,5675834","0,60864785"
14/01/2008 6.00,"6,05574608","13,69782196","0,6162252"
14/01/2008 7.00,"4,61728382","27,10963035","0,6161861"
14/01/2008 8.00,"4,22836685","48,45948822","0,7047338"
14/01/2008 9.00,"6,01312399","45,58789719","0,77886855"
14/01/2008 10.00,"7,59720802","42,60905154","0,79833345"
14/01/2008 11.00,"7,52262115","32,92047198","0,7662404"
14/01/2008 12.00,"8,1210928","31,141836","0,8065318"
14/01/2008 13.00,"6,41447306","18,06840446","1,13923945"
14/01/2008 14.00,,"0,40347826",0
14/01/2008 15.00,"4,88188982","0,36261918",0
14/01/2008 16.00,,,
14/01/2008 17.00,,,
14/01/2008 18.00,"5,33473921",,
14/01/2008 19.00,"4,05433083",,
14/01/2008 20.00,"5,19977188",,
14/01/2008 21.00,"4,9919939",,
14/01/2008 22.00,"5,42886114",,
14/01/2008 23.00,"5,83376122",,
15/01/2008 0.00,"4,07564116",,
15/01/2008 1.00,"2,35481501",,
15/01/2008 2.00,"1,91617298",,
15/01/2008 3.00,"2,7579391",,
15/01/2008 4.00,"3,34397888",,
15/01/2008 5.00,"3,471843",,
15/01/2008 6.00,"3,34042692",,
15/01/2008 7.00,"4,03657198",,
15/01/2008 8.00,"3,17704701",,
15/01/2008 9.00,"3,59792995",,
15/01/2008 10.00,"3,44875598",,
15/01/2008 11.00,"3,05095911",,"0,0766199"
15/01/2008 12.00,"2,51464391",,0
15/01/2008 13.00,"1,75634396",,"0,34599475"
15/01/2008 14.00,"1,39051294",,"0,9401503"
15/01/2008 15.00,"3,15040898",,"1,0369757"
15/01/2008 16.00,"1,11525202",,"1,09883075"
15/01/2008 17.00,"1,37452996",,"1,074353"
15/01/2008 18.00,"1,90906894",,"1,23765645"
15/01/2008 19.00,"1,58408403",,"1,3562778"
15/01/2008 20.00,"1,99075997",,"1,3124122"
15/01/2008 21.00,"3,22321892",,"1,19888075"
15/01/2008 22.00,"2,32284904",,"1,1975203"
15/01/2008 23.00,"3,34397888",,"1,03274025"
16/01/2008 0.00,"2,57857609",,"1,02434755"
16/01/2008 1.00,,,"0,98090975"
16/01/2008 2.00,"2,47024703",,"0,9502151"
16/01/2008 3.00,"1,91972494",,
16/01/2008 4.00,"1,16675198",,"0,99497425"
16/01/2008 5.00,"1,39051294",,"0,9921763"
16/01/2008 6.00,"1,01225102",,"1,03499425"
16/01/2008 7.00,"0,88971502",,"1,00499765"
16/01/2008 8.00,"1,03888905",,"1,06331875"
16/01/2008 9.00,"0,82400799",,"1,08981705"
16/01/2008 10.00,"1,71372294",,"1,094363"
16/01/2008 11.00,"2,42407393","12,81936487","1,15116725"
16/01/2008 12.00,"1,57864702","13,4871462","1,2742184"
16/01/2008 13.00,"0,896819","9,83286167","1,2091376"
16/01/2008 14.00,"1,07085502","7,79887429","1,19402315"
16/01/2008 15.00,"1,59651506","8,58539939","1,13527655"
16/01/2008 16.00,"0,91990501","10,28613376","1,16604825"
16/01/2008 17.00,"0,59847099","22,74031188","1,1706333"
16/01/2008 18.00,"2,82476091","46,77023736","1,37383945"
16/01/2008 19.00,"3,23209906","33,18860853","1,5052833"
16/01/2008 20.00,"2,55726504","23,82179283","1,44296135"
16/01/2008 21.00,"3,52334309","17,55767158","1,4232239"
16/01/2008 22.00,"7,05556488","10,12141835","1,3848737"
16/01/2008 23.00,"9,58974361","8,78969292","1,3071659"
17/01/2008 0.00,"5,6686039","6,16070199","1,2781813"
17/01/2008 1.00,"4,74337101","5,73423979","1,23987135"
17/01/2008 2.00,"2,20386505","4,38718421","1,2174521"
17/01/2008 3.00,"3,69560289","4,49188631","1,1531878"
17/01/2008 4.00,"2,99768305","9,56855859","1,336967"
17/01/2008 5.00,"5,75739813","12,13242931","1,3388714"
17/01/2008 6.00,"2,58567905","8,53177397","1,2219992"
17/01/2008 7.00,"0,54164302","16,74944162","1,27728775"
17/01/2008 8.00,"1,05131996","21,78269478","1,2992792"
17/01/2008 9.00,"1,53968704","28,23578505","1,3145098"
17/01/2008 10.00,"8,59170055","32,0215797","1,38670105"
17/01/2008 11.00,"5,52653408","33,40951317","1,5757254"
17/01/2008 12.00,"6,8087182","20,66547483","2,00393595"
17/01/2008 13.00,"6,45886993","14,78440418","1,2192783"
17/01/2008 14.00,"7,09108305","16,56430608","1,2352081"
17/01/2008 15.00,"5,92610598","18,40931879","1,1982195"
17/01/2008 16.00,"2,741956","13,54971014","1,15808335"
17/01/2008 17.00,"2,77569795","15,65392465","1,144756"
17/01/2008 18.00,"3,19835711","24,80623299","1,2891776"
17/01/2008 19.00,"3,15751195","17,5602335","1,2421633"
17/01/2008 20.00,"6,59383678","22,85650125","1,35204235"
17/01/2008 21.00,"5,92788315","21,74437881","1,30891505"
17/01/2008 22.00,"3,36706591","22,71478671","1,3395706"
17/01/2008 23.00,"1,11170006","19,8419166","1,3047187"
18/01/2008 0.00,"1,69773996","24,582789","1,45034435"
18/01/2008 1.00,,"16,62686626","1,36447615"
18/01/2008 2.00,"5,73608685",,"1,3077501"
18/01/2008 3.00,"6,02377987","6,77868761",
18/01/2008 4.00,"6,6755271","5,61549602","1,31552065"
18/01/2008 5.00,"7,68600178","7,71332641","1,27697725"
18/01/2008 6.00,"8,75330544","9,69879527","1,28381515"
18/01/2008 7.00,"6,52102613","14,0170239","1,3090312"
18/01/2008 8.00,"7,242033","24,20483967","1,30817675"
18/01/2008 9.00,"7,99855709","42,07405752","1,5131309"
18/01/2008 10.00,"9,25232697","41,95277064","1,50652645"
18/01/2008 11.00,"8,93266869","36,85565565","1,4194542"
18/01/2008 12.00,"6,46952486","22,11976998","1,3545298"
18/01/2008 13.00,"3,23565102","21,92952564","1,2894099"
18/01/2008 14.00,"3,79150105","22,22830368","1,20719525"
18/01/2008 15.00,"8,27204227","19,80871695","1,32204805"
18/01/2008 16.00,"9,0303421","23,81795559","1,3170743"
18/01/2008 17.00,"6,22800589","40,12946091","1,29069215"
18/01/2008 18.00,"3,97086406","29,71562418","1,47998905"
18/01/2008 19.00,"4,20350504","26,2630863","1,44649645"
18/01/2008 20.00,"1,72792995","35,67459456","1,5353167"
18/01/2008 21.00,"0,62510902","38,77602498","1,4685661"
18/01/2008 22.00,"0,51322901","18,05563624","1,41673445"
18/01/2008 23.00,"1,52370405","23,51917755","1,49696765"
19/01/2008 0.00,"0,149174","18,43102553","1,4442827"
19/01/2008 1.00,"3,75953507","14,35155411","1,3968797"
19/01/2008 2.00,"4,26743603","11,56678816","1,37399585"
19/01/2008 3.00,"2,329952","16,07782681","1,4155695"
19/01/2008 4.00,"1,95701802","10,31677337","1,3743443"
19/01/2008 5.00,"5,31520414","6,97021103","1,26823495"
19/01/2008 6.00,"1,32835698","7,82568607","1,28711795"
19/01/2008 7.00,"2,15236497","15,3244976","1,31754005"
19/01/2008 8.00,"6,72702789","13,46799386","1,38708975"
19/01/2008 9.00,"7,22604895","15,21085886","1,5332582"
19/01/2008 10.00,"4,95825291","14,513717","1,5550162"
19/01/2008 11.00,"3,58372307","11,81066733","1,458775"
19/01/2008 12.00,"2,10468411","11,9268567","1,4508883"
19/01/2008 13.00,"2,82009506","12,37119593","1,3222424"
19/01/2008 14.00,"5,23884201","7,73247875","1,2520717"
19/01/2008 15.00,"3,42211795","7,40305546","1,1720317"
19/01/2008 16.00,"2,59633398","6,402023","1,10862185"
19/01/2008 17.00,"6,39138699","5,65890762","1,0729937"
19/01/2008 18.00,"4,49652386","10,62066397","1,22638875"
19/01/2008 19.00,"5,25837612","20,74718547","1,50512805"
19/01/2008 20.00,"2,44716001","24,72450354","2,2452186"
19/01/2008 21.00,"1,82560301","19,673379","1,5954249"
19/01/2008 22.00,"3,10245991","12,34565759","1,4042236"
19/01/2008 23.00,"2,27489996","12,63166552","1,49712405"
20/01/2008 0.00,"4,03657198","12,01240646","1,38452525"
20/01/2008 1.00,,"8,01210257","1,21881255"
20/01/2008 2.00,"3,80037999",,"1,109244"
20/01/2008 3.00,"2,16124392",,
20/01/2008 4.00,"0,26815799",,"1,0579954"
20/01/2008 5.00,"2,04403591",,"0,983319"
20/01/2008 6.00,"0,72633398",,"0,9646683"
20/01/2008 7.00,"0,37293401",,"1,04284185"
20/01/2008 8.00,"2,63540411",,"1,19728685"
20/01/2008 9.00,"1,80784404","15,2606621","1,10477625"
20/01/2008 10.00,"2,06001902","13,34541849","1,24635965"
20/01/2008 11.00,"2,2216239","7,84483841","1,1049315"
20/01/2008 12.00,"0,85597301","9,03867525","1,2650483"
20/01/2008 13.00,"3,84655309","5,93725612","1,13201285"
20/01/2008 14.00,"3,90693307","5,04858331","1,15369265"
20/01/2008 15.00,"5,11453009","4,07563982","1,1540043"
20/01/2008 16.00,"0,65885103","4,50592986","1,0895445"
20/01/2008 17.00,"1,85224104","4,62084579","1,1376076"
20/01/2008 18.00,"4,49297285","5,61421882","1,16461075"
20/01/2008 19.00,"4,30117798","21,51839547","1,15800515"
20/01/2008 20.00,"1,21114898","15,39344565","1,1266895"
20/01/2008 21.00,"1,79541302","27,0764307","1,4554331"
20/01/2008 22.00,"5,72365618","23,600907","1,45830925"
