TARANTO - TALSANO,,,,
,,,,,,,
,SO2,NO2,PM10,O3
17/01/2011 14.00,"2,513433","15,004695","51,900002","51,997979"
17/01/2011 15.00,"2,603715","19,66274","51,900002","48,751317"
17/01/2011 16.00,"2,768027","20,688719","51,900002","50,078329"
17/01/2011 17.00,"1,795696","28,921771","51,900002","39,124444"
17/01/2011 18.00,"0,696069","49,042032","51,900002","18,095652"
17/01/2011 19.00,"0,650026","46,539742","51,900002","21,345881"
17/01/2011 20.00,"0,50377","42,030273","51,900002","16,525291"
17/01/2011 21.00,"0,594051","51,311368","51,900002","11,268808"
17/01/2011 22.00,"0,390919","39,165234","51,900002","2,784635"
17/01/2011 23.00,"0,018056","24,17026","51,900002","5,994225"
18/01/2011 0.00,"0,103823","31,387735","51,900002","0,75952"
18/01/2011 1.00,,"23,673809","57,400002","5,451886"
18/01/2011 2.00,"0,047849",,"57,400002","9,092921"
18/01/2011 3.00,,"21,728311","57,400002",
18/01/2011 4.00,,"21,013836","57,400002","8,324072"
18/01/2011 5.00,,"20,054049","57,400002","7,665756"
18/01/2011 6.00,,"16,737355","57,400002","3,795545"
18/01/2011 7.00,,"16,102694","57,400002","1,134477"
18/01/2011 8.00,,"16,819767","57,400002","1,362098"
18/01/2011 9.00,"0,083961","18,488183","57,400002","2,554294"
18/01/2011 10.00,"0,448698","22,60567","57,400002","5,339037"
18/01/2011 11.00,"0,627455","32,770609","57,400002","10,623511"
18/01/2011 12.00,"0,069517","23,028127","57,400002","36,022138"
18/01/2011 13.00,"0,016251","17,035868","57,400002","50,21076"
18/01/2011 14.00,"0,331332","16,487515","57,400002","60,208264"
18/01/2011 15.00,"0,072225","11,589999","57,400002","71,01699"
18/01/2011 16.00,"0,223898","12,412197","57,400002","74,543338"
18/01/2011 17.00,,"14,357052","57,400002","67,856796"
18/01/2011 18.00,,"16,430409","57,400002","56,816165"
18/01/2011 19.00,,"18,352551","57,400002","49,14108"
18/01/2011 20.00,,"18,83731","57,400002","46,616226"
18/01/2011 21.00,,"17,760723","57,400002","43,224127"
18/01/2011 22.00,,"20,807474","57,400002","38,077507"
18/01/2011 23.00,,"19,874952","57,400002","30,447629"
19/01/2011 0.00,,"18,290912","57,400002","18,468019"
19/01/2011 1.00,,"15,044283","53,799992","21,651915"
