,bari,,,
,ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
13/01/2010 1.00,"2,28828865","5,97021235","43,80579105","47,5"
13/01/2010 2.00,"2,30273717","5,49519125","41,81506035","47,5"
13/01/2010 3.00,"2,86623042","4,59576542","41,46003015","47,5"
13/01/2010 4.00,"2,44902855","4,21678598","40,9492503","47,5"
13/01/2010 5.00,"2,3515013","6,59967908","38,78912415","47,5"
13/01/2010 6.00,"2,76689698","8,82423372","33,07608255","47,5"
13/01/2010 7.00,"2,90415842","15,99107892","25,25396685","47,5"
13/01/2010 8.00,"3,24369913","31,431846","11,93559623","47,5"
13/01/2010 9.00,"4,9341789","43,6746688","9,69821769","47,5"
13/01/2010 10.00,"4,8258145","42,16005888","14,4071738","47,5"
13/01/2010 11.00,"5,92751636","43,22303528","14,05462937","47,5"
13/01/2010 12.00,"5,21592553","35,6265828","22,09971225","47,5"
13/01/2010 13.00,"5,20508939","42,90765088","21,75214335","47,5"
13/01/2010 14.00,"5,32067755","38,176904","21,72225825","47,5"
13/01/2010 15.00,"5,21592553","39,2606256","21,7484127","47,5"
13/01/2010 16.00,"5,51031449","51,2737216","10,69357506","47,5"
13/01/2010 17.00,"5,60423037","51,62155264","3,93908361","47,5"
13/01/2010 18.00,"5,27913818","54,15240968","2,28845453","47,5"
13/01/2010 19.00,"4,8438754","31,91986488","20,4964305","47,5"
13/01/2010 20.00,"4,75899048","24,8957696","26,3664387","47,5"
13/01/2010 21.00,"4,10880509","22,26369128","22,825992","47,5"
13/01/2010 22.00,"5,17257997","50,25229296","3,87679572","47,5"
13/01/2010 23.00,"4,71925629","45,7045436","0,88075061","47,5"
14/01/2010 0.00,"3,92278054","29,98602984","7,08711182","47,5"
14/01/2010 1.00,,"18,30518208","23,488731","37,5"
14/01/2010 2.00,"3,88485356",,"26,32157115","37,5"
14/01/2010 3.00,"3,90110725","11,53548796",,"37,5"
14/01/2010 4.00,"3,89568969","12,20258667","19,85155673","37,5"
14/01/2010 5.00,"3,88665873","10,62827073","22,8983307","37,5"
14/01/2010 6.00,"3,86859884","8,38425384","34,1439861","37,5"
14/01/2010 7.00,"3,86679265","14,78146359","27,6420816","37,5"
14/01/2010 8.00,"3,88665873","18,86716477","22,6560978","37,5"
14/01/2010 9.00,"3,88304736","19,8535388","21,0065919","37,5"
14/01/2010 10.00,"4,01669642","21,65628712","24,73766085","37,5"
14/01/2010 11.00,"4,11061128","27,7614752","24,51039045","37,5"
14/01/2010 12.00,"4,26593363","24,12613224","29,6387175","37,5"
14/01/2010 13.00,"4,37429803","25,95094504","30,75130905","37,5"
14/01/2010 14.00,"3,88304736","19,83535568","41,201538","37,5"
14/01/2010 15.00,"4,63256518","19,11505366","48,0717993","37,5"
14/01/2010 16.00,"3,946259","34,99061336","32,1947913","37,5"
14/01/2010 17.00,"3,94264763","50,07189576","15,5823086","37,5"
14/01/2010 18.00,"5,12562203","61,88122992","2,79580098","37,5"
14/01/2010 19.00,"5,01184007","38,65322144","1,31773541","37,5"
14/01/2010 20.00,"4,22981182","36,11198224","1,52564034","37,5"
14/01/2010 21.00,"3,88846492","33,80955184","4,92630537","37,5"
14/01/2010 22.00,"3,89027111","30,15734504","9,62235383","37,5"
14/01/2010 23.00,"3,90833202","27,55769424","6,44944797","37,5"
15/01/2010 0.00,"4,06184817","22,12352256","9,89756208","37,5"
15/01/2010 1.00,"3,8938835","16,64520854","12,37319748","45,59999084"
15/01/2010 2.00,"4,03475732","19,05016802","3,68586225","45,59999084"
15/01/2010 3.00,"3,86318027","13,78599609","5,72021762","45,59999084"
15/01/2010 4.00,"3,78010154","12,72043466","4,29996515","45,59999084"
15/01/2010 5.00,"3,60671829","13,51084782","6,55059048","45,59999084"
15/01/2010 6.00,"4,17563013","20,2883276","9,129122","45,59999084"
15/01/2010 7.00,"4,04198107","22,61152232","8,64063627","45,59999084"
15/01/2010 8.00,"6,817908","43,38654952","5,11772762","45,59999084"
15/01/2010 9.00,"7,05269669","40,61950312","2,63334813","45,59999084"
15/01/2010 10.00,"6,36458533","45,00630032","2,98335293","45,59999084"
15/01/2010 11.00,"7,15203114","50,45217344","4,2455216","45,59999084"
15/01/2010 12.00,"5,23940501","32,82317016","13,58816844","45,59999084"
15/01/2010 13.00,"4,93237271","35,45006696","19,08111965","45,59999084"
15/01/2010 14.00,"4,4664067","24,4765636","28,6048287","45,59999084"
15/01/2010 15.00,"4,25870886","29,68232776","28,95820305","45,59999084"
15/01/2010 16.00,"4,09977515","36,43254816","29,045604","45,59999084"
15/01/2010 17.00,"4,11061128","42,80120984","25,61047335","45,59999084"
15/01/2010 18.00,"4,1810487","60,0330716","7,24111385","45,59999084"
15/01/2010 19.00,"3,89568969","49,98881936","16,85597445","45,59999084"
15/01/2010 20.00,"3,8938835","38,47280512","26,3983986","45,59999084"
15/01/2010 21.00,"3,89568969","39,35016456","7,20252855","45,59999084"
15/01/2010 22.00,"3,8938835","31,13074424","27,80066415","45,59999084"
15/01/2010 23.00,"3,8938835","16,14163171","26,4108873","45,59999084"
16/01/2010 0.00,"3,68076708","11,24086979","33,7081983","45,59999084"
16/01/2010 1.00,,"9,73404171","39,00885345","50,29999161"
16/01/2010 2.00,"3,69160322",,"35,84594055","50,29999161"
16/01/2010 3.00,"3,86318027","10,63606213",,"50,29999161"
16/01/2010 4.00,"3,74939831","10,7814181","31,2973206","50,29999161"
16/01/2010 5.00,"3,64645248","7,7145529","31,719702","50,29999161"
