,Provincia di BARI,,
,VERDI,,
Parm,SO2,NO2,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
13/01/2005 23.00,"0,54537845","62,05514544",
14/01/2005 0.00,"0,15804282","54,24454896",
14/01/2005 1.00,,"37,5461352",
14/01/2005 2.00,"0,06201564",,
14/01/2005 3.00,"0,06441373","16,54656272",
14/01/2005 4.00,"0,02672473","18,89312399",
14/01/2005 5.00,"0,056533","16,12865306",
14/01/2005 6.00,"0,03654691","21,96777104",
14/01/2005 7.00,"0,01713137","26,37923304",
14/01/2005 8.00,"0,03369118","41,50334424",
14/01/2005 9.00,"0,069096","59,08171776",
14/01/2005 10.00,"0,22133683","62,56520968",
14/01/2005 11.00,"0,48618804","67,59705832",
14/01/2005 12.00,"1,45582228","70,27716608",
14/01/2005 13.00,"3,3440394","55,52165024",
14/01/2005 14.00,"2,47534851","47,93886856",
14/01/2005 15.00,,,
14/01/2005 16.00,,"23,68876224",
14/01/2005 17.00,,"26,1326424",
14/01/2005 18.00,,"36,65059264",
14/01/2005 19.00,,"35,4915956",
14/01/2005 20.00,,"35,8316448",
14/01/2005 21.00,,"35,87835496",
14/01/2005 22.00,,"73,22852928",
14/01/2005 23.00,,"65,54901952",
15/01/2005 0.00,,"47,04135664",
15/01/2005 1.00,,,
15/01/2005 2.00,,,
15/01/2005 3.00,,,
15/01/2005 4.00,,,
15/01/2005 5.00,,,
15/01/2005 6.00,,"11,47708018",
15/01/2005 7.00,,,
15/01/2005 8.00,,,
15/01/2005 9.00,,"17,43301754",
15/01/2005 10.00,,"17,2136729",
15/01/2005 11.00,,"21,11117592",
15/01/2005 12.00,,"23,08263912",
15/01/2005 13.00,,"27,2501108",
15/01/2005 14.00,,"43,33983936",
15/01/2005 15.00,,"30,13788088",
15/01/2005 16.00,,"26,1508064",
15/01/2005 17.00,,"25,38376936",
15/01/2005 18.00,,"28,30918672",
15/01/2005 19.00,,"33,05939776",
15/01/2005 20.00,,"25,55250336",
15/01/2005 21.00,,"28,9308544",
15/01/2005 22.00,,"28,10670592",
15/01/2005 23.00,,,
16/01/2005 0.00,,,
16/01/2005 1.00,,"8,52961555",
16/01/2005 2.00,"1,14535862",,
16/01/2005 3.00,"0,00868823","6,53089297",
16/01/2005 4.00,"0,0783151","5,45495703",
16/01/2005 5.00,"0,09580954","10,31677916",
16/01/2005 6.00,"0,01390137","4,95268037",
16/01/2005 7.00,"0,94372515","4,31282957",
16/01/2005 8.00,"1,14091128","5,10453141",
16/01/2005 9.00,"0,0069512","6,44912629",
16/01/2005 10.00,"0,00868823","7,39008458",
16/01/2005 11.00,"0,03828903","9,52119022",
16/01/2005 12.00,"47,13560073","13,21121638",
16/01/2005 13.00,0,"18,16242069",
16/01/2005 14.00,"0,0069512","22,92040592",
16/01/2005 15.00,"0,08688536","13,22531547",
16/01/2005 16.00,"0,17377174","10,14157304",
16/01/2005 17.00,"0,16508249","12,49979751",
16/01/2005 18.00,"0,13727975","16,82431514",
16/01/2005 19.00,"0,1911482","22,27147312",
16/01/2005 20.00,"0,19983745","21,61733968",
16/01/2005 21.00,"0,1078559","24,70499024",
16/01/2005 22.00,"0,07819713","21,43824264",
16/01/2005 23.00,"0,04170514","16,56474202",
17/01/2005 0.00,"0,09557461","17,25650553",
17/01/2005 1.00,"0,04170514","13,3992329",
17/01/2005 2.00,"0,07645908","14,43103414",
17/01/2005 3.00,"0,0625577","15,47192694",
17/01/2005 4.00,"0,03649199",,
17/01/2005 5.00,"0,10252479",,
17/01/2005 6.00,0,,
17/01/2005 7.00,"0,00868823","23,80814752",
17/01/2005 8.00,"0,00347509","42,82327432",
17/01/2005 9.00,"0,00347509","53,21663864",
17/01/2005 10.00,"1,26861902","68,47831824",
17/01/2005 11.00,"2,18951862","67,353068",
17/01/2005 12.00,"1,7769146","57,86430912",
17/01/2005 13.00,"0,41684491","53,78899584",
17/01/2005 14.00,"0,21447513","67,87479544",
17/01/2005 15.00,"0,28380707","51,3866252",
17/01/2005 16.00,"0,1980994","47,67472576",
17/01/2005 17.00,"0,29225936","69,73725552",
17/01/2005 18.00,"0,26507495","94,37477128",
17/01/2005 19.00,"1,21139141","102,47081024",
