,,ARPA Puglia,,,,
,,Via Garilliano,,,,
Parm,SO2,NO2,CO,,PM10,Benzene
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
11/01/2008 16.00,"1,34616995","46,88463978","0,5833214",,"57,01926041",
11/01/2008 17.00,"1,19758105","83,40859989","0,9043554",,"57,01926041",
11/01/2008 18.00,"1,41242099","87,61026483","0,9856926",,"57,01926041",
11/01/2008 19.00,"1,07759798","75,66232212","0,78356515",,"57,01926041",
11/01/2008 20.00,"0,49489099","72,73531683","0,70830685",,"57,01926041",
11/01/2008 21.00,"0,44741899","77,81996079","0,7417201",,"57,01926041",
11/01/2008 22.00,"0,97830498","51,23813904","0,5744181",,"57,01926041",
11/01/2008 23.00,"0,388558","44,72316387","0,66277605",,"57,01926041",
12/01/2008 0.00,"0,37847099","39,17664036","0,5928503",,"57,01926041",
12/01/2008 1.00,"0,114854","28,51866864","0,499905",,"23,00893974",
12/01/2008 2.00,"0,199801",,"0,42711805",,"23,00893974",
12/01/2008 3.00,,"20,48403357","0,37193875",,"23,00893974",
12/01/2008 4.00,"0,08647","14,02520249",,,"23,00893974",
12/01/2008 5.00,"0,115093","12,18528729","0,29949565",,"23,00893974",
12/01/2008 6.00,"0,346228","17,22527631","0,2777664",,"23,00893974",
12/01/2008 7.00,"0,62492198","32,97810582","0,32871485",,"23,00893974",
12/01/2008 8.00,"0,569148","46,66772286","0,4803458",,"23,00893974",
12/01/2008 9.00,"0,61350697","39,59898129","0,4802285",,"23,00893974",
12/01/2008 10.00,"1,19934499","23,71216815","0,36636815",,"23,00893974",
12/01/2008 11.00,"1,41863406","20,32836201","0,3578961",,"23,00893974",
12/01/2008 12.00,"1,68919897","20,14208658","0,3698584",,"23,00893974",
12/01/2008 13.00,"1,70882905","22,17211821","0,3875086",,"23,00893974",
12/01/2008 14.00,"0,196114","23,3268453","0,37762435",,"23,00893974",
12/01/2008 15.00,"0,185394","16,16879197","0,29200455",,"23,00893974",
