, Brindisi,,,
,P.za San Giusto Casale,,,
Parm,SO2,NO2,NOX,PM10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,,
11/01/2009 1.00,"0,1","21,2","23,8",
11/01/2009 2.00,"0,0","15,9","17,9","10,3"
11/01/2009 3.00,"0,0","14,4","15,9",
11/01/2009 4.00,"0,0","15,0","16,9","15,1"
11/01/2009 5.00,"0,1","15,3","17,0",
11/01/2009 6.00,"0,0","12,0","14,5","23,0"
11/01/2009 7.00,"0,0","10,0","12,6",
11/01/2009 8.00,"0,0","6,5","8,5","23,0"
11/01/2009 9.00,"0,1","9,8","17,3",
11/01/2009 10.00,"0,0","7,8","10,9","26,9"
11/01/2009 11.00,"0,0","3,6","6,1",
11/01/2009 12.00,"0,0","5,0","7,6","21,0"
11/01/2009 13.00,"0,0","3,9","6,8",
11/01/2009 14.00,"0,0","3,7","6,4","20,5"
11/01/2009 15.00,"0,1","5,6","8,3",
11/01/2009 16.00,"0,1","8,0","10,6","22,5"
11/01/2009 17.00,"0,1","9,5","12,2",
11/01/2009 18.00,"0,0","11,4","14,2","23,9"
11/01/2009 19.00,"0,0","11,4","14,3",
11/01/2009 20.00,"0,0","13,2","16,6","22,5"
11/01/2009 21.00,"0,0","10,5","13,4",
11/01/2009 22.00,"0,0","18,1","20,8","30,3"
11/01/2009 23.00,"0,0","17,6","20,7",
12/01/2009 0.00,"0,0","17,6","20,2","25,4"
12/01/2009 1.00,,"20,2","22,6",
12/01/2009 2.00,"0,0",,,"19,5"
12/01/2009 3.00,"0,0","27,3","29,4",
12/01/2009 4.00,"0,0","20,4","22,7","23,9"
12/01/2009 5.00,"0,0","22,4","24,9",
12/01/2009 6.00,"0,0","25,4","28,2","23,4"
12/01/2009 7.00,"0,0","37,5","43,2",
12/01/2009 8.00,"0,1","54,9","93,7","23,0"
12/01/2009 9.00,"0,7","61,1","164,2",
12/01/2009 10.00,"0,1","40,9","75,4","29,8"
12/01/2009 11.00,"0,3","25,2","35,8",
12/01/2009 12.00,,"18,5","27,0","23,9"
12/01/2009 13.00,,"14,3","21,0",
12/01/2009 14.00,,"26,0","51,8","11,2"
12/01/2009 15.00,"0,3","21,9","30,1",
12/01/2009 16.00,"2,4","13,5","17,8","23,4"
12/01/2009 17.00,"3,9","39,1","50,6",
12/01/2009 18.00,"2,6","60,6","76,3","21,0"
12/01/2009 19.00,"3,8","64,4","124,7",
12/01/2009 20.00,"3,5","69,9","152,6","33,7"
12/01/2009 21.00,"0,9","65,3","96,3",
12/01/2009 22.00,"0,3","63,6","97,7","41,5"
12/01/2009 23.00,"0,3","46,8","59,2",
13/01/2009 0.00,"0,4","48,3","62,4","37,1"
13/01/2009 1.00,"0,7","33,3","37,6",
13/01/2009 2.00,"0,9","30,1","33,6","31,3"
13/01/2009 3.00,"0,3","38,5","48,4",
13/01/2009 4.00,"0,7","39,4","51,3","36,6"
13/01/2009 5.00,"1,4","35,1","38,6",
13/01/2009 6.00,"1,9","16,4","18,8","26,9"
13/01/2009 7.00,"1,6","12,0","14,8",
13/01/2009 8.00,"4,5","34,2","39,8","16,6"
13/01/2009 9.00,"12,2","52,8","67,3",
13/01/2009 10.00,"4,1","50,3","63,6","20,5"
13/01/2009 11.00,"4,4","29,2","36,7",
13/01/2009 12.00,"3,3","12,0","15,1","12,7"
13/01/2009 13.00,"3,6","16,7","22,5",
13/01/2009 14.00,"2,3","8,6","12,6","19,5"
13/01/2009 15.00,"1,7","8,9","12,5",
13/01/2009 16.00,"2,0","7,2","11,1","13,2"
13/01/2009 17.00,"4,4","20,8","28,3",
13/01/2009 18.00,"12,9","35,0","43,8","18,1"
13/01/2009 19.00,"20,3","35,9","45,6",
13/01/2009 20.00,"21,2","25,9","34,3","18,1"
13/01/2009 21.00,"6,3","14,0","18,0",
13/01/2009 22.00,"4,3","7,3","10,1","23,0"
13/01/2009 23.00,"4,1","6,8","9,4",
14/01/2009 0.00,"5,3","15,8","18,3","17,6"
14/01/2009 1.00,,"5,0","6,9",
14/01/2009 2.00,"0,9",,,"24,4"
14/01/2009 3.00,"1,0","13,2","15,5",
14/01/2009 4.00,"0,5","13,0","14,9","48,4"
14/01/2009 5.00,"1,0","9,9","11,9",
14/01/2009 6.00,"0,8","10,7","12,7","37,1"
