,SIMAGE Brindisi,,,,
,SISRI.,,,,
Parm,SO2,NO2,PM10,CO,NOX



11/01/2010 17.00,"0,0146387","11,07344169",,"0,12076507","16,22644994"
11/01/2010 18.00,"0,03018761","21,17736936","16,11721039","0,24666545","26,34672904"
11/01/2010 19.00,"0,04233364","33,32285224",,"0,579471","38,77174632"
11/01/2010 20.00,"0,03525837","25,16054336","7,32600689","0,43707305","29,90433008"
11/01/2010 21.00,"0,1215915","37,6927856",,"0,61172403","60,77752792"
11/01/2010 22.00,"0,04239466","29,86920664","13,18680954","0,33560505","39,40595672"
11/01/2010 23.00,"0,0469193","27,63947048",,"0,29428716","33,83157808"
12/01/2010 0.00,"0,03905483","36,52858792","18,55920982","0,38443253","44,11138872"
12/01/2010 1.00,,"34,48314944",,"0,42466231","39,67704008"
12/01/2010 2.00,"0,09026689",,"10,25640965","0,28374391",
12/01/2010 3.00,"0,08498662","22,7439092",,,"27,44786896"
12/01/2010 4.00,"0,09972397","10,34663313","6,83760691","0,3594957","15,32505284"
12/01/2010 5.00,"0,11777674","9,08510509",,"0,35918232","13,92691431"
12/01/2010 6.00,"0,13116249","11,6821441","9,27960968","0,35378138","16,84510814"
12/01/2010 7.00,"0,09456575","16,89309551",,"0,33667568","21,29371456"
12/01/2010 8.00,"0,10684704","24,3415764","7,32600689","0,34528736","31,60075208"
12/01/2010 9.00,"0,12919765","22,22086248",,"0,34509164","29,8083668"
12/01/2010 10.00,"0,11396909","24,82697584","7,81440783","0,41535396","33,73301448"
12/01/2010 11.00,"0,10402181","22,51288224",,"0,36000597","37,31136072"
12/01/2010 12.00,"0,10525035","11,79765566","6,83760691","0,30265885","20,7152772"
12/01/2010 13.00,"0,13718008","10,20775692",,"0,30054554","18,97214504"
12/01/2010 14.00,"0,12539102","9,54065821","7,81440783","0,33694946","18,47929645"
12/01/2010 15.00,"0,11396909","9,58478526",,"0,31131014","16,04098212"
12/01/2010 16.00,"0,16542725","8,80087099","4,39560509","0,30023215","14,22521882"
12/01/2010 17.00,"0,28320094","10,36610111",,"0,29682686","16,387274"
12/01/2010 18.00,"0,25704268","10,77623085","3,41880298","0,2716582","15,93722362"
12/01/2010 19.00,"0,34743059","14,23376163",,"0,39394242","19,40532776"
12/01/2010 20.00,"0,27313061","16,97097318","2,44200301","0,38940242","21,91368056"
12/01/2010 21.00,"0,74054381","15,29541493",,"0,26320263","21,91498072"
12/01/2010 22.00,"0,450591","20,87756776","8,79120922","0,3912804","25,57632688"
12/01/2010 23.00,"0,09689874","15,69386808",,"0,36149251","20,45327584"
13/01/2010 0.00,"0,10856577","14,75030755","7,32600689","0,35671718","18,59213122"
13/01/2010 1.00,"0,11470641","11,21231598",,"0,65436536","16,90347194"
13/01/2010 2.00,"0,06901972","9,91574481","4,88400507","0,5811288","14,58707438"
13/01/2010 3.00,"0,22191957","9,17855218",,"0,45351936","14,28747354"
13/01/2010 4.00,"0,29069216","10,41931016","2,93040299","0,43402658","16,21088818"
13/01/2010 5.00,"0,40883502","13,20195083",,"0,40748671","18,75425352"
13/01/2010 6.00,"0,41816904","31,49285792","3,90720391","0,44357725","47,02569736"
13/01/2010 7.00,"0,36978222","26,26761048",,"0,48432545","38,46177288"
13/01/2010 8.00,"1,81082952","46,96998168","17,09399986","0,5838281","117,4215986"
13/01/2010 9.00,"1,88083065","48,57675",,"0,66262521","146,8097461"
13/01/2010 10.00,"0,85524818","42,45727928","19,04759979","0,65694933","108,1534081"
13/01/2010 11.00,"0,21086681","23,009964",,"0,54319756","42,99726632"
13/01/2010 12.00,"0,10709213","8,70612566","14,16361046","0,42521801","14,89056614"
13/01/2010 13.00,"0,09775913","8,66718969",,"0,40654656","14,43273391"
13/01/2010 14.00,"0,10660092","11,22399448","9,76801014","0,42376992","17,95531858"
13/01/2010 15.00,"0,25213057","8,85668036",,"0,43015062","15,63892102"
13/01/2010 16.00,"0,12784707","14,95148628","8,30280876","0,45093655","21,30021536"
13/01/2010 17.00,"0,16481299","12,95275987",,"0,4201689","16,74653689"
13/01/2010 18.00,"0,14639105","7,788532","10,7448101","0,36607213","12,21360935"
13/01/2010 19.00,"0,10500423","5,03185055",,"0,31882555","9,78437702"
13/01/2010 20.00,"0,09603938","3,8105529","7,81440783","0,52863623","8,8661199"
13/01/2010 21.00,"0,10254818","23,15793368",,"1,02548776","31,6331796"
13/01/2010 22.00,"0,313535","42,81939296","9,27960968","0,92481079","51,78168264"
13/01/2010 23.00,"0,33957122","29,63299816",,"0,95526389","37,66282456"
14/01/2010 0.00,"0,09554817","21,65238664","31,25761986","0,91772526","26,48810232"
14/01/2010 1.00,,"25,2358188",,"0,67573845","29,19100112"
14/01/2010 2.00,"0,09966702",,"17,58241081","0,46436201",
14/01/2010 3.00,"0,09808558","16,76072202",,,"21,60370712"
14/01/2010 4.00,"0,09419149","14,23894889","14,16361046","0,40137629","18,41055622"
14/01/2010 5.00,"0,10112743","11,95209555",,"0,36662783","17,05392148"
14/01/2010 6.00,"0,09626007","14,31552258","15,62880993","0,41146635","18,92675225"
14/01/2010 7.00,"0,0999111","27,46295464",,"0,40776631","32,38671792"
14/01/2010 8.00,"0,10344009","29,40329048","14,16361046","0,41041552","36,94171376"
14/01/2010 9.00,"0,1167038","26,619342",,"0,4611769","36,47868472"
14/01/2010 10.00,"0,0956519","19,93401488","8,30280876","0,40655821","29,1494916"
14/01/2010 11.00,"0,11524339","19,46676032",,"0,427908","29,27270088"
14/01/2010 12.00,"0,11256665","16,70620898","13,67521","0,38754657","25,98358288"
14/01/2010 13.00,"0,09978906","9,49263642",,"0,66827429","16,35355397"
14/01/2010 14.00,"0,28658653","8,5140404","13,67521","0,71381531","15,48976782"
14/01/2010 15.00,"0,91147506","8,57244626",,"0,5661667","14,95541544"
14/01/2010 16.00,"0,46863767","12,54912138","14,16361046","0,50461393","18,58564762"
14/01/2010 17.00,"0,10185764","10,52963447",,"0,41193468","15,47420605"
14/01/2010 18.00,"0,1091597","30,59991568","15,14041042","0,440024","36,71344008"
14/01/2010 19.00,"1,08634618","60,25759776",,"0,88265643","116,1259127"
14/01/2010 20.00,"0,53362092","57,6540656","38,0952301","0,85285456","94,96447032"
14/01/2010 21.00,"0,10015416","41,55525504",,"0,57169929","48,50814744"
14/01/2010 22.00,"1,18029257","33,75634088","37,6068306","0,55782996","42,63151984"
14/01/2010 23.00,"0,11329685","37,92511272",,"0,66200193","49,03083088"
15/01/2010 0.00,"0,0978415","28,39094384","38,0952301","0,76882311","38,018208"
15/01/2010 1.00,"0,19556096","29,0230128",,"0,84381533","55,183666"
15/01/2010 2.00,"0,0932172","21,65108648","32,23442078","0,75994115","34,47487048"
15/01/2010 3.00,"0,10356111","16,3687601",,"0,66940434","21,81251664"
15/01/2010 4.00,"0,0928521","14,5374618","38,0952301","0,65537891","20,48312216"
15/01/2010 5.00,"0,10344009","16,60367607",,"0,65004204","21,44935136"
