,Foggia,,,
,Monte Sant'Angelo - Suolo Giuffreda,,,
Parm,SO2,NO2,PM10,O3



13/01/2010 7.00,"5,12923442","1,76251028","17,70000076","57,37414515"
13/01/2010 8.00,"4,90708805","2,46206328","17,70000076","54,7959867"
13/01/2010 9.00,"5,05879801","5,82485064","17,70000076","52,8233307"
13/01/2010 10.00,"4,69577783","15,52774014","17,70000076","35,7174027"
13/01/2010 11.00,"4,84568159","20,06248216","17,70000076","31,86248415"
13/01/2010 12.00,"5,17980474","8,03123172","17,70000076","50,3972511"
13/01/2010 13.00,"5,8137344","33,23979496","17,70000076","30,06107895"
13/01/2010 14.00,"5,80470446","25,64854312","17,70000076","44,60119755"
13/01/2010 15.00,"6,14243897","11,40569375","17,70000076","56,54809545"
13/01/2010 16.00,"5,54643629","7,27068018","17,70000076","58,7906151"
13/01/2010 17.00,"5,885977","6,36735961","17,70000076","59,50572285"
13/01/2010 18.00,"5,23398643","4,58797784","17,70000076","66,1374021"
13/01/2010 19.00,"5,91668023","6,85795586","17,70000076","63,6839112"
13/01/2010 20.00,"5,78483736","7,09546642","17,70000076","62,7674481"
13/01/2010 21.00,"5,34234982","5,68338176","17,70000076","62,600307"
13/01/2010 22.00,"6,09728722","3,72878622","17,70000076","66,40179945"
13/01/2010 23.00,"5,77038884","5,71972314","17,70000076","60,96191325"
14/01/2010 0.00,"5,75232794","7,02019098","17,70000076","52,5795018"
14/01/2010 1.00,,"5,30180774","19,89999962","49,54105695"
14/01/2010 2.00,"5,19425326",,"19,89999962","45,4299804"
14/01/2010 3.00,"5,82095815","17,09426468","19,89999962",
14/01/2010 4.00,"5,48141745","8,08185001","19,89999962","54,69158835"
14/01/2010 5.00,"5,57713952","5,41082807","19,89999962","57,81456135"
14/01/2010 6.00,"5,91668023","4,93321238","19,89999962","59,0541546"
14/01/2010 7.00,"5,3658293","6,05068078","19,89999962","55,5832935"
14/01/2010 8.00,"5,66924819","8,07146594","19,89999962","47,53069545"
14/01/2010 9.00,"5,42723576","10,22073558","19,89999962","41,50392015"
14/01/2010 10.00,"5,92751636","6,6710636","19,89999962","51,40291065"
14/01/2010 11.00,"5,84082525","22,70106128","19,89999962","39,22882215"
14/01/2010 12.00,"6,03588076","18,0663771","19,89999962","45,18708915"
