,Lecce,,,,,
,Galatina,,,,,
Parm,NOX,NO2,O3,CO,SO2,PM2.5
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
07/01/2010 5.00,"58,50521152","44,74171776","41,4659154","0,19034003","0,00088174","13,80000019"
07/01/2010 6.00,"61,75802064","46,14569936","31,6636026","0,18057267","0,0007058","13,80000019"
07/01/2010 7.00,"66,6534672","49,05610752","18,86560379","0,19144911","0,0012326","13,80000019"
07/01/2010 8.00,"74,16879352","54,71027392","24,09582945","0,21671097","0,0012326","13,80000019"
07/01/2010 9.00,"71,9211228","53,09941392","34,39441845","0,31113772","0,00669084","13,80000019"
07/01/2010 10.00,"62,88575648","48,43811088","45,20999175","0,22017801","0,00035188","13,80000019"
07/01/2010 11.00,"54,66941448","42,85138072","58,39055775","0,21607605","0,0007058","13,80000019"
07/01/2010 12.00,"51,82451144","41,9422056","66,2111772","0,19067672","0,00017594","13,80000019"
07/01/2010 13.00,"28,0120428","21,89811688","71,62131795","0,18770597",,"13,80000019"
07/01/2010 14.00,"32,08519552","25,25404016","69,75327975","0,2370775","1,73822996","13,80000019"
07/01/2010 15.00,"41,50705352","33,9269104","75,6958062","0,20236633","1,31391518","13,80000019"
07/01/2010 16.00,"34,1065428","27,94395648","77,0067207","0,1789673","1,40421868","13,80000019"
07/01/2010 17.00,"51,67273688","41,70031848","57,25424565","0,22534828","1,778075","13,80000019"
07/01/2010 18.00,"64,49141584","50,74411672","41,05727955","0,28591547","1,21819209","13,80000019"
07/01/2010 19.00,"60,58168176","48,42902888","51,5190396","0,25992199","1,25973248","13,80000019"
07/01/2010 20.00,"56,88656968","45,37332784","60,1496091","0,27587084","1,09718638","13,80000019"
07/01/2010 21.00,"51,00934936","43,02518152","59,66133285","0,2487275","1,01771902","13,80000019"
07/01/2010 22.00,"43,1723864","37,94168976","64,3438173","0,18469328","0,89581123","13,80000019"
07/01/2010 23.00,"42,67953016","36,77699496","58,5096393","0,17536163","1,05113052","13,80000019"
08/01/2010 0.00,"43,11726344","37,73481136","61,86512955","0,15903648","0,97076311","13,80000019"
08/01/2010 1.00,"36,34899376","32,03978552","61,83237165","0,15671813","1,09176882","8,69999981"
08/01/2010 2.00,,,"61,59560505","0,15523159","1,10350805","8,69999981"
08/01/2010 3.00,"33,78358688","29,43483848","61,07191755",,"1,08725334","8,69999981"
08/01/2010 4.00,"31,9302088","27,49779128","62,02632555","0,1538965",,"8,69999981"
08/01/2010 5.00,"30,82713776","26,57695296",,"0,1501487","1,01230044","8,69999981"
08/01/2010 6.00,"25,558182","21,80926624","68,16992805","0,15373806","1,23354473","8,69999981"
08/01/2010 7.00,"22,16788096","18,39304613","75,95318115","0,15617641","1,25070152","8,69999981"
08/01/2010 8.00,"22,47267288","18,90924215","75,8521743","0,17364442","1,02765308","8,69999981"
08/01/2010 9.00,"21,72106568","17,78865528","77,556423","0,18109925","0,71971768","8,69999981"
08/01/2010 10.00,"20,84496816","17,44301157","77,9732184","0,17620159","0,67005147","8,69999981"
08/01/2010 11.00,"21,21331496","17,50007903","77,36181075","0,17745047","0,54453028","8,69999981"
08/01/2010 12.00,"20,63615864","17,20955637","77,0945007","0,1720973","0,65018437","8,69999981"
08/01/2010 13.00,"22,436364","18,66151961","77,3773119","0,17100686","0,81273047","8,69999981"
08/01/2010 14.00,"20,10179288","16,22644994","81,53926095","0,18304131","1,39067224","8,69999981"
08/01/2010 15.00,"20,48570336","17,10839436","84,5309829","0,17130393","1,52341922","8,69999981"
08/01/2010 16.00,"19,91049728","16,82824621","87,7347534","0,17090783","1,55953899","8,69999981"
08/01/2010 17.00,"18,23740933","15,1376386","89,7669402","0,17417915","1,31391518","8,69999981"
08/01/2010 18.00,"16,68752492","13,8471495","91,43282505","0,17546764","1,06648315","8,69999981"
08/01/2010 19.00,"17,09347885","13,91005238","91,35605745","0,18371584","0,88948956","8,69999981"
08/01/2010 20.00,"16,40737677","13,26156699","92,7364179","0,17701476","0,54091688","8,69999981"
08/01/2010 21.00,"16,15965614","13,19801402","94,55715465","0,17667691","1,21187144","8,69999981"
08/01/2010 22.00,"16,09740142","13,23497872","95,94695145","0,17279164","0,75132502","8,69999981"
08/01/2010 23.00,"15,87237622","12,93148696","96,6956949","0,17088803","0,86330181","8,69999981"
09/01/2010 0.00,"17,62847939","14,57475154","96,57114705","0,17043135","0,72333108","8,69999981"
09/01/2010 1.00,"17,90797746","14,90807623","95,3927604","0,1739811","0,988823","9,19999981"
09/01/2010 2.00,"19,11481274","16,04422487","92,23613175","0,1711653","0,94005887","9,19999981"
09/01/2010 3.00,"18,74647168","15,37887564","90,7008795","0,1597448","1,5279347","9,19999981"
09/01/2010 4.00,"19,27756792","15,98780558","86,6385408","0,1675771","1,75188623","9,19999981"
09/01/2010 5.00,"14,73946842","11,61116492","85,35449895","0,15760353","1,57398853","9,19999981"
09/01/2010 6.00,"19,63425152","16,26016998","80,45449965","0,15052616","1,41415274","9,19999981"
