, Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NOX,NO,NO2,PM10



17/01/2009 4.00,"0,1","9,8","0,7","8,8",
17/01/2009 5.00,"0,2","8,4","0,1","8,4",
17/01/2009 6.00,"0,1","8,0","0,0","8,4",
17/01/2009 7.00,"0,1","9,9","0,1","10,0",
17/01/2009 8.00,"0,1","11,5","0,1","11,8",
17/01/2009 9.00,"0,1","12,3","0,2","12,3",
17/01/2009 10.00,"0,1","8,7","0,3","8,9",
17/01/2009 11.00,"0,2","7,4","0,1","7,9",
17/01/2009 12.00,"0,1","9,4","0,8","8,3",
17/01/2009 13.00,"0,2","13,0","3,0","8,4",
17/01/2009 14.00,"0,3","16,4","4,5","9,4",
17/01/2009 15.00,"0,3","14,7","4,7","7,5",
17/01/2009 16.00,"0,2","17,6","5,4","9,2",
17/01/2009 17.00,"0,4","22,5","5,6","14,0",
17/01/2009 18.00,"0,5","32,6","5,6","24,0",
17/01/2009 19.00,"0,4","52,5","6,0","43,3",
17/01/2009 20.00,"0,4","58,3","8,7","44,9",
17/01/2009 21.00,"0,6","85,7","18,2","57,8",
17/01/2009 22.00,"0,4","70,9","12,0","52,5",
17/01/2009 23.00,"0,5","49,8","5,9","40,7",
18/01/2009 0.00,"0,4","37,3","3,3","32,2",
18/01/2009 1.00,,"46,2","4,8","38,8",
18/01/2009 2.00,"0,2","34,4","2,7","30,2",
18/01/2009 3.00,"0,1","29,0","3,3","24,0",
18/01/2009 4.00,"0,1","21,3","0,9","20,2",
18/01/2009 5.00,"0,1","13,9","0,1","14,4",
18/01/2009 6.00,"0,1","11,1","0,0","12,0",
18/01/2009 7.00,"0,1","22,5","1,0","21,2",
18/01/2009 8.00,"0,2","30,1","1,2","28,4",
18/01/2009 9.00,"0,1","24,3","0,0","24,9",
18/01/2009 10.00,"0,1","30,7","0,7","29,7",
18/01/2009 11.00,"0,2","19,8","0,1","20,0",
18/01/2009 12.00,"0,1","19,7","1,0","18,3",
18/01/2009 13.00,"0,1","22,5","2,6","18,5",
18/01/2009 14.00,"0,1","25,9","3,0","21,3",
18/01/2009 15.00,"0,1","23,6","3,9","17,6",
18/01/2009 16.00,"0,1","24,9","4,2","18,5",
18/01/2009 17.00,"0,1","25,3","4,4","18,6",
18/01/2009 18.00,"0,1","31,7","4,6","24,7",
18/01/2009 19.00,"0,2","43,0","4,8","35,7",
18/01/2009 20.00,"0,2","58,5","6,3","48,8",
18/01/2009 21.00,"0,2","44,5","5,1","36,7",
18/01/2009 22.00,"0,1","36,8","3,8","30,9",
18/01/2009 23.00,"0,2","43,3","4,5","36,4",
19/01/2009 0.00,"0,1","23,9","3,4","18,7",
19/01/2009 1.00,"0,1","17,4","3,2","12,5",
19/01/2009 2.00,"0,1","16,0","3,3","11,0",
19/01/2009 3.00,"0,0","14,3","3,1","9,6",
19/01/2009 4.00,"0,1","11,6","2,6","7,6",
19/01/2009 5.00,"0,1","11,5","2,3","8,0",
19/01/2009 6.00,"0,0","14,4","2,1","11,2",
19/01/2009 7.00,"0,0","27,5","2,8","23,3",
19/01/2009 8.00,"0,0","52,5","7,6","40,9",
19/01/2009 9.00,"0,1","93,5","24,6","55,9",
19/01/2009 10.00,"0,1","93,2","24,9","55,0",
19/01/2009 11.00,"0,0","60,3","11,4","42,7",
19/01/2009 12.00,"0,0","31,2","6,4","21,4",
19/01/2009 13.00,"0,0","25,4","5,5","17,0",
19/01/2009 14.00,"0,0","26,0","4,3","19,4",
19/01/2009 15.00,"0,0","24,9","4,6","17,9",
19/01/2009 16.00,"0,0","30,6","4,3","24,0",
19/01/2009 17.00,"0,0","43,0","4,7","35,8",
19/01/2009 18.00,"0,1","76,5","8,6","63,4",
19/01/2009 19.00,"0,1","58,8","6,4","49,1",
19/01/2009 20.00,"0,1","51,8","5,9","42,8",
19/01/2009 21.00,"0,2","57,9","7,8","46,0",
19/01/2009 22.00,"0,1","48,2","6,5","38,3",
19/01/2009 23.00,"0,1","37,0","5,6","28,4",
20/01/2009 0.00,"0,1","31,8","5,4","23,6",
20/01/2009 1.00,,"26,0","5,1","18,2",
20/01/2009 2.00,"0,5",,,,
20/01/2009 3.00,"0,7","18,9","5,3","10,8",
20/01/2009 4.00,"0,5","15,4","4,9","7,8",
20/01/2009 5.00,"0,4","15,0","4,7","7,8",
20/01/2009 6.00,"0,3","19,1","4,7","11,9",
20/01/2009 7.00,"0,3","26,4","4,5","19,5",
20/01/2009 8.00,"0,6","30,6","5,1","22,8",
20/01/2009 9.00,"0,4","36,4","6,1","27,1",
20/01/2009 10.00,"0,6","36,5","6,0","27,3",
20/01/2009 11.00,"0,4","38,1","6,1","28,8",
20/01/2009 12.00,"0,5","30,9","5,5","22,5",
20/01/2009 13.00,"0,3","25,2","5,1","17,4",
20/01/2009 14.00,"0,4","25,7","4,8","18,3",
20/01/2009 15.00,"0,3","20,7","5,0","13,1",
20/01/2009 16.00,"0,5","24,8","4,7","17,7",
