NetC,SIMAGE Brindisi,
19/02/2006 14.00,"0,390392","9,5147"
19/02/2006 15.00,"0,458703","9,165574"
19/02/2006 16.00,"0,285454","8,830721"
19/02/2006 17.00,"0,316558","11,216203"
19/02/2006 18.00,"0,27993","14,708775"
19/02/2006 19.00,"0,366846","18,86197"
19/02/2006 20.00,"0,349405","16,459613"
19/02/2006 21.00,"0,397949","14,634807"
19/02/2006 22.00,"0,27964","14,502418"
19/02/2006 23.00,"0,250571","12,847634"
20/02/2006 0.00,"0,336033","9,99751"
20/02/2006 1.00,"0,267722","11,914457"
20/02/2006 2.00,"0,295337","20,241597"
20/02/2006 3.00,"0,203189","13,992352"
20/02/2006 4.00,"0,231386","12,127315"
20/02/2006 5.00,"0,260164","12,556912"
20/02/2006 6.00,"0,281384","11,635414"
20/02/2006 7.00,"0,293884","14,015717"
20/02/2006 8.00,"0,247374","17,031973"
20/02/2006 9.00,"0,338649","15,67569"
20/02/2006 10.00,"0,422076","11,486164"
20/02/2006 11.00,"0,328475","10,961824"
20/02/2006 12.00,"0,287779","11,082523"
20/02/2006 13.00,"0,239525","10,680187"
20/02/2006 14.00,"0,251734","9,378425"
20/02/2006 15.00,"0,388066","8,771021"
20/02/2006 16.00,"0,289524","9,091595"
20/02/2006 17.00,"0,255222","10,327165"
20/02/2006 18.00,"0,455505","11,427758"
20/02/2006 19.00,"0,328766","10,91121"
20/02/2006 20.00,"0,273826","10,415415"
20/02/2006 21.00,"0,279639","9,161679"
20/02/2006 22.00,"0,27993","8,290806"
20/02/2006 23.00,"0,308417","8,031234"
21/02/2006 0.00,"0,346207","7,94687"
21/02/2006 1.00,,"7,784637"
21/02/2006 2.00,"0,353617",
21/02/2006 3.00,"0,285762","8,338828"
21/02/2006 4.00,"0,359213","7,096765"
21/02/2006 5.00,"0,37915","6,972169"
21/02/2006 6.00,"0,309195","8,029935"
21/02/2006 7.00,"0,291007","9,10068"
21/02/2006 8.00,"0,350468","9,881997"
21/02/2006 9.00,"0,34907","10,107828"
21/02/2006 10.00,"0,345222","9,55104"
21/02/2006 11.00,"0,372854","8,861871"
21/02/2006 12.00,"0,365159","9,333"
21/02/2006 13.00,"0,452951","9,230467"
21/02/2006 14.00,"0,386495","9,528978"
21/02/2006 15.00,"0,353966","10,602312"
21/02/2006 16.00,"0,37845","9,710678"
21/02/2006 17.00,"0,792228","10,569865"
21/02/2006 18.00,"0,787681","10,011786"
21/02/2006 19.00,"0,656517","10,344038"
21/02/2006 20.00,"0,767395","10,399842"
21/02/2006 21.00,"0,671208","10,581553"
21/02/2006 22.00,"0,651271","9,177254"
21/02/2006 23.00,"0,466243","8,473808"
22/02/2006 0.00,"0,674355","7,663935"
22/02/2006 1.00,"0,623289","7,495212"
22/02/2006 2.00,"0,762148","7,396574"
22/02/2006 3.00,"0,574671","7,286255"
22/02/2006 4.00,"0,599155","7,626296"
22/02/2006 5.00,"0,422521","8,018253"
22/02/2006 6.00,"0,691494","11,170785"
22/02/2006 7.00,"0,633782","19,0917"
22/02/2006 8.00,"0,494224","19,211087"
22/02/2006 9.00,"0,549487","20,337637"
22/02/2006 10.00,"0,635182","14,764588"
22/02/2006 11.00,"0,604401","13,490077"
22/02/2006 12.00,"0,413777","13,187678"
22/02/2006 13.00,"0,28681","13,805465"
22/02/2006 14.00,"0,343823","13,837903"
22/02/2006 15.00,"0,354666","14,013124"
22/02/2006 16.00,"0,345571","18,238993"
22/02/2006 17.00,"0,314442","15,661419"
22/02/2006 18.00,"0,291007","16,447925"
22/02/2006 19.00,"0,322836","13,137053"
22/02/2006 20.00,"0,294156","12,625694"
22/02/2006 21.00,"0,497722","19,318809"
22/02/2006 22.00,"0,343473","19,343475"
22/02/2006 23.00,"0,3795","14,719161"
23/02/2006 0.00,"0,414126","14,743827"
23/02/2006 1.00,,"16,111778"
23/02/2006 2.00,"0,048445",
23/02/2006 3.00,"0,03007","9,246041"
23/02/2006 4.00,"0,055126","8,602296"
23/02/2006 5.00,"0,090208","7,919614"
23/02/2006 6.00,"0,111924","8,686657"
23/02/2006 7.00,"0,126958","8,969593"
23/02/2006 8.00,"0,083525","13,490077"
23/02/2006 9.00,"0,055126","12,787924"
23/02/2006 10.00,"0,086866","9,400489"
23/02/2006 11.00,"0,126958","8,288212"
23/02/2006 12.00,"0,085196","10,494591"
23/02/2006 13.00,"0,055126","13,884632"
23/02/2006 14.00,"0,125288","13,663995"
23/02/2006 15.00,"0,046774","11,358974"
23/02/2006 16.00,"0,086866","12,241526"
23/02/2006 17.00,"0,03341","10,418017"
23/02/2006 18.00,"0,095219","9,525085"
23/02/2006 19.00,"0,036751","7,797615"
23/02/2006 20.00,"0,136982","8,721701"
23/02/2006 21.00,"0,063479","9,930019"
23/02/2006 22.00,"0,045104","8,519233"
23/02/2006 23.00,"0,026728","8,253169"
24/02/2006 0.00,"0,076843","9,330403"
24/02/2006 1.00,"0,090208","8,48419"
24/02/2006 2.00,"0,055126","9,628914"
24/02/2006 3.00,"0,073503","6,327127"
24/02/2006 4.00,"0,083525","5,586042"
24/02/2006 5.00,"0,078513","5,914403"
24/02/2006 6.00,"0,041763","6,36217"
24/02/2006 7.00,"0,06682","7,904041"
24/02/2006 8.00,"0,040092","10,822951"
24/02/2006 9.00,"0,025058","9,329105"
24/02/2006 10.00,"0,03174","9,819701"
24/02/2006 11.00,"0,105242","9,635403"
24/02/2006 12.00,"0,110254","11,356381"
24/02/2006 13.00,"0,120277","9,4537"
24/02/2006 14.00,"0,158699","10,314184"
24/02/2006 15.00,"0,086866","14,469971"
24/02/2006 16.00,"0,03508","11,724969"
24/02/2006 17.00,"0,16538","24,964562"
24/02/2006 18.00,"0,212154","46,982962"
24/02/2006 19.00,"0,253917","36,920546"
24/02/2006 20.00,"0,135311","37,37222"
24/02/2006 21.00,"0,133641","29,10607"
24/02/2006 22.00,"0,133641","18,963209"
24/02/2006 23.00,"0,212154","19,549835"
25/02/2006 0.00,"0,075173","16,799647"
25/02/2006 1.00,,"13,346014"
25/02/2006 2.00,"0,129679",
25/02/2006 3.00,"0,157982","9,126635"
25/02/2006 4.00,"0,114697","7,666531"
25/02/2006 5.00,"0,09544","8,153233"
25/02/2006 6.00,"0,119352","9,413466"
25/02/2006 7.00,"0,04311","17,828865"
25/02/2006 8.00,"0,143322","19,946977"
25/02/2006 9.00,"0,096866","16,363571"
25/02/2006 10.00,"0,280244","12,293443"
25/02/2006 11.00,"0,187362","11,802843"
25/02/2006 12.00,"0,121155","13,151334"
25/02/2006 13.00,"0,160105","10,948846"
25/02/2006 14.00,"0,034295","9,406977"
25/02/2006 15.00,"0,085754","9,320019"
25/02/2006 16.00,"0,216742","9,806722"
25/02/2006 17.00,"0,141721","13,013759"
25/02/2006 18.00,"0,13442","15,033247"
25/02/2006 19.00,"0,114669","15,635459"
25/02/2006 20.00,"0,072809","12,90604"
25/02/2006 21.00,"0,056403","9,636699"
25/02/2006 22.00,"0,030775","9,464082"
25/02/2006 23.00,"0,08302","7,90534"
26/02/2006 0.00,"0,063705","9,44202"
26/02/2006 1.00,"0,062628","11,631529"
26/02/2006 2.00,"0,12261","8,564658"
26/02/2006 3.00,"0,088139","8,763233"
26/02/2006 4.00,"0,100066","6,268723"
26/02/2006 5.00,"0,052301","5,939062"
26/02/2006 6.00,"0,084241","6,337509"
26/02/2006 7.00,"0,066293","6,703508"
26/02/2006 8.00,"0,063908","7,663935"
26/02/2006 9.00,"0,030659","10,706146"
26/02/2006 10.00,"0,102306","11,749633"
26/02/2006 11.00,"0,162055","11,963781"
26/02/2006 12.00,"0,077201","11,229181"
26/02/2006 13.00,"0,155917","9,387508"
26/02/2006 14.00,"0,104807","8,595807"
26/02/2006 15.00,"0,249176","8,359594"
26/02/2006 16.00,"0,266833","8,315465"
26/02/2006 17.00,"0,205427","9,76519"
26/02/2006 18.00,"0,159873","17,025482"
26/02/2006 19.00,"0,339526","23,793883"
26/02/2006 20.00,"0,444975","42,078302"
26/02/2006 21.00,"0,399072","46,916768"
26/02/2006 22.00,"0,210662","35,923782"
26/02/2006 23.00,"0,1983","26,80754"
27/02/2006 0.00,"0,139482","19,356456"
27/02/2006 1.00,,"16,123464"
27/02/2006 2.00,"0,067669",
27/02/2006 3.00,"0,02795","8,909893"
27/02/2006 4.00,"0,007355","8,303787"
27/02/2006 5.00,"0,061785","10,068892"
27/02/2006 6.00,"0,020595","13,758736"
27/02/2006 7.00,"0,02648","16,751627"
27/02/2006 8.00,"0,036777","19,377221"
27/02/2006 9.00,"0,051488","15,317479"
27/02/2006 10.00,"0,197124","11,312245"
27/02/2006 11.00,"0,19124","9,878104"
27/02/2006 12.00,"0,144165","9,251233"
27/02/2006 13.00,"0,060314","9,120148"
27/02/2006 14.00,"0,167702","8,381659"
27/02/2006 15.00,"0,066199","9,717168"
27/02/2006 16.00,"0,111802","9,573105"
27/02/2006 17.00,"0,161818","10,887845"
27/02/2006 18.00,"0,070611","12,258399"
27/02/2006 19.00,"0,042661","13,090333"
27/02/2006 20.00,"0,100033","14,652973"
27/02/2006 21.00,"0,111802","16,357082"
27/02/2006 22.00,"0,127983","19,077419"
27/02/2006 23.00,"0,130926","13,521224"
28/02/2006 0.00,"0,064727","8,151934"
28/02/2006 1.00,"0,094149","6,595786"
28/02/2006 2.00,"0,075025","6,612659"
28/02/2006 3.00,"0,089736","6,554256"
28/02/2006 4.00,"0,125041","6,171381"
28/02/2006 5.00,"0,036777","5,967616"
28/02/2006 6.00,"0,072083","6,249255"
28/02/2006 7.00,"0,051488","7,870296"
28/02/2006 8.00,"0,022066","9,209701"
28/02/2006 9.00,"0,113272","9,691211"
28/02/2006 10.00,"0,088264","7,872891"
28/02/2006 11.00,"0,061785","16,032609"
28/02/2006 12.00,"0,147107","11,519903"
28/02/2006 13.00,"0,161818","8,885234"
28/02/2006 14.00,"0,158876","8,937149"
28/02/2006 15.00,"0,13681","9,802827"
28/02/2006 16.00,"0,076496","11,139629"
28/02/2006 17.00,"0,095619","15,370698"
28/02/2006 18.00,"0,069141","21,86913"
28/02/2006 19.00,"0,119157","38,46242"
28/02/2006 20.00,"0,101504","28,137851"
28/02/2006 21.00,"0,133868","33,193064"
28/02/2006 22.00,"0,052958","23,333129"
28/02/2006 23.00,"0,052958","20,965805"
01/03/2006 0.00,"0,057372","15,181207"
01/03/2006 1.00,,"10,28433"
01/03/2006 2.00,"0,071636",
01/03/2006 3.00,"0,073345","13,213627"
01/03/2006 4.00,"0,082477","10,56727"
01/03/2006 5.00,"0,075054","10,534821"
01/03/2006 6.00,"0,086011","19,883384"
01/03/2006 7.00,"0,125424","32,893264"
01/03/2006 8.00,"0,145335","25,361704"
01/03/2006 9.00,"0,554304","16,222101"
01/03/2006 10.00,"0,291497","11,736655"
01/03/2006 11.00,"0,26369","10,3661"
01/03/2006 12.00,"0,270818","9,804125"
01/03/2006 13.00,"0,152347","10,52704"
01/03/2006 14.00,"0,180801","11,638019"
01/03/2006 15.00,"0,259213","10,673698"
01/03/2006 16.00,"0,356123","11,181161"
01/03/2006 17.00,"0,368377","13,124075"
01/03/2006 18.00,"0,602435","14,703588"
01/03/2006 19.00,"0,37038","17,150078"
01/03/2006 20.00,"0,296032","19,900267"
01/03/2006 21.00,"0,201008","15,74318"
01/03/2006 22.00,"0,161006","14,149396"
01/03/2006 23.00,"0,178916","14,517991"
02/03/2006 0.00,"0,177325","11,739249"
02/03/2006 1.00,"0,234882","13,266845"
02/03/2006 2.00,"0,162479","10,188286"
02/03/2006 3.00,"0,148988","9,443316"
02/03/2006 4.00,"0,242246","13,044906"
02/03/2006 5.00,"0,182863","7,666531"
02/03/2006 6.00,"0,102565","13,107209"
02/03/2006 7.00,"0,174459","15,817313"
02/03/2006 8.00,"0,222923","26,463589"
02/03/2006 9.00,"0,237651","28,263757"
02/03/2006 10.00,"0,451325","26,437644"
02/03/2006 11.00,"0,417804","14,98782"
02/03/2006 12.00,"0,351823","11,278505"
02/03/2006 13.00,"0,285605","11,490059"
02/03/2006 14.00,"0,215735","11,772989"
02/03/2006 15.00,"0,301394","13,538097"
02/03/2006 16.00,"0,257386","19,178641"
02/03/2006 17.00,"0,299803","19,565418"
02/03/2006 18.00,"0,401073","22,285756"
02/03/2006 19.00,"0,319067","44,875214"
02/03/2006 20.00,"0,274412","30,867289"
02/03/2006 21.00,"0,303514","36,423466"
02/03/2006 22.00,"0,253439","29,934098"
02/03/2006 23.00,"0,143863","16,494655"
03/03/2006 0.00,"0,107691","32,763476"
03/03/2006 1.00,,"20,036535"
03/03/2006 2.00,"0,038191",
03/03/2006 3.00,"0,025462","12,454382"
03/03/2006 4.00,"0,057288","7,709362"
03/03/2006 5.00,"0,052514","11,221402"
03/03/2006 6.00,"0,152768","29,662862"
03/03/2006 7.00,"0,055696","34,792051"
03/03/2006 8.00,"0,090705","31,267031"
03/03/2006 9.00,"0,354866","10,220735"
03/03/2006 10.00,"0,238699","11,499142"
03/03/2006 11.00,"0,398008","15,535523"
03/03/2006 12.00,"0,437614","11,856051"
03/03/2006 13.00,"0,265751","10,817761"
03/03/2006 14.00,"0,318265","9,692509"
03/03/2006 15.00,"0,25302","9,38102"
03/03/2006 16.00,"0,297578","10,110424"
03/03/2006 17.00,"0,200507","11,731458"
03/03/2006 18.00,"0,354866","15,073487"
03/03/2006 19.00,"0,222786","16,245466"
03/03/2006 20.00,"0,27689","17,814584"
03/03/2006 21.00,"0,208464","18,482995"
03/03/2006 22.00,"0,235516","17,08389"
03/03/2006 23.00,"0,159133","14,168864"
04/03/2006 0.00,"0,232334","11,47059"
04/03/2006 1.00,"0,167089","9,917041"
04/03/2006 2.00,"0,113161","8,931956"
04/03/2006 3.00,"0,117758","7,57568"
04/03/2006 4.00,"0,175046","5,595127"
04/03/2006 5.00,"0,041375","5,878063"
04/03/2006 6.00,"0,122532","9,791147"
04/03/2006 7.00,"0,186185","15,562783"
04/03/2006 8.00,"0,119349","15,304499"
04/03/2006 9.00,"0,232334","10,832032"
04/03/2006 10.00,"0,400306","9,599064"
04/03/2006 11.00,"0,210055","9,178552"
04/03/2006 12.00,"0,385277","9,432934"
04/03/2006 13.00,"0,340543","8,873551"
04/03/2006 14.00,"0,295987","8,790489"
04/03/2006 15.00,"0,259386","8,145445"
04/03/2006 16.00,"0,318265","7,702872"
04/03/2006 17.00,"0,101844","8,686657"
04/03/2006 18.00,"0,035009","10,859293"
04/03/2006 19.00,"0,028644","12,763269"
04/03/2006 20.00,"0,052514","15,237009"
04/03/2006 21.00,"0,124124","12,292141"
04/03/2006 22.00,"0,143219","8,310276"
04/03/2006 23.00,"0,100254","7,48483"
05/03/2006 0.00,"0,154358","7,172042"
05/03/2006 1.00,,"6,623041"
05/03/2006 2.00,"0,260223",
05/03/2006 3.00,"0,175035","6,920254"
05/03/2006 4.00,"0,285454","6,57502"
05/03/2006 5.00,"0,212573","6,589297"
05/03/2006 6.00,"0,210024","7,53285"
05/03/2006 7.00,"0,24176","7,565296"
05/03/2006 8.00,"0,166067","8,018253"
05/03/2006 9.00,"0,166858","9,168168"
05/03/2006 10.00,"0,329586","9,418657"
05/03/2006 11.00,"0,31719","9,217488"
05/03/2006 12.00,"0,35508","9,469275"
05/03/2006 13.00,"0,299959","8,552978"
05/03/2006 14.00,"0,215651","7,896254"
05/03/2006 15.00,"0,214156","8,201254"
05/03/2006 16.00,"0,457851","7,718445"
05/03/2006 17.00,"0,321059","7,469254"
05/03/2006 18.00,"0,297849","7,985808"
05/03/2006 19.00,"0,266464","8,830721"
05/03/2006 20.00,"0,278772","9,330403"
05/03/2006 21.00,"0,335212","8,541298"
05/03/2006 22.00,"0,345674","8,915084"
05/03/2006 23.00,"0,232969","8,883936"
06/03/2006 0.00,"0,27086","8,541298"
06/03/2006 1.00,"0,34163","7,553616"
06/03/2006 2.00,"0,158946","7,321296"
06/03/2006 3.00,"0,123518","7,246021"
06/03/2006 4.00,"0,224002","7,104552"
06/03/2006 5.00,"0,220046","6,738551"
06/03/2006 6.00,"0,324575","7,663935"
06/03/2006 7.00,"0,208706","8,664595"
06/03/2006 8.00,"0,282289","11,274608"
06/03/2006 9.00,"0,207387","12,16365"
06/03/2006 10.00,"0,226552","13,211032"
06/03/2006 11.00,"0,377235","39,695413"
06/03/2006 12.00,"0,251343","33,086642"
06/03/2006 13.00,"0,28308","14,363542"
06/03/2006 14.00,"0,269805","12,502401"
06/03/2006 15.00,"0,318157","12,079293"
06/03/2006 16.00,"0,366597","12,986498"
06/03/2006 17.00,"0,370553","13,370669"
06/03/2006 18.00,"0,221189","16,071548"
06/03/2006 19.00,"0,279828","12,935884"
06/03/2006 20.00,"0,170463","14,376523"
06/03/2006 21.00,"0,1411","12,059825"
06/03/2006 22.00,"0,116132","9,571806"
06/03/2006 23.00,"0,145584","8,223319"
07/03/2006 0.00,"0,134595","6,480276"
07/03/2006 1.00,,"5,673"
07/03/2006 2.00,"0,113562",
07/03/2006 3.00,"0,181246","5,644446"
07/03/2006 4.00,"0,199546","5,29402"
07/03/2006 5.00,"0,114176","5,284934"
07/03/2006 6.00,"0,1499","8,490679"
07/03/2006 7.00,"0,114701","11,919656"
07/03/2006 8.00,"0,090097","13,538097"
07/03/2006 9.00,"0,091235","13,016354"
07/03/2006 10.00,"0,161983","12,245421"
07/03/2006 11.00,"0,187987","10,684084"
07/03/2006 12.00,"0,236408","10,793095"
07/03/2006 13.00,"0,204974","10,401144"
07/03/2006 14.00,"0,151213","8,804765"
07/03/2006 15.00,"0,098415","8,411509"
07/03/2006 16.00,"0,155941","7,1357"
07/03/2006 17.00,"0,106207","9,705487"
07/03/2006 18.00,"0,145872","7,604234"
07/03/2006 19.00,"0,160582","7,161658"
07/03/2006 20.00,"0,081692","7,467956"
07/03/2006 21.00,"0,084668","6,232382"
07/03/2006 22.00,"0,059188","6,286893"
07/03/2006 23.00,"0,085282","5,871574"
08/03/2006 0.00,"0,103494","5,575657"
08/03/2006 1.00,"0,098065","5,602913"
08/03/2006 2.00,"0,167499","5,17851"
08/03/2006 3.00,"0,144471","5,030552"
08/03/2006 4.00,"0,092811","5,181105"
08/03/2006 5.00,"0,152176","5,639254"
08/03/2006 6.00,"0,132825","6,711298"
08/03/2006 7.00,"0,149637","8,724297"
08/03/2006 8.00,"0,309256","8,24668"
08/03/2006 9.00,"0,754492","9,236956"
08/03/2006 10.00,"1,210059","8,545191"
08/03/2006 11.00,"1,444717","9,066935"
08/03/2006 12.00,"1,029601","7,958553"
08/03/2006 13.00,"1,201304","8,185681"
08/03/2006 14.00,"1,21181","7,212276"
08/03/2006 15.00,"1,189046","6,722978"
08/03/2006 16.00,"0,845553","7,260296"
08/03/2006 17.00,"0,667108","9,281085"
08/03/2006 18.00,"0,905181","9,177254"
08/03/2006 19.00,"0,455304","10,415415"
08/03/2006 20.00,"0,36757","21,744545"
08/03/2006 21.00,"0,290256","32,561014"
08/03/2006 22.00,"0,141669","24,448017"
08/03/2006 23.00,"0,116102","13,153929"
09/03/2006 0.00,"0,103494","10,724314"
09/03/2006 1.00,,"24,226071"
09/03/2006 2.00,"0,102887",
09/03/2006 3.00,"0,094313","20,514154"
09/03/2006 4.00,"0,048942","15,109821"
09/03/2006 5.00,"0,05055","18,146848"
09/03/2006 6.00,"0,076331","27,674517"
09/03/2006 7.00,"0,192675","39,951086"
09/03/2006 8.00,"0,164452","43,764244"
09/03/2006 9.00,"0,438281","31,551248"
09/03/2006 10.00,"0,653642","23,997646"
09/03/2006 11.00,"0,553672","13,895018"
09/03/2006 12.00,"0,676982","11,204524"
09/03/2006 13.00,"0,969924","11,900188"
09/03/2006 14.00,"0,994872","12,702268"
09/03/2006 15.00,"0,773439","11,9547"
09/03/2006 16.00,"0,776891","16,698418"
09/03/2006 17.00,"0,422324","18,621862"
09/03/2006 18.00,"0,557007","17,521268"
09/03/2006 19.00,"0,489249","17,567998"
09/03/2006 20.00,"0,287881","19,95866"
09/03/2006 21.00,"0,446558","18,416799"
09/03/2006 22.00,"0,503717","14,027395"
09/03/2006 23.00,"0,326285","11,571821"
10/03/2006 0.00,"0,214288","7,67302"
10/03/2006 1.00,"0,223755","6,423169"
10/03/2006 2.00,"0,267399","6,057168"
10/03/2006 3.00,"0,302111","5,92219"
10/03/2006 4.00,"0,286809","5,634064"
10/03/2006 5.00,"0,277104","6,328425"
10/03/2006 6.00,"0,281093","7,226551"
10/03/2006 7.00,"0,22179","11,473183"
10/03/2006 8.00,"0,396782","14,70489"
10/03/2006 9.00,"0,409999","11,750926"
10/03/2006 10.00,"0,360401","9,281085"
10/03/2006 11.00,"0,203035","9,623723"
10/03/2006 12.00,"0,310327","8,611382"
10/03/2006 13.00,"0,28151","8,621764"
10/03/2006 14.00,"0,345934","9,279787"
10/03/2006 15.00,"0,320986","9,508212"
10/03/2006 16.00,"0,372548","10,563373"
10/03/2006 17.00,"0,367309","10,634759"
10/03/2006 18.00,"0,351173","12,654247"
10/03/2006 19.00,"0,315925","13,044906"
10/03/2006 20.00,"0,399103","13,482296"
10/03/2006 21.00,"0,244238","15,239613"
10/03/2006 22.00,"0,308006","15,569273"
10/03/2006 23.00,"0,39577","11,75353"
11/03/2006 0.00,"0,294193","16,418084"
11/03/2006 1.00,,"12,728226"
11/03/2006 2.00,"0,233091",
11/03/2006 3.00,"0,111187","6,652894"
11/03/2006 4.00,"0,075018","5,480914"
11/03/2006 5.00,"0,084395","6,15451"
11/03/2006 6.00,"0,117885","13,278524"
11/03/2006 7.00,"0,128602","19,847057"
11/03/2006 8.00,"0,088414","19,096886"
11/03/2006 9.00,"0,349636","15,410928"
11/03/2006 10.00,"0,092432","14,784057"
11/03/2006 11.00,"0,176828","10,054615"
11/03/2006 12.00,"0,20362","10,533531"
11/03/2006 13.00,"0,131281","8,260956"
11/03/2006 14.00,"0,261223","7,587361"
11/03/2006 15.00,"0,211657","7,095466"
11/03/2006 16.00,"0,243807","6,987744"
11/03/2006 17.00,"0,207639","7,452383"
11/03/2006 18.00,"0,20094","7,892359"
11/03/2006 19.00,"0,250505","7,499105"
11/03/2006 20.00,"0,159413","8,85019"
11/03/2006 21.00,"0,178167","8,022147"
11/03/2006 22.00,"0,10047","7,441999"
11/03/2006 23.00,"0,10181","6,989042"
12/03/2006 0.00,"0,184865","6,185658"
12/03/2006 1.00,"0,221035","6,979956"
12/03/2006 2.00,"0,103149","5,765148"
12/03/2006 3.00,"0,087075","5,823552"
12/03/2006 4.00,"0,147356","5,822254"
12/03/2006 5.00,"0,10181","5,383572"
12/03/2006 6.00,"0,092432","5,891042"
12/03/2006 7.00,"0,034829","9,371933"
12/03/2006 8.00,"0,093772","9,854742"
12/03/2006 9.00,"0,191563","6,149319"
12/03/2006 10.00,"0,234431","6,728169"
12/03/2006 11.00,"0,267804","7,51468"
12/03/2006 12.00,"0,144677","7,879382"
12/03/2006 13.00,"0,215676","9,355062"
12/03/2006 14.00,"0,20228","6,608765"
12/03/2006 15.00,"0,128602","7,675616"
12/03/2006 16.00,"0,155394","7,169445"
12/03/2006 17.00,"0,216084","7,748295"
12/03/2006 18.00,"0,10181","17,146182"
12/03/2006 19.00,"0,17013","20,149458"
12/03/2006 20.00,"0,162091","23,471998"
12/03/2006 21.00,"0,143337","9,836572"
12/03/2006 22.00,"0,091093","6,759317"
12/03/2006 23.00,"0,079036","10,076679"
13/03/2006 0.00,"0,125923","6,486766"
13/03/2006 1.00,,"6,157104"
13/03/2006 2.00,"0,191968",
13/03/2006 3.00,"0,187408","6,719083"
13/03/2006 4.00,"0,228653","7,265487"
13/03/2006 5.00,"0,115982","6,222"
13/03/2006 6.00,"0,148282","8,960509"
13/03/2006 7.00,"0,080109","11,734062"
13/03/2006 8.00,"0,192665","12,115627"
13/03/2006 9.00,"0,184125","8,806062"
13/03/2006 10.00,"0,214827","8,562062"
13/03/2006 11.00,"0,489432","7,936488"
13/03/2006 12.00,"0,775541","8,275233"
13/03/2006 13.00,"1,139783","8,441359"
13/03/2006 14.00,"1,423859","8,821637"
13/03/2006 15.00,"0,721515","9,881997"
13/03/2006 16.00,"0,984676","8,893022"
13/03/2006 17.00,"0,707136","8,771021"
13/03/2006 18.00,"0,677916","9,316126"
13/03/2006 19.00,"0,402497","9,867721"
13/03/2006 20.00,"0,609947","9,218786"
13/03/2006 21.00,"0,604689","10,617886"
13/03/2006 22.00,"0,37926","11,12795"
13/03/2006 23.00,"0,217296","9,783359"
14/03/2006 0.00,"0,243438","8,463424"
14/03/2006 1.00,"0,201669","7,364127"
14/03/2006 2.00,"0,143518","7,204488"
14/03/2006 3.00,"0,098844","7,370616"
14/03/2006 4.00,"0,098612","7,077296"
14/03/2006 5.00,"0,086442","7,319998"
14/03/2006 6.00,"0,070582","10,183101"
14/03/2006 7.00,"0,102969","16,392122"
14/03/2006 8.00,"0,092077","15,830139"
14/03/2006 9.00,"0,119323","14,85414"
14/03/2006 10.00,"0,253401","15,638054"
14/03/2006 11.00,"0,264352","12,280462"
14/03/2006 12.00,"0,519118","12,109137"
14/03/2006 13.00,"0,86268","10,407634"
14/03/2006 14.00,"0,878366","9,691211"
14/03/2006 15.00,"0,738914","9,689912"
14/03/2006 16.00,"0,550692","11,429058"
14/03/2006 17.00,"0,220404","13,038417"
14/03/2006 18.00,"0,260924","16,255841"
14/03/2006 19.00,"0,293137","25,905515"
14/03/2006 20.00,"0,151651","46,039409"
14/03/2006 21.00,"0,084089","40,062709"
14/03/2006 22.00,"0,233039","25,840622"
14/03/2006 23.00,"0,137128","22,885378"
15/03/2006 0.00,"0,178374","20,910014"
15/03/2006 1.00,,"15,373291"
15/03/2006 2.00,"0,455786",
15/03/2006 3.00,"0,340767","25,701753"
15/03/2006 4.00,"0,32505","24,396088"
15/03/2006 5.00,"0,22575","18,277933"
15/03/2006 6.00,"0,319693","17,01769"
15/03/2006 7.00,"0,236109","30,847826"
15/03/2006 8.00,"0,307191","39,245042"
15/03/2006 9.00,"0,422924","25,58623"
15/03/2006 10.00,"0,508295","11,844375"
15/03/2006 11.00,"0,549372","13,486181"
15/03/2006 12.00,"0,794053","14,28697"
15/03/2006 13.00,"0,597951","12,418036"
15/03/2006 14.00,"0,814415","10,848908"
15/03/2006 15.00,"0,832988","10,059806"
15/03/2006 16.00,"0,556874","10,124701"
15/03/2006 17.00,"0,496863","12,048137"
15/03/2006 18.00,"0,477932","17,426528"
15/03/2006 19.00,"0,584377","23,202043"
15/03/2006 20.00,"0,532941","24,049557"
15/03/2006 21.00,"0,511151","22,290936"
15/03/2006 22.00,"0,663319","14,845058"
15/03/2006 23.00,"0,579734","13,500464"
16/03/2006 0.00,"0,716185","13,913186"
16/03/2006 1.00,"0,605453","12,55561"
16/03/2006 2.00,"0,575805","10,61399"
16/03/2006 3.00,"0,481862","9,6977"
16/03/2006 4.00,"0,485433","10,280443"
16/03/2006 5.00,"0,443998","11,570528"
16/03/2006 6.00,"0,557945","24,993108"
16/03/2006 7.00,"0,620097","34,806314"
16/03/2006 8.00,"0,562946","19,285063"
16/03/2006 9.00,"0,824773","14,904756"
16/03/2006 10.00,"1,117677","10,384269"
16/03/2006 11.00,"0,926574","12,154564"
16/03/2006 12.00,"0,837632","13,355097"
16/03/2006 13.00,"0,927289","12,046846"
16/03/2006 14.00,"0,871566","10,726907"
16/03/2006 15.00,"0,874781","9,767786"
16/03/2006 16.00,"0,589021","10,3038"
16/03/2006 17.00,"0,7244","10,554292"
16/03/2006 18.00,"0,90157","13,085147"
16/03/2006 19.00,"0,611882","13,671776"
16/03/2006 20.00,"0,562231","13,994946"
16/03/2006 21.00,"0,58152","14,974839"
16/03/2006 22.00,"0,560088","15,57446"
16/03/2006 23.00,"0,521867","14,349273"
17/03/2006 0.00,"0,461143","10,918992"
17/03/2006 1.00,,"11,848272"
17/03/2006 2.00,"0,125902",
