NetC,SIMAGE Brindisi,,
23/02/2006 18.00,"2,119156","8,164913","14,65201"
23/02/2006 19.00,"1,903957","8,900807",
23/02/2006 20.00,"1,881343","9,061744","21,97802"
23/02/2006 21.00,"1,70116","5,665212",
23/02/2006 22.00,"1,874778","7,212276","31,25762"
23/02/2006 23.00,"1,823714","7,488723",
24/02/2006 0.00,"3,145907","18,433671","23,44322"
24/02/2006 1.00,"1,938608","14,619222",
24/02/2006 2.00,"1,796359","4,90336","20,51281"
24/02/2006 3.00,"3,406699","18,116993",
24/02/2006 4.00,"2,17022","5,570467","27,35042"
24/02/2006 5.00,"6,891819","24,143014",
24/02/2006 6.00,"10,318573","24,338994","32,234421"
24/02/2006 7.00,"7,592126","12,776247",
24/02/2006 8.00,"4,19272","10,976097","42,490841"
24/02/2006 9.00,"12,738647","38,781687",
24/02/2006 10.00,"11,310677","31,446128","110,866798"
24/02/2006 11.00,"10,1125","27,895162",
24/02/2006 12.00,"6,483305","10,656825","117,216103"
24/02/2006 13.00,"5,637102","8,76583",
24/02/2006 14.00,"2,947123","6,447828","76,678871"
24/02/2006 15.00,"2,496665","6,568531",
24/02/2006 16.00,"2,467485","7,443297","42,490841"
24/02/2006 17.00,"2,274537","5,488702",
24/02/2006 18.00,"0,354165","7,52636","28,327221"
24/02/2006 19.00,"1,154411","16,285696",
24/02/2006 20.00,"1,743106","27,248809","27,83882"
24/02/2006 21.00,"1,681464","37,303426",
24/02/2006 22.00,"1,800736","39,252824","18,55921"
24/02/2006 23.00,"1,75186","45,413824",
25/02/2006 0.00,"1,938608","39,886191","32,234421"
25/02/2006 1.00,,"39,568207",
25/02/2006 2.00,"0,023955",,"41,025631"
25/02/2006 3.00,"0,048894","17,481039",
25/02/2006 4.00,"0,012783","12,168847","76,19046"
25/02/2006 5.00,"0,032537","9,040978",
25/02/2006 6.00,"0,035933","11,419976","73,260071"
25/02/2006 7.00,"0,028693","23,265635",
25/02/2006 8.00,"0,034056","24,7608","63,980461"
25/02/2006 9.00,"0,055598","32,718047",
25/02/2006 10.00,"0,092873","14,882694","49,328442"
25/02/2006 11.00,"0,061408","12,432307",
25/02/2006 12.00,"0,064358","10,989076","26,86202"
25/02/2006 13.00,"0,068202","10,74248",
25/02/2006 14.00,"0,092427","13,314865","26,86202"
25/02/2006 15.00,"0,055419","8,934552",
25/02/2006 16.00,"0,066771","10,205162","21,48962"
25/02/2006 17.00,"0,064179","14,07153",
25/02/2006 18.00,"0,038883","21,928824","26,86202"
25/02/2006 19.00,"0,044962","46,073156",
25/02/2006 20.00,"0,044693","27,4954","35,653221"
25/02/2006 21.00,"0,021363","19,477161",
25/02/2006 22.00,"0,024134","17,761376","25,39682"
25/02/2006 23.00,"0,040402","13,584828",
26/02/2006 0.00,"0,040134","15,481012","16,11721"
26/02/2006 1.00,"0,014749","8,698337",
26/02/2006 2.00,"0,046212","5,144766","21,97802"
26/02/2006 3.00,"0,029319","4,305042",
26/02/2006 4.00,"0,023776","2,813787","11,23321"
26/02/2006 5.00,"0,027263","2,61132",
26/02/2006 6.00,"0,022436","2,227149","13,67521"
26/02/2006 7.00,"0,020469","2,428318",
26/02/2006 8.00,"0,0059","2,577573","12,69841"
26/02/2006 9.00,"0,044872","2,208979",
26/02/2006 10.00,"0,069096","3,03183","16,11721"
26/02/2006 11.00,"0,062123","5,698957",
26/02/2006 12.00,"0,054079","5,695062","16,60561"
26/02/2006 13.00,"0,055598","3,772915",
26/02/2006 14.00,"0,091265","3,717106","10,25641"
26/02/2006 15.00,"0,114596","3,670382",
26/02/2006 16.00,"0,506391","3,040914","14,16361"
26/02/2006 17.00,"0,056045","2,398468",
26/02/2006 18.00,"0,027709","4,834574","11,72161"
26/02/2006 19.00,"0,009207","22,637467",
26/02/2006 20.00,"0,031016","48,93236","26,86202"
26/02/2006 21.00,"2,146786","76,540703",
26/02/2006 22.00,"4,819903","89,44024","53,724041"
26/02/2006 23.00,"1,84143","73,267458",
27/02/2006 0.00,"0,103868","49,313937","60,073261"
27/02/2006 1.00,,"29,475964",
27/02/2006 2.00,"1,357143",,"46,88644"
27/02/2006 3.00,"0,775167","20,310392",
27/02/2006 4.00,"1,231148","11,169483","31,25762"
27/02/2006 5.00,"0,608373","9,208404",
27/02/2006 6.00,"0,714569","8,75934","17,582411"
27/02/2006 7.00,"0,704969","21,359065",
27/02/2006 8.00,"1,018756","48,552085","15,14041"
27/02/2006 9.00,"2,185108","55,807188",
27/02/2006 10.00,"2,186908","21,0411","18,07081"
27/02/2006 11.00,"2,152709","16,514122",
27/02/2006 12.00,"1,852122","16,974869","13,18681"
27/02/2006 13.00,"1,784924","14,136416",
27/02/2006 14.00,"1,846722","15,831441","11,72161"
27/02/2006 15.00,"2,257105","9,225275",
27/02/2006 16.00,"1,835923","14,385606","14,16361"
27/02/2006 17.00,"1,674529","18,961905",
27/02/2006 18.00,"1,258747","26,244246","21,001221"
27/02/2006 19.00,"0,977958","28,383142",
27/02/2006 20.00,"0,882562","30,634963","24,42001"
27/02/2006 21.00,"1,041555","30,193692",
27/02/2006 22.00,"0,445781","24,296146","18,55921"
27/02/2006 23.00,"1,18975","24,695888",
28/02/2006 0.00,"1,512536","14,567315","18,07081"
28/02/2006 1.00,"1,325943","8,407616",
28/02/2006 2.00,"2,089712","8,414104","14,65201"
28/02/2006 3.00,"3,587251","12,97352",
28/02/2006 4.00,"2,255305","3,120084","15,14041"
28/02/2006 5.00,"2,197707","7,81838",
28/02/2006 6.00,"2,064513","4,996807","26,86202"
28/02/2006 7.00,"5,154987",,
28/02/2006 8.00,"3,335262","11,182463","19,53602"
28/02/2006 9.00,"2,784484","19,86262",
28/02/2006 10.00,"3,867969","16,673761","10,25641"
28/02/2006 11.00,,"9,832679",
28/02/2006 12.00,"0,945196","5,574361","9,76801"
28/02/2006 13.00,"0,215999","4,64768",
28/02/2006 14.00,"0,019449","2,407552","18,07081"
28/02/2006 15.00,"0,006102","2,968233",
28/02/2006 16.00,"0,044561","3,116191","22,46641"
28/02/2006 17.00,"0,007862","5,160341",
28/02/2006 18.00,,"8,719104","26,86202"
28/02/2006 19.00,"0,000381","14,602359",
28/02/2006 20.00,"0,000763","14,646484","32,234421"
28/02/2006 21.00,"0,000381","22,515463",
28/02/2006 22.00,,"23,04371","31,25762"
28/02/2006 23.00,,"28,110605",
01/03/2006 0.00,,"21,465488","26,37361"
01/03/2006 1.00,,"20,520634",
01/03/2006 2.00,"1,039954",,"32,722832"
01/03/2006 3.00,"0,966117","40,577973",
01/03/2006 4.00,"0,291175","13,194166","37,118431"
01/03/2006 5.00,"0,984577","10,446571",
01/03/2006 6.00,"1,055733","11,575716","28,327221"
01/03/2006 7.00,"1,177503","23,703026",
01/03/2006 8.00,"1,226627","34,738822","21,48962"
01/03/2006 9.00,"2,721208","28,640134",
01/03/2006 10.00,"2,100749","19,309727","21,48962"
01/03/2006 11.00,"0,723471","11,003357",
01/03/2006 12.00,"0,649636","7,362829","9,27961"
01/03/2006 13.00,"0,648147","10,410226",
01/03/2006 14.00,"1,046206","12,693184","10,25641"
01/03/2006 15.00,"0,939621","7,658743",
01/03/2006 16.00,"0,462665","10,219442","14,65201"
01/03/2006 17.00,"0,691318","12,96574",
01/03/2006 18.00,"0,251875","18,359693","23,93162"
01/03/2006 19.00,"1,108133","35,225541",
01/03/2006 20.00,"0,879182","46,755836","29,79241"
01/03/2006 21.00,"0,518041","41,725268",
01/03/2006 22.00,"0,211384","27,508383","33,699631"
01/03/2006 23.00,"0,94617","28,259856",
02/03/2006 0.00,"0,945873","39,05166","31,746031"
02/03/2006 1.00,"0,033047","33,41759",
02/03/2006 2.00,"0,680302","17,693884","34,18803"
02/03/2006 3.00,"0,60468","15,924892",
02/03/2006 4.00,"0,544539","17,795115","26,86202"
02/03/2006 5.00,"0,297129","9,748319",
02/03/2006 6.00,"1,034297","7,099361","21,97802"
02/03/2006 7.00,"0,629986","15,928775",
02/03/2006 8.00,"0,904786","30,393552","17,582411"
02/03/2006 9.00,"1,661306","65,438698",
02/03/2006 10.00,"1,460938","34,097691","25,39682"
02/03/2006 11.00,"1,519887","22,105339",
02/03/2006 12.00,"1,520185","14,113062","20,02442"
02/03/2006 13.00,"1,579134","8,407616",
02/03/2006 14.00,"2,400856","8,772316","11,72161"
02/03/2006 15.00,"2,198998","14,54265",
02/03/2006 16.00,"2,652731","10,621781","9,76801"
02/03/2006 17.00,"4,155054","12,639976",
02/03/2006 18.00,"1,257591","8,613978","20,51281"
02/03/2006 19.00,"0,751755","21,497934",
02/03/2006 20.00,"1,11885","22,667333","23,44322"
02/03/2006 21.00,"1,013456","14,512805",
02/03/2006 22.00,"0,658567","19,836675","30,28083"
02/03/2006 23.00,"0,5234","7,024083",
03/03/2006 0.00,"0,73032","5,961126","19,0476"
03/03/2006 1.00,,"6,211616",
03/03/2006 2.00,"0,244215",,"21,001221"
03/03/2006 3.00,"0,118519","7,166849",
03/03/2006 4.00,"0,193265","5,55619","14,16361"
03/03/2006 5.00,"0,293532","5,113615",
03/03/2006 6.00,"0,056762","9,754808","12,21001"
03/03/2006 7.00,"0,237404","20,214352",
03/03/2006 8.00,"0,330041","37,383901","11,72161"
03/03/2006 9.00,"1,347779","51,056975",
03/03/2006 10.00,"1,861825","16,319435","15,14041"
03/03/2006 11.00,"1,023276","14,149396",
03/03/2006 12.00,"3,201069","14,98133","10,25641"
03/03/2006 13.00,"1,29474","8,545191",
03/03/2006 14.00,"0,795952","7,949467","11,23321"
03/03/2006 15.00,"0,815478","9,201913",
03/03/2006 16.00,"0,859163","12,614018","16,60561"
03/03/2006 17.00,"0,249211","14,039083",
03/03/2006 18.00,"0,08101","17,965137","18,07081"
03/03/2006 19.00,"0,866157","32,228746",
03/03/2006 20.00,"0,057943","32,236528","28,81562"
03/03/2006 21.00,"0,062301","34,477966",
03/03/2006 22.00,"0,756717","27,914625","30,28083"
03/03/2006 23.00,"0,359558","22,537527",
04/03/2006 0.00,"0,456464","20,754263","24,908421"
04/03/2006 1.00,"0,15285","13,560162",
04/03/2006 2.00,"0,302159","13,631548","23,44322"
04/03/2006 3.00,"0,055944","11,901481",
04/03/2006 4.00,"0,048224","8,049403","21,97802"
04/03/2006 5.00,"0,076016","4,90985",
04/03/2006 6.00,"0,444384","4,972148","10,74481"
04/03/2006 7.00,"0,857528","8,85668",
04/03/2006 8.00,"0,402789","21,491453","15,62881"
04/03/2006 9.00,"1,33688","27,212463",
04/03/2006 10.00,"1,34233","14,002738","19,0476"
04/03/2006 11.00,"1,212456","8,253169",
04/03/2006 12.00,"0,738735","7,414744","17,582411"
04/03/2006 13.00,"1,06233","9,079914",
04/03/2006 14.00,"1,008836","8,963104","21,001221"
04/03/2006 15.00,"0,817113","5,830042",
04/03/2006 16.00,"1,232618","5,726212","20,02442"
04/03/2006 17.00,"1,231074","7,561403",
04/03/2006 18.00,"1,000299","13,026739","20,51281"
04/03/2006 19.00,"0,998119","18,608882",
04/03/2006 20.00,"0,482983","19,991106","21,97802"
04/03/2006 21.00,"0,602231","20,427195",
04/03/2006 22.00,"0,71494","14,289563","32,234421"
04/03/2006 23.00,"0,625299","8,307679",
05/03/2006 0.00,"0,696957","6,64251","29,30402"
05/03/2006 1.00,,,
05/03/2006 2.00,,,"26,37361"
05/03/2006 3.00,,"7,862509",
05/03/2006 4.00,,"5,567872","27,83882"
05/03/2006 5.00,,"4,704785",
05/03/2006 6.00,,"4,242743","24,908421"
05/03/2006 7.00,,"6,892999",
05/03/2006 8.00,,"9,752213","24,908421"
05/03/2006 9.00,,"10,079274",
05/03/2006 10.00,,"9,952084","23,44322"
05/03/2006 11.00,,"10,874867",
05/03/2006 12.00,,"9,056551","28,327221"
05/03/2006 13.00,,"8,974786",
05/03/2006 14.00,,"7,159063","24,908421"
05/03/2006 15.00,,"3,923468",
05/03/2006 16.00,,"5,431594","31,25762"
05/03/2006 17.00,,"5,737893",
05/03/2006 18.00,,"7,536744","34,18803"
05/03/2006 19.00,,"8,930657",
05/03/2006 20.00,,"10,571165","44,932831"
05/03/2006 21.00,,"13,801569",
05/03/2006 22.00,,"11,231776","42,490841"
05/03/2006 23.00,,"11,791166",
06/03/2006 0.00,,"10,00919","40,04884"
06/03/2006 1.00,,"7,578277",
06/03/2006 2.00,,"4,741127","40,537231"
06/03/2006 3.00,,"7,502997",
06/03/2006 4.00,,"3,984466","41,514042"
06/03/2006 5.00,,"4,127234",
06/03/2006 6.00,,"3,534106","39,56044"
06/03/2006 7.00,,"6,346595",
06/03/2006 8.00,,"15,815869","46,398041"
06/03/2006 9.00,,"23,795183",
06/03/2006 10.00,,"21,927542","50,305241"
06/03/2006 11.00,,"17,3201",
06/03/2006 12.00,,"15,468032","42,002441"
06/03/2006 13.00,"5,04717","19,616029",
06/03/2006 14.00,"1,841272","9,46538","22,954821"
06/03/2006 15.00,"0,607107","5,894935",
06/03/2006 16.00,"0,103979","5,078574","24,42001"
06/03/2006 17.00,"0,028006","5,526295",
06/03/2006 18.00,"0,014829","9,447211","16,60561"
06/03/2006 19.00,"0,02189","5,756063",
06/03/2006 20.00,"0,051019","5,657424","16,60561"
06/03/2006 21.00,"0,01889","8,359594",
06/03/2006 22.00,"0,018007","8,842403","15,62881"
06/03/2006 23.00,"0,016947","6,103891",
07/03/2006 0.00,,"5,033149","8,302809"
07/03/2006 1.00,,"3,74566",
07/03/2006 2.00,"0,708468",,"9,27961"
07/03/2006 3.00,"0,738404","3,99485",
07/03/2006 4.00,"0,337531","3,164213","7,326007"
07/03/2006 5.00,"0,419635","2,530851",
07/03/2006 6.00,"1,569614","1,669063","6,349206"
07/03/2006 7.00,"1,744173","3,277128",
07/03/2006 8.00,"1,601021","6,669765","11,72161"
07/03/2006 9.00,"0,630245","10,743782",
07/03/2006 10.00,"1,338184","6,905977","9,27961"
07/03/2006 11.00,"1,695417","3,165511",
07/03/2006 12.00,"1,079875","4,639892","5,860806"
07/03/2006 13.00,"0,588194","5,223936",
07/03/2006 14.00,"0,53185","3,979275","5,372406"
07/03/2006 15.00,"1,266313","3,696339",
07/03/2006 16.00,"1,071582","2,764469","9,27961"
07/03/2006 17.00,"0,551318","2,691786",
07/03/2006 18.00,"1,552912","2,643764","7,326007"
07/03/2006 19.00,"1,72206","2,966934",
07/03/2006 20.00,"2,133166","3,408213","23,44322"
07/03/2006 21.00,"1,943551","3,484786",
07/03/2006 22.00,"0,995771","3,423786","22,46641"
07/03/2006 23.00,"1,218145","2,567191",
08/03/2006 0.00,"1,554971","2,449085","13,18681"
08/03/2006 1.00,"1,576319","2,340062",
08/03/2006 2.00,"1,755583","1,685937","13,67521"
08/03/2006 3.00,"1,743232","2,179127",
08/03/2006 4.00,"1,746762","2,072702","19,53602"
08/03/2006 5.00,"2,23903","2,074",
08/03/2006 6.00,"2,667781","2,917616","18,55921"
08/03/2006 7.00,"2,209035","3,861169",
08/03/2006 8.00,"1,863212","2,909831","20,02442"
08/03/2006 9.00,"3,516459","3,952022",
08/03/2006 10.00,"3,784649","4,854042","21,97802"
08/03/2006 11.00,"4,778009","3,514636",
08/03/2006 12.00,"2,796582","5,34334","15,62881"
08/03/2006 13.00,"1,835452","5,74568",
08/03/2006 14.00,"1,63378","3,355","24,42001"
08/03/2006 15.00,"1,477748","4,907255",
08/03/2006 16.00,"0,869088","4,652871","24,908421"
08/03/2006 17.00,"0,803922","2,498405",
08/03/2006 18.00,"0,685","1,621043","18,07081"
08/03/2006 19.00,"0,698351","2,202488",
08/03/2006 20.00,"1,545501","3,060382","14,16361"
08/03/2006 21.00,"0,436455","1,758617",
08/03/2006 22.00,"0,689471","1,656084","16,60561"
08/03/2006 23.00,"0,549318","2,241424",
09/03/2006 0.00,"0,590546","5,400448","14,16361"
09/03/2006 1.00,,"5,885851",
09/03/2006 2.00,"0,414605",,"10,25641"
09/03/2006 3.00,"0,716452","8,027339",
09/03/2006 4.00,"0,640123","6,002659","16,60561"
09/03/2006 5.00,"0,829211","6,079232",
09/03/2006 6.00,"0,7338","10,45825","16,11721"
09/03/2006 7.00,"0,492669","20,126094",
09/03/2006 8.00,"1,923182","44,417078","14,65201"
09/03/2006 9.00,"15,14079","81,049509",
09/03/2006 10.00,"5,783903","35,335862","25,88522"
09/03/2006 11.00,"2,487575","19,050168",
09/03/2006 12.00,"2,589147","17,13191","16,60561"
09/03/2006 13.00,"2,02284","15,625075",
09/03/2006 14.00,"2,313321","15,221435","16,11721"
09/03/2006 15.00,"1,505166","14,485544",
09/03/2006 16.00,"0,944004","17,495311","14,65201"
09/03/2006 17.00,"1,376376","28,91139",
09/03/2006 18.00,"1,170538","39,387812","22,46641"
09/03/2006 19.00,"1,748451","51,404808",
09/03/2006 20.00,"1,984197","49,002434","36,630032"
09/03/2006 21.00,"1,058558","38,612973",
09/03/2006 22.00,"0,852122","29,366942","40,537231"
09/03/2006 23.00,"0,601959","25,015173",
10/03/2006 0.00,"0,836569","19,535554","30,76923"
10/03/2006 1.00,"0,860676","12,342765",
10/03/2006 2.00,"0,702574","8,852785","24,42001"
10/03/2006 3.00,"0,666145","14,90086",
10/03/2006 4.00,"0,66441","7,64317","16,11721"
10/03/2006 5.00,"0,77029","5,81187",
10/03/2006 6.00,"0,876887","11,735352","15,14041"
10/03/2006 7.00,"0,846739","21,914559",
10/03/2006 8.00,"1,057122","41,101","20,02442"
10/03/2006 9.00,"1,045517","27,089177",
10/03/2006 10.00,"2,04587","14,627016","22,954821"
10/03/2006 11.00,"2,336292","10,928074",
10/03/2006 12.00,"1,918456","12,351849","11,72161"
10/03/2006 13.00,"2,142359","10,651635",
10/03/2006 14.00,"2,596804","11,153909","16,60561"
10/03/2006 15.00,"2,499837","12,53485",
10/03/2006 16.00,"2,482011","15,204571","16,60561"
10/03/2006 17.00,"2,360818","18,040419",
10/03/2006 18.00,"2,170593","23,649814","36,141621"
10/03/2006 19.00,"1,752279","34,302731",
10/03/2006 20.00,"2,036658","29,963964","29,30402"
10/03/2006 21.00,"1,98659","26,102795",
10/03/2006 22.00,"1,151816","18,333735","33,699631"
10/03/2006 23.00,"1,967208","17,374611",
11/03/2006 0.00,"0,905002","6,332318","16,60561"
11/03/2006 1.00,,"6,708701",
11/03/2006 2.00,"1,919416",,"8,791209"
11/03/2006 3.00,"5,88644","15,150061",
11/03/2006 4.00,"5,810286","13,134458","16,11721"
11/03/2006 5.00,"5,356386","9,300551",
11/03/2006 6.00,"3,893619","9,462786","16,60561"
11/03/2006 7.00,"4,92908","15,932672",
11/03/2006 8.00,"3,838654","17,739313","19,53602"
11/03/2006 9.00,"5,975181","21,562828",
11/03/2006 10.00,"4,80142","13,744465","19,53602"
11/03/2006 11.00,"2,750001","12,495912",
11/03/2006 12.00,"2,168441","10,115616","13,18681"
11/03/2006 13.00,"2,006857","11,151317",
11/03/2006 14.00,"2,148937","12,626996","16,11721"
11/03/2006 15.00,"2,140072","8,776211",
11/03/2006 16.00,"1,982211","7,094168","12,69841"
11/03/2006 17.00,"1,954966","7,684701",
11/03/2006 18.00,"1,969327","10,114317","18,55921"
11/03/2006 19.00,"0,825148","14,485544",
11/03/2006 20.00,"2,093884","16,100099","15,14041"
11/03/2006 21.00,"1,825178","17,821073",
11/03/2006 22.00,"2,05405","10,825543","18,07081"
11/03/2006 23.00,"2,009841","9,334298",
12/03/2006 0.00,"1,892643","8,306382","8,791209"
12/03/2006 1.00,"1,940219","6,253148",
12/03/2006 2.00,"2,070095","5,558786","6,837607"
12/03/2006 3.00,"1,955409","4,090894",
12/03/2006 4.00,"1,795657","9,648382","10,25641"
12/03/2006 5.00,"1,766786","8,402424",
12/03/2006 6.00,"1,237501","6,207723","5,860806"
12/03/2006 7.00,"1,942525","11,333016",
12/03/2006 8.00,"2,036497","9,700297","3,418803"
12/03/2006 9.00,"2,065604","12,472548",
12/03/2006 10.00,,,"3,418803"
12/03/2006 11.00,,,
12/03/2006 12.00,"3,985818","11,399204","5,860806"
12/03/2006 13.00,"3,078015","11,80025",
12/03/2006 14.00,"5,530145","15,099434","3,907204"
12/03/2006 15.00,"3,379435","8,463424",
12/03/2006 16.00,"2,320923","7,225255","10,74481"
12/03/2006 17.00,"2,608157","9,040978",
12/03/2006 18.00,"4,177307","24,018409","6,837607"
12/03/2006 19.00,"4,157804","37,925112",
12/03/2006 20.00,"2,671987","30,372789","12,21001"
12/03/2006 21.00,"2,24347","7,432913",
12/03/2006 22.00,"1,927809","6,321934","11,72161"
12/03/2006 23.00,"1,802424","4,271297",
13/03/2006 0.00,"1,783955","5,615892","9,27961"
13/03/2006 1.00,,"2,752787",
13/03/2006 2.00,"1,619558",,"8,791209"
13/03/2006 3.00,"1,815445","4,038978",
13/03/2006 4.00,"2,724916","3,916979","9,27961"
13/03/2006 5.00,"3,064219","3,502956",
13/03/2006 6.00,"3,536443","3,806658","11,23321"
13/03/2006 7.00,"2,703928","5,592531",
13/03/2006 8.00,"2,13376","4,153191","10,74481"
13/03/2006 9.00,"2,689937","4,750211",
13/03/2006 10.00,"2,880575","7,994892","10,25641"
13/03/2006 11.00,"3,426258","4,315424",
13/03/2006 12.00,"4,566595","5,116212","9,76801"
13/03/2006 13.00,"5,117524","5,186296",
13/03/2006 14.00,"3,828524","4,877403","11,23321"
13/03/2006 15.00,"3,120187","5,095446",
13/03/2006 16.00,"2,714422","4,359551","18,55921"
13/03/2006 17.00,"2,922551","5,792404",
13/03/2006 18.00,"2,817612","4,269999","20,51281"
13/03/2006 19.00,"2,54652","4,948786",
13/03/2006 20.00,"2,796624","5,155148","21,001221"
13/03/2006 21.00,"2,955782","3,492574",
13/03/2006 22.00,"2,906811","3,648318","26,37361"
13/03/2006 23.00,"0,89373","6,320638",
14/03/2006 0.00,"0,620539","6,453021","26,37361"
14/03/2006 1.00,"1,75423","3,321255",
14/03/2006 2.00,"1,666781","4,035085","28,81562"
14/03/2006 3.00,"1,965857","4,495829",
14/03/2006 4.00,"2,062051","3,674277","21,97802"
14/03/2006 5.00,"2,109273","3,275829",
14/03/2006 6.00,"1,841679","3,417297","12,69841"
14/03/2006 7.00,"1,804542","4,249233",
14/03/2006 8.00,"0,239844","8,978679","21,48962"
14/03/2006 9.00,"0,214775","9,055255",
14/03/2006 10.00,"0,313943","8,138955","23,93162"
14/03/2006 11.00,"0,505923","7,295339",
14/03/2006 12.00,"1,050439","7,875488","19,0476"
14/03/2006 13.00,"0,582352","6,999425",
14/03/2006 14.00,"0,575241","5,584744","28,81562"
14/03/2006 15.00,"0,287824","5,859894",
14/03/2006 16.00,"0,199967","4,611338","21,48962"
14/03/2006 17.00,"0,170584","4,129828",
14/03/2006 18.00,"0,196819","6,120765","20,51281"
14/03/2006 19.00,"0,150179","12,829457",
14/03/2006 20.00,"0,060399","13,892413","27,83882"
14/03/2006 21.00,,"15,723711",
14/03/2006 22.00,,"10,576354","31,25762"
14/03/2006 23.00,"0,011427","9,565317",
15/03/2006 0.00,"0,037545","8,89821","24,42001"
15/03/2006 1.00,,"8,745064",
15/03/2006 2.00,"0,40514",,"20,51281"
15/03/2006 3.00,"0,102027","6,456914",
15/03/2006 4.00,,"4,74502","18,55921"
15/03/2006 5.00,"0,287263","4,920234",
15/03/2006 6.00,"0,534723","5,567872","19,0476"
15/03/2006 7.00,"0,438819","10,462145",
15/03/2006 8.00,"0,470427","16,357082","20,02442"
15/03/2006 9.00,"0,663586","11,339506",
15/03/2006 10.00,"1,99076","12,908634","20,51281"
15/03/2006 11.00,"1,826597","9,400489",
15/03/2006 12.00,"0,761833","5,94036","16,11721"
15/03/2006 13.00,"0,735808","5,197978",
15/03/2006 14.00,"0,588484","3,957213","19,0476"
15/03/2006 15.00,"0,518874","5,103233",
15/03/2006 16.00,"0,628917","5,139572","16,60561"
15/03/2006 17.00,"0,470517","4,263509",
15/03/2006 18.00,"0,305903","4,704785","21,001221"
15/03/2006 19.00,"0,238725","13,427785",
15/03/2006 20.00,"0,328866","19,821092","24,908421"
15/03/2006 21.00,"0,272404","17,752292",
15/03/2006 22.00,"0,336791","12,614018","24,908421"
15/03/2006 23.00,"0,306083","11,371955",
16/03/2006 0.00,"0,382357","12,540037","25,88522"
16/03/2006 1.00,"0,344715","22,579055",
16/03/2006 2.00,"0,237735","12,048137","24,42001"
16/03/2006 3.00,"0,28231","11,4628",
16/03/2006 4.00,"0,389291","10,824252","28,81562"
16/03/2006 5.00,"0,443772","14,688014",
16/03/2006 6.00,"0,500234","25,867867","27,35042"
16/03/2006 7.00,"0,570563","37,424129",
16/03/2006 8.00,"1,102946","56,692329","30,28083"
16/03/2006 9.00,"2,529446","48,254863",
16/03/2006 10.00,"2,982493","17,086485","36,630032"
16/03/2006 11.00,"2,472804","13,699038",
16/03/2006 12.00,"3,076146","15,216248","28,327221"
16/03/2006 13.00,"3,668683","21,444724",
16/03/2006 14.00,"1,467202","16,547865","26,37361"
16/03/2006 15.00,"1,265129","16,418084",
16/03/2006 16.00,"3,477775","18,488183","24,908421"
16/03/2006 17.00,"1,531049","15,603013",
16/03/2006 18.00,"0,974444","20,821737","21,48962"
16/03/2006 19.00,"0,734817","33,822532",
16/03/2006 20.00,"0,499243","55,68388","32,722832"
16/03/2006 21.00,"0,7223","60,461356",
16/03/2006 22.00,"0,685109","41,821308","37,606831"
16/03/2006 23.00,"0,519685","28,724491",
17/03/2006 0.00,"0,496272","32,893264","38,09523"
17/03/2006 1.00,,"26,461009",
17/03/2006 2.00,"0,40182",,"43,956032"
17/03/2006 3.00,"0,30853","20,25848",
17/03/2006 4.00,"0,30096","12,748997","38,09523"
17/03/2006 5.00,"0,288341","19,461578",
17/03/2006 6.00,"0,275722","19,721152","31,746031"
17/03/2006 7.00,"0,338906","28,650516",
17/03/2006 8.00,"0,486546","18,856781","27,35042"
17/03/2006 9.00,"0,951731","14,632201",
17/03/2006 10.00,"0,466266","9,475765","22,954821"
17/03/2006 11.00,"0,9913","10,382978",
17/03/2006 12.00,"0,546306","7,373211","20,02442"
17/03/2006 13.00,"0,30853","7,50819",
17/03/2006 14.00,"0,427779","5,871574","19,53602"
17/03/2006 15.00,"0,386678","4,774872",
17/03/2006 16.00,"0,942357","5,347233","14,16361"
17/03/2006 17.00,"0,461309","5,309595",
17/03/2006 18.00,"0,648068","3,875446","17,582411"
17/03/2006 19.00,"0,641127","5,007191",
17/03/2006 20.00,"1,554461","5,945553","26,86202"
17/03/2006 21.00,"1,639458","4,722955",
17/03/2006 22.00,"1,31272","5,715828","25,88522"
17/03/2006 23.00,"0,384244","4,868319",
18/03/2006 0.00,"0,567848","4,867021","25,88522"
18/03/2006 1.00,"0,373788","10,584146",
18/03/2006 2.00,"0,331696","10,215548","28,81562"
18/03/2006 3.00,"0,317995","6,419276",
18/03/2006 4.00,"0,33494","5,329063","33,211231"
18/03/2006 5.00,"0,309162","5,370595",
18/03/2006 6.00,"0,310423","4,931914","35,164822"
18/03/2006 7.00,"0,350533","10,93716",
18/03/2006 8.00,"0,640316","11,661373","34,18803"
18/03/2006 9.00,"2,447966","6,279105",
18/03/2006 10.00,"3,060971","5,222637","25,88522"
18/03/2006 11.00,"2,873491","5,286232",
18/03/2006 12.00,"2,98706","5,606808","26,37361"
18/03/2006 13.00,"3,262873","6,89819",
18/03/2006 14.00,"3,042944","4,767084","27,35042"
18/03/2006 15.00,"2,981653","4,942296",
18/03/2006 16.00,"2,940191","4,857935","39,56044"
18/03/2006 17.00,"3,599975","5,151255",
18/03/2006 18.00,"3,019508","4,987721","29,79241"
18/03/2006 19.00,"1,537786","9,917041",
18/03/2006 20.00,"0,888547","18,527122","38,09523"
18/03/2006 21.00,"0,382891","24,989228",
18/03/2006 22.00,"0,829689","26,66867","40,537231"
18/03/2006 23.00,"0,637522","24,947679",
19/03/2006 0.00,"0,995266","15,652335","36,630032"
