,Regione Puglia,,,
,Scuola Elementare G.Ungaretti Via Ca del Fico,,,
Parm,SO2,NOX,NO,NO2



10/01/2006 1.00,,"28,1560164","0,70460363","27,09305912"
10/01/2006 2.00,3,,,
10/01/2006 3.00,3,"10,14493625","0,4443909","9,4692756"
10/01/2006 4.00,3,"3,93242761","0,20107376","3,62625522"
10/01/2006 5.00,3,"3,71712876","0,09462236","3,60029791"
10/01/2006 6.00,3,"3,7249106","0,16812553","3,48089351"
10/01/2006 7.00,3,"5,10489278","0,05913898","5,0331488"
10/01/2006 8.00,3,"6,62364982","0,22472935","6,28300026"
10/01/2006 9.00,3,"6,41094556","0,19938532","6,12985097"
10/01/2006 10.00,3,"6,5030313","0,21881608","6,19214775"
10/01/2006 11.00,3,"7,96212822","0,23740261","7,66263827"
10/01/2006 12.00,3,"7,01274182","0,09124299","7,10585049"
10/01/2006 13.00,4,"5,91679872","0,01520717","6,51791431"
10/01/2006 14.00,4,"7,40702299","0,28217989","7,21227623"
10/01/2006 15.00,4,"5,92847148","0,3793374","5,3887655"
10/01/2006 16.00,4,"9,29930836","0,57534211","8,42189347"
10/01/2006 17.00,4,"17,53250464","1,16082232","15,76135786"
10/01/2006 18.00,3,"13,94507066","0,76712323","12,77624786"
10/01/2006 19.00,4,"23,47262976","0,86765886","22,15595008"
10/01/2006 20.00,3,"27,44268744","0,74346764","26,3195404"
10/01/2006 21.00,3,"25,23004456","0,69615521","24,19752632"
10/01/2006 22.00,3,"32,3128","0,86512496","31,02432232"
10/01/2006 23.00,3,"22,26516352","0,4249589","21,62772184"
11/01/2006 0.00,3,"20,28337552","0,39707847","19,68740512"
11/01/2006 1.00,3,"17,52472089","0,29992096","17,07609877"
11/01/2006 2.00,3,"14,93336626","1,09069977","13,27074077"
11/01/2006 3.00,3,"11,4886019","0,17572849","11,23567298"
11/01/2006 4.00,3,"9,31876296","0,1596771","9,08510509"
11/01/2006 5.00,3,"8,76365774","0,2804902","8,33882854"
11/01/2006 6.00,3,"10,24999109","0,23317778","9,89887141"
11/01/2006 7.00,3,"15,08511214","0,22388513","14,75160962"
11/01/2006 8.00,3,"28,21957128","1,00621428","26,69331728"
11/01/2006 9.00,3,"57,0876356","4,47938985","50,24581128"
11/01/2006 10.00,3,"48,50942848","3,83223426","42,65584048"
11/01/2006 11.00,3,"50,2266148","2,858124","45,87067728"
11/01/2006 12.00,4,"45,92067608","2,41457857","42,24311616"
11/01/2006 13.00,3,"32,30243696","0,76712323","31,1502084"
11/01/2006 14.00,4,"23,31441176","0,72657079","22,21436168"
11/01/2006 15.00,4,"29,38814744","1,04169766","27,80820448"
11/01/2006 16.00,4,"28,22993432","0,98255869","26,74004656"
11/01/2006 17.00,4,"26,23908344","0,93693719","24,81789384"
11/01/2006 18.00,4,"38,82881952","1,80206339","36,08731744"
11/01/2006 19.00,4,"61,53624776","3,0127308","56,95062168"
11/01/2006 20.00,4,"55,51956616","2,73900058","51,3502972"
11/01/2006 21.00,4,"57,24453432","3,12425126","52,48464856"
11/01/2006 22.00,3,"23,43762104","0,24078198","23,16181504"
11/01/2006 23.00,3,"13,96582351","0,038864","14,5179919"
12/01/2006 0.00,3,"12,48597566",0,"13,49137983"
12/01/2006 1.00,,"21,8462252",0,"22,66213296"
12/01/2006 2.00,3,,,
12/01/2006 3.00,3,"11,61570592","0,28640348","11,4744856"
12/01/2006 4.00,3,"17,15767807","0,03294823","17,19161034"
12/01/2006 5.00,3,"12,04889438","0,02196591","12,13770104"
12/01/2006 6.00,3,"8,1787234",0,"8,63474305"
12/01/2006 7.00,3,"16,04227846","0,0988472","16,17277819"
12/01/2006 8.00,3,"55,55589416","2,27940252","52,09268856"
12/01/2006 9.00,4,"49,25390392","1,6719564","46,72079072"
12/01/2006 10.00,3,"17,88528011","0,13517605","18,20654582"
12/01/2006 11.00,3,"17,19529094","0,11912466","17,3551437"
12/01/2006 12.00,3,"21,5349516","0,66827603","20,90221344"
12/01/2006 13.00,3,"9,05677307","0,00844843","9,62372314"
12/01/2006 14.00,3,"10,79471989","0,02957011","11,36935046"
12/01/2006 15.00,3,"15,34710202","0,17234912","15,78731708"
12/01/2006 16.00,4,"52,46520352","5,0758524","44,7311444"
12/01/2006 17.00,4,"29,12484592","1,54522878","26,77119304"
12/01/2006 18.00,3,"50,97887208","4,51233809","44,0822116"
12/01/2006 19.00,3,"58,51429352","4,42109385","51,76302152"
12/01/2006 20.00,3,"22,73595528","0,43847638","22,07809344"
12/01/2006 21.00,3,"22,21197168","0,21881608","21,91456008"
12/01/2006 22.00,3,"23,10170176","0,10729562","23,08133896"
12/01/2006 23.00,3,"14,79977673",0,"15,42001041"
13/01/2006 0.00,3,"5,37336626",0,"6,39721166"
13/01/2006 1.00,3,"4,34875605",0,"5,2408073"
13/01/2006 2.00,3,"6,08540462","0,00844843","7,0098069"
13/01/2006 3.00,3,"5,40449362",0,"6,389426"
13/01/2006 4.00,3,"4,18922833",0,"5,08765801"
13/01/2006 5.00,3,"5,18141293",0,"6,07274335"
13/01/2006 6.00,3,"8,31101468",0,"9,14350904"
13/01/2006 7.00,3,"23,59585816","0,00929264","24,27538296"
13/01/2006 8.00,3,"30,24414984","0,03379495","30,6518456"
13/01/2006 9.00,4,"33,56829568","0,14193479","33,4617208"
13/01/2006 10.00,4,"43,18016824","2,51680514","39,50591608"
13/01/2006 11.00,4,"14,69602014",0,"15,99238099"
13/01/2006 12.00,4,"9,55610908","0,00760421","10,84501314"
13/01/2006 13.00,4,"18,81520999","0,6522234","17,92620074"
13/01/2006 14.00,4,"22,71390992","2,10029467","19,50310744"
13/01/2006 15.00,4,"20,30023936","2,23040166","16,88790826"
13/01/2006 16.00,4,"21,02395048","1,85528909","18,18837991"
13/01/2006 17.00,4,"23,47913056","1,49876182","21,19293304"
13/01/2006 18.00,4,"18,40277438","1,02311237","16,84378503"
13/01/2006 19.00,4,"13,68826994","0,41651047","13,05788546"
13/01/2006 20.00,4,"28,27014368","0,33033529","27,78744016"
13/01/2006 21.00,4,"62,7826232","2,11803698","59,61126528"
13/01/2006 22.00,4,"46,60417784","0,86512496","45,6072228"
13/01/2006 23.00,3,"12,09947634",0,"12,97482244"
14/01/2006 0.00,4,"7,52764151",0,"8,27912634"
14/01/2006 1.00,,"13,4016382",0,"14,2636156"
14/01/2006 2.00,4,,,
14/01/2006 3.00,3,"7,59119257",0,"8,36348761"
14/01/2006 4.00,3,"5,57828868","0,00253515","6,08442376"
14/01/2006 5.00,3,"10,0917597","0,00253515","10,5361238"
14/01/2006 6.00,3,"19,03829068","0,00253515","19,34087424"
14/01/2006 7.00,3,"39,5240036","1,04761343","38,00038816"
14/01/2006 8.00,4,"56,08895976","2,55735758","52,19911048"
14/01/2006 9.00,4,"54,35879096","3,07186978","49,67735456"
14/01/2006 10.00,4,"78,07007656","8,79741167","64,60936712"
14/01/2006 11.00,4,"49,5716592","2,22702229","46,21980848"
14/01/2006 12.00,4,"40,08815832","0,73670765","39,01271568"
14/01/2006 13.00,4,"47,3330896","1,65421409","44,82848432"
14/01/2006 14.00,4,"20,33136672","0,25260978","20,05600048"
14/01/2006 15.00,5,"17,28737477","0,13517605","17,45508202"
14/01/2006 16.00,5,"19,52593672","0,75698512","18,37656851"
14/01/2006 17.00,5,"21,03043216","1,22080677","19,16955904"
14/01/2006 18.00,4,"19,35085488","1,20897897","17,50698709"
14/01/2006 19.00,4,"24,29880496","0,85076326","23,00866384"
14/01/2006 20.00,4,"20,51553056","0,54746293","19,68870528"
14/01/2006 21.00,4,"27,33502272","0,39201066","26,97625504"
14/01/2006 22.00,4,"37,12589672","0,6665851","36,39361984"
14/01/2006 23.00,4,"52,29268376","1,40076009","50,45477376"
15/01/2006 0.00,4,"7,13854951",0,"7,98970117"
15/01/2006 1.00,4,"7,85577513",0,"8,66589335"
15/01/2006 2.00,4,"13,19931036","0,03294823","13,82622648"
15/01/2006 3.00,3,"11,23828477","0,00253515","11,86774002"
15/01/2006 4.00,3,"9,47829068",0,"9,87421234"
15/01/2006 5.00,4,"7,61842901","0,00084422","8,09093392"
15/01/2006 6.00,3,"8,73771763","0,00253515","9,40048949"
15/01/2006 7.00,3,"13,82964131","0,00506906","14,35056571"
15/01/2006 8.00,4,"36,87039616","0,74600154","35,85629048"
15/01/2006 9.00,4,"29,81872984","0,12926153","29,8860896"
15/01/2006 10.00,3,"21,97981664","0,22050452","22,02228216"
15/01/2006 11.00,4,"44,6301908","2,76012102","40,4209228"
15/01/2006 12.00,3,"35,02349976","1,43117442","32,84913512"
15/01/2006 13.00,4,"25,31304448","0,27204178","25,09044944"
15/01/2006 14.00,4,"27,75396104","0,19853986","27,56419504"
15/01/2006 15.00,4,"19,99544744","0,02027622","20,5115536"
