,Provincia di TARANTO,,,,,,
,TA V.Archimede,,,,,,
Parm,SO2,NOX,NO,NO2,CO,H2S,PM10



05/01/2006 13.00,"0,163644","23,362402","3,7735","17,58876","0,026217","0,091813","29,960251"
05/01/2006 14.00,"0,225097","27,443968","4,325019","20,826937","0,285952","0,060826","29,960251"
05/01/2006 15.00,"0,176619","21,040814","3,359016","15,901524","0,037453","0,070456","29,960251"
05/01/2006 16.00,"0,124868","34,342559","10,585426","18,124785","0,020137","0,130584","29,960251"
05/01/2006 17.00,"0,107697","38,998719","8,65596","25,744582","0,066435","0,057432","29,960251"
05/01/2006 18.00,"0,120286","41,007714","7,402355","29,678427","0,1304","0,082332","29,960251"
05/01/2006 19.00,"0,233251","43,300795","7,602831","31,665471","0,328857","0,099448","29,960251"
05/01/2006 20.00,"0,203581","26,371373","3,551033","20,94116","0,224597","0,074998","29,960251"
05/01/2006 21.00,"0,15424","21,429905","3,254972","16,450519","0,343713","0,050148","29,960251"
05/01/2006 22.00,"0,465222","26,406401","3,934219","20,388266","0,43198","0,105385","29,960251"
05/01/2006 23.00,"1,149409","38,354127","6,940502","27,731628","0,824936","0,13223","29,960251"
06/01/2006 0.00,"0,900119","31,625396","5,59385","23,064475","0,552552","0,109776","29,960251"
06/01/2006 1.00,"1,751046","48,767508","13,30832","28,381862","0,95706","0,13273","50,458271"
06/01/2006 2.00,"1,877254",,,,"0,78037","0,140613","50,458271"
06/01/2006 3.00,,"45,881766","12,101256","27,346149","0,836843","0,109975","50,458271"
06/01/2006 4.00,"0,839153","21,44547","4,222667","14,98133","0,406474","0,075795","50,458271"
06/01/2006 5.00,"0,233098","14,801075","3,490975","9,454999","0,207856",,"50,458271"
06/01/2006 6.00,"1,263212","35,031281","7,501323","23,545974","0,546577","1,531215","50,458271"
06/01/2006 7.00,"2,273602","44,364308","11,318802","27,028184","0,781863","0,401949","50,458271"
06/01/2006 8.00,"1,001425","34,022223","7,49371","22,547928","0,307454","0,084391","50,458271"
06/01/2006 9.00,"0,868739","34,883427","8,02831","22,589458","0,158799","0,124733","50,458271"
06/01/2006 10.00,"0,911772","42,889638","11,944765","24,592068","0,333535","0,16905","50,458271"
06/01/2006 11.00,"0,650881","34,389249","7,936955","22,235145","0,266962","0,115372","50,458271"
06/01/2006 12.00,"0,431231","27,32724","5,291022","19,22797","0,336168","0,073277","50,458271"
06/01/2006 13.00,"0,185582","15,550723","3,318414","10,469926","0,127555","0,092203","50,458271"
06/01/2006 14.00,"0,22234","14,540383","3,435993","9,278488","0,054824","0,073211","50,458271"
06/01/2006 15.00,"0,215168","13,85947","3,149236","9,037083","0,049559","0,122039","50,458271"
06/01/2006 16.00,"0,112963","12,103367","3,089179","7,371913","0,047692","0,074691","50,458271"
06/01/2006 17.00,"0,140756","13,977496","3,167001","9,127934","0,084991","0,074894","50,458271"
06/01/2006 18.00,"0,163168","16,23942","3,096791","11,499142","0,182217","0,066205","50,458271"
06/01/2006 19.00,"0,147928","18,629744","3,48167","13,300585","0,130641","0,072335","50,458271"
06/01/2006 20.00,"0,183789","21,571279","3,750662","15,831441","0,255478","0,103248","50,458271"
06/01/2006 21.00,"0,484127","27,499742","4,046722","21,309756","0,73828","0,042903","50,458271"
06/01/2006 22.00,"1,710581","53,190215","12,972504","33,322852","1,292756","0,107829","50,458271"
06/01/2006 23.00,"1,670236","51,103381","11,422008","33,613571","1,293739","0,08641","50,458271"
07/01/2006 0.00,"1,539343","42,322845","6,713803","32,050933","1,613716","0,136049","50,458271"
