,Provincia di TARANTO,,,,,,,
10/04/2006 8.00,"45,505637","9,585589","30,829642","0,657317","116,425469","0,00044","0,037372","0,02213"
10/04/2006 9.00,"32,714874","5,789248","23,854877","0,644452","118,826252","0,124118","0,905232","0,465332"
10/04/2006 10.00,"22,528444","3,307417","17,482332","0,46253","109,958158","0,104312","0,09343","0,000598"
10/04/2006 11.00,"33,565696","6,929505","22,956752","0,571772","107,830867",0,0,0
10/04/2006 12.00,"25,428471","4,660837","18,294796","0,543994","112,132845","0,003961","0,576151","0,254198"
10/04/2006 13.00,"33,695385","8,259237","21,046282","0,610611","107,226905","0,03345","0,57096","0,352887"
10/04/2006 14.00,"28,748735","6,508253","18,785395","0,516216","101,914695","0,110914","1,112854","0,577778"
10/04/2006 15.00,"16,549397","2,59518","12,578975","0,41494","103,115802",0,0,0
10/04/2006 16.00,"22,497318","5,401832","14,224677","0,45296","98,506459",0,0,0
10/04/2006 17.00,"23,075755","5,733421","14,294761","0,495568","94,993877",0,"0,003114",0
10/04/2006 18.00,"24,83447","7,511474","13,326544","0,534735","90,755506",0,0,0
10/04/2006 19.00,"29,947139","8,281232","17,261692","0,573166","90,777165","0,076143","0,3405","0,098091"
10/04/2006 20.00,"18,170615","4,672679","11,013741","0,458204","97,320268",0,"0,001038",0
10/04/2006 21.00,"17,146005","4,305564","10,556884","0,450174","96,949242",0,0,0
10/04/2006 22.00,"6,339612","0,659791","5,767743","0,333247","98,939767",0,0,0
10/04/2006 23.00,"4,199605","0,165794","4,223275","0,321611","102,093469",0,0,0
11/04/2006 0.00,"3,019358","0,005075","3,40302","0,310304","103,819977",0,0,0
11/04/2006 1.00,"1,271035",0,"3,293999","0,272858","101,672383",0,0,0
11/04/2006 2.00,"0,892319",0,"3,135659","0,297685","98,304701",0,0,0
11/04/2006 3.00,"0,915664",0,"2,458168","0,282935","92,412951",0,0,0
11/04/2006 4.00,"0,357965",0,"2,72034","0,280396","91,638387",0,0,0
11/04/2006 5.00,"0,451347",0,"2,450383","0,310467","92,408879",0,0,0
11/04/2006 6.00,"5,473234","1,136872","4,737234","0,321446","93,318838",0,0,0
11/04/2006 7.00,"11,242175","2,004752","8,251873","0,424691","91,650579",0,"0,20866","0,058017"
11/04/2006 8.00,"26,668384","7,053005","15,865182","0,555302","88,702668",0,"0,221117","0,001794"
11/04/2006 9.00,"19,275636","5,129457","11,418674","0,598893","94,009451",0,0,0
11/04/2006 10.00,"16,479359","4,085633","10,222037","0,553499","100,104314",0,0,0
11/04/2006 11.00,"15,332835","4,246352","8,828126","0,449682","97,551812",0,"0,001038",0
11/04/2006 12.00,"17,216041","4,735274","9,962466","0,51974","91,038511",0,"0,001038",0
11/04/2006 13.00,"30,476305","8,72786","17,105953","0,667231","87,951133",0,"0,001038",0
11/04/2006 14.00,"14,71288","3,24313","9,772978","0,439604","90,196247",0,0,0
11/04/2006 15.00,"10,191627","2,01321","7,109743","0,440752","90,182716",0,0,0
11/04/2006 16.00,"12,022956","2,716987","7,862509","0,507614","93,398738",0,"0,001038",0
11/04/2006 17.00,"18,453355","5,609921","9,861231","0,63806","91,36214",0,"0,057096","0,110053"
11/04/2006 18.00,"15,148663","3,828483","9,290168","0,608808","92,105562",0,"0,09343","0,043662"
11/04/2006 19.00,"28,403734","8,22202","15,808078","0,682963","83,21985","0,076143","0,471302","0,210536"
11/04/2006 20.00,"42,76643","11,433005","25,253982","0,871259","63,777478","0,280366","2,741648","1,397193"
11/04/2006 21.00,"45,964765","10,363801","30,095052","0,901987","58,027888","0,154047","2,404262","1,720773"
11/04/2006 22.00,"20,333967","1,772978","17,627697","0,615938","66,64954","0,073062","0,833602","0,689625"
11/04/2006 23.00,"25,029017","1,918471","22,183215","0,730897","45,450869",0,0,0
12/04/2006 0.00,"13,929506","0,903407","12,991697","0,563414","75,502749","0,002641","0,069554",0
12/04/2006 1.00,"2,925975",0,"4,526977","0,470495","98,853132",0,0,0
12/04/2006 2.00,,,,"0,51089","101,037294",0,0,0
12/04/2006 3.00,"30,097575",0,"31,525305",,"100,113812",0,0,0
12/04/2006 4.00,"21,555714",0,"22,75169","0,43732",,0,0,0
12/04/2006 5.00,"17,400212",0,"18,515445","0,420276","95,628966",0,0,0
12/04/2006 6.00,"17,703703","0,015226","18,211733","0,483534","98,031171",0,0,0
12/04/2006 7.00,"38,190708","1,984451","35,283931","0,808021","75,034227",0,0,0
12/04/2006 8.00,"37,124595","3,754046","31,390317","0,882669","78,43983",0,"0,001038",0
12/04/2006 9.00,"30,668251","3,601786","25,163124","0,881194","88,41152",0,"0,006229",0
12/04/2006 10.00,"20,969478","2,180696","17,638083","0,566541","91,454233",0,0,0
12/04/2006 11.00,"21,40786","2,041971","18,28961","0,597842","89,141411",0,0,0
12/04/2006 12.00,"25,08607","3,163617","20,249398","0,582519","90,398019",0,0,0
12/04/2006 13.00,"36,732883","7,031011","25,970409","0,665443","84,442623",0,0,0
12/04/2006 14.00,"29,866721","5,325704","21,715979","0,598334","88,219238","0,00044","0,003114",0
12/04/2006 15.00,"28,590498","4,655762","21,466788","0,660363","89,054729",0,"0,002077",0
12/04/2006 16.00,"32,149401","5,724962","23,38764","0,661264","95,102233",0,0,0
12/04/2006 17.00,"49,080101","10,076203","33,653818","0,887094","90,308644","0,093749","0,887584","0,536508"
12/04/2006 18.00,"102,432452","27,007463","61,064881","1,622679","58,650785","0,665043","4,598827","2,979802"
12/04/2006 19.00,"104,992679","25,378284","66,126575","1,809669","49,353427","0,650519","4,329956","3,113779"
12/04/2006 20.00,"108,323289","27,078517","66,850803","1,629889","44,21321","1,138627","7,746376","5,681481"
12/04/2006 21.00,"106,665774","26,366281","66,284928","1,408649","35,485923","0,601224","3,321952","2,327858"
12/04/2006 22.00,"61,424719","8,492703","48,436578","0,961742","50,356832","0,870586","4,897802","3,195123"
12/04/2006 23.00,"26,333765","2,607023","22,351948","0,645203","63,223625","0,22755","1,234313","0,357074"
13/04/2006 0.00,"15,338022","1,41263","13,18897","0,440925","80,531946",0,0,0
13/04/2006 1.00,"12,113743","0,31467","12,116929","0,435844","72,416725",0,0,0
13/04/2006 2.00,"9,831067","0,270684","10,354424","0,387417","81,152111",0,0,0
13/04/2006 3.00,"7,403132",0,"9,064339","0,376519","71,145208",0,0,0
13/04/2006 4.00,"7,719593",0,"9,105871","0,413474","63,799121",0,0,0
13/04/2006 5.00,"12,347198","0,879722","11,797655","0,421094","61,36985",0,0,0
13/04/2006 6.00,"33,192167","4,79787","25,853586","0,68306","51,135441","0,003961","0,013496","0,000598"
13/04/2006 7.00,"59,494784","10,624331","43,234696","0,924787","34,929399","0,248235","2,327442","0,904348"
13/04/2006 8.00,"57,764635","13,194133","37,560397","0,956826","39,219226","1,63862","13,502689","4,808832"
13/04/2006 9.00,"68,060011","18,467396","39,771971","1,34621","53,440146","0,448937","2,73542","1,679503"
13/04/2006 10.00,"61,686702","16,334066","36,667473","1,076541","74,140501","0,733703","5,821719","3,930204"
13/04/2006 11.00,"64,490765","14,689659","41,996543","1,17397","80,423598","0,487228","3,522306","2,289579"
13/04/2006 12.00,"67,948483","16,83314","42,167857","1,125952","75,611082","0,126759","1,558203","0,878629"
13/04/2006 13.00,"57,941036","13,911444","36,636329","1,002385","78,411383","0,370153","1,926732","0,998252"
13/04/2006 14.00,"28,686481","4,138079","22,35713","0,629635","94,216627","0,081425","0,857478","0,514976"
13/04/2006 15.00,"29,967884","4,549179","23,008663","0,657741","88,594343",0,"0,047753",0
13/04/2006 16.00,"29,0185","5,543941","20,532337","0,715427","85,466318","0,040053","0,288594","0,112446"
13/04/2006 17.00,"43,293013","9,812286","28,267639","0,855219","75,739719","0,082305","0,460921","0,119025"
13/04/2006 18.00,"50,670197","11,453301","33,132052","0,958464","83,911819","0,115755","0,947794","0,408512"
13/04/2006 19.00,"44,086761","8,392888","31,239767","0,870952","87,876659","0,09815","0,976861","0,409708"
13/04/2006 20.00,"54,87239","10,697077","38,49747","1,055401","73,439066","0,161089","1,37861","0,746445"
13/04/2006 21.00,"52,392565","8,074835","40,039344","1,030491","62,397616","0,247356","1,15334","0,425857"
13/04/2006 22.00,"24,401268","1,723918","21,830202","0,82531","71,104577","0,199821","0,436006","0,166873"
13/04/2006 23.00,"14,894457","0,654716","13,920977","0,583584","72,389633","0,250436","1,279989","0,732689"
14/04/2006 0.00,"9,465321",0,"10,185694","0,518605","73,310444",0,0,0
14/04/2006 1.00,"7,535423",0,"9,007233","0,451085","73,118146",0,0,0
14/04/2006 2.00,,,,"0,41921","76,029489",0,0,0
14/04/2006 3.00,"40,60826",0,"41,845994",,"79,890076",0,0,0
14/04/2006 4.00,"24,930433",0,"26,385714","0,462885",,0,0,0
14/04/2006 5.00,"20,385839","0,001692","21,516117","0,474193","59,471368",0,0,0
14/04/2006 6.00,"22,863065","0,142109","22,85033","0,569736","57,403651",0,0,0
14/04/2006 7.00,"35,666792","3,630546","30,23522","0,709199","50,358191","0,00044",0,0
14/04/2006 8.00,"33,858804","4,185448","27,460372","0,817853","59,42668","0,000881","0,099659","0,002392"
14/04/2006 9.00,"43,645776","9,330131","29,360441","0,899794","72,812112","0,000881","0,259527","0,059812"
14/04/2006 10.00,"57,087633","14,784395","34,44292","1,030245","78,090463","0,082305","1,588308","1,102323"
14/04/2006 11.00,"54,283552","14,457892","32,137888","0,974279","81,88605","0,113995","1,331895","0,733885"
14/04/2006 12.00,"52,610475","13,821785","31,439647","0,95322","86,100052","0,240313","3,047891","1,777594"
14/04/2006 13.00,"48,125516","11,876245","29,9367","0,894058","90,09334","0,120157","1,678623","1,407959"
14/04/2006 14.00,"26,224819","4,12116","19,948278","0,692729","99,86194","0,03345","0,793116","0,286496"
14/04/2006 15.00,"27,975734","4,689597","20,799691","0,772704","101,522079",0,0,0
14/04/2006 16.00,"46,177475","10,064361","30,767347","0,907989","95,66959","0,073503","0,64259","0,337934"
14/04/2006 17.00,"56,179739","13,49865","35,507177","1,089898","86,867827","0,039612","0,920803","0,474902"
14/04/2006 18.00,"65,123676","15,320692","41,661675","1,210679","80,052587","0,192339","2,590084","1,792546"
14/04/2006 19.00,"113,998868","31,639544","65,532138","1,824582","51,365645","0,381597","3,093567","2,370922"
14/04/2006 20.00,"88,998381","17,135962","62,767672","1,495424","46,547699","0,999545","6,28264","6,02061"
14/04/2006 21.00,"119,902703","27,943012","77,111763","1,875959","27,781013","1,039598","6,416557","5,375845"
14/04/2006 22.00,"117,199804","24,381829","79,871043","1,74854","28,022049","0,894793","4,879116","3,350033"
14/04/2006 23.00,"71,14424","10,223377","55,507384","1,097028","51,456375","0,737225","4,111954","2,671773"
15/04/2006 0.00,"21,384515","0,514299","21,27989","0,762625","69,922435","0,264521","1,107664","0,55804"
15/04/2006 1.00,"16,468983","0,027069","17,087776","0,660363","62,856663",0,0,0
15/04/2006 2.00,"19,190035","0,143802","19,499206","0,638321","52,401547",0,0,0
15/04/2006 3.00,"19,41311","0,428019","19,984626","0,66446","48,146909","0,000881",0,0
15/04/2006 4.00,"14,889269","0,055828","15,981994","0,656348","51,1842",0,"0,003114",0
15/04/2006 5.00,"13,423687",0,"15,48621","0,636026","57,50386",0,"0,094468",0
15/04/2006 6.00,"55,710229","8,467327","43,133474","0,973541","34,165673","0,007042","0,179593","0,043662"
15/04/2006 7.00,"132,117588","42,976123","66,269327","1,973551","13,844473","0,503514","5,128263","2,938532"
15/04/2006 8.00,"75,564325","16,369593","50,500181","1,442654","43,452197","1,307639","12,79989","9,902966"
15/04/2006 9.00,"45,619784","6,888902","35,081469","1,077443","72,785042","0,538284","4,295699","2,959466"
15/04/2006 10.00,"41,894843","7,081764","31,058067","0,982637","99,199759","0,117956","0,7246","0,218311"
15/04/2006 11.00,"41,931173","7,541926","30,388372","0,942321","98,816556","0,147005","1,047453","0,443202"
15/04/2006 12.00,"44,060795","8,949482","30,359806","0,893485","105,653425","0,276404","2,503921","1,262618"
15/04/2006 13.00,"32,141619","5,352771","23,950917","0,817362","114,900711","0,036091","1,220817","0,579572"
15/04/2006 14.00,"17,973475","1,243454","16,078037","0,657741","125,282688",0,0,0
15/04/2006 15.00,"15,244639","0,698703","14,183145","0,666099","124,894006",0,0,0
15/04/2006 16.00,"15,478096","0,769757","14,30774","0,691665","126,745164",0,0,0
15/04/2006 17.00,"22,956446","2,593488","18,993053","0,81179","124,737013",0,0,0
15/04/2006 18.00,"33,672041","6,298472","24,031392","0,913806","120,346916",0,"0,004152",0
15/04/2006 19.00,"55,858065","12,54618","36,64669","1,059907","100,077236","0,202902","1,315285","0,671682"
15/04/2006 20.00,"59,357331","12,627396","40,023779","1,058269","86,140691","0,036532","0,931185","0,582563"
15/04/2006 21.00,"62,872125","12,121551","44,317136","0,988209","78,156818","0,274204","2,384539","1,492293"
15/04/2006 22.00,"49,279828","7,969945","37,098363","0,781963","83,259112",0,"0,20866","0,001196"
15/04/2006 23.00,"41,539479","4,7505","34,300149","0,782455","83,948363","0,00044","0,241879","0,107661"
16/04/2006 0.00,"32,055998","3,067185","27,372115","0,61423","88,13936","0,279045","1,871712","0,812238"
16/04/2006 1.00,"28,901771","3,833558","23,09172","0,574734","89,164432",0,0,0
16/04/2006 2.00,,,,"0,509428","88,664746",0,0,0
16/04/2006 3.00,"24,497251",0,"25,316276",,"86,031004",0,0,0
16/04/2006 4.00,"23,296247",0,"24,044374","0,540522",,0,0,0
16/04/2006 5.00,"14,466455",0,"16,041693","0,486954","104,845049",0,0,0
16/04/2006 6.00,"16,048764","0,175944","16,379143","0,52881","94,323598",0,0,0
16/04/2006 7.00,"21,413042","2,429387","18,297401","0,470572","94,226087",0,0,0
16/04/2006 8.00,"13,955446","0,203013","13,845694","0,531512","103,606013","0,00044","0,716295","0,489257"
16/04/2006 9.00,"20,668585","1,778054","17,954761","0,632508","102,469921","0,079224","1,165797","0,70099"
16/04/2006 10.00,"30,961378","5,789248","22,100156","0,747101","101,519369","0,00044","0,275099","0,104072"
16/04/2006 11.00,"44,766362","9,1102","30,81926","1,083995","91,77379","0,059859","0,574075","0,260179"
16/04/2006 12.00,"31,762908","6,584383","21,682233","0,80886","103,718433","0,452899","3,139244","1,900804"
16/04/2006 13.00,"38,564237","8,169574","26,056066","0,795098","99,986506","0,000881","0,096544",0
16/04/2006 14.00,"8,969876","0,164101","9,484848","0,570748","115,891925",0,0,0
16/04/2006 15.00,"10,751919","0,262225","10,743782","0,597287","117,225702",0,0,0
16/04/2006 16.00,"14,919984","0,997236","13,47963","0,650708","116,857386",0,0,0
16/04/2006 17.00,"20,276893","2,106258","17,074796","0,747101","109,921628",0,"0,095506","0,003589"
16/04/2006 18.00,"35,090936","5,483039","26,702398","0,867097","100,827416","0,116636","0,618713","0,263768"
16/04/2006 19.00,"41,254154","7,330454","30,03534","0,856285","93,69258",0,"0,281328","0,047251"
16/04/2006 20.00,"62,540087","11,539584","44,877814","1,119298","67,64618","0,117515","0,721486","0,209339"
16/04/2006 21.00,"71,331002","13,282108","51,001164","1,089564","60,574982","0,194539","1,397296","0,601702"
16/04/2006 22.00,"50,504178","6,482876","40,615601","0,863248","66,538498","0,073503","0,605218","0,260777"
16/04/2006 23.00,"49,422504","5,596387","40,869994","0,947288","64,554731",0,"0,112116","0,002392"
17/04/2006 0.00,"39,46433","3,446143","34,297549","0,77929","63,749026","0,079224","1,25196","0,470117"
17/04/2006 1.00,"16,907362","0,312978","16,620541","0,597369","73,379515",0,"0,045677","0,000598"
17/04/2006 2.00,"14,152587","0,032144","14,798338","0,579431","57,195113",0,0,0
17/04/2006 3.00,"15,057875","0,576895","14,562116","0,651839","49,417087",0,"0,110039",0
17/04/2006 4.00,"15,817902","0,632723","15,273353","0,603511","25,374764",0,"0,308319",0
17/04/2006 5.00,"9,65468","0,028761","11,146118","0,565178","24,684154",0,"0,213851",0
17/04/2006 6.00,"15,90869","1,688389","13,998841","0,728998","29,963862",0,"0,519055","0,002392"
17/04/2006 7.00,"32,172745","4,970431","24,568702","0,717449","39,419644","0,000881","0,807649","0,146537"
17/04/2006 8.00,"22,63219","3,34802","17,510883","0,781994","44,094048","0,076583","1,290371","0,491051"
17/04/2006 9.00,"30,305103","7,296619","19,130612","0,973089","45,422418","0,039172","0,68619","0,322383"
17/04/2006 10.00,"48,122934","11,138631","31,065849","1,142396","63,101769","0,469623","3,49843","2,091603"
17/04/2006 11.00,"55,692086","11,030354","38,806373","1,301466","71,363229","0,320418","2,446825","1,322429"
17/04/2006 12.00,"47,419971","8,954557","33,71351","1,304824","86,005266","0,343745","3,016747","2,065286"
17/04/2006 13.00,"19,947455","2,659468","15,880754","0,822293","87,854992","0,153607","1,203169","0,525742"
17/04/2006 14.00,"9,571672","0,228389","9,508212","0,656262","97,633045",0,0,0
17/04/2006 15.00,"12,83486","0,59212","12,031273","0,665927","99,990578",0,0,0
17/04/2006 16.00,"15,216107","0,969387","13,739267","0,716383","96,840894",0,0,0
17/04/2006 17.00,"16,567554","1,106419","14,881402","0,672889","99,312178",0,0,0
17/04/2006 18.00,"24,128905","2,469989","20,35582","0,73809","95,601873",0,0,0
17/04/2006 19.00,"35,090936","2,583339","31,151506","0,847604","73,276593","0,000881","0,437045","0,209339"
17/04/2006 20.00,"69,447798","12,351632","50,54433","1,032965","47,270786","0,037852","0,19205","0,043064"
17/04/2006 21.00,"53,34715","7,827837","41,373555","0,991027","51,989901","0,115316","0,945718","0,353485"
17/04/2006 22.00,"56,177139","9,504383","41,633131","0,94909","33,541417","0,073943","0,528398","0,205153"
17/04/2006 23.00,"32,665602","3,336178","27,636889","0,711141","38,57061","0,069982","0,460921","0,196779"
18/04/2006 0.00,"18,393694","1,556432","16,202632","0,583199","51,369713",0,0,0
18/04/2006 1.00,"7,076293",0,"7,992295","0,530694","56,612832",0,0,0
18/04/2006 2.00,,,,"0,508742","51,067731",0,0,0
18/04/2006 3.00,"13,042377",0,"14,720463",,"53,498381",0,0,0
18/04/2006 4.00,"12,126712",0,"14,097478","0,473556",,0,0,0
18/04/2006 5.00,"13,216172","0,241923","14,063739","0,493218","82,1149",0,0,0
18/04/2006 6.00,"15,267985","0,663176","14,4557","0,527875","89,228054",0,0,0
18/04/2006 7.00,"25,755309","3,038426","21,111176","0,661749","81,214416",0,"0,05502",0
18/04/2006 8.00,"40,382585","7,924267","28,252056","0,81504","71,606957","0,00132","0,019724","0,007177"
18/04/2006 9.00,"75,206357","18,619643","46,689642","1,257543","52,439454","0,237673","2,818468","1,282356"
18/04/2006 10.00,"74,604576","20,864628","42,642874","1,140712","59,086814","0,652719","5,910998","3,868599"
18/04/2006 11.00,"49,45363","12,720435","29,970446","0,817334","76,319283","0,22799","1,781396","0,939637"
18/04/2006 12.00,"32,969093","7,181578","21,972971","0,752199","92,758246","0,00132","0,110039","0,010168"
18/04/2006 13.00,"29,804465","5,647139","21,160485","0,720411","100,945224","0,074382","0,700724","0,364251"
18/04/2006 14.00,"21,426005","2,715296","17,277266","0,608167","99,390702",0,0,0
18/04/2006 15.00,"21,586842","3,37678","16,420675","0,718035","86,777112",0,0,0
18/04/2006 16.00,"26,932966","5,247882","18,899615","0,798654","84,225965",0,0,0
18/04/2006 17.00,"34,458007","7,284777","23,304583","0,939083","92,343879","0,00044","0,715258","0,375017"
18/04/2006 18.00,"36,922268","7,73648","25,077467","0,924252","91,604537",0,"0,007266","0,001794"
18/04/2006 19.00,"25,980981","4,939978","18,421996","0,868868","92,58897","0,00044","0,25849","0,093904"
18/04/2006 20.00,"28,938081","6,156364","19,512189","0,842241","92,186818",0,"0,002077",0
18/04/2006 21.00,"22,250881","4,452748","15,434292","0,694357","96,802987",0,"0,095506","0,05383"
18/04/2006 22.00,"10,541809","0,634415","9,627616","0,56499","99,543715",0,0,0
18/04/2006 23.00,"9,841444","0,661484","8,900807","0,502969","95,410953",0,0,0
19/04/2006 0.00,"7,538016","0,174252","7,867702","0,427838","89,184736",0,0,0
19/04/2006 1.00,"4,544598",0,"6,250554","0,411453","86,208378",0,0,0
19/04/2006 2.00,"2,051813",0,"4,630809","0,383187","89,424416",0,0,0
19/04/2006 3.00,"3,530365",0,"4,625615","0,366883","81,37284",0,0,0
19/04/2006 4.00,"2,077753",0,"3,730084","0,384989","79,096586",0,0,0
19/04/2006 5.00,"1,85208",0,"4,150594","0,389987","76,209595",0,0,0
19/04/2006 6.00,"7,325314","0,3908","7,966338","0,470197","71,345611",0,0,0
19/04/2006 7.00,"27,000402","4,970431","19,392784","0,637661","59,082743",0,"0,001038",0
19/04/2006 8.00,"22,136753","3,913072","16,148121","0,755805","61,849209","0,00176","0,014534","0,007177"
19/04/2006 9.00,"13,760901","2,163778","10,450457","0,626929","70,75387","0,268922","2,320176","1,695652"
19/04/2006 10.00,"18,186178","2,83372","13,850881","0,598253","70,94479",0,0,0
19/04/2006 11.00,"17,97088","2,277127","14,489439","0,626109","79,663943",0,"0,234613",0
19/04/2006 12.00,"15,597417","1,317892","13,586119","0,601367","84,462935",0,0,0
19/04/2006 13.00,"16,015044","1,942156","13,046208","0,654457","88,291018",0,"0,005191","0,001196"
19/04/2006 14.00,"21,524589","3,997661","15,405741","0,63037","86,220569","0,00044","0,237727","0,044859"
19/04/2006 15.00,"18,850229","3,185608","13,975477","0,573837","87,689787",0,"0,091354",0
19/04/2006 16.00,"21,568679","4,153304","15,211061","0,659865","89,455565",0,"0,053981","0,049045"
19/04/2006 17.00,"34,079296","8,137431","21,617339","0,805209","88,014771",0,"0,219041","0,05084"
19/04/2006 18.00,"37,13756","7,802459","25,191688","0,830115","86,258476","0,000881","1,03811","0,218909"
19/04/2006 19.00,"57,803565","13,302397","37,43321","1,031172","72,557554","0,037411","1,659937","0,432437"
19/04/2006 20.00,"68,568447","15,459421","44,895975","1,159309","57,126046","0,347266","3,357247","1,922935"
19/04/2006 21.00,"56,867123","10,285983","41,124366","1,056488","58,241852","0,661962","4,744162","3,101218"
19/04/2006 22.00,"40,769097","5,946585","31,673254","0,818399","61,086841","0,036091","0,6374","0,256591"
19/04/2006 23.00,"19,864457","0,784983","18,847696","0,631271","72,10662",0,"0,056058",0
20/04/2006 0.00,"12,67663","0,179329","12,942373","0,530087","74,093119",0,0,0
20/04/2006 1.00,"8,178723",0,"9,10068","0,481585","72,193286",0,0,0
20/04/2006 2.00,,,,"0,514849","69,18173",0,0,0
20/04/2006 3.00,"39,67444",0,"40,722023",,"57,159904",0,0,0
20/04/2006 4.00,"36,935232","0,064288","37,840734","0,634447",,0,0,0
20/04/2006 5.00,"36,515013","0,027069","37,342352","0,593378","39,502235","0,000881",0,0
20/04/2006 6.00,"59,598548","5,286792","51,528112","0,948222","16,585199","0,072622","0,138069","0,007776"
20/04/2006 7.00,"76,490362","13,47159","55,873382","1,19037","13,920302","0,39304","2,220517","1,071819"
20/04/2006 8.00,"112,642247","28,848122","68,457554","1,580698","15,463987","0,782559","3,340637","1,724361"
20/04/2006 9.00,"81,372175","17,8059","54,10828","1,382166","38,467688","1,7711","6,069829","3,922429"
20/04/2006 10.00,"46,31755","7,245867","35,232022","0,940419","79,387711","0,16285","1,413905","0,607683"
20/04/2006 11.00,"56,823051","10,101579","41,363173","1,068556","81,333579","0,273763","1,907008","1,0461"
20/04/2006 12.00,"51,762236","8,836134","38,240495","1,055907","81,775008","0,116636","0,771315","0,375017"
20/04/2006 13.00,"59,756785","14,092471","38,175603","0,981406","85,309256","0,000881","0,3405","0,256591"
20/04/2006 14.00,"31,877036","5,085472","24,096286","0,6848","102,66629","0,036532","0,281328","0,109455"
20/04/2006 15.00,"43,858486","7,039469","33,087944","0,833554","88,545583",0,"0,005191","0,002392"
20/04/2006 16.00,"49,832359","7,680652","38,082145","1,025679","84,114923","0,044893","0,931185","0,322981"
20/04/2006 17.00,"33,887351","4,801253","26,544066","0,832733","100,842302","0,188378","1,952685","0,686635"
20/04/2006 18.00,"42,724921","7,880282","30,663506","1,066257","92,97221",0,"0,002077",0
20/04/2006 19.00,"57,676454","11,355176","40,293715","1,063135","71,0924","0,072182","1,019423","0,495238"
20/04/2006 20.00,"36,20634","3,85386","30,318277","0,883085","74,614457","0,040053","0,775468","0,305636"
20/04/2006 21.00,"68,293467","14,339452","46,339212","1,151352","44,600481","0,19674","1,294523","0,6023"
20/04/2006 22.00,"43,801395","5,259724","35,761548","0,852036","57,06917","0,227109","1,983828","0,890591"
20/04/2006 23.00,"30,943194","1,295899","28,976282","0,690878","74,916419",0,"0,006229",0
21/04/2006 0.00,"21,812517","0,465238","21,713399","0,635598","80,365386",0,"0,134954","0,001196"
21/04/2006 1.00,"22,896773","1,617335","21,077428","0,607177","68,065951",0,0,0
21/04/2006 2.00,"19,542801","0,713929","19,460278","0,638308","61,254759",0,0,0
21/04/2006 3.00,"13,511882",0,"15,211061","0,610544","65,522924",0,0,0
21/04/2006 4.00,"10,679288",0,"12,976124","0,602002","62,622413",0,0,0
21/04/2006 5.00,"14,175932","0,003383","15,462845","0,617116","51,705533",0,0,0
21/04/2006 6.00,"40,836534","5,868763","31,901682","0,89713","28,129021","0,274644","0,444311","0,046653"
21/04/2006 7.00,"90,303129","23,332929","54,565132","1,641481","20,146527","0,471824","3,638575","1,969588"
21/04/2006 8.00,"107,926432","30,825789","60,704047","1,672776","32,512296","0,465662","3,468325","2,13407"
21/04/2006 9.00,"92,453516","24,769247","54,513201","2,110089","54,531569","1,613092","9,933673","7,02604"
21/04/2006 10.00,"56,236812","12,241667","37,492923","1,144125","78,648368","0,82085","6,250459","4,543868"
21/04/2006 11.00,"50,224013","10,439932","34,240458","1,159239","89,474514","0,079224","0,872012","0,375017"
21/04/2006 12.00,"36,587629","5,347696","28,407807","1,076852","97,239013","0,235032","2,224669","1,19862"
21/04/2006 13.00,"67,048389","15,212415","43,753862","1,197269","90,727074","0,040932","0,7246","0,37741"
21/04/2006 14.00,"61,463609","12,3584","42,544234","1,233822","78,934067","0,440134","3,208798","1,858339"
21/04/2006 15.00,"44,556253","9,235391","30,416917","0,840947","84,131163","0,342425","2,60877","1,710605"
21/04/2006 16.00,"54,306917","11,443147","36,786878","0,968264","90,050014","0,234151","3,126787","1,816471"
21/04/2006 17.00,"62,649033","12,713664","43,185387","1,150943","85,555694","0,35959","3,221255","1,729744"
21/04/2006 18.00,"61,912376","11,411011","44,446906","1,135417","78,12837","0,269363","2,624342","1,454612"
21/04/2006 19.00,"65,971897","12,613854","46,663676","1,127532","67,917001","0,452899","3,290808","2,061697"
21/04/2006 20.00,"110,74086","30,737826","63,655432","1,618729","38,177918","0,489429","3,577327","2,236346"
21/04/2006 21.00,"59,429969","9,049297","45,594237","1,13049","45,706785","0,748669","5,252835","3,582102"
21/04/2006 22.00,"40,278822","4,143154","33,949738","0,773427","56,305463","0,349907","2,602541","1,502461"
21/04/2006 23.00,"22,193826","0,663176","21,464188","0,679296","59,189736","0,00308","0,094468","0,001196"
22/04/2006 0.00,"19,361237","0,08628","19,532972","0,602414","55,828798",0,0,0
22/04/2006 1.00,"12,437986","0,052445","13,118885","0,557318","66,790369",0,0,0
22/04/2006 2.00,,,,"0,494727","83,588167",0,0,0
22/04/2006 3.00,"35,233608",0,"36,677856",,"102,287083",0,0,0
22/04/2006 4.00,"30,20394",0,"31,193055","0,526262",,0,0,0
22/04/2006 5.00,"30,650104",0,"32,018486","0,557903","53,651394",0,0,0
22/04/2006 6.00,"38,19849","0,461854","37,845935","0,680862","47,789426","0,000881",0,0
22/04/2006 7.00,"68,641085","10,925472","51,925254","1,074738","33,445276","0,477986","4,136868","2,543777"
22/04/2006 8.00,"66,669678","10,834116","50,092657","1,074574","39,873269","0,567333","1,675509","0,656729"
22/04/2006 9.00,"54,478118","8,873351","40,901138","1,124086","60,522174","1,766259","4,211611","2,306924"
