, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NOX,NO2,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,,,,,
,,,,,,,
12/01/2007 16.00,"0,43050525","15,35099294","9,70938074","49,94939041"
12/01/2007 17.00,"0,42003524","18,66346602","12,54393412","49,94939041"
12/01/2007 18.00,"0,42065154","18,02275865","11,88980259","49,94939041"
12/01/2007 19.00,"0,45822054","17,3820551","11,38103851","49,94939041"
12/01/2007 20.00,"0,44035998","16,44174688","10,27265211","49,94939041"
12/01/2007 21.00,"0,44836581","19,3080452","12,45826696","49,94939041"
12/01/2007 22.00,"0,35598254","23,93954016","15,53941863","49,94939041"
12/01/2007 23.00,"0,45083","14,89186247","8,97478651","49,94939041"
13/01/2007 0.00,"0,48531952","12,03592528","6,6399133","49,94939041"
13/01/2007 1.00,"0,45760424","11,11766625","5,81965956","47,4145813"
13/01/2007 2.00,"0,33873829","9,80642621","4,81899906","47,4145813"
13/01/2007 3.00,"0,36152621","9,40566145","4,46468061","47,4145813"
13/01/2007 4.00,"0,386161","8,68583934","3,93644663","47,4145813"
13/01/2007 5.00,"0,3867773","9,5664855","4,86053153","47,4145813"
13/01/2007 6.00,"0,31656566","13,65065899","8,15063803","47,4145813"
13/01/2007 7.00,"0,39724732","18,81650824","12,96314586","47,4145813"
13/01/2007 8.00,"0,37199623","19,76589272","11,89369925","47,4145813"
13/01/2007 9.00,"0,48531952","28,2519988","18,57643561","47,4145813"
13/01/2007 10.00,"0,49147847","14,78940222","9,21489165","47,4145813"
13/01/2007 11.00,"0,55245067","13,01384445","7,4757441","47,4145813"
13/01/2007 12.00,"0,63128444","12,85431673","7,27197843","47,4145813"
13/01/2007 13.00,"0,74460774","13,7388519","7,65614703","47,4145813"
13/01/2007 14.00,"0,77109042","18,4909673","11,51212332","47,4145813"
13/01/2007 15.00,"0,89303685","14,52741424","8,53740313","47,4145813"
13/01/2007 16.00,"0,61835126","14,05401834","8,37257343","47,4145813"
13/01/2007 17.00,"0,75507775","15,53645886","9,69510574","47,4145813"
13/01/2007 18.00,"0,55429856","23,585476","17,15397453","47,4145813"
13/01/2007 19.00,"0,57523859","32,86921112","25,41751616","47,4145813"
13/01/2007 20.00,"0,62143073","43,50438608","35,04254328","47,4145813"
13/01/2007 21.00,"0,58324543","41,23470824","35,02696048","47,4145813"
13/01/2007 22.00,"0,59063597","51,52750136","42,22755248","47,4145813"
13/01/2007 23.00,"0,73352142","54,2731716","45,79410168","47,4145813"
14/01/2007 0.00,"0,80311676","54,42234584","45,5306472","47,4145813"
14/01/2007 1.00,,"41,3643992","34,41565584","83,13932037"
14/01/2007 2.00,"0,27488188",,,"83,13932037"
14/01/2007 3.00,"0,52231188","49,36673104","43,73568072","83,13932037"
14/01/2007 4.00,"0,24644147","40,2749416","34,72455856","83,13932037"
14/01/2007 5.00,"0,16408888","34,1389512","29,15278024","83,13932037"
14/01/2007 6.00,"0,14009989","40,31253152","28,5726412","83,13932037"
14/01/2007 7.00,"0,27240854","44,07898032","28,9217724","83,13932037"
14/01/2007 8.00,"0,24050626","37,67320672","27,27995712","83,13932037"
14/01/2007 9.00,"0,10368417","34,4203976","25,06838496","83,13932037"
14/01/2007 10.00,"0,23679625","51,2240096","40,07439192","83,13932037"
14/01/2007 11.00,"0,24501971","42,12701952","34,76218672","83,13932037"
14/01/2007 12.00,"0,37510214","18,01368047","12,34795221","83,13932037"
14/01/2007 13.00,"0,87292975","18,83336826","12,88657217","83,13932037"
14/01/2007 14.00,"1,59512484","16,44953063","10,84111648","83,13932037"
14/01/2007 15.00,"1,5005296","22,2833084","15,91450332","83,13932037"
14/01/2007 16.00,"1,16666681","23,01740168","17,28246475","83,13932037"
14/01/2007 17.00,"0,77116262","35,83797352","30,15734504","83,13932037"
14/01/2007 18.00,"0,59106209","57,21342608","49,11017888","83,13932037"
14/01/2007 19.00,"0,4324162","71,63965728","58,72092336","83,13932037"
14/01/2007 20.00,"0,79001984","107,57623264","74,80675144","83,13932037"
14/01/2007 21.00,"0,4885546","68,5269404","53,93826568","83,13932037"
14/01/2007 22.00,"0,27401641","36,58763048","29,07362344","83,13932037"
14/01/2007 23.00,"0,26641129","26,92388536","20,24679896","83,13932037"
15/01/2007 0.00,"0,34431349","18,71015515","13,34082513","83,13932037"
15/01/2007 1.00,"0,12192305","17,27700026","12,14548288","42,01004028"
15/01/2007 2.00,"0,29540799","15,86718706","10,96311738","42,01004028"
15/01/2007 3.00,"0,22610046","13,57024601","8,81125506","42,01004028"
15/01/2007 4.00,"0,10399334","12,86209666","8,15193628","42,01004028"
15/01/2007 5.00,"0,15048651","11,95680863","7,29793574","42,01004028"
15/01/2007 6.00,"0,256643","12,47300466","7,63408446","42,01004028"
15/01/2007 7.00,"0,13206254","17,02149587","11,20711917","42,01004028"
15/01/2007 8.00,"0,07233819","21,68152552","14,9865275","42,01004028"
15/01/2007 9.00,"0,18826297","30,27267688","19,29156376","42,01004028"
15/01/2007 10.00,"0,18875723","17,36908409","11,38881844","42,01004028"
15/01/2007 11.00,"0,1434387","20,66468568","14,32071939","42,01004028"
15/01/2007 12.00,"0,12043924","17,75039616","11,70810332","42,01004028"
15/01/2007 13.00,"0,20433767","16,3094556","10,08965842","42,01004028"
15/01/2007 14.00,"0,3262597","21,29501472","13,53550497","42,01004028"
15/01/2007 15.00,"0,15827673","17,0902361","10,94105481","42,01004028"
15/01/2007 16.00,"0,15234152","17,12784705","11,09160951","42,01004028"
15/01/2007 17.00,"0,15277476","18,66865328","12,74639389","42,01004028"
15/01/2007 18.00,"0,22226738","18,98122513","12,85153094","42,01004028"
15/01/2007 19.00,"0,17169299","17,71148696","11,95858488","42,01004028"
15/01/2007 20.00,"0,11104115","18,1861792","12,25450321","42,01004028"
15/01/2007 21.00,"0,0882278","21,84882552","14,49982599","42,01004028"
15/01/2007 22.00,"0,17911302","25,0251164","16,24935188","42,01004028"
15/01/2007 23.00,"0,07221412","22,25996288","14,52058649","42,01004028"
16/01/2007 0.00,"0,04204278","14,49498863","9,22008273","42,01004028"
16/01/2007 1.00,,"13,0060607","8,14804154","46,53276062"
16/01/2007 2.00,"0,32141065",,,"46,53276062"
16/01/2007 3.00,"0,31721857","13,39385827","8,53999962","46,53276062"
16/01/2007 4.00,"0,37265016","14,29914438","9,53027414","46,53276062"
16/01/2007 5.00,"0,29346247","14,90742615","10,19477635","46,53276062"
16/01/2007 6.00,"0,29159933","14,95800811","10,26616278","46,53276062"
16/01/2007 7.00,"0,29765454","20,04343864","14,5102005","46,53276062"
16/01/2007 8.00,"0,35634663","36,09609352","25,5537844","46,53276062"
16/01/2007 9.00,"0,32327481","40,32163264","23,998946","46,53276062"
16/01/2007 10.00,"0,29812033","29,92637544","19,7341344","46,53276062"
16/01/2007 11.00,"0,38615897","21,05897832","14,37262637","46,53276062"
16/01/2007 12.00,"0,38755633","22,40781784","15,82754556","46,53276062"
