,Provincia di TARANTO,,,,,,,,
,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,PM10,BENZENE,PM2.5



10/01/2008 6.00,"0,761542","37,168685","4,723433","29,947081","0,547925","16,942688","36,36768698","1,479226","25,30049231"
10/01/2008 7.00,"0,697121","53,64544","11,114098","36,629827","0,602938","7,886369","36,36768698","1,574824","25,30049231"
10/01/2008 8.00,"1,075034","85,11396","31,505891","36,832289","0,702379","3,558615","36,36768698","1,661778","25,30049231"
10/01/2008 9.00,"1,539942","117,521441","48,098811","43,803174","0,912286","4,390043","36,36768698","1,839753","25,30049231"
10/01/2008 10.00,"1,155025","125,608092","40,533198","63,503563","0,747808","7,769912","36,36768698","2,595892","25,30049231"
10/01/2008 11.00,"2,631187","165,344787","64,510691","66,478306","0,651085","36,36768698","2,203331","25,30049231",
10/01/2008 12.00,"0,905052","69,222123","10,692007","52,864905","0,502816","24,460734","36,36768698","1,858059","25,30049231"
10/01/2008 13.00,"0,960801","67,655356","11,97944","49,32172","0,45474","36,195486","36,36768698","1,699915","25,30049231"
10/01/2008 14.00,"0,990836","59,082366","10,606566","42,849239","0,53329","45,349302","36,36768698","1,702458","25,30049231"
10/01/2008 15.00,"0,785578","39,394293","5,329087","31,244968","0,329236","60,446345","36,36768698","1,43041","25,30049231"
10/01/2008 16.00,"0,974141","50,635169","5,674209","41,964097","0,333608","46,901134","36,36768698","1,080054","25,30049231"
10/01/2008 17.00,"1,034743","63,624361","6,61568","53,517739","0,398163","31,307135","36,36768698","1,278369","25,30049231"
10/01/2008 18.00,"1,04765","78,338557","11,693534","60,450974","0,542272","27,200109","36,36768698","1,568214","25,30049231"
10/01/2008 19.00,"0,965244","73,704445","8,364129","60,922092","0,621823","18,643458","36,36768698","2,186041","25,30049231"
10/01/2008 20.00,"1,287839","125,08153","29,852169","79,364861","0,738827","5,614163","36,36768698","2,395543","25,30049231"
10/01/2008 21.00,"0,998811","112,834174","25,545768","73,716524","0,680766","5,631766","36,36768698","2,095528","25,30049231"
