SIMAGE Brindisi,,,,,,,
,Via Taranto,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE,PM10



10/01/2010 10.00,"0,55555354","28,6229268","19,6913056","0,33115009","63,8155812",,"15,69999981"
10/01/2010 11.00,"1,14239508","26,76046672","19,04756388","0,37080552","68,7696051",,"15,69999981"
10/01/2010 12.00,"1,11946275","22,32351776","15,65752287","0,31025115","76,5208185",,"15,69999981"
10/01/2010 13.00,"0,15874251","25,93949216","17,67182252","0,32035753","77,6336694",,"15,69999981"
10/01/2010 14.00,"0,01066121","20,12643856","14,89308042","0,2949314","80,19957855",,"15,69999981"
10/01/2010 15.00,"0,02454224","12,99049893","10,16233927","0,26145979","82,84235505",,"15,69999981"
10/01/2010 16.00,"0,56656358","20,65042216","16,69452284","0,29776002","78,5399979",,"15,69999981"
10/01/2010 17.00,"1,13943663","46,95047928","37,607128","0,42946094","59,1970764",,"15,69999981"
10/01/2010 18.00,"0,82969809","51,9632844","42,86870344","0,48334452","50,8744152",,"15,69999981"
10/01/2010 19.00,"0,64310605","47,93877296","39,48515176","0,47586639","53,4463293",,"15,69999981"
10/01/2010 20.00,"0,53540677","56,36520552","43,016654","0,4772807","47,96025885",,"15,69999981"
10/01/2010 21.00,"0,31900748","52,7051404","40,21326048","0,48896332","47,3172903",,"15,69999981"
10/01/2010 22.00,"0,01797141","48,32524552","37,82257216","0,4396477","50,0188794",,"15,69999981"
10/01/2010 23.00,"0,10421809","46,10225872","36,4468308","0,38640138","49,6325676",,"15,69999981"
11/01/2010 0.00,"0,06061625","26,76046672","21,12545856","0,35128129","59,8467282",,"15,69999981"
11/01/2010 1.00,"0,01853686","20,78531376","17,49790318","0,33147279","60,3480318",,"24,10000038"
11/01/2010 2.00,"0,01218366","16,77506966","14,17794844","0,34727951","59,2298343",,"24,10000038"
11/01/2010 3.00,"0,00121837","13,69475545","11,8054375","0,34921924","57,11706945",,"24,10000038"
11/01/2010 4.00,"0,03263655","13,69086453","12,17403478","0,36055935","57,8435886",,"24,10000038"
11/01/2010 5.00,"0,031766","26,38045672","24,27798328","0,51200469","42,97415535",,"24,10000038"
11/01/2010 6.00,"0,01305421","40,556388","32,69858424","0,50270799","40,71370065",,"24,10000038"
11/01/2010 7.00,"0,06353199","56,55975152","43,07636576","0,57575349","31,20197955",,"24,10000038"
11/01/2010 8.00,"0,23306589","162,8403365","66,5354012","0,72705786","22,89132825",,"24,10000038"
11/01/2010 9.00,"1,67323349","168,327853","70,44718112","0,80725879","24,24948435",,"24,10000038"
11/01/2010 10.00,"1,81369949","102,4207923","54,6936204","0,55772395","31,2380691",,"24,10000038"
11/01/2010 11.00,"2,18618591","82,6004076","46,0601756","0,47913305","47,19230355",,"24,10000038"
11/01/2010 12.00,"1,52737128","38,79899232","25,99117352","0,35613118","76,2541269",,"24,10000038"
11/01/2010 13.00,"1,55173962","44,67428152","30,47012912","0,35806392","72,0553701",,"24,10000038"
11/01/2010 14.00,"1,58655153","49,65595928","35,8225628","0,36312468","65,39763615",,"24,10000038"
11/01/2010 15.00,"1,67532241","68,40503128","48,07186728","0,43067254","52,04206875",,"24,10000038"
11/01/2010 16.00,"2,05199276",,,,,,"24,10000038"
11/01/2010 17.00,"0,12627987","66,49978064","50,72732936","0,50109097",,,"24,10000038"
11/01/2010 18.00,"0,49476338","89,25520008","65,88906872","0,54741603","40,6085043",,"24,10000038"
11/01/2010 19.00,"2,26190258","89,52496416","61,72677856","0,59632855","40,7201046",,"24,10000038"
11/01/2010 20.00,"2,34632172","104,1288966","67,83586712","0,6462523","32,52422565",,"24,10000038"
11/01/2010 21.00,"3,15917829","178,5233444","94,98215632","0,90690357","19,22797559",,"24,10000038"
11/01/2010 22.00,"3,36021783","133,1162889","73,56207768","0,70332914","23,48029215",,"24,10000038"
11/01/2010 23.00,"2,24536718","101,3546611","62,49641592","0,55117548","32,29835175",,"24,10000038"
12/01/2010 0.00,"1,26001622","38,80287368","32,20538384","0,35391186",,,"24,10000038"
12/01/2010 1.00,,"55,44824856","44,16268768","0,54179723","37,23765255",,"17,89999962"
12/01/2010 2.00,"0,72359143",,,"0,37124939","52,4592432",,"17,89999962"
12/01/2010 3.00,"0,51102826","21,24314216","18,52322656",,"61,81058625",,"17,89999962"
12/01/2010 4.00,"0,19648237","15,99040016","13,96380062","0,30988534",,,"17,89999962"
12/01/2010 5.00,"0,28361282","17,11617429","15,26427036","0,30765786","55,61120355",,"17,89999962"
12/01/2010 6.00,"0,43278638","18,33143958","16,0027555","0,30510535","58,7438124",,"17,89999962"
12/01/2010 7.00,"0,19735902","34,86008112","29,94190088","0,30522767","55,28210835",,"17,89999962"
12/01/2010 8.00,"0,61885976","64,85129248","47,06214008","0,38001368","48,61541685",,"17,89999962"
12/01/2010 9.00,"0,87528105","89,65465512","57,71377736","0,50325554","44,761815",,"17,89999962"
12/01/2010 10.00,"1,13591171","71,41142184","45,19319832","0,46829272","42,1249038",,"17,89999962"
