Stat,Surbo-ENEL,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
19/01/2014 6.00,"4,3","1,6","1,0","19,8",,,
19/01/2014 7.00,"4,5","2,1","1,9",,,,
19/01/2014 8.00,"4,4","2,4","2,2","23,7",,,
19/01/2014 9.00,"4,3","1,9","1,6",,,,
19/01/2014 10.00,"4,4","2,0","1,5","15,9",,,
19/01/2014 11.00,"4,5","3,5","3,4",,,,
19/01/2014 12.00,"4,1","4,7","4,6","17,8",,,
19/01/2014 13.00,"4,3","5,4","5,6",,,,
19/01/2014 14.00,"4,4","5,1","5,0","19,3",,,
19/01/2014 15.00,"5,2","4,3","4,3",,,,
19/01/2014 16.00,"4,4","4,0","3,7","30,8",,,
19/01/2014 17.00,"4,5","4,0","3,7",,,,
19/01/2014 18.00,"5,0","5,6","5,4","70,8",,,
19/01/2014 19.00,"5,2","3,9","3,9",,,,
19/01/2014 20.00,"5,0","3,2","2,5","55,7",,,
19/01/2014 21.00,"4,8","5,8","5,3",,,,
19/01/2014 22.00,"5,0","3,9","3,6","43,7",,,
19/01/2014 23.00,"4,5","4,0","3,9",,,,
20/01/2014 0.00,"4,5","3,7","3,3","46,9",,,
20/01/2014 1.00,"4,4",,,,,,
20/01/2014 2.00,,"2,1","1,6","51,5",,,
20/01/2014 3.00,"4,6","1,8","1,3",,,,
20/01/2014 4.00,"3,0","1,5","1,3","54,2",,,
20/01/2014 5.00,"4,7","2,6","1,8",,,,
20/01/2014 6.00,"5,1","4,8","4,7","57,1",,,
20/01/2014 7.00,"5,1","12,7","12,9",,,,
20/01/2014 8.00,"5,0","17,9","18,1","65,0",,,
20/01/2014 9.00,"5,1","18,1","20,3",,,,
