,Provincia di TARANTO,,,,,
,MARTINA FRANCA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene
,,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,
09/01/2008 0.00,"19,620619","3,346328","14,499826","0,443358","40,158991","0,49295"
09/01/2008 1.00,"18,891732","3,490129","13,549775","0,381908","37,301814","0,245155"
09/01/2008 2.00,"10,137154","0,559977","9,308339","0,366112","36,719533","0,243835"
09/01/2008 3.00,"7,670307","0,270684","7,439403","0,366112","39,143397","0,180455"
09/01/2008 4.00,"7,338282","0,274067","7,309616","0,359904","33,678194","0,358709"
09/01/2008 5.00,"8,323984","0,529525","7,795019","0,361554","31,483175","0,371914"
09/01/2008 6.00,"17,210855","3,00459","12,649059","0,394873","26,512212","0,424289"
09/01/2008 7.00,"43,596485","13,114611","23,504445","0,606494","20,518894","0,374554"
09/01/2008 8.00,"125,484886","56,070446","39,540962","1,171732","11,787565","0,658001"
09/01/2008 9.00,"202,953064","98,119467","52,545641","1,923759","7,618252","2,057628"
09/01/2008 10.00,"92,396443","36,281763","36,792061","0,994216","14,425386","1,525066"
09/01/2008 11.00,"80,002571","29,463916","34,850463","0,787389","19,986727","0,975338"
09/01/2008 12.00,"70,962656","25,826605","31,385134","0,735761","27,170304","0,986781"
09/01/2008 13.00,"76,622655","29,425009","31,527883","0,781337","33,832546","0,49207"
09/01/2008 14.00,"83,517383","31,663224","34,993211","0,784324","33,382993","0,759232"
09/01/2008 15.00,"59,432529","20,619332","27,836751","0,578989","37,973447","0,422089"
09/01/2008 16.00,"69,16505","23,24327","33,549996","0,727666","32,756043","0,542245"
09/01/2008 17.00,"86,9699","27,53361","44,784374","1,013155","21,797171","1,123663"
09/01/2008 18.00,"133,44831","47,983774","59,917545","1,463191","8,464576","2,039142"
09/01/2008 19.00,"158,435829","69,068336","52,571585","1,318523","2,878849","1,743372"
09/01/2008 20.00,"154,804295","71,555239","45,121803","1,633163","4,70826","2,126289"
09/01/2008 21.00,"285,609017","152,305209","52,119934","1,696736","3,41237","2,291779"
09/01/2008 22.00,"87,182629","33,094458","36,464993","1,143363","2,729896","1,992048"
09/01/2008 23.00,"54,060459","15,256396","30,689472","0,85937","5,921547","1,531667"
10/01/2008 0.00,"25,718999","3,068877","21,028117","0,578283","17,06456","0,752189"
10/01/2008 1.00,"20,302839","1,295899","18,328545","0,525162","27,401863","0,559851"
10/01/2008 2.00,"0,880901","3,907975","0,868825",,,
10/01/2008 3.00,"31,161086","1,21131","29,485047","25,646942","0,519358",
10/01/2008 4.00,"14,572806","0,150568","14,832077","0,319935","0,289169",
10/01/2008 5.00,"14,852953","1,023523","13,549775","0,427502","26,839913","0,011884"
10/01/2008 6.00,"23,158775","5,557476","14,715266","0,365144","29,886676","0,231951"
10/01/2008 7.00,"95,127868","34,495261","42,266479","0,494524","11,950062","0,513637"
10/01/2008 8.00,"118,870317","47,944853","45,389179","0,923845","8,134172","0,567333"
10/01/2008 9.00,"114,154487","48,240905","40,215859","1,103257","13,518124","1,486333"
10/01/2008 10.00,"42,909083","11,998048","24,529774","0,552536","28,952317","0,967415"
10/01/2008 11.00,"78,011894","27,019471","36,608985","0,567079","22,594752","0,668124"
10/01/2008 12.00,"0,648565","16,880402","0,581418",,,
10/01/2008 13.00,"121,246342","43,136821","55,143971","0,581622","18,877715","0,912839"
10/01/2008 14.00,"120,273632","48,910856","45,3113","0,610469","20,036822","0,750869"
10/01/2008 15.00,"61,966831","18,18318","34,11067","0,471842","28,46891","0,468743"
10/01/2008 16.00,"57,634945","14,427428","35,538324","0,468285","27,09178","0,808087"
10/01/2008 17.00,"70,552801","17,269616","44,104273","0,578934","19,836427","0,858262"
10/01/2008 18.00,"100,60632","32,668132","50,552112","0,842992","13,497817","0,878508"
10/01/2008 19.00,"150,664317","62,893368","54,269212","1,128942","5,016998","1,589765"
10/01/2008 20.00,"191,895011","88,775796","55,816268","1,698472","5,019705","2,217397"
10/01/2008 21.00,"235,094537","121,672328","48,571548","1,740519","5,782073","2,443186"
10/01/2008 22.00,"121,82482","55,71516","36,423466","1,194226","5,343338","1,904901"
10/01/2008 23.00,"43,433066","8,323525","30,692072","0,729892","8,300727","1,302797"
11/01/2008 0.00,"31,812181","4,363083","25,139779","0,626436","9,45308","1,133786"
11/01/2008 1.00,"45,30591","8,291382","32,615505","0,910568","7,718458","1,051481"
11/01/2008 2.00,"48,758446","5,027952","41,077635","0,764589","4,733987","0,907117"
11/01/2008 3.00,"59,492202","12,615537","40,17691","0,94724","1,95128","0,882029"
11/01/2008 4.00,"53,017712","11,703686","35,097034","0,894523","1,771183","1,220052"
