SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



08/01/2010 15.00,"1,53104367","11,65747738","0,32418339","39,09999084","79,4743761","0,66433186","20,02787496"
08/01/2010 16.00,"1,58331747","11,5237999","0,2981468","39,09999084","82,76598645","0,87992366","19,70881952"
08/01/2010 17.00,"1,72588154","12,6412683","0,26251062","39,09999084","83,74712745","1,00147753","21,40137928"
08/01/2010 18.00,"1,72515032","12,72693546","0,29557332","39,09999084","82,66515915","1,23771544","21,27296936"
08/01/2010 19.00,"1,53275019","12,73601938","0,35935823","39,09999084","82,3036053","1,32940511","21,42212448"
08/01/2010 20.00,"1,60780886","15,36939594","0,34388237","39,09999084","79,8748923","1,1591227","24,87726144"
08/01/2010 21.00,"1,49753555","13,71591173","0,28639545","39,09999084","83,5576224","1,07286686","22,71260976"
08/01/2010 22.00,"1,51288818","10,86188654","0,24503795","39,09999084","85,8062268","0,80957878","19,0486671"
08/01/2010 23.00,"1,13710363","8,889127","0,10821452","39,09999084","87,4325508","0,5844038","16,0046675"
09/01/2010 0.00,"1,0175685","8,14414679","0,14336723","39,09999084","88,5575313","0,51029094","15,15903962"
09/01/2010 1.00,"0,97309306","6,57242352","0,01203212","68,69998169","90,7833129","0,36563082","13,19931036"
09/01/2010 2.00,"0,95055125","4,69829833","0,06888296","68,69998169","91,63543725","0,27255803","11,05022427"
09/01/2010 3.00,"0,95505962","5,7755306","0,13606851","68,69998169","87,85459305","0,2906047","11,89844483"
09/01/2010 4.00,"0,79884842","3,36019086","0,10084939","68,69998169","88,71479715","0,2546985","9,6637585"
09/01/2010 5.00,"0,91521457","2,55031929","0,03434304","68,69998169","84,76593405","0,25102204","8,39661301"
09/01/2010 6.00,"0,55210184","4,1116604","0,07422565","68,69998169","71,0309775","0,26071812","10,54440467"
09/01/2010 7.00,"1,88928192","5,61848848","0,153667","68,69998169","74,74058025","0,28941278","11,92438494"
