"NetC","SIMAGE Brindisi","","","","",""
"Stat","MESAGNE 2","","","","",""
"Parm","NOX","NO2","CO","O3","BENZENE","TOLUENE"
"PtId","1","3","4","5","6","7"
"Unit","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"2013-01-07 10:00:00","23.28781584","27.94087816","0.53826495","31.0796661","0.5741982","3.78074835"
"2013-01-07 11:00:00","18.50328822","23.12910072","0.47899558","36.1688313","0.4191057","2.9903868"
"2013-01-07 12:00:00","16.19013533","20.2376596","0.45028998","39.9740943","0.42505515","2.52790605"
"2013-01-07 13:00:00","16.88207092","21.0782704","0.45171244","40.85370975","0.4177836","2.2375017"
"2013-01-07 14:00:00","19.12713176","23.6479028","0.48966465","39.0005742","0.41580045","2.2503159"
"2013-01-07 15:00:00","18.02859598","22.53573064","0.49114653","39.425988","0.41315625","2.4355116"
"2013-01-07 16:00:00","19.37160008","24.05724288","0.51374753","38.05496415","0.5178564","2.5096509"
"2013-01-07 17:00:00","31.7116672","27.58501672","0.5531222","35.9472267","0.5290434","2.97386055"
"2013-01-07 18:00:00","31.64941248","27.80065208","0.53650697","36.8496849","0.525789","2.6785746"
"2013-01-07 19:00:00","31.1007832","28.70690184","0.50349436","42.7000623","0.5668758","2.57072175"
"2013-01-07 20:00:00","31.68379024","29.5248172","0.58423818","52.10028285","0.63679455","2.24823105"
"2013-01-07 21:00:00","31.03076576","28.7855424","0.56616088","52.74478755","0.6140646","2.6540649"
"2013-01-07 22:00:00","27.180036","24.53308232","0.5262538","54.2824338","0.6777288","2.56634865"
"2013-01-07 23:00:00","25.21771216","21.97723544","0.50886734","54.19617","0.48393945","1.90407825"
"2013-01-08 00:00:00","21.73922968","18.46810934","0.45188952","56.5128039","0.43817445","1.5165504"
"2013-01-08 01:00:00","22.11923968","16.76258622","0.41366121","55.67548245","0.35650935","1.223451"
"2013-01-08 02:00:00","18.60315581","14.84306441","0.38262328","57.7933545","0.30555765","1.01847465"
"2013-01-08 03:00:00","17.44495798","14.03731893","0.36517857","58.1646639","0.2730645","0.9037062"
"2013-01-08 04:00:00","16.70762769","13.43989923","0.35545898","","0.26131815","0.81690525"
"2013-01-08 05:00:00","15.85227154","12.52634372","0.35314762","59.65917825","0.25786035","0.7909209"
"2013-01-08 06:00:00","16.57598458","12.98433846","0.34664692","57.5928969","0.2952351","0.88097625"
"2013-01-08 07:00:00","22.68926424","19.3038388","0.36434909","49.1366106","0.2943198","1.0252377"
"2013-01-08 08:00:00","30.58006912","28.29025792","0.45131751","39.60108915","0.38295135","1.6435737"
"2013-01-08 09:00:00","35.73487848","31.05848976","0.5684734","38.7646056","0.51851745","3.7281186"
"2013-01-08 10:00:00","26.07631488","22.82836224","0.4946823","51.5868696","0.4696506","3.3340311"
