"NetC","ARPA Puglia","","",""
"Stat","ASM","","",""
"Parm","SO2","NOX","NO2","PM10"
"PtId","1","2","4","7"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Field","Aver","Aver","Aver","Aver"
"2013-01-10 14:00:00","","15.36915121","11.14222398","25.7999897"
"2013-01-10 15:00:00","5.17077378","23.21324784","16.46739445","25.7999897"
"2013-01-10 16:00:00","6.78901096","46.90376912","29.53177688","25.7999897"
"2013-01-10 17:00:00","8.31513947","57.01369856","30.42339984","25.7999897"
"2013-01-10 18:00:00","7.81124648","30.61119648","24.03399296","25.7999897"
"2013-01-10 19:00:00","12.37337118","129.10214048","50.19260032","25.7999897"
"2013-01-10 20:00:00","12.66595191","152.21420528","54.43794776","25.7999897"
"2013-01-10 21:00:00","8.04784034","55.66355888","34.76868752","25.7999897"
"2013-01-10 22:00:00","7.3037411","26.76046672","19.50830808","25.7999897"
"2013-01-10 23:00:00","8.51561254","52.7829588","28.00806584","25.7999897"
"2013-01-11 00:00:00","7.60535381","14.77902579","12.13250231","25.7999897"
"2013-01-11 01:00:00","7.3561166","20.8825772","14.12084274","25.20000076"
"2013-01-11 02:00:00","6.14785653","15.17071238","11.44722622","25.20000076"
"2013-01-11 03:00:00","6.09728722","6.07892102","4.13372297","25.20000076"
"2013-01-11 04:00:00","5.46155035","5.74948916","3.5289153","25.20000076"
"2013-01-11 05:00:00","4.90708805","22.75541944","18.24158896","25.20000076"
"2013-01-11 06:00:00","4.92514896","29.26103768","19.63419416","25.20000076"
"2013-01-11 07:00:00","5.26107728","26.18979208","15.84960813","25.20000076"
"2013-01-11 08:00:00","4.80052985","23.39223016","16.03520406","25.20000076"
"2013-01-11 09:00:00","4.67049317","35.73552856","22.32598424","25.20000076"
"2013-01-11 10:00:00","5.75052175","55.68818544","31.3617712","25.20000076"
"2013-01-11 11:00:00","5.77761361","31.8796364","23.21632616","25.20000076"
"2013-01-11 12:00:00","6.37903385","27.20273144","17.74450146","25.20000076"
"2013-01-11 13:00:00","7.32360718","22.79302848","15.69905534","25.20000076"
"2013-01-11 14:00:00","7.99185245","21.59850648","15.07608176","25.20000076"
"2013-01-11 15:00:00","8.00991336","18.77889538","12.17274418","25.20000076"
"2013-01-11 16:00:00","7.56381444","26.14700152","20.08066528","25.20000076"
"2013-01-11 17:00:00","7.68843356","28.66571736","23.4875816","25.20000076"
"2013-01-11 18:00:00","8.63481308","77.05195568","48.78569336","25.20000076"
"2013-01-11 19:00:00","10.56730122","87.53541344","40.06789112","25.20000076"
"2013-01-11 20:00:00","7.3380557","14.58447979","11.14482812","25.20000076"
"2013-01-11 21:00:00","7.73358429","18.10446797","13.95341654","25.20000076"
"2013-01-11 22:00:00","7.68662736","8.96339099","6.6853405","25.20000076"
"2013-01-11 23:00:00","7.08159474","9.07622958","6.61006315","25.20000076"
"2013-01-12 00:00:00","6.78359238","7.02052366","5.09544558","25.20000076"
"2013-01-12 01:00:00","","5.77283468","3.71191474","21.70000076"
"2013-01-12 02:00:00","6.25802712","","","21.70000076"
"2013-01-12 03:00:00","6.05032928","5.8675131","3.92087148","21.70000076"
"2013-01-12 04:00:00","6.06116542","6.36165994","4.00782924","21.70000076"
"2013-01-12 05:00:00","5.98350425","7.22025692","4.74501996","21.70000076"
"2013-01-12 06:00:00","6.29234172","9.24613373","6.80863774","21.70000076"
"2013-01-12 07:00:00","6.0124023","9.52368538","7.06042519","21.70000076"
"2013-01-12 08:00:00","5.96905573","13.27064517","9.25772236","21.70000076"
"2013-01-12 09:00:00","5.95280203","23.8487584","17.35124895","21.70000076"
"2013-01-12 10:00:00","5.75413413","21.9603716","15.83793154","21.70000076"
"2013-01-12 11:00:00","6.00337134","23.10300192","15.06180103","21.70000076"
"2013-01-12 12:00:00","6.30679126","23.59843936","15.04493528","21.70000076"
"2013-01-12 13:00:00","7.29290395","25.73196368","16.84248105","21.70000076"
"2013-01-12 14:00:00","7.49157185","20.43253064","13.62116257","21.70000076"
"2013-01-12 15:00:00","7.31277104","20.26393048","14.68542192","21.70000076"
"2013-01-12 16:00:00","7.6794026","22.61792752","17.28765201","21.70000076"
"2013-01-12 17:00:00","7.56562064","16.02671669","11.85994862","21.70000076"
"2013-01-12 18:00:00","6.75469636","33.57217704","28.1806812","21.70000076"
"2013-01-12 19:00:00","7.74803382","61.13029192","39.0581448","21.70000076"
"2013-01-12 20:00:00","6.40973708","31.45291624","24.5466384","21.70000076"
"2013-01-12 21:00:00","5.81012202","31.31026192","26.99053768","21.70000076"
"2013-01-12 22:00:00","6.07561394","26.99910344","23.597904","21.70000076"
"2013-01-12 23:00:00","5.60603656","19.65434664","16.21301814","21.70000076"
"2013-01-13 00:00:00","5.41459343","20.71267688","16.19095558","21.70000076"
