"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-07 17:00:00","1.949126","13.284262","4.070333","7.971529",""
"2013-01-07 18:00:00","1.855238","9.403665","2.817054","6.014506","1.709402"
"2013-01-07 19:00:00","2.297442","4.005707","0.798609","3.714901",""
"2013-01-07 20:00:00","2.952564","2.974611","0.46033","3.203015","0.732601"
"2013-01-07 21:00:00","2.162086","3.587432","0.531281","3.707116",""
"2013-01-07 22:00:00","1.949126","3.871469","0.739063","3.67208",""
"2013-01-07 23:00:00","2.082677","3.707402","0.611944","3.703223",""
"2013-01-08 00:00:00","1.949126","2.69187","0.421899","2.979186",""
"2013-01-08 01:00:00","1.945517","1.844298","0.353061","2.236984",""
"2013-01-08 02:00:00","","1.867643","0.363618","2.244122",""
"2013-01-08 03:00:00","1.884155","","","",""
"2013-01-08 04:00:00","1.918445","1.867643","0.470044","2.080629",""
"2013-01-08 05:00:00","1.938297","1.663369","0.30745","2.126045",""
"2013-01-08 06:00:00","1.943712","2.316398","0.37671","2.672965",""
"2013-01-08 07:00:00","1.575543","5.476474","0.770314","5.229796",""
"2013-01-08 08:00:00","1.691949","4.643818","0.861113","4.257278",""
"2013-01-08 09:00:00","1.871522","10.839466","2.73622","7.575127",""
"2013-01-08 10:00:00","1.909421","9.821339","2.188047","7.39866",""
"2013-01-08 11:00:00","2.019511","5.54262","1.132665","4.73932",""
"2013-01-08 12:00:00","","5.434973","1.122108","4.647843",""
"2013-01-08 13:00:00","","4.708667","1.026664","4.067835",""
"2013-01-08 14:00:00","2.963393","7.018579","1.567235","5.548347",""
"2013-01-08 15:00:00","4.298906","8.711779","2.128078","6.380728",""
"2013-01-08 16:00:00","3.598663","8.09831","1.661412","6.483885",""
"2013-01-08 17:00:00","3.192596","3.836451","0.675292","3.735014",""
