Stat,S. Pietro  Vernotico,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,
,,,,,,,,,
18/01/2014 15.00,"2,1","6,3","11,8","18,3",,,
18/01/2014 16.00,"1,5","6,2","11,7","18,3",,,
18/01/2014 17.00,"1,6","6,6","11,9","18,3",,,
18/01/2014 18.00,"1,8","7,7","13,2","18,3",,,
18/01/2014 19.00,"1,5","7,9","13,4","18,3",,,
18/01/2014 20.00,"1,7","8,0","13,6","18,3",,,
18/01/2014 21.00,"1,6","8,2","14,3","18,3",,,
18/01/2014 22.00,"1,7","7,9","13,8","18,3",,,
18/01/2014 23.00,"1,6","7,1","12,9","18,3",,,
19/01/2014 0.00,"1,7","6,5","12,2","18,3",,,
19/01/2014 1.00,"1,4","5,3","10,9","22,1",,,
19/01/2014 2.00,"1,6","4,7","10,3","22,1",,,
19/01/2014 3.00,"1,2","4,4","9,8","22,1",,,
19/01/2014 4.00,"1,5","4,2","9,6","22,1",,,
19/01/2014 5.00,"1,4","4,3","9,7","22,1",,,
19/01/2014 6.00,"1,3","4,2","9,7","22,1",,,
19/01/2014 7.00,"1,5","4,3","10,1","22,1",,,
19/01/2014 8.00,"1,2","4,4","10,3","22,1",,,
19/01/2014 9.00,"1,5","4,9","10,9","22,1",,,
19/01/2014 10.00,"1,5","5,4","11,6","22,1",,,
