"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
09/01/2012 9.00,"2,829192","63,094452","96,838613","0,986989","15,818333"
09/01/2012 10.00,"2,136989","46,094954","57,439748","0,497804","21,040746"
09/01/2012 11.00,"2,111189","28,381134","37,713587","0,282729","37,132237"
09/01/2012 12.00,"2,396634","22,719014","29,316484","0,267928","43,082785"
09/01/2012 13.00,"1,928946","17,434157","23,168009","0,243422","49,245878"
09/01/2012 14.00,"1,881189","19,492647","27,853327","0,262288","49,518175"
09/01/2012 15.00,"2,377421","15,850501","20,178483","0,260785","52,521189"
09/01/2012 16.00,"2,405418","14,094619","17,610484","0,250072","54,544259"
09/01/2012 17.00,"2,027751","20,022444","24,30368","0,351342","50,802854"
09/01/2012 18.00,"2,286299","29,753205","34,587065","0,471305","40,130125"
09/01/2012 19.00,"2,076057","36,289568","41,456174","0,515635","33,935449"
09/01/2012 20.00,"2,669452","59,204619","76,73791","1,27351","22,934062"
09/01/2012 21.00,"2,589308","68,861559","86,271485","1,695018","14,863993"
09/01/2012 22.00,"2,435607","63,128083","71,894528","1,679797","16,479886"
09/01/2012 23.00,"2,276419","39,648799","43,393527","0,89131","25,285767"
10/01/2012 0.00,"2,2078","18,935801","21,893737","0,338782","42,073812"
10/01/2012 1.00,"2,042025","11,267658","14,048668","0,225321","47,892051"
10/01/2012 2.00,"2,056296",,,"0,196383","49,882683"
10/01/2012 3.00,"2,044222","17,482316","19,80723","0,194437","42,825849"
10/01/2012 4.00,,"14,384943","17,013063","0,166829","46,580039"
10/01/2012 5.00,"0,588457","11,170885","13,796567","0,167397",
10/01/2012 6.00,"0,544922","11,188106","13,981387","0,168997","47,694008"
10/01/2012 7.00,"0,511499","18,105015","21,696764","0,19988","40,019163"
10/01/2012 8.00,"0,904938","46,001456","73,172049","0,378039","18,730867"
10/01/2012 9.00,"2,24847","65,690141","118,468091","1,120448","8,385911"
10/01/2012 10.00,"1,398585","50,295619","71,304424","0,5941","16,088074"
10/01/2012 11.00,"0,970358","32,228326","38,161836","0,298638","29,465911"
10/01/2012 12.00,"0,91231","21,118957","26,759013","0,228203","41,190307"
10/01/2012 13.00,"0,912859","15,734043","20,796174","0,217416","49,278317"
10/01/2012 14.00,"1,008142","16,773138","23,398233","0,222563","50,564712"
10/01/2012 15.00,"1,130806","17,208623","24,037797","0,213081","51,269805"
10/01/2012 16.00,"0,970904","15,400254","19,742375","0,227636","50,813109"
10/01/2012 17.00,"0,880549","16,799383","20,801852","0,225813","49,211742"
10/01/2012 18.00,"0,78198","21,253447","25,466903","0,250392","44,480999"
10/01/2012 19.00,"0,709696","18,06073","22,496018","0,234163","45,465192"
10/01/2012 20.00,"0,695844","18,038588","21,724316","0,22803","45,056316"
10/01/2012 21.00,"0,576938","18,921038","23,65599","0,232487","44,188214"
10/01/2012 22.00,"0,453327","16,820706","20,229552","0,221701","44,254786"
10/01/2012 23.00,"0,488922","14,626058","17,602375","0,201308","45,54631"
11/01/2012 0.00,"0,373193","12,164872","15,304302","0,20025","47,190368"
11/01/2012 1.00,"0,140644","10,081762","12,690085","0,195054","47,353419"
11/01/2012 2.00,"0,198452","9,052509","11,260984","0,178553","47,037572"
