NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
30/09/2009 12.00,"0,5","1,0","1,1","0,6",,"51,8","0,2"
30/09/2009 13.00,"0,5","0,5","0,5","0,7",,"51,8","0,1"
30/09/2009 14.00,"0,9","1,3","1,3","0,7",,"51,8","0,0"
30/09/2009 15.00,"1,2","1,5","1,6","0,7",,"51,8","0,0"
30/09/2009 16.00,"1,4","1,3","1,4","0,8",,"51,8","0,1"
30/09/2009 17.00,"1,5","1,9","2,0","0,6",,"51,8","0,3"
30/09/2009 18.00,"1,0","7,2","8,5","0,6",,"51,8","0,1"
30/09/2009 19.00,"1,1","22,2","23,5","0,6",,"51,8","0,2"
30/09/2009 20.00,"0,4","14,8","15,7","0,4",,"51,8","0,4"
30/09/2009 21.00,"0,5","10,8","11,8","0,3",,"51,8","0,6"
30/09/2009 22.00,"0,4","7,6","8,3","0,2",,"51,8","0,5"
30/09/2009 23.00,"0,4","11,6","12,4","0,3",,"51,8","0,5"
01/10/2009 0.00,"0,2","20,5","21,5","0,4",,"51,8","0,6"
01/10/2009 1.00,,"26,9","29,2","0,3",,"35,0","1,0"
01/10/2009 2.00,"0,8",,,"0,3",,"35,0","0,8"
01/10/2009 3.00,"0,6","22,5","23,7",,,"35,0","0,9"
01/10/2009 4.00,"0,5","14,0","14,8","0,3",,"35,0","0,4"
01/10/2009 5.00,"0,6","9,2","9,9","0,5",,"35,0","0,8"
01/10/2009 6.00,"0,6","12,1","13,3","0,4",,"35,0","1,1"
01/10/2009 7.00,"0,4","30,8","38,6","0,3",,"35,0","0,6"
01/10/2009 8.00,"0,6","35,1","45,3","0,5",,"35,0","0,5"
01/10/2009 9.00,"0,5","14,8","17,4","0,7",,"35,0","0,9"
01/10/2009 10.00,"0,5","9,4","10,7","0,8",,"35,0","0,4"
01/10/2009 11.00,"0,6","4,9","5,3","0,8",,"35,0","0,2"
01/10/2009 12.00,"0,6","2,2","2,2","0,9",,"35,0","0,5"
01/10/2009 13.00,"0,9","1,7","1,9","1,0",,"35,0","0,3"
01/10/2009 14.00,"1,1","1,8","2,0","0,9",,"35,0","0,3"
01/10/2009 15.00,"1,0","1,7","1,8","0,9",,"35,0","0,1"
01/10/2009 16.00,"1,1","1,6","1,8","0,9",,"35,0","0,0"
01/10/2009 17.00,"1,1","3,5","3,9","0,9",,"35,0","0,0"
01/10/2009 18.00,"1,3","4,1","4,6","0,8",,"35,0","0,2"
01/10/2009 19.00,"0,9","4,6","4,7","0,7",,"35,0","0,4"
01/10/2009 20.00,"1,0","5,7","5,8","0,7",,"35,0","0,4"
01/10/2009 21.00,"1,5","10,1","10,6","0,6",,"35,0","0,2"
01/10/2009 22.00,"1,0","5,9","6,3","0,7",,"35,0","0,2"
01/10/2009 23.00,"1,2","4,3","4,5","0,6",,"35,0","0,3"
02/10/2009 0.00,"1,1","6,7","7,1","0,6",,"35,0","0,1"
02/10/2009 1.00,"1,2","3,5","4,1","0,6",,"9,9",
02/10/2009 2.00,"0,9",,,"0,6",,"9,9",
02/10/2009 3.00,"0,9",,,"0,7",,"9,9",
02/10/2009 4.00,"0,8",,,"0,7",,"9,9",
02/10/2009 5.00,"0,8",,,"0,6",,"9,9",
02/10/2009 6.00,"0,9",,,"0,5",,"9,9",
02/10/2009 7.00,"0,8",,,"0,5",,"9,9",
02/10/2009 8.00,"0,8","1,9","2,4","0,5",,"9,9",
02/10/2009 9.00,"0,9","3,8","4,6","0,6",,"9,9",
02/10/2009 10.00,"0,7","4,0","4,8","0,7",,"9,9",
02/10/2009 11.00,"0,7","2,2","2,8","0,8",,"9,9",
02/10/2009 12.00,"0,8","1,2","1,3","0,8",,"9,9",
02/10/2009 13.00,"0,9","0,8","0,8","0,8",,"9,9",
02/10/2009 14.00,"0,8","1,6","1,6","0,7",,"9,9",
02/10/2009 15.00,"1,0","0,7","0,8","0,7",,"9,9",
02/10/2009 16.00,"0,9","1,7","1,9","0,7",,"9,9",
02/10/2009 17.00,"1,0","3,6","3,8","0,7",,"9,9",
02/10/2009 18.00,"1,3","0,9","0,9","0,7",,"9,9",
02/10/2009 19.00,"1,3","1,1","1,1","0,6",,"9,9",
02/10/2009 20.00,"1,3","7,5","7,9","0,6",,"9,9",
02/10/2009 21.00,"0,9","8,6","8,7","0,6",,"9,9",
02/10/2009 22.00,"0,7","3,0","3,0","0,6",,"9,9",
02/10/2009 23.00,"0,9","1,9","1,9","0,6",,"9,9",
03/10/2009 0.00,"0,8","3,2","3,2","0,6",,"9,9",
03/10/2009 1.00,,"3,8","3,9","0,6",,"5,6",
03/10/2009 2.00,"0,8",,,"0,7",,"5,6",
03/10/2009 3.00,"1,1","14,7","15,0",,,"5,6",
03/10/2009 4.00,"0,9","4,6","4,6","0,3",,"5,6",
03/10/2009 5.00,"0,9","2,0","2,0","0,4",,"5,6",
03/10/2009 6.00,"0,7","3,8","3,8","0,3",,"5,6",
03/10/2009 7.00,"0,7","7,9","8,3","0,3",,"5,6",
03/10/2009 8.00,"0,5","5,3","5,6","0,4",,"5,6",
03/10/2009 9.00,"0,5","3,7","4,1","0,4",,"5,6",
03/10/2009 10.00,"0,5","3,7","4,4","0,5",,"5,6",
03/10/2009 11.00,"0,6","1,0","1,0","0,5",,"5,6",
03/10/2009 12.00,"0,6",,,"0,4",,"5,6",
03/10/2009 13.00,"0,8",,,"0,4",,"5,6",
03/10/2009 14.00,"0,8",,,"0,4",,"5,6",
03/10/2009 15.00,"0,6",,,"0,5",,"5,6",
03/10/2009 16.00,"0,5",,,"0,5",,"5,6",
03/10/2009 17.00,"0,5",,,"0,5",,"5,6",
03/10/2009 18.00,"0,5",,,"0,4",,"5,6",
03/10/2009 19.00,"0,7","3,1","3,1","0,3",,"5,6",
03/10/2009 20.00,"0,7","16,5","17,0","0,2",,"5,6","0,2"
03/10/2009 21.00,"0,6","9,2","9,4","0,2",,"5,6","0,7"
03/10/2009 22.00,"1,0","5,6","5,6","0,1",,"5,6","0,4"
03/10/2009 23.00,"0,8","6,2","6,2","0,1",,"5,6","0,0"
04/10/2009 0.00,"0,9","6,1","6,1","0,1",,"5,6","0,3"
04/10/2009 1.00,"0,5","6,3","6,4","0,1",,"13,1","0,2"
04/10/2009 2.00,"0,9","7,9","7,9","0,1",,"13,1","0,2"
04/10/2009 3.00,"0,3","3,9","4,0","0,1",,"13,1","0,2"
04/10/2009 4.00,"0,3","2,9","2,9","0,1",,"13,1","0,0"
04/10/2009 5.00,"0,4","2,2","2,3","0,0",,"13,1","0,0"
04/10/2009 6.00,"0,5","2,4","2,4","0,0",,"13,1","0,0"
04/10/2009 7.00,"0,4","3,3","3,5","0,0",,"13,1","0,0"
04/10/2009 8.00,"0,6","3,2","3,8","0,1",,"13,1","0,1"
04/10/2009 9.00,"0,5","3,2","4,0","0,3",,"13,1","0,0"
04/10/2009 10.00,"0,3","10,1","13,4","0,4",,"13,1","0,4"
04/10/2009 11.00,"2,3","9,0","11,4","0,6",,"13,1","0,3"
04/10/2009 12.00,"4,0","3,7","4,4","0,7",,"13,1","0,3"
04/10/2009 13.00,"2,9","2,6","2,7","0,7",,"13,1","0,4"
04/10/2009 14.00,"1,7","2,4","2,5","0,7",,"13,1","0,4"
04/10/2009 15.00,"2,1","1,5","1,7","0,7",,"13,1","0,4"
04/10/2009 16.00,"1,6","1,9","2,1","0,7",,"13,1","0,3"
04/10/2009 17.00,"1,6","6,9","7,3","0,6",,"13,1","0,3"
04/10/2009 18.00,"1,6","17,9","18,6","0,6",,"13,1","0,3"
04/10/2009 19.00,"1,1","55,5","70,7","0,5",,"13,1","0,5"
04/10/2009 20.00,"0,9","24,9","26,5","0,3",,"13,1","0,4"
04/10/2009 21.00,"0,7","21,5","22,6","0,2",,"13,1","0,3"
04/10/2009 22.00,"0,9","38,9","46,0","0,2",,"13,1","0,3"
04/10/2009 23.00,"0,4","31,7","35,1","0,2",,"13,1","0,4"
05/10/2009 0.00,"0,8","21,2","23,2","0,1",,"13,1","1,1"
05/10/2009 1.00,,"23,0","26,2","0,1",,"32,3","0,9"
05/10/2009 2.00,"0,8",,,"0,1",,"32,3","1,2"
05/10/2009 3.00,"0,5","26,1","29,1",,,"32,3","1,1"
05/10/2009 4.00,"0,5","14,5","15,7","0,3",,"32,3","1,2"
05/10/2009 5.00,"0,4","11,4","12,7","0,4",,"32,3","1,1"
05/10/2009 6.00,"0,7","10,5","12,4","0,3",,"32,3","1,0"
05/10/2009 7.00,"0,8","18,2","23,7","0,3",,"32,3","1,0"
05/10/2009 8.00,"0,9","23,9","33,6","0,4",,"32,3","0,5"
05/10/2009 9.00,"0,8","12,6","15,8","0,7",,"32,3","1,1"
05/10/2009 10.00,"0,9","6,0","6,7","0,8",,"32,3","0,0"
05/10/2009 11.00,"0,6","2,0","2,1","0,9",,"32,3","0,5"
05/10/2009 12.00,"1,3","1,3","1,3","1,0",,"32,3","0,1"
05/10/2009 13.00,"1,3","1,5","1,6","1,1",,"32,3","0,1"
05/10/2009 14.00,"1,7","1,5","1,5","1,0",,"32,3","0,0"
05/10/2009 15.00,"1,2","1,9","2,0","1,0",,"32,3","0,0"
05/10/2009 16.00,"1,8","1,7","1,8","1,0",,"32,3","0,0"
05/10/2009 17.00,"1,4","1,2","1,3","1,0",,"32,3","0,0"
05/10/2009 18.00,"0,8","10,4","11,0","0,9",,"32,3","0,0"
05/10/2009 19.00,"1,1","14,0","14,6","0,8",,"32,3","0,2"
05/10/2009 20.00,"1,1","8,4","8,8","0,7",,"32,3","0,8"
05/10/2009 21.00,"0,7","9,8","10,5","0,5",,"32,3","1,1"
05/10/2009 22.00,"1,0","23,5","25,0","0,5",,"32,3","1,3"
05/10/2009 23.00,"0,8","20,3","21,2","0,5",,"32,3","1,4"
06/10/2009 0.00,"0,9","14,8","15,6","0,5",,"32,3","1,4"
06/10/2009 1.00,"0,8","5,5","5,9","0,5",,"25,4","0,9"
06/10/2009 2.00,"0,7","3,3","3,4","0,3",,"25,4","0,6"
06/10/2009 3.00,"0,7","2,9","3,0","0,3",,"25,4","0,6"
06/10/2009 4.00,"0,5","3,0","3,1","0,2",,"25,4","0,3"
06/10/2009 5.00,"0,5","2,9","3,2","0,2",,"25,4","0,5"
06/10/2009 6.00,"0,5","4,7","5,6","0,2",,"25,4","0,3"
06/10/2009 7.00,"0,6","15,5","19,3","0,3",,"25,4","0,7"
06/10/2009 8.00,"0,9","22,8","30,0","0,4",,"25,4","0,7"
06/10/2009 9.00,"0,8","13,1","16,2","0,8",,"25,4","1,1"
06/10/2009 10.00,"1,1","1,6","1,9","0,9",,"25,4","0,9"
06/10/2009 11.00,"1,1","2,9","3,2","0,9",,"25,4","0,2"
06/10/2009 12.00,"1,5","2,7","2,9","1,0",,"25,4","0,1"
06/10/2009 13.00,"2,0","1,3","1,5","1,0",,"25,4","0,1"
06/10/2009 14.00,"2,5","2,6","2,7","1,1",,"25,4","0,3"
06/10/2009 15.00,"2,6","1,7","1,9","1,2",,"25,4","0,0"
06/10/2009 16.00,"2,0","1,5","1,6","1,1",,"25,4","0,1"
06/10/2009 17.00,"1,8","1,5","1,6","1,0",,"25,4","0,0"
06/10/2009 18.00,"1,4","7,5","7,9","0,9",,"25,4","0,0"
06/10/2009 19.00,"1,8","17,1","17,8","0,8",,"25,4","0,3"
06/10/2009 20.00,"1,5","11,9","12,8","0,7",,"25,4","0,8"
06/10/2009 21.00,"1,5","10,8","11,2","0,6",,"25,4","1,5"
06/10/2009 22.00,"1,3","12,5","13,3","0,5",,"25,4","0,7"
06/10/2009 23.00,"1,2","21,1","23,4","0,5",,"25,4","0,5"
07/10/2009 0.00,"1,0","11,9","12,5","0,6",,"25,4","1,3"
07/10/2009 1.00,,"6,4","6,7","0,7",,"25,3","1,1"
07/10/2009 2.00,"0,9",,,"0,6",,"25,3","0,9"
07/10/2009 3.00,"1,1","16,7","17,0",,,"25,3","0,9"
07/10/2009 4.00,"0,5","8,2","8,5","0,2",,"25,3","0,3"
07/10/2009 5.00,"0,6","9,2","9,3","0,4",,"25,3","0,8"
07/10/2009 6.00,"0,4","12,8","13,5","0,3",,"25,3","0,6"
07/10/2009 7.00,"1,1","18,9","20,9","0,4",,"25,3","0,6"
07/10/2009 8.00,"1,1","15,3","18,2","0,5",,"25,3","0,7"
07/10/2009 9.00,"1,2","14,8","17,7","0,6",,"25,3","0,6"
07/10/2009 10.00,"0,8","11,3","13,2","0,7",,"25,3","0,7"
07/10/2009 11.00,"0,9","3,6","3,9","0,8",,"25,3","0,6"
07/10/2009 12.00,"1,2","2,9","3,2","0,8",,"25,3","0,0"
07/10/2009 13.00,"1,4","2,6","2,7","0,8",,"25,3","0,0"
07/10/2009 14.00,"1,8","2,0","2,0","0,9",,"25,3","0,1"
07/10/2009 15.00,"1,8","1,0","1,0","0,9",,"25,3","0,1"
07/10/2009 16.00,"2,1","1,2","1,2","0,9",,"25,3","0,0"
07/10/2009 17.00,"1,7","1,7","1,7","0,8",,"25,3","0,1"
07/10/2009 18.00,"1,5","10,4","10,8","0,8",,"25,3","0,0"
07/10/2009 19.00,"1,6","17,8","18,8","0,7",,"25,3","0,3"
07/10/2009 20.00,"1,1","10,4","11,0","0,6",,"25,3","0,6"
07/10/2009 21.00,"1,2","17,0","17,4","0,6",,"25,3","0,7"
07/10/2009 22.00,"1,0","18,1","18,7","0,5",,"25,3","0,4"
07/10/2009 23.00,"0,9","15,5","16,0","0,5",,"25,3","0,5"
08/10/2009 0.00,"0,8","9,8","10,1","0,5",,"25,3","0,5"
08/10/2009 1.00,"0,7","7,5","7,7","0,4",,"39,9","0,5"
08/10/2009 2.00,"0,7","6,6","6,6","0,4",,"39,9","0,4"
08/10/2009 3.00,"1,0","4,5","4,6","0,4",,"39,9","0,7"
08/10/2009 4.00,"0,8","3,7","3,8","0,3",,"39,9","0,7"
08/10/2009 5.00,"1,2","3,6","4,0","0,2",,"39,9","0,5"
08/10/2009 6.00,"1,0","9,0","9,6","0,2",,"39,9","0,6"
08/10/2009 7.00,"0,9","12,9","14,8","0,3",,"39,9","0,8"
08/10/2009 8.00,"0,9","17,1","21,2","0,5",,"39,9","0,4"
08/10/2009 9.00,"1,4","15,4","18,6","0,7",,"39,9","1,6"
08/10/2009 10.00,"1,2","8,8","9,8","0,7",,"39,9","0,6"
08/10/2009 11.00,"1,5","8,5","9,6","0,8",,"39,9","0,4"
08/10/2009 12.00,"1,2","4,4","4,8","0,9",,"39,9","0,5"
08/10/2009 13.00,"1,9","4,2","4,6","0,9",,"39,9","0,6"
08/10/2009 14.00,"1,7","3,1","3,4","0,9",,"39,9","0,6"
08/10/2009 15.00,"1,9","2,0","2,1","1,0",,"39,9","0,5"
08/10/2009 16.00,"1,9","2,7","3,0","0,9",,"39,9","0,4"
08/10/2009 17.00,"2,0","5,3","5,6","0,8",,"39,9","0,4"
08/10/2009 18.00,"1,7","9,2","9,8","0,8",,"39,9","0,4"
08/10/2009 19.00,"1,7","20,2","21,2","0,7",,"39,9","0,4"
08/10/2009 20.00,"2,1","9,6","10,3","0,6",,"39,9","0,6"
08/10/2009 21.00,"0,8","21,0","21,8","0,6",,"39,9","0,8"
08/10/2009 22.00,"1,0","18,1","19,1","0,6",,"39,9","1,1"
08/10/2009 23.00,"1,7","12,4","13,3","0,5",,"39,9","1,2"
09/10/2009 0.00,"1,4","7,8","8,8","0,4",,"39,9","1,4"
09/10/2009 1.00,,"8,9","10,1","0,3",,"34,5","1,4"
09/10/2009 2.00,"0,6",,,"0,3",,"34,5","1,6"
09/10/2009 3.00,"0,5","20,3","21,0",,,"34,5","1,7"
09/10/2009 4.00,"0,8","7,3","7,6","0,3",,"34,5","1,6"
09/10/2009 5.00,"0,8","5,1","5,5","0,5",,"34,5","1,4"
09/10/2009 6.00,"0,8","6,6","7,2","0,4",,"34,5","0,8"
09/10/2009 7.00,"0,7","10,6","11,8","0,4",,"34,5","1,6"
09/10/2009 8.00,"0,8","14,9","19,1","0,5",,"34,5","1,4"
09/10/2009 9.00,"0,7","11,9","14,8",,,"34,5","1,5"
09/10/2009 10.00,"0,7","3,9","4,4",,,"34,5","0,7"
09/10/2009 11.00,"0,8","4,7","5,2",,,"34,5","0,2"
09/10/2009 12.00,"0,5","2,4","2,6",,,"34,5","0,3"
09/10/2009 13.00,"0,7","4,4","4,8",,,"34,5","0,4"
09/10/2009 14.00,"1,2","2,0","2,1",,,"34,5","0,7"
09/10/2009 15.00,"1,0","2,1","2,2",,,"34,5","0,5"
09/10/2009 16.00,"0,7","1,8","1,9",,,"34,5","0,4"
09/10/2009 17.00,"0,9","9,0","9,2",,,"34,5","0,3"
09/10/2009 18.00,"1,0","4,0","4,2",,,"34,5","0,3"
09/10/2009 19.00,"0,8","9,6","10,4",,,"34,5","0,2"
09/10/2009 20.00,"0,7","6,2","6,6",,,"34,5","1,1"
09/10/2009 21.00,"1,4","6,9","7,2",,,"34,5","1,2"
09/10/2009 22.00,"1,3","12,7","13,5",,,"34,5","1,7"
09/10/2009 23.00,"1,4","22,7","25,4",,,"34,5","1,4"
10/10/2009 0.00,"1,3","29,6","36,5",,,"34,5","1,9"
10/10/2009 1.00,"1,3","23,1","25,8",,,"37,6","3,1"
10/10/2009 2.00,"1,0","15,9","18,3",,,"37,6","2,6"
10/10/2009 3.00,"0,9","11,4","12,7",,,"37,6","1,8"
10/10/2009 4.00,"1,0","6,7","7,7",,,"37,6","1,5"
10/10/2009 5.00,"1,2","6,6","7,2",,,"37,6","2,2"
10/10/2009 6.00,"0,8","7,5","8,1",,,"37,6","2,3"
10/10/2009 7.00,"1,0","31,9","42,5",,,"37,6","1,8"
10/10/2009 8.00,"0,8","24,9","30,9",,,"37,6","1,8"
10/10/2009 9.00,"0,8","12,5","14,9",,,"37,6","1,3"
10/10/2009 10.00,"0,9","9,8","12,0",,,"37,6","0,7"
10/10/2009 11.00,"1,0","3,4","3,6",,,"37,6","0,7"
10/10/2009 12.00,"0,9","2,6","2,7",,,"37,6","0,3"
10/10/2009 13.00,"1,0","2,4","2,6",,,"37,6","0,3"
10/10/2009 14.00,"1,0","1,8","2,0",,,"37,6","0,5"
10/10/2009 15.00,"1,2","1,2","1,6",,,"37,6","0,4"
10/10/2009 16.00,"1,1","1,4","1,6",,,"37,6","0,4"
10/10/2009 17.00,"1,2","2,2","2,5",,,"37,6","0,3"
10/10/2009 18.00,"1,1","4,0","4,4",,,"37,6","0,5"
10/10/2009 19.00,"1,1","7,2","7,5",,,"37,6","0,3"
10/10/2009 20.00,"0,6","5,8","6,1",,,"37,6","0,7"
10/10/2009 21.00,"0,7","10,6","11,1",,,"37,6","0,9"
10/10/2009 22.00,"0,5","12,5","13,2",,,"37,6","0,8"
10/10/2009 23.00,"0,5","11,5","12,2",,,"37,6","0,8"
11/10/2009 0.00,"0,7","10,9","11,2",,,"37,6","0,5"
11/10/2009 1.00,,"14,4","14,9",,,"19,4","0,7"
11/10/2009 2.00,"0,4",,,,,"19,4","0,3"
11/10/2009 3.00,"0,6","13,9","14,3",,,"19,4","0,4"
11/10/2009 4.00,"0,3","5,2","5,4",,,"19,4","0,2"
11/10/2009 5.00,"0,4","2,9","3,0",,,"19,4","0,3"
11/10/2009 6.00,"0,4","2,0","2,1",,,"19,4","0,1"
11/10/2009 7.00,"0,6","1,8","1,8",,,"19,4","0,2"
11/10/2009 8.00,"0,6","1,3","1,6",,,"19,4","0,4"
11/10/2009 9.00,"0,6","2,1","2,3",,,"19,4","0,4"
11/10/2009 10.00,"0,7","3,3","3,7",,,"19,4","0,5"
11/10/2009 11.00,"0,6","1,8","1,9",,,"19,4","0,2"
11/10/2009 12.00,"0,5","1,8","2,1",,,"19,4","0,0"
11/10/2009 13.00,"0,5","1,4","1,5",,,"19,4","0,5"
11/10/2009 14.00,"0,6","1,2","1,2",,,"19,4","0,5"
11/10/2009 15.00,"0,6","1,6","1,6",,,"19,4","0,4"
11/10/2009 16.00,"0,6","3,7","3,9",,,"19,4","0,3"
11/10/2009 17.00,"0,6","6,6","6,7",,,"19,4","0,2"
11/10/2009 18.00,"0,6","11,5","11,9",,,"19,4","0,4"
11/10/2009 19.00,"0,6","15,3","16,3",,,"19,4","0,6"
11/10/2009 20.00,"0,6","11,9","13,4",,,"19,4","0,0"
11/10/2009 21.00,"0,4","8,2","9,1",,,"19,4","0,2"
11/10/2009 22.00,"0,5","6,3","6,6",,,"19,4","0,2"
11/10/2009 23.00,"0,8","19,8","20,6",,,"19,4","0,4"
12/10/2009 0.00,"0,8","24,9","29,5",,,"19,4","0,9"
12/10/2009 1.00,"0,8","16,6","19,5",,,"20,0","1,2"
12/10/2009 2.00,"0,6","12,7","13,8",,,"20,0","1,2"
12/10/2009 3.00,"0,6","8,7","9,1",,,"20,0","0,6"
12/10/2009 4.00,"0,5","5,0","5,4",,,"20,0","0,6"
12/10/2009 5.00,"0,5","5,0","5,3",,,"20,0","0,8"
12/10/2009 6.00,"0,6","12,3","13,9",,,"20,0","0,7"
12/10/2009 7.00,"0,7","26,2","62,0",,,"20,0","1,1"
12/10/2009 8.00,"0,6","20,0","30,5",,,"20,0","1,5"
12/10/2009 9.00,"0,7","17,9","23,8",,,"20,0","1,1"
12/10/2009 10.00,"0,8","4,0","4,8",,,"20,0","1,2"
12/10/2009 11.00,"0,9","3,4","4,0",,,"20,0","0,3"
12/10/2009 12.00,"1,0","1,2","1,6",,,"20,0","0,2"
12/10/2009 13.00,"1,6","1,0","1,1",,,"20,0","0,3"
12/10/2009 14.00,"2,0","0,8","0,8",,,"20,0","0,0"
12/10/2009 15.00,"1,3","0,8","0,8",,,"20,0","0,3"
12/10/2009 16.00,"1,1","1,4","1,5",,,"20,0","0,1"
12/10/2009 17.00,"1,2","1,1","1,2",,,"20,0","0,3"
12/10/2009 18.00,"0,8","3,2","3,2",,,"20,0","0,3"
12/10/2009 19.00,"1,1","4,1","4,3",,,"20,0","0,2"
12/10/2009 20.00,"0,6","2,6","2,7",,,"20,0","0,3"
12/10/2009 21.00,"0,7","1,9","1,9",,,"20,0","0,3"
12/10/2009 22.00,"0,7","0,4","0,4",,,"20,0","0,0"
12/10/2009 23.00,"0,5","0,7","0,7",,,"20,0","0,0"
13/10/2009 0.00,"0,5","0,9","0,9",,,"20,0","0,0"
13/10/2009 1.00,,"0,8","0,8",,,"7,9","0,0"
13/10/2009 2.00,"0,3",,,,,"7,9","0,0"
13/10/2009 3.00,"0,3","18,2","18,3",,,"7,9","0,0"
13/10/2009 4.00,"0,4","4,7","4,8",,,"7,9","0,0"
13/10/2009 5.00,"0,4","3,0","3,0",,,"7,9","0,0"
13/10/2009 6.00,"0,3","3,1","3,1",,,"7,9","0,0"
13/10/2009 7.00,"0,3","7,5","7,7",,,"7,9","0,2"
13/10/2009 8.00,"0,4","5,1","5,3",,,"7,9","0,4"
13/10/2009 9.00,"0,6","5,8","6,7",,,"7,9","0,6"
13/10/2009 10.00,"1,8","6,9","8,5",,,"7,9","0,2"
13/10/2009 11.00,"1,9","4,8","5,7",,,"7,9","0,4"
13/10/2009 12.00,"1,6","5,8","6,8",,,"7,9","0,2"
13/10/2009 13.00,"2,0","5,8","6,8",,,"7,9","0,4"
13/10/2009 14.00,"1,4","5,7","7,1",,,"7,9","0,4"
13/10/2009 15.00,"1,0","6,0","6,8",,,"7,9","0,5"
13/10/2009 16.00,"0,9","4,5","4,8",,,"7,9","0,3"
13/10/2009 17.00,"0,7","4,6","4,6",,,"7,9","0,3"
13/10/2009 18.00,"0,8","7,0","7,0",,,"7,9","0,1"
13/10/2009 19.00,"0,6","8,1","8,3",,,"7,9","0,0"
13/10/2009 20.00,"1,1","7,8","7,8",,,"7,9","0,3"
13/10/2009 21.00,"0,9","5,7","5,7",,,"7,9","0,4"
13/10/2009 22.00,"1,1","4,7","4,7",,,"7,9","0,2"
13/10/2009 23.00,"1,1","4,6","4,6",,,"7,9","0,0"
14/10/2009 0.00,"1,0","5,2","5,3",,,"7,9","0,0"
14/10/2009 1.00,"1,3","5,8","5,8",,,"10,1","0,0"
14/10/2009 2.00,"1,0","5,9","5,9",,,"10,1","0,0"
14/10/2009 3.00,"1,2","5,2","5,2",,,"10,1","0,1"
14/10/2009 4.00,"1,0","6,2","6,3",,,"10,1","0,0"
14/10/2009 5.00,"1,3","7,0","7,1",,,"10,1","0,4"
14/10/2009 6.00,"1,1","10,7","11,7",,,"10,1","0,6"
14/10/2009 7.00,"1,2","14,2","15,9",,,"10,1","0,3"
14/10/2009 8.00,"1,8","17,2","21,4",,,"10,1","0,8"
14/10/2009 9.00,"3,4","7,9","9,3",,,"10,1","1,0"
14/10/2009 10.00,"3,7","5,2","6,1",,,"10,1","0,2"
14/10/2009 11.00,"2,5","4,9","5,2",,,"10,1","0,0"
14/10/2009 12.00,"2,1","5,6","6,3",,,"10,1","0,2"
14/10/2009 13.00,"2,3","3,8","4,0",,,"10,1","0,0"
14/10/2009 14.00,"3,3","3,3","3,3",,,"10,1","0,2"
14/10/2009 15.00,,"2,7","2,7",,,"10,1","0,3"
14/10/2009 16.00,,"2,6","2,8","1,1","80,5","10,1","0,0"
14/10/2009 17.00,"0,9","4,0","4,0","1,2","79,1","10,1","0,2"
14/10/2009 18.00,"0,6","4,5","4,6","1,1","77,2","10,1","0,3"
14/10/2009 19.00,"0,6","4,0","4,1","0,9","76,9","10,1","0,0"
14/10/2009 20.00,"0,5","2,6","2,7","0,9","74,3","10,1","0,1"
14/10/2009 21.00,"0,5","2,9","2,9","0,8","76,2","10,1","0,3"
14/10/2009 22.00,"0,5","1,8","1,8","0,8","75,3","10,1","0,3"
14/10/2009 23.00,"0,4","10,2","10,5","0,8","42,9","10,1","0,1"
15/10/2009 0.00,"0,5","10,2","10,5","0,8","30,9","10,1","0,7"
15/10/2009 1.00,,"2,3","2,4","0,7","68,1","17,5","0,7"
15/10/2009 2.00,"1,6",,,"0,7","60,5","17,5","0,3"
15/10/2009 3.00,"1,9","19,4","19,7",,"44,6","17,5","0,1"
15/10/2009 4.00,"1,1","7,1","7,4","0,2",,"17,5","0,6"
15/10/2009 5.00,"0,9","5,7","6,1","0,3","31,9","17,5","0,8"
15/10/2009 6.00,"0,8","8,0","8,5","0,2","29,8","17,5","0,8"
15/10/2009 7.00,"1,1","23,8","29,3","0,2","14,4","17,5","0,8"
15/10/2009 8.00,"1,4","29,3","46,6","0,3","16,5","17,5","1,0"
15/10/2009 9.00,"1,6","22,9","33,1","0,5","43,5","17,5","1,6"
15/10/2009 10.00,"1,6","3,4","3,8","0,6","76,3","17,5","2,0"
15/10/2009 11.00,"1,5","2,5","2,7","0,8","79,8","17,5","0,2"
15/10/2009 12.00,"1,7","4,5","5,0","0,8","81,1","17,5","0,3"
15/10/2009 13.00,"1,7","2,7","2,9","0,8","85,0","17,5","0,7"
15/10/2009 14.00,"1,4","2,6","2,7","0,9","87,1","17,5","0,7"
15/10/2009 15.00,,"3,0",,,"86,9","17,5","0,4"
15/10/2009 16.00,,,,,,"17,5",
15/10/2009 17.00,,,,,,"17,5","0,6"
15/10/2009 18.00,,,,"0,1",,"17,5","0,4"
15/10/2009 19.00,"1,0","7,3","7,3","0,2","90,2","17,5","0,3"
15/10/2009 20.00,"1,0","4,5","4,6","0,2","86,8","17,5","0,1"
15/10/2009 21.00,"1,1","3,1","3,2","0,2","86,3","17,5","0,3"
15/10/2009 22.00,"1,1","2,2","2,3","0,1","83,7","17,5","0,0"
15/10/2009 23.00,"0,8","1,9","1,9","0,1","80,2","17,5","0,0"
16/10/2009 0.00,"1,2","1,4","1,5","0,0","82,8","17,5","0,0"
