NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
11/01/2009 15.00,"2,7","5,8","12,2","0,6","67,5",,"1,2"
11/01/2009 16.00,"3,3","7,4","13,9","0,6","64,1",,"1,2"
11/01/2009 17.00,"2,5","14,1","21,4","0,5","44,2",,"1,1"
11/01/2009 18.00,"1,9","9,6","15,5","0,4","52,4",,"1,1"
11/01/2009 19.00,"1,6","12,1","17,6","0,5","41,0",,"1,2"
11/01/2009 20.00,"1,5","11,6","17,0","0,5","36,8",,"1,4"
11/01/2009 21.00,"1,2","11,9","17,4","0,5","39,8",,"1,5"
11/01/2009 22.00,"1,5","9,8","15,4","0,5","43,9",,"1,5"
11/01/2009 23.00,"1,3","8,8","14,1","0,5","41,7",,"1,5"
12/01/2009 0.00,"1,5","9,5","14,8","0,4","28,0",,"1,7"
12/01/2009 1.00,,"9,6","14,6","0,4","23,5",,"1,6"
12/01/2009 2.00,"0,9",,,"0,4","15,1",,"1,6"
12/01/2009 3.00,"1,0","6,3","9,1",,"19,9",,"1,5"
12/01/2009 4.00,"0,9","5,0","8,0","0,5",,,"1,4"
12/01/2009 5.00,"1,8","5,9","9,2","0,4","17,5",,"1,6"
12/01/2009 6.00,"2,3","4,9","8,4","0,4","13,0",,"1,5"
12/01/2009 7.00,"2,4","6,2","10,4","0,3","9,6",,"1,5"
12/01/2009 8.00,"1,8","11,7","22,2","0,4","5,6",,"1,3"
12/01/2009 9.00,"2,3","21,9","40,6","0,4","10,5",,"1,4"
12/01/2009 10.00,"3,2","23,5","40,4","0,7","18,2",,"1,7"
12/01/2009 11.00,"2,6","15,5","25,1","0,7","26,4",,"2,1"
12/01/2009 12.00,"2,5","15,0","23,6","0,8","44,3",,"1,9"
12/01/2009 13.00,"4,2","9,7","16,3","0,8","48,4",,"1,6"
12/01/2009 14.00,"4,0","8,6","15,0","0,9","49,8",,"1,2"
12/01/2009 15.00,"2,9","8,0","14,0","0,8","48,4",,"1,2"
12/01/2009 16.00,"2,9","5,9","11,3","0,7","43,2",,"0,9"
12/01/2009 17.00,"2,2","8,9","15,8","0,6","27,9",,"0,9"
12/01/2009 18.00,"1,7","13,3","19,8","0,6","13,2",,"0,9"
12/01/2009 19.00,"1,5","10,2","16,8","0,5","9,2",,"1,2"
12/01/2009 20.00,"2,0","6,9","12,8","0,5","7,7",,"1,3"
12/01/2009 21.00,"1,7","5,5","10,4","0,4","10,1",,"1,0"
12/01/2009 22.00,"1,5","7,1","15,8","0,4","6,3",,"1,0"
12/01/2009 23.00,"1,4","20,6","33,4","0,8","6,1",,"1,0"
13/01/2009 0.00,"1,3","23,0","36,8","0,9","4,0",,"3,0"
13/01/2009 1.00,"1,6","17,2","30,8","0,7","3,3",,
13/01/2009 2.00,"1,9","15,4","24,3","0,7","3,7",,
13/01/2009 3.00,"1,7","14,2","19,6","0,7","3,9",,
13/01/2009 4.00,"1,8","13,2","18,2","0,7","4,8",,
13/01/2009 5.00,"1,8","14,4","20,9","0,6","13,0",,
13/01/2009 6.00,"1,4","3,7","8,4","0,5","30,9",,
13/01/2009 7.00,"1,5","3,1","7,7","0,5","41,7",,
13/01/2009 8.00,"1,6","4,1","8,9","0,5","45,7",,
13/01/2009 9.00,"1,7","7,7","12,9","0,5","33,4",,
13/01/2009 10.00,"1,7","3,8","8,8","0,6","41,0",,
13/01/2009 11.00,"1,7","3,6","8,7","0,6","49,1",,
