, Brindisi,,,,,,,
,Terminale Passeggeri,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10-FAI,BENZ,PM2.5-FAI
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,
09/01/2010 3.00,"7,89642328","6,43461612","7,95531767","0,8484928",,"34,29999161","1,4313258","12,60000038"
09/01/2010 4.00,"8,04749659","6,30978164","8,02665248","0,8451376",,"34,29999161","1,4423094","12,60000038"
09/01/2010 5.00,"8,11288766","7,62621085","9,51493034","0,83349576",,"34,29999161","1,4094603","12,60000038"
09/01/2010 6.00,"6,71714567","10,37741824","13,20482266","0,81721721",,"34,29999161","1,3309479","12,60000038"
09/01/2010 7.00,"9,03060202","9,43873331","11,51389383","0,83507433",,"34,29999161","1,36364445","12,60000038"
09/01/2010 8.00,"8,13318088","11,43769681","14,35426734","0,82333346",,"34,29999161","1,40686695","12,60000038"
09/01/2010 9.00,"3,38224809","15,71771263","20,4743652","0,83379167",,"34,29999161","1,3621698","12,60000038"
09/01/2010 10.00,"1,77229742","15,18595293","19,3022136","0,89180517",,"34,29999161","1,51599105","12,60000038"
09/01/2010 11.00,"1,76553437","10,65302539","13,76414384","0,91321438",,"34,29999161","1,51660125","12,60000038"
09/01/2010 12.00,"1,7835729","8,59245726","11,3209673","0,85993776",,"34,29999161","1,4353938","12,60000038"
09/01/2010 13.00,"1,74975053","6,96961858","9,25715641","0,8548071",,"34,29999161","1,39751055","12,60000038"
09/01/2010 14.00,"1,73396466","7,84021145","10,53954054","0,85105813",,"34,29999161","1,3111164","12,60000038"
09/01/2010 15.00,"1,80386612","8,25362409","10,55899514","0,84089584",,"34,29999161","1,3264731","12,60000038"
09/01/2010 16.00,"1,74975053","8,94426143","11,24477027","0,82412333",,"34,29999161","1,3514913","12,60000038"
09/01/2010 17.00,"2,76216895","13,90519017","18,16250864","0,83349576",,"34,29999161","1,64016675","12,60000038"
09/01/2010 18.00,"2,22100901","15,96413693","20,98666648","0,82284067",,"34,29999161","1,7648001","12,60000038"
09/01/2010 19.00,"2,00229197","16,93362609","21,65135416","0,83300296",,"34,29999161","1,9253844","12,60000038"
09/01/2010 20.00,"5,01700236","15,64475836","19,40110224","0,81978254",,"34,29999161","1,7610372","12,60000038"
09/01/2010 21.00,"7,5446684","15,35293745","18,27923624","0,8118885",,"34,29999161","1,6515063","12,60000038"
09/01/2010 22.00,"12,28206492","12,23695678","14,54394922","0,836357",,"34,29999161","1,7381547","12,60000038"
09/01/2010 23.00,"7,61006048","14,18890229","17,54806641","0,79876711",,"34,29999161","1,6147926","12,60000038"
