,Provincia di TARANTO
10/04/2014 11.00.00,13
10/04/2014 12.00.00,11
10/04/2014 13.00.00,12
10/04/2014 14.00.00,7
10/04/2014 15.00.00,9
10/04/2014 16.00.00,14
10/04/2014 17.00.00,16
10/04/2014 18.00.00,16
10/04/2014 19.00.00,23
10/04/2014 20.00.00,19
10/04/2014 21.00.00,16
10/04/2014 22.00.00,7
10/04/2014 23.00.00,7
11/04/2014 00.00.00,11
11/04/2014 01.00.00,11
11/04/2014 02.00.00,8
11/04/2014 03.00.00,4
11/04/2014 04.00.00,5
11/04/2014 05.00.00,11
11/04/2014 06.00.00,33
11/04/2014 07.00.00,78
11/04/2014 08.00.00,113
11/04/2014 09.00.00,35
11/04/2014 10.00.00,27
11/04/2014 11.00.00,20
11/04/2014 12.00.00,20
11/04/2014 13.00.00,18
11/04/2014 14.00.00,18
11/04/2014 15.00.00,15
11/04/2014 16.00.00,19
11/04/2014 17.00.00,16
11/04/2014 18.00.00,19
11/04/2014 19.00.00,34
11/04/2014 20.00.00,36
11/04/2014 21.00.00,18
11/04/2014 22.00.00,9
11/04/2014 23.00.00,10
12/04/2014 00.00.00,13
12/04/2014 01.00.00,10
12/04/2014 02.00.00,4
12/04/2014 03.00.00,3
12/04/2014 04.00.00,3
12/04/2014 05.00.00,5
12/04/2014 06.00.00,9
12/04/2014 07.00.00,41
12/04/2014 08.00.00,45
12/04/2014 09.00.00,15
12/04/2014 10.00.00,17
12/04/2014 11.00.00,16
12/04/2014 12.00.00,16
12/04/2014 13.00.00,15
12/04/2014 14.00.00,6
12/04/2014 15.00.00,4
12/04/2014 16.00.00,7
12/04/2014 17.00.00,9
12/04/2014 18.00.00,9
12/04/2014 19.00.00,18
12/04/2014 20.00.00,27
12/04/2014 21.00.00,34
12/04/2014 22.00.00,17
12/04/2014 23.00.00,15
13/04/2014 00.00.00,17
13/04/2014 01.00.00,18
13/04/2014 02.00.00,16
13/04/2014 03.00.00,7
13/04/2014 04.00.00,4
13/04/2014 05.00.00,5
13/04/2014 06.00.00,11
13/04/2014 07.00.00,13
13/04/2014 08.00.00,9
13/04/2014 09.00.00,25
13/04/2014 10.00.00,16
13/04/2014 11.00.00,22
13/04/2014 12.00.00,27
13/04/2014 13.00.00,19
13/04/2014 14.00.00,5
13/04/2014 15.00.00,6
13/04/2014 16.00.00,9
13/04/2014 17.00.00,13
13/04/2014 18.00.00,19
13/04/2014 19.00.00,29
13/04/2014 20.00.00,14
13/04/2014 21.00.00,13
13/04/2014 22.00.00,13
13/04/2014 23.00.00,9
14/04/2014 00.00.00,9
14/04/2014 01.00.00,5
14/04/2014 02.00.00,2
14/04/2014 03.00.00,3
14/04/2014 04.00.00,2
14/04/2014 05.00.00,10
14/04/2014 06.00.00,26
14/04/2014 07.00.00,37
14/04/2014 08.00.00,28
14/04/2014 09.00.00,20
14/04/2014 10.00.00,21
14/04/2014 11.00.00,18
14/04/2014 12.00.00,15
14/04/2014 13.00.00,14
14/04/2014 14.00.00,10
14/04/2014 15.00.00,10
14/04/2014 16.00.00,14
14/04/2014 17.00.00,14
14/04/2014 18.00.00,21
14/04/2014 19.00.00,30
14/04/2014 20.00.00,28
14/04/2014 21.00.00,21
14/04/2014 22.00.00,30
14/04/2014 23.00.00,18
15/04/2014 00.00.00,17
15/04/2014 01.00.00,9
15/04/2014 02.00.00,6
15/04/2014 03.00.00,3
15/04/2014 04.00.00,10
15/04/2014 05.00.00,19
15/04/2014 06.00.00,72
15/04/2014 07.00.00,38
15/04/2014 08.00.00,44
15/04/2014 09.00.00,22
15/04/2014 10.00.00,18
15/04/2014 11.00.00,15
15/04/2014 12.00.00,14
15/04/2014 13.00.00,15
15/04/2014 14.00.00,8
15/04/2014 15.00.00,10
15/04/2014 16.00.00,19
15/04/2014 17.00.00,25
15/04/2014 18.00.00,19
15/04/2014 19.00.00,16
15/04/2014 20.00.00,15
15/04/2014 21.00.00,16
15/04/2014 22.00.00,6
15/04/2014 23.00.00,6
16/04/2014 00.00.00,6
16/04/2014 01.00.00,2
16/04/2014 02.00.00,2
16/04/2014 03.00.00,2
16/04/2014 04.00.00,2
16/04/2014 05.00.00,2
16/04/2014 06.00.00,10
16/04/2014 07.00.00,32
16/04/2014 08.00.00,37
16/04/2014 09.00.00,17
16/04/2014 10.00.00,14
16/04/2014 11.00.00,16
16/04/2014 12.00.00,15
16/04/2014 13.00.00,14
16/04/2014 14.00.00,9
16/04/2014 15.00.00,8
16/04/2014 16.00.00,12
16/04/2014 17.00.00,14
16/04/2014 18.00.00,19
16/04/2014 19.00.00,21
16/04/2014 20.00.00,24
16/04/2014 21.00.00,11
16/04/2014 22.00.00,9
16/04/2014 23.00.00,5
17/04/2014 00.00.00,4
17/04/2014 01.00.00,2
17/04/2014 02.00.00,2
17/04/2014 03.00.00,4
17/04/2014 04.00.00,2
17/04/2014 05.00.00,3
17/04/2014 06.00.00,7
17/04/2014 07.00.00,12
17/04/2014 08.00.00,19
17/04/2014 09.00.00,30
17/04/2014 10.00.00,24
17/04/2014 11.00.00,51
17/04/2014 12.00.00,29
17/04/2014 13.00.00,11
17/04/2014 14.00.00,7
17/04/2014 15.00.00,7
17/04/2014 16.00.00,12
17/04/2014 17.00.00,15
17/04/2014 18.00.00,19
17/04/2014 19.00.00,18
17/04/2014 20.00.00,15
17/04/2014 21.00.00,10
17/04/2014 22.00.00,9
17/04/2014 23.00.00,7
18/04/2014 00.00.00,7
18/04/2014 01.00.00,7
18/04/2014 02.00.00,3
18/04/2014 03.00.00,3
18/04/2014 04.00.00,3
18/04/2014 05.00.00,3
18/04/2014 06.00.00,10
18/04/2014 07.00.00,19
18/04/2014 08.00.00,18
18/04/2014 09.00.00,16
18/04/2014 10.00.00,15
18/04/2014 11.00.00,17
18/04/2014 12.00.00,20
18/04/2014 13.00.00,21
18/04/2014 14.00.00,12
18/04/2014 15.00.00,14
18/04/2014 16.00.00,18
18/04/2014 17.00.00,15
18/04/2014 18.00.00,20
18/04/2014 19.00.00,17
18/04/2014 20.00.00,18
18/04/2014 21.00.00,15
18/04/2014 22.00.00,12
18/04/2014 23.00.00,19
19/04/2014 00.00.00,8
19/04/2014 01.00.00,9
19/04/2014 02.00.00,7
19/04/2014 03.00.00,21
19/04/2014 04.00.00,29
19/04/2014 05.00.00,29
19/04/2014 06.00.00,51
19/04/2014 07.00.00,84
19/04/2014 08.00.00,30
19/04/2014 09.00.00,11
19/04/2014 10.00.00,11
19/04/2014 11.00.00,16
19/04/2014 12.00.00,13
19/04/2014 13.00.00,10
19/04/2014 14.00.00,5
19/04/2014 15.00.00,5
19/04/2014 16.00.00,7
19/04/2014 17.00.00,14
19/04/2014 18.00.00,12
19/04/2014 19.00.00,21
19/04/2014 20.00.00,27
19/04/2014 21.00.00,24
19/04/2014 22.00.00,20
19/04/2014 23.00.00,19
20/04/2014 00.00.00,17
20/04/2014 01.00.00,11
20/04/2014 02.00.00,8
20/04/2014 03.00.00,8
20/04/2014 04.00.00,4
20/04/2014 05.00.00,3
20/04/2014 06.00.00,3
20/04/2014 07.00.00,3
20/04/2014 08.00.00,4
20/04/2014 09.00.00,4
20/04/2014 10.00.00,9
20/04/2014 11.00.00,11
20/04/2014 12.00.00,15
20/04/2014 13.00.00,11
20/04/2014 14.00.00,3
20/04/2014 15.00.00,2
20/04/2014 16.00.00,4
20/04/2014 17.00.00,6
20/04/2014 18.00.00,13
20/04/2014 19.00.00,14
20/04/2014 20.00.00,16
20/04/2014 21.00.00,13
20/04/2014 22.00.00,11
20/04/2014 23.00.00,7
21/04/2014 00.00.00,7
21/04/2014 01.00.00,3
21/04/2014 02.00.00,2
21/04/2014 03.00.00,6
21/04/2014 04.00.00,2
21/04/2014 05.00.00,3
21/04/2014 06.00.00,3
21/04/2014 07.00.00,4
21/04/2014 08.00.00,8
21/04/2014 09.00.00,11
21/04/2014 10.00.00,11
21/04/2014 11.00.00,15
21/04/2014 12.00.00,10
21/04/2014 13.00.00,5
21/04/2014 14.00.00,2
21/04/2014 15.00.00,3
21/04/2014 16.00.00,5
21/04/2014 17.00.00,7
21/04/2014 18.00.00,8
21/04/2014 19.00.00,18
21/04/2014 20.00.00,20
21/04/2014 21.00.00,16
21/04/2014 22.00.00,14
21/04/2014 23.00.00,12
22/04/2014 00.00.00,9
22/04/2014 01.00.00,6
22/04/2014 02.00.00,5
22/04/2014 03.00.00,5
22/04/2014 04.00.00,4
22/04/2014 05.00.00,6
22/04/2014 06.00.00,23
22/04/2014 07.00.00,33
22/04/2014 08.00.00,27
22/04/2014 09.00.00,20
22/04/2014 10.00.00,20
22/04/2014 11.00.00,23
22/04/2014 12.00.00,17
22/04/2014 13.00.00,15
22/04/2014 14.00.00,9
22/04/2014 15.00.00,14
22/04/2014 16.00.00,23
22/04/2014 17.00.00,28
22/04/2014 18.00.00,38
22/04/2014 19.00.00,35
22/04/2014 20.00.00,24
22/04/2014 21.00.00,20
22/04/2014 22.00.00,11
22/04/2014 23.00.00,11
23/04/2014 00.00.00,12
23/04/2014 01.00.00,4
23/04/2014 02.00.00,4
23/04/2014 03.00.00,4
23/04/2014 04.00.00,10
23/04/2014 05.00.00,4
23/04/2014 06.00.00,13
23/04/2014 07.00.00,36
23/04/2014 08.00.00,51
23/04/2014 09.00.00,49
23/04/2014 10.00.00,45
23/04/2014 11.00.00,32
23/04/2014 12.00.00,32
23/04/2014 13.00.00,26
23/04/2014 14.00.00,9
23/04/2014 15.00.00,8
23/04/2014 16.00.00,12
23/04/2014 17.00.00,14
23/04/2014 18.00.00,15
23/04/2014 19.00.00,15
23/04/2014 20.00.00,12
23/04/2014 21.00.00,6
23/04/2014 22.00.00,3
23/04/2014 23.00.00,2
24/04/2014 00.00.00,2
24/04/2014 01.00.00,2
24/04/2014 02.00.00,1
24/04/2014 03.00.00,2
24/04/2014 04.00.00,2
24/04/2014 05.00.00,2
24/04/2014 06.00.00,7
24/04/2014 07.00.00,17
24/04/2014 08.00.00,21
24/04/2014 09.00.00,23
24/04/2014 10.00.00,19
24/04/2014 11.00.00,17
24/04/2014 12.00.00,22
24/04/2014 13.00.00,16
24/04/2014 14.00.00,11
24/04/2014 15.00.00,10
24/04/2014 16.00.00,15
24/04/2014 17.00.00,21
24/04/2014 18.00.00,27
24/04/2014 19.00.00,19
24/04/2014 20.00.00,15
24/04/2014 21.00.00,8
24/04/2014 22.00.00,5
24/04/2014 23.00.00,5
25/04/2014 00.00.00,5
25/04/2014 01.00.00,4
25/04/2014 02.00.00,2
25/04/2014 03.00.00,2
25/04/2014 04.00.00,2
25/04/2014 05.00.00,3
25/04/2014 06.00.00,6
25/04/2014 07.00.00,10
25/04/2014 08.00.00,12
25/04/2014 09.00.00,13
25/04/2014 10.00.00,11
25/04/2014 11.00.00,14
25/04/2014 12.00.00,12
25/04/2014 13.00.00,11
25/04/2014 14.00.00,5
25/04/2014 15.00.00,4
25/04/2014 16.00.00,5
25/04/2014 17.00.00,6
25/04/2014 18.00.00,9
25/04/2014 19.00.00,15
25/04/2014 20.00.00,28
25/04/2014 21.00.00,48
25/04/2014 22.00.00,26
25/04/2014 23.00.00,13
26/04/2014 00.00.00,15
26/04/2014 01.00.00,9
26/04/2014 02.00.00,6
26/04/2014 03.00.00,3
26/04/2014 04.00.00,4
26/04/2014 05.00.00,8
26/04/2014 06.00.00,10
26/04/2014 07.00.00,26
26/04/2014 08.00.00,25
26/04/2014 09.00.00,18
26/04/2014 10.00.00,26
26/04/2014 11.00.00,39
26/04/2014 12.00.00,19
26/04/2014 13.00.00,21
26/04/2014 14.00.00,11
26/04/2014 15.00.00,9
26/04/2014 16.00.00,8
26/04/2014 17.00.00,16
26/04/2014 18.00.00,16
26/04/2014 19.00.00,27
26/04/2014 20.00.00,36
26/04/2014 21.00.00,18
26/04/2014 22.00.00,14
26/04/2014 23.00.00,14
27/04/2014 00.00.00,21
27/04/2014 01.00.00,19
27/04/2014 02.00.00,20
27/04/2014 03.00.00,12
27/04/2014 04.00.00,13
27/04/2014 05.00.00,22
27/04/2014 06.00.00,38
27/04/2014 07.00.00,23
27/04/2014 08.00.00,10
27/04/2014 09.00.00,15
27/04/2014 10.00.00,9
27/04/2014 11.00.00,9
27/04/2014 12.00.00,11
27/04/2014 13.00.00,7
27/04/2014 14.00.00,4
27/04/2014 15.00.00,3
27/04/2014 16.00.00,5
27/04/2014 17.00.00,6
27/04/2014 18.00.00,11
27/04/2014 19.00.00,12
27/04/2014 20.00.00,13
27/04/2014 21.00.00,8
27/04/2014 22.00.00,4
27/04/2014 23.00.00,4
28/04/2014 00.00.00,6
28/04/2014 01.00.00,6
28/04/2014 02.00.00,2
28/04/2014 03.00.00,2
28/04/2014 04.00.00,3
28/04/2014 05.00.00,6
28/04/2014 06.00.00,18
28/04/2014 07.00.00,50
28/04/2014 08.00.00,28
28/04/2014 09.00.00,20
28/04/2014 10.00.00,18
28/04/2014 11.00.00,13
28/04/2014 12.00.00,15
28/04/2014 13.00.00,13
28/04/2014 14.00.00,8
28/04/2014 15.00.00,10
28/04/2014 16.00.00,15
28/04/2014 17.00.00,20
28/04/2014 18.00.00,23
28/04/2014 19.00.00,20
28/04/2014 20.00.00,22
28/04/2014 21.00.00,9
28/04/2014 22.00.00,5
28/04/2014 23.00.00,4
29/04/2014 00.00.00,3
29/04/2014 01.00.00,2
29/04/2014 02.00.00,1
29/04/2014 03.00.00,2
29/04/2014 04.00.00,3
29/04/2014 05.00.00,3
29/04/2014 06.00.00,13
29/04/2014 07.00.00,18
29/04/2014 08.00.00,35
29/04/2014 09.00.00,23
29/04/2014 10.00.00,14
29/04/2014 11.00.00,11
29/04/2014 12.00.00,16
29/04/2014 13.00.00,23
29/04/2014 14.00.00,17
29/04/2014 15.00.00,17
29/04/2014 16.00.00,19
29/04/2014 17.00.00,30
29/04/2014 18.00.00,30
29/04/2014 19.00.00,37
29/04/2014 20.00.00,36
29/04/2014 21.00.00,26
29/04/2014 22.00.00,35
29/04/2014 23.00.00,6
30/04/2014 00.00.00,4
30/04/2014 01.00.00,3
30/04/2014 02.00.00,2
30/04/2014 03.00.00,2
30/04/2014 04.00.00,3
30/04/2014 05.00.00,4
30/04/2014 06.00.00,26
30/04/2014 07.00.00,25
30/04/2014 08.00.00,36
30/04/2014 09.00.00,18
30/04/2014 10.00.00,16
30/04/2014 11.00.00,21
30/04/2014 12.00.00,20
30/04/2014 13.00.00,18
30/04/2014 14.00.00,9
30/04/2014 15.00.00,11
30/04/2014 16.00.00,13
30/04/2014 17.00.00,15
30/04/2014 18.00.00,24
30/04/2014 19.00.00,34
30/04/2014 20.00.00,27
30/04/2014 21.00.00,16
30/04/2014 22.00.00,9
30/04/2014 23.00.00,9
01/05/2014 00.00.00,6
01/05/2014 01.00.00,6
01/05/2014 02.00.00,4
01/05/2014 03.00.00,2
01/05/2014 04.00.00,3
01/05/2014 05.00.00,2
01/05/2014 06.00.00,5
01/05/2014 07.00.00,9
01/05/2014 08.00.00,6
01/05/2014 09.00.00,10
01/05/2014 10.00.00,12
01/05/2014 11.00.00,12
01/05/2014 12.00.00,22
01/05/2014 13.00.00,16
01/05/2014 14.00.00,7
01/05/2014 15.00.00,4
01/05/2014 16.00.00,7
01/05/2014 17.00.00,10
01/05/2014 18.00.00,13
01/05/2014 19.00.00,24
01/05/2014 20.00.00,39
01/05/2014 21.00.00,61
01/05/2014 22.00.00,25
01/05/2014 23.00.00,31
02/05/2014 00.00.00,43
02/05/2014 01.00.00,40
02/05/2014 02.00.00,50
02/05/2014 03.00.00,24
02/05/2014 04.00.00,9
02/05/2014 05.00.00,11
02/05/2014 06.00.00,67
02/05/2014 07.00.00,62
02/05/2014 08.00.00,54
02/05/2014 09.00.00,27
02/05/2014 10.00.00,19
02/05/2014 11.00.00,17
02/05/2014 12.00.00,15
02/05/2014 13.00.00,13
02/05/2014 14.00.00,8
02/05/2014 15.00.00,8
02/05/2014 16.00.00,11
02/05/2014 17.00.00,23
02/05/2014 18.00.00,22
02/05/2014 19.00.00,24
02/05/2014 20.00.00,28
02/05/2014 21.00.00,32
02/05/2014 22.00.00,21
02/05/2014 23.00.00,10
03/05/2014 00.00.00,17
03/05/2014 01.00.00,15
03/05/2014 02.00.00,3
03/05/2014 03.00.00,19
03/05/2014 04.00.00,2
03/05/2014 05.00.00,3
03/05/2014 06.00.00,16
03/05/2014 07.00.00,28
03/05/2014 08.00.00,32
03/05/2014 09.00.00,31
03/05/2014 10.00.00,42
03/05/2014 11.00.00,23
03/05/2014 12.00.00,20
03/05/2014 13.00.00,18
03/05/2014 14.00.00,7
03/05/2014 15.00.00,6
03/05/2014 16.00.00,10
03/05/2014 17.00.00,20
03/05/2014 18.00.00,19
03/05/2014 19.00.00,22
03/05/2014 20.00.00,15
03/05/2014 21.00.00,18
03/05/2014 22.00.00,20
03/05/2014 23.00.00,26
04/05/2014 00.00.00,24
04/05/2014 01.00.00,11
04/05/2014 02.00.00,11
04/05/2014 03.00.00,5
04/05/2014 04.00.00,3
04/05/2014 05.00.00,12
04/05/2014 06.00.00,8
04/05/2014 07.00.00,5
04/05/2014 08.00.00,7
04/05/2014 09.00.00,8
04/05/2014 10.00.00,11
04/05/2014 11.00.00,12
04/05/2014 12.00.00,10
04/05/2014 13.00.00,9
04/05/2014 14.00.00,7
04/05/2014 15.00.00,4
04/05/2014 16.00.00,5
04/05/2014 17.00.00,10
04/05/2014 18.00.00,9
04/05/2014 19.00.00,9
04/05/2014 20.00.00,12
04/05/2014 21.00.00,13
04/05/2014 22.00.00,6
04/05/2014 23.00.00,6
05/05/2014 00.00.00,5
05/05/2014 01.00.00,5
05/05/2014 02.00.00,1
05/05/2014 03.00.00,2
05/05/2014 04.00.00,2
05/05/2014 05.00.00,4
05/05/2014 06.00.00,9
05/05/2014 07.00.00,17
05/05/2014 08.00.00,28
05/05/2014 09.00.00,19
05/05/2014 10.00.00,23
05/05/2014 11.00.00,21
05/05/2014 12.00.00,20
05/05/2014 13.00.00,16
05/05/2014 14.00.00,10
05/05/2014 15.00.00,10
05/05/2014 16.00.00,14
05/05/2014 17.00.00,18
05/05/2014 18.00.00,22
05/05/2014 19.00.00,20
05/05/2014 20.00.00,22
05/05/2014 21.00.00,14
05/05/2014 22.00.00,7
05/05/2014 23.00.00,6
06/05/2014 00.00.00,6
06/05/2014 01.00.00,3
06/05/2014 02.00.00,2
06/05/2014 03.00.00,1
06/05/2014 04.00.00,2
06/05/2014 05.00.00,3
06/05/2014 06.00.00,10
06/05/2014 07.00.00,20
06/05/2014 08.00.00,20
06/05/2014 09.00.00,18
06/05/2014 10.00.00,16
06/05/2014 11.00.00,17
06/05/2014 12.00.00,17
06/05/2014 13.00.00,11
06/05/2014 14.00.00,9
06/05/2014 15.00.00,9
06/05/2014 16.00.00,14
06/05/2014 17.00.00,21
06/05/2014 18.00.00,22
06/05/2014 19.00.00,26
06/05/2014 20.00.00,18
06/05/2014 21.00.00,23
06/05/2014 22.00.00,15
06/05/2014 23.00.00,13
07/05/2014 00.00.00,8
07/05/2014 01.00.00,6
07/05/2014 02.00.00,2
07/05/2014 03.00.00,2
07/05/2014 04.00.00,3
07/05/2014 05.00.00,27
07/05/2014 06.00.00,42
07/05/2014 07.00.00,74
07/05/2014 08.00.00,42
07/05/2014 09.00.00,26
07/05/2014 10.00.00,17
07/05/2014 11.00.00,12
07/05/2014 12.00.00,13
07/05/2014 13.00.00,19
07/05/2014 14.00.00,7
07/05/2014 15.00.00,9
07/05/2014 16.00.00,13
07/05/2014 17.00.00,18
07/05/2014 18.00.00,18
07/05/2014 19.00.00,26
07/05/2014 20.00.00,26
07/05/2014 21.00.00,16
07/05/2014 22.00.00,18
07/05/2014 23.00.00,7
08/05/2014 00.00.00,6
08/05/2014 01.00.00,6
08/05/2014 02.00.00,4
08/05/2014 03.00.00,2
08/05/2014 04.00.00,3
08/05/2014 05.00.00,8
08/05/2014 06.00.00,21
08/05/2014 07.00.00,54
08/05/2014 08.00.00,43
08/05/2014 09.00.00,22
08/05/2014 10.00.00,18
08/05/2014 11.00.00,16
08/05/2014 12.00.00,18
08/05/2014 13.00.00,21
08/05/2014 14.00.00,14
08/05/2014 15.00.00,16
08/05/2014 16.00.00,20
08/05/2014 17.00.00,18
08/05/2014 18.00.00,20
08/05/2014 19.00.00,26
08/05/2014 20.00.00,23
08/05/2014 21.00.00,11
08/05/2014 22.00.00,8
08/05/2014 23.00.00,9
09/05/2014 00.00.00,8
09/05/2014 01.00.00,3
09/05/2014 02.00.00,2
09/05/2014 03.00.00,1
09/05/2014 04.00.00,2
09/05/2014 05.00.00,6
09/05/2014 06.00.00,11
09/05/2014 07.00.00,31
09/05/2014 08.00.00,34
09/05/2014 09.00.00,20
09/05/2014 10.00.00,16
09/05/2014 11.00.00,19
09/05/2014 12.00.00,22
09/05/2014 13.00.00,17
09/05/2014 14.00.00,13
09/05/2014 15.00.00,10
09/05/2014 16.00.00,18
09/05/2014 17.00.00,23
09/05/2014 18.00.00,24
09/05/2014 19.00.00,26
09/05/2014 20.00.00,20
09/05/2014 21.00.00,16
09/05/2014 22.00.00,11
09/05/2014 23.00.00,9
10/05/2014 00.00.00,7
10/05/2014 01.00.00,5
10/05/2014 02.00.00,3
10/05/2014 03.00.00,5
10/05/2014 04.00.00,5
10/05/2014 05.00.00,8
10/05/2014 06.00.00,22
10/05/2014 07.00.00,16
10/05/2014 08.00.00,9
10/05/2014 09.00.00,14
10/05/2014 10.00.00,17
10/05/2014 11.00.00,13
10/05/2014 12.00.00,17
10/05/2014 13.00.00,11
10/05/2014 14.00.00,6
10/05/2014 15.00.00,5
10/05/2014 16.00.00,8
10/05/2014 17.00.00,10
10/05/2014 18.00.00,19
10/05/2014 19.00.00,29
10/05/2014 20.00.00,34
10/05/2014 21.00.00,22
10/05/2014 22.00.00,23
10/05/2014 23.00.00,21
11/05/2014 00.00.00,22
11/05/2014 01.00.00,11
11/05/2014 02.00.00,7
11/05/2014 03.00.00,5
11/05/2014 04.00.00,5
11/05/2014 05.00.00,12
11/05/2014 06.00.00,13
11/05/2014 07.00.00,9
11/05/2014 08.00.00,9
11/05/2014 09.00.00,10
11/05/2014 10.00.00,8
11/05/2014 11.00.00,10
11/05/2014 12.00.00,10
11/05/2014 13.00.00,10
11/05/2014 14.00.00,4
11/05/2014 15.00.00,4
11/05/2014 16.00.00,6
11/05/2014 17.00.00,10
11/05/2014 18.00.00,9
11/05/2014 19.00.00,14
11/05/2014 20.00.00,27
11/05/2014 21.00.00,24
11/05/2014 22.00.00,13
11/05/2014 23.00.00,11
12/05/2014 00.00.00,11
12/05/2014 01.00.00,11
12/05/2014 02.00.00,4
12/05/2014 03.00.00,4
12/05/2014 04.00.00,5
12/05/2014 05.00.00,7
12/05/2014 06.00.00,28
12/05/2014 07.00.00,47
12/05/2014 08.00.00,61
12/05/2014 09.00.00,21
12/05/2014 10.00.00,23
12/05/2014 11.00.00,15
12/05/2014 12.00.00,19
12/05/2014 13.00.00,18
12/05/2014 14.00.00,10
12/05/2014 15.00.00,13
12/05/2014 16.00.00,16
12/05/2014 17.00.00,22
12/05/2014 18.00.00,25
12/05/2014 19.00.00,32
12/05/2014 20.00.00,27
12/05/2014 21.00.00,24
12/05/2014 22.00.00,14
12/05/2014 23.00.00,10
13/05/2014 00.00.00,9
13/05/2014 01.00.00,13
13/05/2014 02.00.00,4
13/05/2014 03.00.00,6
13/05/2014 04.00.00,6
13/05/2014 05.00.00,11
13/05/2014 06.00.00,23
13/05/2014 07.00.00,41
13/05/2014 08.00.00,53
13/05/2014 09.00.00,35
13/05/2014 10.00.00,22
13/05/2014 11.00.00,24
13/05/2014 12.00.00,24
13/05/2014 13.00.00,27
13/05/2014 14.00.00,20
13/05/2014 15.00.00,38
13/05/2014 16.00.00,51
13/05/2014 17.00.00,47
13/05/2014 18.00.00,39
13/05/2014 19.00.00,32
13/05/2014 20.00.00,29
13/05/2014 21.00.00,25
13/05/2014 22.00.00,17
13/05/2014 23.00.00,8
14/05/2014 00.00.00,14
14/05/2014 01.00.00,9
14/05/2014 02.00.00,6
14/05/2014 03.00.00,3
14/05/2014 04.00.00,2
14/05/2014 05.00.00,3
14/05/2014 06.00.00,10
14/05/2014 07.00.00,15
14/05/2014 08.00.00,16
14/05/2014 09.00.00,16
14/05/2014 10.00.00,10
14/05/2014 11.00.00,12
14/05/2014 12.00.00,10
14/05/2014 13.00.00,8
14/05/2014 14.00.00,6
14/05/2014 15.00.00,7
14/05/2014 16.00.00,9
14/05/2014 17.00.00,14
14/05/2014 18.00.00,10
14/05/2014 19.00.00,13
14/05/2014 20.00.00,15
14/05/2014 21.00.00,9
14/05/2014 22.00.00,6
14/05/2014 23.00.00,5
15/05/2014 00.00.00,3
15/05/2014 01.00.00,4
15/05/2014 02.00.00,2
15/05/2014 03.00.00,2
15/05/2014 04.00.00,3
15/05/2014 05.00.00,4
15/05/2014 06.00.00,10
15/05/2014 07.00.00,18
15/05/2014 08.00.00,22
15/05/2014 09.00.00,14
15/05/2014 10.00.00,12
15/05/2014 11.00.00,10
15/05/2014 12.00.00,11
15/05/2014 13.00.00,18
15/05/2014 14.00.00,8
15/05/2014 15.00.00,8
15/05/2014 16.00.00,15
15/05/2014 17.00.00,14
15/05/2014 18.00.00,16
15/05/2014 19.00.00,15
15/05/2014 20.00.00,15
15/05/2014 21.00.00,8
15/05/2014 22.00.00,6
15/05/2014 23.00.00,6
16/05/2014 00.00.00,3
16/05/2014 01.00.00,3
16/05/2014 02.00.00,1
16/05/2014 03.00.00,2
16/05/2014 04.00.00,5
16/05/2014 05.00.00,3
16/05/2014 06.00.00,6
16/05/2014 07.00.00,21
16/05/2014 08.00.00,24
16/05/2014 09.00.00,19
16/05/2014 10.00.00,20
16/05/2014 11.00.00,21
16/05/2014 12.00.00,20
16/05/2014 13.00.00,26
16/05/2014 14.00.00,11
16/05/2014 15.00.00,14
16/05/2014 16.00.00,20
16/05/2014 17.00.00,37
16/05/2014 18.00.00,47
16/05/2014 19.00.00,35
16/05/2014 20.00.00,27
16/05/2014 21.00.00,12
16/05/2014 22.00.00,11
16/05/2014 23.00.00,10
17/05/2014 00.00.00,14
17/05/2014 01.00.00,9
17/05/2014 02.00.00,7
17/05/2014 03.00.00,4
17/05/2014 04.00.00,3
17/05/2014 05.00.00,7
17/05/2014 06.00.00,10
17/05/2014 07.00.00,18
17/05/2014 08.00.00,22
17/05/2014 09.00.00,19
17/05/2014 10.00.00,14
17/05/2014 11.00.00,13
17/05/2014 12.00.00,26
17/05/2014 13.00.00,22
17/05/2014 14.00.00,10
17/05/2014 15.00.00,11
17/05/2014 16.00.00,15
17/05/2014 17.00.00,18
17/05/2014 18.00.00,22
17/05/2014 19.00.00,38
17/05/2014 20.00.00,46
17/05/2014 21.00.00,33
17/05/2014 22.00.00,27
17/05/2014 23.00.00,38
18/05/2014 00.00.00,33
18/05/2014 01.00.00,30
18/05/2014 02.00.00,26
18/05/2014 03.00.00,8
18/05/2014 04.00.00,9
18/05/2014 05.00.00,19
18/05/2014 06.00.00,16
18/05/2014 07.00.00,15
18/05/2014 08.00.00,9
18/05/2014 09.00.00,9
18/05/2014 10.00.00,10
18/05/2014 11.00.00,9
18/05/2014 12.00.00,9
18/05/2014 13.00.00,8
18/05/2014 14.00.00,3
18/05/2014 15.00.00,4
18/05/2014 16.00.00,5
18/05/2014 17.00.00,5
18/05/2014 18.00.00,9
18/05/2014 19.00.00,23
18/05/2014 20.00.00,33
18/05/2014 21.00.00,24
18/05/2014 22.00.00,17
18/05/2014 23.00.00,17
19/05/2014 00.00.00,14
19/05/2014 01.00.00,8
19/05/2014 02.00.00,7
19/05/2014 03.00.00,4
19/05/2014 04.00.00,3
19/05/2014 05.00.00,6
19/05/2014 06.00.00,17
