"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
06/01/2012 2.00,"12,37391143","14,36399369","0,34280708","48,26294025","9,27960968","0,90926919"
06/01/2012 3.00,"20,67573704","29,0120188","0,39658348",,,
06/01/2012 4.00,,,"0,38105053","33,94674045","5,37240601",
06/01/2012 5.00,"21,92104176","23,1905524",,"39,41854665",,
06/01/2012 6.00,"11,11172949","11,82451735","0,33844299","47,2707669","3,66300392",
06/01/2012 7.00,"8,3660841","9,33108389","0,31408167","51,23405385",,
06/01/2012 8.00,"7,51532823","8,37845666","0,2925315","56,6558454","2,93040299",
06/01/2012 9.00,"9,15583953","11,26098212","0,33594523","54,0206499",,"0,32433045"
06/01/2012 10.00,"9,84111562","12,95742515","0,34860878","52,2282621","1,95360196","0,44872786"
06/01/2012 11.00,"11,42516365","15,75953763","0,36412192","49,3645992",,
06/01/2012 12.00,"12,22270665","18,10900897","0,40792825","49,7755293","3,66300392",
06/01/2012 13.00,"15,69451816","26,86098056","0,42749209","46,9828485",,
06/01/2012 14.00,"18,18967051","29,05610952","0,41986367","41,7976041","5,86080599",
06/01/2012 15.00,"8,47899918","11,3803043","0,3750135","48,68671815",,
06/01/2012 16.00,"6,14672246","8,04059478","0,34428197","52,71825405","4,1514039",
06/01/2012 17.00,"8,94104162","12,1176346","0,34650362","50,0161263",,
06/01/2012 18.00,"9,31547623","12,32904062","0,34296435","53,4022398","3,17460299",
06/01/2012 19.00,"11,43554963","16,41191777","0,34524659","50,94477885",,
06/01/2012 20.00,"11,8339894","17,46506075","0,39445968","49,518693","8,05860806",
06/01/2012 21.00,"13,80091925","20,90787296","0,39166834","47,4694689",,
06/01/2012 22.00,"13,83596047","20,31255264","0,37049214","48,26565345","11,72161007",
06/01/2012 23.00,"11,9637817","17,41058787","0,37556455","50,07966705",,
07/01/2012 0.00,"9,68017876","13,74274282","0,37228158","50,8055478","14,65200996",
