,,Lecce,,,
,GALATINA FRAZ SANTA BARBARA,,,
Parm,SO2,NO2,NOX,O3,PM10
,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,
15/01/2009 4.00,"0,7","9,9","13,5",,
15/01/2009 5.00,"0,6","10,2","12,5",,
15/01/2009 6.00,"0,7","9,3","8,9",,
15/01/2009 7.00,"0,6","9,3","9,2",,
15/01/2009 8.00,"0,8","16,6","21,1",,
15/01/2009 9.00,"0,8","31,1","45,6",,
15/01/2009 10.00,"0,9","16,1","22,6",,
15/01/2009 11.00,"0,9","20,6","30,9",,
15/01/2009 12.00,"0,9","6,1","10,4",,
15/01/2009 13.00,"1,0","3,6","4,7",,
15/01/2009 14.00,"0,7","3,8","4,3",,
15/01/2009 15.00,"0,7","4,1","5,3",,
15/01/2009 16.00,"0,8","4,6","10,8",,
15/01/2009 17.00,"0,8","5,0","11,1",,
15/01/2009 18.00,"0,6","7,5","15,4",,
15/01/2009 19.00,"0,8","10,9","21,3",,
15/01/2009 20.00,"1,0","10,9","23,4",,
15/01/2009 21.00,"0,9","20,7","35,2",,
15/01/2009 22.00,"1,1","44,1","96,8",,
15/01/2009 23.00,"1,4","50,1","103,0",,
16/01/2009 0.00,"1,0","38,8","66,9",,
16/01/2009 1.00,,"32,7","56,5",,
16/01/2009 2.00,"1,5",,,,
16/01/2009 3.00,"1,2","43,9","66,8",,
16/01/2009 4.00,"0,9","29,4","44,5",,
16/01/2009 5.00,"1,0","18,4","32,4",,
16/01/2009 6.00,"0,9","14,6","27,9",,
16/01/2009 7.00,"1,0","14,9","27,4",,
16/01/2009 8.00,"1,1","18,3","30,0",,
16/01/2009 9.00,"1,3","18,1","32,0",,
16/01/2009 10.00,"1,1","16,1","30,4",,
16/01/2009 11.00,"0,9","14,8","28,3",,
16/01/2009 12.00,"0,8","10,7","21,3",,
16/01/2009 13.00,"0,9","9,5","17,6",,
16/01/2009 14.00,"0,9","6,8","13,7",,
16/01/2009 15.00,"1,0","6,7","12,9",,
16/01/2009 16.00,"0,7","6,9","15,3",,
16/01/2009 17.00,"0,8","7,6","15,7",,
16/01/2009 18.00,"1,0","7,8","16,4",,
16/01/2009 19.00,"0,9","9,1","19,8",,
16/01/2009 20.00,"1,2","9,7","22,0",,
16/01/2009 21.00,"1,1","8,0","20,6",,
16/01/2009 22.00,"1,1","7,8","21,4",,
16/01/2009 23.00,"1,0","8,9","22,4",,
17/01/2009 0.00,"1,2","9,9","23,9",,
17/01/2009 1.00,"1,1","10,9","23,7",,
