NetC,SIMAGE Brindisi,
Stat,Mesagne,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3 293K,ug/m3 293K
Field,Aver,Aver
20/01/2006 17.00,"1,071643","19,173459"
20/01/2006 18.00,"1,322706","44,166568"
20/01/2006 19.00,"1,454005","56,058977"
20/01/2006 20.00,"1,970398","47,912234"
20/01/2006 21.00,"1,33409","53,791595"
20/01/2006 22.00,"1,332572","47,21139"
20/01/2006 23.00,"1,092742","50,326285"
21/01/2006 0.00,"1,31967","55,887663"
21/01/2006 1.00,"1,528382","44,134122"
21/01/2006 2.00,"1,369609","31,2203"
21/01/2006 3.00,"1,460684","17,81848"
21/01/2006 4.00,"0,973283","11,949501"
21/01/2006 5.00,"1,127503","11,534186"
21/01/2006 6.00,"1,080903","12,501099"
21/01/2006 7.00,"1,076653","25,716016"
21/01/2006 8.00,"1,161656","38,666203"
21/01/2006 9.00,"1,139646","48,684469"
21/01/2006 10.00,"1,043562","37,5669"
21/01/2006 11.00,"1,315268","23,603085"
21/01/2006 12.00,"1,150879","16,297374"
21/01/2006 13.00,"1,569973","18,926864"
21/01/2006 14.00,"1,2629","19,673141"
21/01/2006 15.00,"1,455675","15,704252"
21/01/2006 16.00,"1,699602","15,72242"
21/01/2006 17.00,"2,007586","20,597211"
21/01/2006 18.00,"1,402244","34,625919"
21/01/2006 19.00,"1,416512","48,73508"
21/01/2006 20.00,"1,787338","66,756028"
21/01/2006 21.00,"1,34851","70,274561"
21/01/2006 22.00,"1,336975","71,928065"
21/01/2006 23.00,"1,333786","66,752141"
22/01/2006 0.00,"1,515632","53,56967"
22/01/2006 1.00,,"34,023715"
22/01/2006 2.00,"1,195027",
22/01/2006 3.00,"0,990843","19,479743"
22/01/2006 4.00,"1,05063","13,131866"
22/01/2006 5.00,"0,829235","10,52574"
22/01/2006 6.00,"0,852063","9,894978"
22/01/2006 7.00,"0,789739","10,398549"
22/01/2006 8.00,"0,62777","14,708775"
22/01/2006 9.00,"0,772165","21,456405"
22/01/2006 10.00,"0,555299","15,072185"
22/01/2006 11.00,"0,649873","15,024165"
22/01/2006 12.00,"0,717994","15,721117"
22/01/2006 13.00,"0,898987","15,737992"
22/01/2006 14.00,"0,89464","13,927466"
22/01/2006 15.00,"1,071646","9,205808"
22/01/2006 16.00,"1,07817","10,333653"
22/01/2006 17.00,"1,393231","11,792457"
22/01/2006 18.00,"0,98269","15,31229"
22/01/2006 19.00,"0,79608","12,772351"
22/01/2006 20.00,"0,588092","8,824233"
22/01/2006 21.00,"0,436631","9,769085"
22/01/2006 22.00,"0,514898","8,159721"
22/01/2006 23.00,"0,719444","7,55621"
23/01/2006 0.00,"0,692811","6,725575"
23/01/2006 1.00,"0,621791","6,364765"
23/01/2006 2.00,"0,387713","6,16619"
23/01/2006 3.00,"0,48283","5,525041"
23/01/2006 4.00,"0,524318","5,828743"
23/01/2006 5.00,"0,700783","5,622381"
23/01/2006 6.00,"0,431558","5,914403"
23/01/2006 7.00,"0,450038","9,942998"
