,Regione Puglia,,,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
05/01/2006 7.00,"0,99630507","15,92944369","5,5084155","7,49651033","0,4770675","13,41695355","1,185822","7,83014584","16,86581993"
05/01/2006 8.00,"1,04363421","22,67370056","6,55940705","12,66593502","0,66011929","3,41405547","1,2849795","7,81406879","16,86581993"
05/01/2006 9.00,"0,93754484","23,21194768","7,77683445","11,35507929","0,87979752","6,2553644","1,3704075","8,34927464","16,86581993"
05/01/2006 10.00,"1,02918773","34,10782384","10,95937797","17,29544341","1,03547763","10,57714287","1,443123","9,01817989","16,86581993"
05/01/2006 11.00,"1,17347562","35,212826","10,82504614","18,68157266","1,06811627","17,15102498","1,7690715","10,53981018","16,86581993"
05/01/2006 12.00,"1,15129078","40,370924","14,92424564","18,12348281","1,04701579","21,93189285","1,491939","10,5879097","16,86581993"
05/01/2006 13.00,"1,17696088","39,45004744","13,55980318","19,37722136","1,04449823","25,17396735","1,8331425","10,72262955","16,86581993"
05/01/2006 14.00,"1,19631744","29,33625576","11,56259676","12,74769596","1,08151144","21,9707754","1,6683885","11,08899021","16,86581993"
05/01/2006 15.00,"1,32022974","27,14307704","9,11676463","13,46022188","1,01232442","28,06464255","1,7924625","10,58594036","16,86581993"
05/01/2006 16.00,"1,22642776","30,09629488","11,02358101","14,00792575","0,88730827","29,7051111","1,75941","10,1035099","16,86581993"
05/01/2006 17.00,"1,24969672","29,8887664","10,57158466","14,1052695","0,88068758","21,2813832","2,1199365","9,15757847","16,86581993"
05/01/2006 18.00,"1,23698219","37,87813488","14,99014959","16,3687601","1,01685511","12,73952337","1,9033155","8,97469902","16,86581993"
05/01/2006 19.00,"1,61017542","130,98534576","51,43186656","54,65467296","1,20888905","8,34746304","2,132649","8,95136547","16,86581993"
05/01/2006 20.00,"1,71738349","148,2117392","53,12493093","68,21486376","1,250045","4,51917575","3,5528895","8,67161942","16,86581993"
05/01/2006 21.00,"1,18882825","59,31612896","19,63456368","29,7775836","1,18426561","3,37667117","3,554415","8,74161053","16,86581993"
05/01/2006 22.00,"1,11027619","21,19255064","6,71147995","11,04618039","1,05456499","6,53650379","2,246553","9,04823017","16,86581993"
05/01/2006 23.00,"1,35199472","27,46603296","8,91400118","13,99365458","0,87333293","9,05779077","1,750257","9,0032568","16,86581993"
06/01/2006 0.00,"1,17855045","33,35040416","11,52542493","16,39471742","0,76600964","8,39980386","1,8290745","8,94166374","16,86581993"
06/01/2006 1.00,,"18,59731847","6,13951721","9,23176505","0,71227052","13,60836582","1,905858","9,03072929","24,36886978"
06/01/2006 2.00,"1,43039016",,,,"0,64610434","14,48917229","1,5941475","8,65920544","24,36886978"
06/01/2006 3.00,"1,55575067","19,45071864","5,9240805","10,36350844",,"15,48362792","1,5504165","7,98317814","24,36886978"
06/01/2006 4.00,"1,44690116","19,54928224","5,72131706","10,77363626","0,58084803","16,37340989","1,588554","7,1972599","24,36886978"
06/01/2006 5.00,"1,31582104","16,3548503","5,18314802","8,40372182","0,5464817",,"1,736019","7,92789412","24,36886978"
06/01/2006 6.00,"1,35951441","23,30662992","7,11954199","12,75548736","0,53237937","16,0085982","1,562112","8,06152534","24,36886978"
06/01/2006 7.00,"1,21655676","33,41914056","8,68082216","20,13257608","0,54706303","13,75065321","1,592622","7,83489418","24,36886978"
06/01/2006 8.00,"1,42708491","27,34928624","7,43213621","15,95603578","0,58169965","11,31063455","1,639404","7,10704184","24,36886978"
06/01/2006 9.00,"1,33486945","42,42141016","11,85829413","24,32989408","0,63524421","17,19651696","1,777716","7,28829193","24,36886978"
06/01/2006 10.00,"1,36386921","39,24773872","15,12700784","18,08454493","0,69521958","21,0423423","1,985184","6,83265495","24,36886978"
06/01/2006 11.00,"1,60612674","45,32145528","14,67923508","23,1475324","0,76650826","28,10869215","1,985184","8,80626869","24,36886978"
06/01/2006 12.00,"1,59263929","47,38884352","16,57677004","21,97945336","0,82466273","35,3168067","2,2368915","10,10818958","24,36886978"
06/01/2006 13.00,"1,45410863","35,05072664","13,29452887","15,64454422","0,83396176","36,54949725","2,0873925","10,56702042","24,36886978"
06/01/2006 14.00,"1,32395501","28,5840176","10,74224658","12,63218439","0,79246679","35,3272605","1,8667035","10,22249031","24,36886978"
06/01/2006 15.00,"1,33511353","18,92286133","6,02377192","9,68212709","0,67410512","45,1425408","1,5788925","9,96649075","24,36886978"
06/01/2006 16.00,"1,30861458","23,91879496","7,34089322","12,66593502","0,59429213","44,64409005","1,440072","10,37932014","24,36886978"
06/01/2006 17.00,"1,49570393","32,21035504","8,37414246","19,36813936","0,60355272","37,7553351","1,416681","9,08621693","24,36886978"
06/01/2006 18.00,"1,46771711","32,05599928","8,33274455","19,27728112","0,70606806","18,45159939","1,5626205","8,58608246","24,36886978"
06/01/2006 19.00,"1,42612181","45,47322984","10,35868809","29,59146952","0,9029251","9,1034264","1,443123","7,65506792","24,36886978"
06/01/2006 20.00,"1,42056086","45,18270144","11,40291716","27,69658192","1,03872216","3,25022208","1,694322","6,82356596","24,36886978"
06/01/2006 21.00,"1,37940388","44,3033344","12,14470259","25,67708928","0,99370306","9,39891582","1,73907","6,81868219","24,36886978"
06/01/2006 22.00,"1,31505219","32,58906488","8,16208512","20,07288344","0,93942222","9,75857642","1,503126","7,16748095","24,36886978"
06/01/2006 23.00,"1,33619867","29,64234784","7,8807507","17,55631095","0,89052717","8,54976003","1,420749","6,36467314","24,36886978"
07/01/2006 0.00,"1,34968511","22,8760284","6,58306139","12,77884244","0,7787128","16,51450626","1,446174","5,85958576","24,36886978"
07/01/2006 1.00,"1,44959621","20,63355832","6,05841108","11,39012051","0,69661525","25,0418784",,"5,94180012","29,47673035"
07/01/2006 2.00,"1,42760968","17,61940122","5,66048715","8,95531853","0,65368616","21,78254715",,"6,62746","29,47673035"
07/01/2006 3.00,"1,46932702","15,3561802","5,43913592","7,12142373","0,59712075","31,25309145",,"7,0159421","29,47673035"
07/01/2006 4.00,"1,45172987","13,98397986","4,93983213","6,40499924","0,54295641","33,60655305",,"6,84378099","29,47673035"
07/01/2006 5.00,"1,35085669","13,20839045","4,91026202","5,67429594","0,51099347","35,4720177",,"7,10575294","29,47673035"
07/01/2006 6.00,"1,38827009","20,13812088","7,51577624","10,14027479","0,4908844","36,0615003",,"6,86711502","29,47673035"
07/01/2006 7.00,"1,46623026","28,6825812","7,9001827","16,59198993","0,53113981","29,06529465",,"6,19474983","29,47673035"
07/01/2006 8.00,"1,65594144","35,6797364","11,13594693","21,41227768","0,55748512","25,6167576",,"5,91208792","29,47673035"
07/01/2006 9.00,"1,56549353","31,88091744","9,86107523","16,86844027","0,66891271","22,0332588",,"6,13634586","29,47673035"
07/01/2006 10.00,"1,92156557","44,80787296","16,45511272","20,03523616","0,78630743","31,1978898",,"7,6585269","29,47673035"
07/01/2006 11.00,"2,04265874","44,2410988","15,14728406","21,13064008","0,87406222","40,86990915",,"9,30050278","29,47673035"
07/01/2006 12.00,"2,18771447","42,39160208","15,1126424","20,33375672","0,90370099","50,1375021",,"9,78218746","29,47673035"
07/01/2006 13.00,"1,94395482","34,45670648","12,2511515","16,82042039","0,97979413","44,98882605",,"10,0777998","29,47673035"
07/01/2006 14.00,"1,99763615","26,23908344","9,47413737","12,26488919","1,05794","41,7623325",,"11,36460018","29,47673035"
07/01/2006 15.00,"2,03826835","21,74896176","7,21332013","10,80088609","0,92838035","55,07869815",,"11,75280952","29,47673035"
07/01/2006 16.00,"2,08941328","28,87324584","9,41584137","14,92942371","0,82698807","51,13139115",,"10,76535988","29,47673035"
07/01/2006 17.00,"1,93235797","28,3298172","8,39441868","15,46284494","0,87309294","32,9708064",,"9,14896297","29,47673035"
07/01/2006 18.00,"1,98909945","45,53806576","11,8954647","27,54603104","1,05937295","15,46537965",,"7,99348879","29,47673035"
07/01/2006 19.00,"1,80514347","58,48966696","14,34975274","36,60128216","1,34913874","6,43507799",,"7,3205142","29,47673035"
07/01/2006 20.00,"1,66327096","71,32192112","25,14269985","33,78620632","1,3953205","3,70852745",,"6,71693182","29,47673035"
