TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
09/01/2011 11.00,"3,897496","59,996722","1,242059","44,799992","3,181176","28,700001"
09/01/2011 12.00,"3,677156","48,187389","0,925237","44,799992","3,257451","28,700001"
09/01/2011 13.00,"3,296074","50,853215","0,961519","44,799992","2,344693","28,700001"
09/01/2011 14.00,"3,512803","48,225017","0,898163","44,799992","2,819124","28,700001"
09/01/2011 15.00,"3,724112","46,533892","0,870422","44,799992","2,978793","28,700001"
09/01/2011 16.00,"3,503772","37,028267","0,70821","44,799992","2,573518","28,700001"
09/01/2011 17.00,"3,334002","21,657567","0,435074","44,799992","1,711102","28,700001"
09/01/2011 18.00,"3,240087","56,94282","0,63498","44,799992","0,472244","28,700001"
09/01/2011 19.00,"3,274402","43,917376","0,57025","44,799992","2,524702","28,700001"
09/01/2011 20.00,"3,438755","37,315106","0,479546","44,799992","1,987218","28,700001"
09/01/2011 21.00,"3,341226","27,59794","0,437464","44,799992","1,422783","28,700001"
09/01/2011 22.00,"3,603107","51,997946","0,639092","44,799992","0,623421","28,700001"
09/01/2011 23.00,"4,052817","56,286103","0,661476","44,799992","2,566399","28,700001"
10/01/2011 0.00,"3,80358","51,321751","0,488048","44,799992","1,855516","28,700001"
10/01/2011 1.00,,"44,875214","0,556811","54,099991","1,84738","29,1"
10/01/2011 2.00,"3,678962",,"0,622176","54,099991","1,85094","29,1"
10/01/2011 3.00,"3,388184","63,795595",,"54,099991","1,859076","29,1"
10/01/2011 4.00,"3,413469","52,79223","0,902505","54,099991","2,427579","29,1"
10/01/2011 5.00,"3,391797","40,773933","0,673075","54,099991","2,486565","29,1"
10/01/2011 6.00,"3,489324","23,512246","0,467901","54,099991","1,851448","29,1"
10/01/2011 7.00,"3,798162","32,593442","0,494272","54,099991","1,436004","29,1"
10/01/2011 8.00,"5,111173","61,645018","0,919291","54,099991","2,285199","29,1"
10/01/2011 9.00,"5,790256","68,017561","1,170476","54,099991","4,906008","29,1"
10/01/2011 10.00,"6,205652","82,290277","1,118321","54,099991","4,913127","29,1"
10/01/2011 11.00,"4,359849","77,402483","0,808918","54,099991","4,012573","29,1"
10/01/2011 12.00,"3,520027","49,816204","0,548147","54,099991","2,782512","29,1"
10/01/2011 13.00,"3,386378","45,907024","0,571583","54,099991","1,723815","29,1"
