,Provincia Bari,,,,,
,Monopoli,,,,,
Parm,O3,NO2,CO,Benzene,PM10,BENZENE
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
08/01/2010 16.00,"68,3265954","1,41468115","0,2222587","3,93666055","51,77045059",
08/01/2010 17.00,"60,641217","7,27068018","0,25932784","4,31607376",,
08/01/2010 18.00,"58,75009665","10,69057325","0,38415526","5,27573021","53,23564148",
08/01/2010 19.00,"57,00115995","12,25839986","0,33032177","6,53037667",,
08/01/2010 20.00,"59,93879745","7,5042979","0,25996626","6,05281686","81,07447052",
08/01/2010 21.00,"65,6576844","0,74108546","0,18419349","4,72580679",,
08/01/2010 22.00,"69,64471185",,"0,12474704","3,80000931","84,00488281",
08/01/2010 23.00,"71,59697895",,"0,10571443","2,58032833",,
09/01/2010 0.00,"71,1405429",,"0,09671597",,"47,37483978",
09/01/2010 1.00,"70,5177438",,"0,08970733",,,
09/01/2010 2.00,"70,98271845",,"0,08560653",,"53,72404099",
09/01/2010 3.00,"72,48850455",,"0,10161247",,,
09/01/2010 4.00,"72,02781915","0,80987349","0,13529844",,"49,32844162",
09/01/2010 5.00,"71,9780439",,"0,15679968",,,
09/01/2010 6.00,"66,71700945","0,25568029","0,17873896",,"84,49327087",
09/01/2010 7.00,"63,95852295","2,11682874","0,23157637","3,15182843",,
09/01/2010 8.00,"45,3685743","21,69521544","0,41286319","3,70308108","43,46763992",
09/01/2010 9.00,"52,32452085","14,23245956","0,43790836","6,27378249",,
09/01/2010 10.00,"47,9536155","21,12285824","0,46534178","6,05005062","85,95848083",
09/01/2010 11.00,"63,64570695","4,18174285","0,28576751","5,92844793",,
09/01/2010 12.00,"63,0243243","7,90144516","0,3171829","4,63496428","42,97924042",
09/01/2010 13.00,"64,0807965","6,3868295","0,31789938","6,04573549",,
09/01/2010 14.00,"68,07065685","3,17848777","0,27621102","5,19075275","33,21123123",
09/01/2010 15.00,"64,7035956","2,1440843","0,21405594","4,40968352",,
09/01/2010 16.00,"57,0807804","12,61012182","0,32271782","4,90937325","17,09399986",
09/01/2010 17.00,"52,12119045","20,02225368","0,37889878","5,91140708",,
