NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NOX,NO2,PM10
PtId,1,2,4,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
15/01/2007 18.00,"0,47198",,,"35,60561"
15/01/2007 19.00,"0,507006",,,"35,60561"
15/01/2007 20.00,"0,457119",,,"35,60561"
15/01/2007 21.00,"0,378574",,,"35,60561"
15/01/2007 22.00,"0,459596",,,"35,60561"
15/01/2007 23.00,"0,299321",,,"35,60561"
16/01/2007 0.00,"0,312058",,,"35,60561"
16/01/2007 1.00,,,,"47,093731"
16/01/2007 2.00,"1,530504",,,"47,093731"
16/01/2007 3.00,"1,479396",,,"47,093731"
16/01/2007 4.00,"1,743837",,,"47,093731"
16/01/2007 5.00,"1,473588",,,"47,093731"
16/01/2007 6.00,"1,481719",,,"47,093731"
16/01/2007 7.00,"1,412802",,,"47,093731"
16/01/2007 8.00,"1,441453",,,"47,093731"
16/01/2007 9.00,"2,480631",,,"47,093731"
16/01/2007 10.00,"3,922859",,,"47,093731"
16/01/2007 11.00,"7,127895",,,"47,093731"
16/01/2007 12.00,"9,745199",,,"47,093731"
16/01/2007 13.00,"11,930793",,,"47,093731"
16/01/2007 14.00,"9,081193",,,"47,093731"
16/01/2007 15.00,"6,641989",,,"47,093731"
16/01/2007 16.00,"4,147033",,,"47,093731"
16/01/2007 17.00,"3,40172","40,495434","38,218431","47,093731"
16/01/2007 18.00,"3,251496","52,779076","48,835022","47,093731"
16/01/2007 19.00,"2,700934","56,004657","51,13225","47,093731"
16/01/2007 20.00,"2,357122","44,593863","41,739553","47,093731"
16/01/2007 21.00,"2,335441","44,791008","41,422868","47,093731"
16/01/2007 22.00,"1,96956","32,913321","30,001592","47,093731"
16/01/2007 23.00,"2,232839","38,520146","34,803714","47,093731"
17/01/2007 0.00,"1,830951","30,622859","26,679052","47,093731"
17/01/2007 1.00,"1,953685","25,826645","20,632257","45,12318"
17/01/2007 2.00,"1,722155","18,251028","12,220764","45,12318"
17/01/2007 3.00,"1,683437","16,269249","9,362849","45,12318"
17/01/2007 4.00,"1,700086","16,038389","8,761935","45,12318"
17/01/2007 5.00,"2,104684","15,719333","8,564658","45,12318"
17/01/2007 6.00,"1,446486","19,911147","11,325223","45,12318"
17/01/2007 7.00,"1,580062","34,765378","26,014538","45,12318"
17/01/2007 8.00,"1,930843","57,004616","43,59941","45,12318"
17/01/2007 9.00,"2,441139","140,12384","84,125452","45,12318"
17/01/2007 10.00,"1,987369","58,84113","45,317784","45,12318"
17/01/2007 11.00,"1,827467","31,716217","26,162487","45,12318"
17/01/2007 12.00,"1,795331","24,931733","19,562818","45,12318"
17/01/2007 13.00,"1,980013","19,6336","15,246102","45,12318"
17/01/2007 14.00,"2,048931","15,314675","12,019585","45,12318"
17/01/2007 15.00,"2,001695","15,445668","12,896946","45,12318"
17/01/2007 16.00,"2,259941","26,81364","24,397388","45,12318"
17/01/2007 17.00,"2,006729","28,77338","27,729028","45,12318"
17/01/2007 18.00,"1,716735","32,511245","31,50454","45,12318"
17/01/2007 19.00,"1,988918","94,729713","78,652339","45,12318"
17/01/2007 20.00,"2,055125","95,47157","82,272093","45,12318"
17/01/2007 21.00,"2,275815","93,304356","82,244851","45,12318"
17/01/2007 22.00,"2,271943","73,168818","65,205066","45,12318"
17/01/2007 23.00,"1,606777","47,515953","42,520872","45,12318"
18/01/2007 0.00,"2,156566","37,937788","32,895846","45,12318"
18/01/2007 1.00,,"34,675877","28,131371","46,193851"
18/01/2007 2.00,"1,825918",,,"46,193851"
18/01/2007 3.00,"1,851858","33,041713","24,887988","46,193851"
18/01/2007 4.00,"1,453456","38,133635","29,634298","46,193851"
18/01/2007 5.00,"1,720994","32,177927","23,839312","46,193851"
18/01/2007 6.00,"1,43642","33,585159","25,439579","46,193851"
18/01/2007 7.00,"1,623425","32,717475","25,39415","46,193851"
18/01/2007 8.00,"1,695827","51,064451","39,48775","46,193851"
18/01/2007 9.00,"1,808108","47,976382","36,968575","46,193851"
18/01/2007 10.00,"1,611423","65,812377","50,93369","46,193851"
18/01/2007 11.00,"1,926196","37,176468","30,682973","46,193851"
18/01/2007 12.00,"1,887479","24,240449","19,695186","46,193851"
18/01/2007 13.00,"1,684986","18,968254","15,888545","46,193851"
18/01/2007 14.00,"1,5638","18,427415","16,005348","46,193851"
18/01/2007 15.00,"1,897158","15,758241","13,885925","46,193851"
18/01/2007 16.00,,"11,427928","10,081966","46,193851"
18/01/2007 17.00,"1,781392","35,271218","27,9912","46,193851"
18/01/2007 18.00,,,,"46,193851"
