,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



08/01/2010 17.00,"6,65355571","30,11229832","29,20000076"
08/01/2010 18.00,"6,70773842","35,61562704","29,20000076"
08/01/2010 19.00,"6,53977375","41,87603128","29,20000076"
08/01/2010 20.00,"6,71315598","46,19522016","29,20000076"
08/01/2010 21.00,"7,47170475","52,06182888","29,20000076"
08/01/2010 22.00,"7,86904055","54,71019744","29,20000076"
08/01/2010 23.00,"7,87807049","53,28063328","29,20000076"
09/01/2010 0.00,"7,05811526","48,41373288","29,20000076"
09/01/2010 1.00,"6,61743492","42,05904792","28,5"
09/01/2010 2.00,"6,75830875","33,31529984","28,5"
09/01/2010 3.00,"6,50184677","27,60815192","28,5"
09/01/2010 4.00,"6,51810148","23,5413088","28,5"
09/01/2010 5.00,"6,48378587","28,17385536","28,5"
09/01/2010 6.00,"6,59395646","31,04269664","28,5"
09/01/2010 7.00,"6,91182388","30,12061552","28,5"
09/01/2010 8.00,"7,38862602","43,66333064","28,5"
09/01/2010 9.00,"7,89251901","50,83747968","28,5"
09/01/2010 10.00,"7,6270271","52,1145236","28,5"
09/01/2010 11.00,"7,64869937","55,42566784","28,5"
09/01/2010 12.00,"7,47712333","58,41789048","28,5"
09/01/2010 13.00,"7,8762643","60,97891888","28,5"
09/01/2010 14.00,"7,68482117","60,54630976","28,5"
09/01/2010 15.00,"7,30012872","51,9051596","28,5"
09/01/2010 16.00,"7,29651633","44,00720384","28,5"
09/01/2010 17.00,"7,39946216","42,26288624","28,5"
09/01/2010 18.00,"7,93405838","49,10425168","28,5"
09/01/2010 19.00,"7,24955839","50,82222192","28,5"
09/01/2010 20.00,"6,72941069","51,86632688","28,5"
09/01/2010 21.00,"6,83416271","54,9320468","28,5"
09/01/2010 22.00,"6,56144602","51,7512436","28,5"
09/01/2010 23.00,"6,49281683","44,52439984","28,5"
10/01/2010 0.00,"6,494622","37,00358608","28,5"
10/01/2010 1.00,,"32,42927904","12,60000038"
10/01/2010 2.00,"6,50545916",,"12,60000038"
10/01/2010 3.00,"6,50365195","34,74694808","12,60000038"
10/01/2010 4.00,"6,48739825","31,67537744","12,60000038"
10/01/2010 5.00,"6,48739825","26,45485264","12,60000038"
10/01/2010 6.00,"6,50726433","24,81825712","12,60000038"
10/01/2010 7.00,"6,50545916","23,57388928","12,60000038"
10/01/2010 8.00,"6,48197968","25,0834324","12,60000038"
10/01/2010 9.00,"6,58673169","28,19364456","12,60000038"
10/01/2010 10.00,"6,49823439","30,72933896","12,60000038"
10/01/2010 11.00,"6,52893762","34,039814","12,60000038"
10/01/2010 12.00,"6,48739825","39,717498","12,60000038"
10/01/2010 13.00,"6,78178721","46,12302304","12,60000038"
10/01/2010 14.00,"6,54157994","42,42582688","12,60000038"
10/01/2010 15.00,"6,48920444","33,57164168","12,60000038"
10/01/2010 16.00,"6,62465867","33,70007072","12,60000038"
10/01/2010 17.00,"6,4964282","34,49282416","12,60000038"
10/01/2010 18.00,"6,50365195","41,59856184","12,60000038"
10/01/2010 19.00,"6,4964282","43,04732248","12,60000038"
10/01/2010 20.00,"6,50184677","47,49859232","12,60000038"
10/01/2010 21.00,"6,50545916","50,52180848","12,60000038"
10/01/2010 22.00,"6,50907052","50,31326664","12,60000038"
10/01/2010 23.00,"6,4964282","45,53881144","12,60000038"
11/01/2010 0.00,"6,50004058","41,33891224","12,60000038"
11/01/2010 1.00,"6,47833475","33,14295216","20,2999897"
11/01/2010 2.00,"6,37722766","32,106304","20,2999897"
11/01/2010 3.00,"6,44947025","28,50300616","20,2999897"
11/01/2010 4.00,"5,84443763","24,63872032","20,2999897"
11/01/2010 5.00,"6,2453848","20,4111736","20,2999897"
11/01/2010 6.00,"6,46933735","20,48023504","20,2999897"
11/01/2010 7.00,"6,51087671","29,66175464","20,2999897"
11/01/2010 8.00,"6,50545916","43,62048272","20,2999897"
11/01/2010 9.00,"6,56867079","52,6224464","20,2999897"
11/01/2010 10.00,"6,82332657","55,15399176","20,2999897"
11/01/2010 11.00,"6,5506109","55,39983672","20,2999897"
11/01/2010 12.00,"6,67161662","54,93302192","20,2999897"
11/01/2010 13.00,"6,74205302","55,22167656","20,2999897"
11/01/2010 14.00,"6,68967752","55,59734632","20,2999897"
11/01/2010 15.00,"6,49823439","54,50626352","20,2999897"
11/01/2010 16.00,"6,48920444","53,0340044","20,2999897"
11/01/2010 17.00,"6,99851499","53,71488672","20,2999897"
11/01/2010 18.00,"7,86542817","56,48814712","20,2999897"
11/01/2010 19.00,"7,97559774","58,93267736","20,2999897"
11/01/2010 20.00,"7,94489451","59,64256472","20,2999897"
11/01/2010 21.00,"7,9846287","60,40354072","20,2999897"
11/01/2010 22.00,"7,92322224","59,36911048","20,2999897"
11/01/2010 23.00,"7,96837399","57,06406064","20,2999897"
12/01/2010 0.00,"7,93767076","53,64859768","20,2999897"
12/01/2010 1.00,,"50,47762216","25,70000076"
12/01/2010 2.00,"7,75164519",,"25,70000076"
12/01/2010 3.00,"7,70649344","46,34412672","25,70000076"
12/01/2010 4.00,"6,86486594","36,83531096","25,70000076"
12/01/2010 5.00,"6,69870746","31,39490616","25,70000076"
12/01/2010 6.00,"6,64091339","29,64389656","25,70000076"
12/01/2010 7.00,"7,16106109","35,37800368","25,70000076"
12/01/2010 8.00,"8,00449478","43,83091744","25,70000076"
12/01/2010 9.00,"7,53130502","50,51184696","25,70000076"
12/01/2010 10.00,"11,3655852","56,04873128","25,70000076"
12/01/2010 11.00,"12,76348221","60,73533008","25,70000076"
12/01/2010 12.00,"12,34988865","63,4317472","25,70000076"
12/01/2010 13.00,"11,91643308","64,01075816","25,70000076"
12/01/2010 14.00,"12,05911818","58,9955248","25,70000076"
12/01/2010 15.00,"12,02660469","47,01124264","25,70000076"
