Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
12/01/2009 15.00,"6,68787133","28,89840776",,
12/01/2009 16.00,"7,19357051","22,04304648",,
12/01/2009 17.00,"7,36514756","11,15260805",,
12/01/2009 18.00,"6,7655325","5,28623259",,
12/01/2009 19.00,"6,71857456","10,48420726",,
12/01/2009 20.00,"6,21829395","4,84366004",,
12/01/2009 21.00,"5,66924819","2,10904307",,
12/01/2009 22.00,"5,69272767","2,03766046",,
12/01/2009 23.00,"6,05032928","2,72682939",,
13/01/2009 0.00,"6,35374818","1,34589313",,
13/01/2009 1.00,"6,35194301","1,10838258",,
13/01/2009 2.00,"6,34291205","0,92797964",,
13/01/2009 3.00,"6,11173574","0,66840461",,
13/01/2009 4.00,"6,23093628","0,41142607",,
13/01/2009 5.00,"6,54338614","0,47242461",,
13/01/2009 6.00,"6,23274247","0,97210669",,
13/01/2009 7.00,"5,91126165","1,36406478",,
13/01/2009 8.00,"6,07019638","1,7858711",,
13/01/2009 9.00,"6,11895949","3,78978667",,
13/01/2009 10.00,"6,68245275","9,05784953",,
13/01/2009 11.00,"6,35374818","14,19222917",,
13/01/2009 12.00,"6,58311931","9,2616171",,
13/01/2009 13.00,"6,50004058","6,24406238",,
13/01/2009 14.00,"6,40431851","7,70416882",,
13/01/2009 15.00,"6,44585787","8,74895637",,
13/01/2009 16.00,"6,40793089","4,64508354",,
13/01/2009 17.00,"5,99072901","6,59967908",,
13/01/2009 18.00,"6,47836729","3,34980679",,
13/01/2009 19.00,"6,66258667","2,15576662",,
13/01/2009 20.00,"6,32665733","1,52499973",,
13/01/2009 21.00,"6,15327511","1,72227606",,
13/01/2009 22.00,"6,72941069","2,05972303",,
13/01/2009 23.00,"6,33930068","1,90268091",,
14/01/2009 0.00,"6,73482927","1,43285089",,
14/01/2009 1.00,"6,26705707","0,90850974",,
14/01/2009 2.00,"6,95516944","0,88774351",,
14/01/2009 3.00,,"0,70734058",,
14/01/2009 4.00,"6,2815066",,,
14/01/2009 5.00,"6,37000391","2,54902104",,
14/01/2009 6.00,"6,07742013","0,6969565",,
14/01/2009 7.00,"6,36639152","0,63465972",,
14/01/2009 8.00,"6,89737536","0,70474408",,
14/01/2009 9.00,"6,42057322","0,72421206",,
14/01/2009 10.00,"6,2977603","1,83389289",,
14/01/2009 11.00,"6,57770175","3,64831779",,
14/01/2009 12.00,"6,74747159","1,22778698",,
14/01/2009 13.00,"6,45308264","2,37251094",,
14/01/2009 14.00,"6,41876702","3,72359514",,
14/01/2009 15.00,"6,5506109","5,86897769",,
14/01/2009 16.00,"6,52893762","3,76902044",,
14/01/2009 17.00,"6,65355571","3,27972243",,
14/01/2009 18.00,"6,68064656","11,49265342",,
14/01/2009 19.00,"6,48739724","3,40431791",,
14/01/2009 20.00,"6,77275625","4,36084945",,
14/01/2009 21.00,"6,54519233","12,73601938",,
14/01/2009 22.00,"6,72760552","15,7483792",,
14/01/2009 23.00,"6,637301","18,55697718",,
15/01/2009 0.00,"6,4241856","13,09292859",,
15/01/2009 1.00,"6,35555437","10,71392833",,
15/01/2009 2.00,"6,19481447","5,62887064",,
15/01/2009 3.00,"6,38986999","11,41607974",,
15/01/2009 4.00,"5,79928588","11,0176285",,
15/01/2009 5.00,"6,32123978","5,63016889",,
15/01/2009 6.00,"5,85527377","2,73980805",,
15/01/2009 7.00,"6,6029864","2,74240263",,
15/01/2009 8.00,"5,43084712","1,67036144",,
15/01/2009 9.00,"5,94196488","1,12525406",,
15/01/2009 10.00,"6,3862576","2,26997802",,
15/01/2009 11.00,"6,37903385","0,97859602",,
15/01/2009 12.00,"6,40251231","0,69306367",,
15/01/2009 13.00,"6,60118021","0,90202233",,
15/01/2009 14.00,"6,65355571","1,71968148",,
15/01/2009 15.00,"6,69509508","8,36348761",,
15/01/2009 16.00,"6,78720477","7,7119564",,
15/01/2009 17.00,"7,16467347","4,11944606",,
15/01/2009 18.00,"7,17009205","4,4530002",,
