Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
15/01/2014 3.00,"2,1","4,8","8,9","0,2","64,6","26,4",,,
15/01/2014 4.00,"2,2","5,3","9,9","0,2","67,1","26,4",,,
15/01/2014 5.00,"1,8","4,5","9,7","0,2","61,7","26,4",,,
15/01/2014 6.00,"1,7","5,8","11,8","0,2","56,5","26,4",,,
15/01/2014 7.00,"1,8","18,3","29,5","0,3","26,6","26,4",,,
15/01/2014 8.00,"2,0","24,9","42,3","0,3","33,0","26,4",,,
15/01/2014 9.00,"1,8","18,7","31,0","0,3","47,5","26,4",,,
15/01/2014 10.00,"1,8","18,9","30,8","0,3","46,5","26,4",,,
15/01/2014 11.00,"1,9","13,9","22,3","0,3","55,3","26,4",,,
15/01/2014 12.00,,,,,,"26,4",,,
15/01/2014 13.00,"2,6","10,0","19,7","0,2","65,2","26,4",,,
15/01/2014 14.00,"2,0","10,5","18,6","0,2","63,4","26,4",,,
15/01/2014 15.00,"2,0","8,9","17,4","0,2","68,0","26,4",,,
15/01/2014 16.00,"2,1","12,5","20,3","0,3","57,9","26,4",,,
15/01/2014 17.00,"1,6","23,1","34,0","0,5","40,1","26,4",,,
15/01/2014 18.00,"1,4","27,2","40,8","0,6","30,0","26,4",,,
15/01/2014 19.00,"1,7","34,1","65,2","0,7","16,9","26,4",,,
15/01/2014 20.00,"3,1","46,0","103,0","0,9","11,2","26,4",,,
15/01/2014 21.00,"3,5","31,0","49,1","0,6","18,5","26,4",,,
15/01/2014 22.00,"3,3","26,6","41,0","0,7","20,4","26,4",,,
15/01/2014 23.00,"3,1","15,9","24,3","0,5","32,4","26,4",,,
16/01/2014 0.00,"3,2","18,4","28,5","0,6","24,0","26,4",,,
16/01/2014 1.00,"2,8","13,0","21,2","0,5",,"26,6",,,
16/01/2014 2.00,"2,5",,,"0,4","31,0","26,6",,,
16/01/2014 3.00,"2,7","8,7","15,0",,"31,4","26,6",,,
16/01/2014 4.00,"2,1","6,9","12,9","0,3","38,8","26,6",,,
16/01/2014 5.00,,"8,4","13,5","0,3","39,9","26,6",,,
16/01/2014 6.00,"1,4","9,1","15,3","0,3","34,7","26,6",,,
16/01/2014 7.00,"1,2","14,0","24,1","0,3","27,5","26,6",,,
16/01/2014 8.00,"1,2","21,8","45,3","0,4","21,8","26,6",,,
16/01/2014 9.00,"1,3","20,0","37,7","0,4","28,0","26,6",,,
16/01/2014 10.00,"1,6","19,5","37,0","0,3","33,7","26,6",,,
16/01/2014 11.00,"2,6","14,4","26,9","0,3","49,4","26,6",,,
16/01/2014 12.00,"2,6","11,1","21,1","0,3","60,3","26,6",,,
16/01/2014 13.00,"2,6","12,5","21,3","0,3","64,8","26,6",,,
16/01/2014 14.00,"2,8","14,9","26,7","0,3","62,3","26,6",,,
16/01/2014 15.00,"2,4","10,3","18,5","0,3","68,0","26,6",,,
16/01/2014 16.00,"2,6","16,1","25,0","0,3","59,5","26,6",,,
16/01/2014 17.00,"2,1","32,1","55,0","0,6","34,1","26,6",,,
16/01/2014 18.00,"2,9","52,1","123,6","0,8","7,6","26,6",,,
16/01/2014 19.00,"4,3","46,6","134,6","1,1","10,1","26,6",,,
16/01/2014 20.00,"3,9","42,6","86,1","1,1","12,3","26,6",,,
16/01/2014 21.00,"4,1","37,6","90,0","0,9","10,4","26,6",,,
16/01/2014 22.00,"4,4","39,2","110,0","1,2","8,9","26,6",,,
16/01/2014 23.00,"4,2","29,9","64,2","0,9","10,0","26,6",,,
17/01/2014 0.00,"3,6","28,8","51,0","1,0","8,3","26,6",,,
17/01/2014 1.00,"3,7","30,1","47,0","1,0","10,6","17,2",,,
17/01/2014 2.00,"4,3","25,4","40,1","1,1","11,3","17,2",,,
17/01/2014 3.00,"3,8","21,2","31,5","0,8","15,3","17,2",,,
17/01/2014 4.00,"3,4","13,1","20,3","0,7","27,0","17,2",,,
17/01/2014 5.00,"2,7","10,4","16,4","0,5","32,5","17,2",,,
17/01/2014 6.00,"1,4","11,5","19,0","0,4","33,7","17,2",,,
17/01/2014 7.00,"1,3","19,0","28,4","0,3","32,8","17,2",,,
17/01/2014 8.00,"1,4","39,1","77,4","0,5","16,9","17,2",,,
17/01/2014 9.00,"1,9","28,2","48,1","0,4","34,0","17,2",,,
17/01/2014 10.00,"2,1","13,6","22,6","0,3","60,1","17,2",,,
17/01/2014 11.00,"1,9","9,5","17,4","0,3","70,1","17,2",,,
17/01/2014 12.00,"2,0","7,2","14,0","0,2","74,6","17,2",,,
17/01/2014 13.00,"2,0","7,5","14,8","0,3","75,5","17,2",,,
17/01/2014 14.00,"2,4","9,3","17,6","0,3","74,0","17,2",,,
17/01/2014 15.00,"2,3","7,0","12,5","0,2","78,2","17,2",,,
17/01/2014 16.00,"2,0","7,8","15,1","0,3","79,1","17,2",,,
17/01/2014 17.00,"1,1","9,8","16,8","0,3","76,4","17,2",,,
17/01/2014 18.00,"0,7","12,0","19,6","0,3","73,6","17,2",,,
17/01/2014 19.00,"0,9","12,2","20,7","0,3","75,1","17,2",,,
17/01/2014 20.00,"1,0","13,8","22,0","0,3","74,6","17,2",,,
17/01/2014 21.00,"0,9","11,7","18,9","0,3","76,0","17,2",,,
17/01/2014 22.00,"0,8","8,6","14,8","0,3","79,1","17,2",,,
17/01/2014 23.00,"0,8","6,4","12,8","0,3","81,3","17,2",,,
18/01/2014 0.00,"0,7","6,3","11,1","0,2","80,4","17,2",,,
18/01/2014 1.00,"0,7","4,5","10,4","0,2",,"6,2",,,
18/01/2014 2.00,"0,7",,,"0,2","81,5","6,2",,,
18/01/2014 3.00,"0,8","5,2","11,3",,"82,6","6,2",,,
18/01/2014 4.00,"0,8","5,3","11,3","0,1","80,9","6,2",,,
18/01/2014 5.00,,"4,9","10,1","0,1","80,0","6,2",,,
18/01/2014 6.00,"2,6","6,3","14,1","0,1","77,5","6,2",,,
18/01/2014 7.00,"2,6","6,0","11,7","0,1","78,4","6,2",,,
18/01/2014 8.00,"2,7","13,5","23,5","0,2","69,3","6,2",,,
18/01/2014 9.00,"2,6","10,1","16,9","0,2","73,6","6,2",,,
18/01/2014 10.00,"2,8","9,8","17,1","0,2","77,8","6,2",,,
18/01/2014 11.00,"2,9","8,4","15,6","0,2","79,1","6,2",,,
18/01/2014 12.00,"2,8","8,1","14,1","0,2","78,2","6,2",,,
18/01/2014 13.00,"3,3","8,9","15,9","0,2","76,9","6,2",,,
18/01/2014 14.00,"3,4","7,6","13,2","0,2","78,4","6,2",,,
18/01/2014 15.00,"3,6","5,5","10,7","0,2","78,8","6,2",,,
18/01/2014 16.00,"3,5","7,2","13,4","0,2","76,1","6,2",,,
18/01/2014 17.00,"1,2","7,7","13,4","0,2","75,7","6,2",,,
18/01/2014 18.00,"0,4","7,8","14,3","0,2","75,1","6,2",,,
18/01/2014 19.00,"0,5","9,7","17,1","0,2","73,4","6,2",,,
18/01/2014 20.00,"0,7","9,1","15,0","0,2","73,5","6,2",,,
18/01/2014 21.00,"0,6","8,8","14,5","0,2","73,9","6,2",,,
18/01/2014 22.00,"0,8","6,8","11,9","0,2","75,1","6,2",,,
18/01/2014 23.00,"0,8","5,9","11,1","0,2","74,4","6,2",,,
19/01/2014 0.00,"0,6","4,9","9,9","0,1","76,8","6,2",,,
19/01/2014 1.00,"0,7","4,8","10,4","0,1","77,0","9,5",,,
19/01/2014 2.00,"0,6","4,4","10,6","0,1","78,2","9,5",,,
19/01/2014 3.00,"0,7","4,8","10,0","0,1","78,5","9,5",,,
19/01/2014 4.00,"0,6","3,7","8,0","0,1","78,9","9,5",,,
19/01/2014 5.00,"1,8","3,7","8,1","0,1","77,7","9,5",,,
19/01/2014 6.00,"1,7","4,2","10,1","0,1","77,1","9,5",,,
19/01/2014 7.00,"1,5","4,4","10,7","0,1","77,3","9,5",,,
19/01/2014 8.00,"1,2","4,9","9,6","0,1","77,3","9,5",,,
19/01/2014 9.00,"1,7","4,9","9,8","0,1","77,5","9,5",,,
19/01/2014 10.00,"1,5","4,8","11,7","0,1","78,3","9,5",,,
19/01/2014 11.00,"1,9","5,7","11,4","0,2","78,4","9,5",,,
19/01/2014 12.00,"2,1","5,9","11,9","0,2","78,4","9,5",,,
19/01/2014 13.00,"2,2","6,7","11,9","0,2","77,6","9,5",,,
19/01/2014 14.00,"2,0","5,5","10,7","0,2","80,2","9,5",,,
19/01/2014 15.00,"3,3","5,3","11,0","0,2","82,1","9,5",,,
19/01/2014 16.00,"4,7","4,9","10,0","0,2","82,1","9,5",,,
19/01/2014 17.00,"1,1","5,0","11,5","0,2","84,9","9,5",,,
19/01/2014 18.00,,"7,6","15,1","0,1","82,2","9,5",,,
19/01/2014 19.00,,"8,0","15,4","0,1","78,6","9,5",,,
19/01/2014 20.00,,"7,8","16,3","0,1","78,1","9,5",,,
19/01/2014 21.00,,"8,1","16,5",,"78,5","9,5",,,
19/01/2014 22.00,,"7,4","14,3",,"78,8","9,5",,,
19/01/2014 23.00,,"6,0","13,2",,"79,2","9,5",,,
20/01/2014 0.00,,"6,1","10,0",,"79,8","9,5",,,
20/01/2014 1.00,"0,1","4,6","9,7","0,1",,"24,8",,,
20/01/2014 2.00,"0,2",,,"0,1","79,0","24,8",,,
20/01/2014 3.00,"0,3","4,3","9,2",,"75,5","24,8",,,
20/01/2014 4.00,"0,5","4,5","10,1","0,2","68,7","24,8",,,
20/01/2014 5.00,,"4,8","11,4","0,2","65,9","24,8",,,
20/01/2014 6.00,"0,4","5,1","10,5","0,2","64,8","24,8",,,
20/01/2014 7.00,"0,5","7,5","12,5","0,2","65,6","24,8",,,
20/01/2014 8.00,"0,5","15,1","25,8","0,2","53,9","24,8",,,
20/01/2014 9.00,"0,5","11,0","19,0","0,2","61,4","24,8",,,
20/01/2014 10.00,"0,4","8,2","14,7","0,2","66,4","24,8",,,
20/01/2014 11.00,"0,8","7,7","14,2","0,2","70,4","24,8",,,
20/01/2014 12.00,"0,8","7,1","14,0","0,2","72,6","24,8",,,
20/01/2014 13.00,"1,0","6,7","12,9","0,2","73,2","24,8",,,
20/01/2014 14.00,"0,9","9,8","17,3","0,3","66,8","24,8",,,
20/01/2014 15.00,"1,2","7,3","13,5","0,2","71,3","24,8",,,
20/01/2014 16.00,"0,7","5,7","10,9","0,2","74,0","24,8",,,
20/01/2014 17.00,"0,7","7,3","13,2","0,2","72,6","24,8",,,
20/01/2014 18.00,"0,8","8,1","13,9","0,2","71,6","24,8",,,
20/01/2014 19.00,"0,9","7,6","14,4","0,2","71,9","24,8",,,
20/01/2014 20.00,"1,0","8,7","14,6","0,2","73,0","24,8",,,
20/01/2014 21.00,"1,0","8,1","14,3","0,2","75,7","24,8",,,
20/01/2014 22.00,"0,9","7,2","13,8","0,2","74,5","24,8",,,
20/01/2014 23.00,"1,1","7,6","14,5","0,3","68,4","24,8",,,
21/01/2014 0.00,"1,1","7,7","14,1","0,3","56,9","24,8",,,
21/01/2014 1.00,"1,0","5,1","9,4","0,2","63,0","6,6",,,
21/01/2014 2.00,"0,9","4,4","9,8","0,2","71,5","6,6",,,
21/01/2014 3.00,"0,3","4,7","10,0","0,2","77,2","6,6",,,
21/01/2014 4.00,"0,2","4,3","9,3","0,2","76,4","6,6",,,
21/01/2014 5.00,"0,4","4,3","8,7","0,2","75,8","6,6",,,
21/01/2014 6.00,"0,3","5,3","11,0","0,2","74,3","6,6",,,
21/01/2014 7.00,"0,4","5,8","10,9","0,2","72,6","6,6",,,
21/01/2014 8.00,"0,5","10,3","18,9","0,2","70,9","6,6",,,
21/01/2014 9.00,"0,7","7,5","13,9","0,2","73,8","6,6",,,
21/01/2014 10.00,"0,8","6,8","13,7","0,2","76,5","6,6",,,
21/01/2014 11.00,"0,7","6,7","12,7","0,2","77,4","6,6",,,
21/01/2014 12.00,"0,5","5,8","12,5","0,2","78,3","6,6",,,
21/01/2014 13.00,"0,2","7,5","14,8","0,2","77,0","6,6",,,
21/01/2014 14.00,"0,3","9,4","17,7","0,1","74,0","6,6",,,
21/01/2014 15.00,"0,3","8,2","15,4","0,2","72,9","6,6",,,
21/01/2014 16.00,"0,2","8,3","14,0","0,2","74,0","6,6",,,
21/01/2014 17.00,"0,7","12,5","19,5","0,2","66,9","6,6",,,
21/01/2014 18.00,"1,0","18,3","27,7","0,3","53,1","6,6",,,
21/01/2014 19.00,"1,2","21,4","31,7","0,4","47,1","6,6",,,
21/01/2014 20.00,"1,4","16,2","24,9","0,3","56,8","6,6",,,
21/01/2014 21.00,"2,0","17,8","26,1","0,3","53,5","6,6",,,
21/01/2014 22.00,"2,2","13,0","20,7","0,3","58,1","6,6",,,
21/01/2014 23.00,"2,3","5,3","10,9","0,2","71,4","6,6",,,
22/01/2014 0.00,"2,2","4,9","10,3","0,2","71,3","6,6",,,
22/01/2014 1.00,"2,4","4,6","8,8","0,2",,"6,4",,,
22/01/2014 2.00,"2,4",,,"0,2","63,8","6,4",,,
22/01/2014 3.00,"2,4","4,9","10,4",,"67,2","6,4",,,
22/01/2014 4.00,"2,5","4,1","10,4","0,2","68,0","6,4",,,
22/01/2014 5.00,,"4,0","9,1","0,2","69,6","6,4",,,
22/01/2014 6.00,"1,5","5,2","11,2","0,2","70,6","6,4",,,
22/01/2014 7.00,"1,8","7,4","11,6","0,2","66,3","6,4",,,
22/01/2014 8.00,"1,5","11,4","19,7","0,2","62,2","6,4",,,
22/01/2014 9.00,"1,6","9,4","16,2","0,2","65,7","6,4",,,
22/01/2014 10.00,"2,1","7,6","14,0","0,2","69,3","6,4",,,
22/01/2014 11.00,"2,6","7,4","14,3","0,2","70,8","6,4",,,
22/01/2014 12.00,"2,7","7,2","15,5","0,2","73,9","6,4",,,
22/01/2014 13.00,"2,6","7,8","15,0","0,2","73,3","6,4",,,
22/01/2014 14.00,"3,1","9,2","16,0","0,2","73,5","6,4",,,
22/01/2014 15.00,"3,3","7,4","14,6","0,2","76,3","6,4",,,
22/01/2014 16.00,"3,1","7,9","14,4","0,2","74,8","6,4",,,
22/01/2014 17.00,"1,2","11,4","19,5","0,3","69,2","6,4",,,
22/01/2014 18.00,"0,6","17,0","25,0","0,3","59,6","6,4",,,
22/01/2014 19.00,"0,6","21,8","33,9","0,3","54,8","6,4",,,
22/01/2014 20.00,"0,7","32,0","49,3","0,4","37,8","6,4",,,
22/01/2014 21.00,"0,9","23,6","34,6","0,5","47,2","6,4",,,
22/01/2014 22.00,"0,7","15,2","23,0","0,3","56,1","6,4",,,
22/01/2014 23.00,"0,8","7,5","13,6","0,3","72,7","6,4",,,
23/01/2014 0.00,"0,8","17,3","26,5","0,3","49,6","6,4",,,
23/01/2014 1.00,"1,0","17,0","24,3","0,4","39,4","25,1",,,
23/01/2014 2.00,"0,9","11,0","18,4","0,4","48,1","25,1",,,
23/01/2014 3.00,"0,9","5,4","10,9","0,2","60,0","25,1",,,
23/01/2014 4.00,"0,8","4,2","10,3","0,2","51,6","25,1",,,
23/01/2014 5.00,"0,8","6,9","12,4","0,2","37,1","25,1",,,
23/01/2014 6.00,"1,2","11,3","18,0","0,3","24,9","25,1",,,
23/01/2014 7.00,"1,2","18,5","34,3","0,3","20,1","25,1",,,
23/01/2014 8.00,"1,7","29,5","68,4","0,4","17,9","25,1",,,
23/01/2014 9.00,"2,3","43,0","117,5","0,8","11,1","25,1",,,
23/01/2014 10.00,"1,1","19,5","34,7","0,3","43,4","25,1",,,
23/01/2014 11.00,"0,8","9,6","18,5","0,3","64,8","25,1",,,
23/01/2014 12.00,"0,9","11,5","19,4","0,3","68,7","25,1",,,
23/01/2014 13.00,"1,0","11,9","21,6","0,3","73,4","25,1",,,
23/01/2014 14.00,"0,8","13,7","23,4","0,3","71,6","25,1",,,
23/01/2014 15.00,"0,9","12,1","20,2","0,3","73,0","25,1",,,
23/01/2014 16.00,"1,0","14,5","22,9","0,3","69,5","25,1",,,
23/01/2014 17.00,"0,9","20,7","30,3","0,4","60,2","25,1",,,
23/01/2014 18.00,"0,7","39,4","58,0","0,6","29,8","25,1",,,
23/01/2014 19.00,"1,3","39,4","57,0","0,7","32,1","25,1",,,
23/01/2014 20.00,"1,7","44,0","63,9","0,8","24,1","25,1",,,
23/01/2014 21.00,"2,0","34,0","48,8","0,8","41,8","25,1",,,
23/01/2014 22.00,"2,4","24,5","34,1","0,6","48,7","25,1",,,
23/01/2014 23.00,"2,3","21,1","30,3","0,6","44,5","25,1",,,
24/01/2014 0.00,"2,2","12,6","20,6","0,4","55,7","25,1",,,
24/01/2014 1.00,"1,8","7,1","14,2","0,3",,"9,2",,,
24/01/2014 2.00,"1,9",,,"0,2","76,0","9,2",,,
24/01/2014 3.00,"1,5","4,9","10,5",,"76,5","9,2",,,
24/01/2014 4.00,"1,5","5,3","10,2","0,2","76,5","9,2",,,
24/01/2014 5.00,,"4,9","9,9","0,2","78,4","9,2",,,
24/01/2014 6.00,"1,3","4,9","10,3","0,2","78,3","9,2",,,
24/01/2014 7.00,"1,6","8,3","14,2","0,2","74,4","9,2",,,
24/01/2014 8.00,"1,4","17,7","28,7","0,2","60,9","9,2",,,
24/01/2014 9.00,"1,3","13,2","22,2","0,2","68,7","9,2",,,
24/01/2014 10.00,"1,4","10,3","17,4","0,2","74,4","9,2",,,
24/01/2014 11.00,"2,8","9,3","17,2","0,2","72,7","9,2",,,
24/01/2014 12.00,"1,3","10,2","18,8","0,3","72,1","9,2",,,
24/01/2014 13.00,"1,3","12,2","21,2","0,3","68,0","9,2",,,
24/01/2014 14.00,"2,5","11,5","20,6","0,3","69,0","9,2",,,
24/01/2014 15.00,"2,6","8,3","15,2","0,3","69,2","9,2",,,
24/01/2014 16.00,"2,2","10,6","17,9","0,3","66,9","9,2",,,
24/01/2014 17.00,"0,9","12,2","19,3","0,3","63,8","9,2",,,
24/01/2014 18.00,"0,9","17,3","26,1","0,4","60,3","9,2",,,
24/01/2014 19.00,"0,2","18,0","29,1","0,4","54,6","9,2",,,
24/01/2014 20.00,,"30,2","44,8","0,4","40,3","9,2",,,
24/01/2014 21.00,,"22,7","34,2","0,4","42,8","9,2",,,
24/01/2014 22.00,,"17,3","26,9","0,3","46,7","9,2",,,
24/01/2014 23.00,"0,7","16,2","25,6","0,2","48,6","9,2",,,
25/01/2014 0.00,,"11,0","19,4","0,1","63,0","9,2",,,
25/01/2014 1.00,,"15,2","24,2",,"51,3","8,3",,,
25/01/2014 2.00,,"10,8","17,9",,"46,9","8,3",,,
25/01/2014 3.00,,"7,7","12,8",,"56,0","8,3",,,
25/01/2014 4.00,,"8,1","15,4",,"38,2","8,3",,,
25/01/2014 5.00,"0,1","10,2","16,5",,"31,8","8,3",,,
25/01/2014 6.00,"0,4","11,1","17,6","0,1","26,0","8,3",,,
25/01/2014 7.00,"1,3","23,3","41,4","0,3","12,0","8,3",,,
25/01/2014 8.00,"2,0","30,4","67,2","0,5","14,1","8,3",,,
25/01/2014 9.00,"1,6","21,2","41,6","0,4","28,0","8,3",,,
25/01/2014 10.00,"3,2","16,6","32,4","0,4","45,9","8,3",,,
25/01/2014 11.00,"3,8","11,5","21,5","0,3","60,2","8,3",,,
25/01/2014 12.00,"4,0","13,5","24,6","0,3","60,5","8,3",,,
25/01/2014 13.00,"4,1","13,0","22,6","0,3","60,9","8,3",,,
25/01/2014 14.00,"3,7","12,2","22,5","0,3","62,9","8,3",,,
25/01/2014 15.00,"3,6","7,2","13,5","0,3","74,1","8,3",,,
25/01/2014 16.00,"3,4","9,3","15,8","0,3","65,2","8,3",,,
25/01/2014 17.00,"1,1","16,7","27,5","0,4","51,8","8,3",,,
25/01/2014 18.00,"0,6","26,4","38,7","0,4","47,8","8,3",,,
25/01/2014 19.00,"0,7","19,7","30,4","0,4","46,9","8,3",,,
25/01/2014 20.00,"0,7","13,7","23,0","0,4","50,8","8,3",,,
25/01/2014 21.00,"0,9","11,8","20,7","0,4","55,7","8,3",,,
25/01/2014 22.00,"1,5","8,1","14,3","0,4","54,5","8,3",,,
25/01/2014 23.00,"1,6","8,4","14,2","0,4","53,7","8,3",,,
26/01/2014 0.00,"1,5","8,1","13,6","0,3","52,6","8,3",,,
26/01/2014 1.00,"1,9","6,8","13,2","0,3",,"5,7",,,
26/01/2014 2.00,"1,9",,,"0,3","59,3","5,7",,,
26/01/2014 3.00,"2,1","7,0","12,5",,"61,3","5,7",,,
26/01/2014 4.00,"1,8","6,4","12,0","0,2","61,9","5,7",,,
26/01/2014 5.00,,"5,8","11,4","0,2","67,1","5,7",,,
26/01/2014 6.00,"1,8","5,0","10,7","0,1","71,4","5,7",,,
26/01/2014 7.00,"2,0","5,4","11,0","0,1","72,0","5,7",,,
26/01/2014 8.00,"2,0","7,2","13,0","0,2","70,1","5,7",,,
26/01/2014 9.00,"1,9","7,3","14,7","0,2","69,9","5,7",,,
26/01/2014 10.00,"2,5","6,7","13,5","0,1","74,5","5,7",,,
26/01/2014 11.00,"2,2","5,9","12,3","0,1","77,8","5,7",,,
26/01/2014 12.00,"2,1","6,7","12,8","0,1","78,8","5,7",,,
26/01/2014 13.00,"2,1","7,0","13,5","0,1","80,8","5,7",,,
26/01/2014 14.00,"2,3","5,2","12,6","0,1","84,3","5,7",,,
26/01/2014 15.00,"1,9","5,7","13,0","0,1","84,0","5,7",,,
26/01/2014 16.00,"1,9","5,6","10,6","0,1","84,1","5,7",,,
26/01/2014 17.00,"1,3","6,9","12,4","0,1","76,9","5,7",,,
26/01/2014 18.00,"0,9","10,0","15,7","0,2","72,9","5,7",,,
26/01/2014 19.00,"1,0","11,4","19,1","0,2","64,8","5,7",,,
26/01/2014 20.00,"1,0","11,3","20,7","0,2","59,4","5,7",,,
26/01/2014 21.00,"1,0","12,4","21,3","0,2","56,0","5,7",,,
26/01/2014 22.00,"0,8","11,5","19,0","0,2","52,9","5,7",,,
26/01/2014 23.00,"0,7","9,7","15,8","0,2","56,3","5,7",,,
27/01/2014 0.00,"1,6","7,7","13,0","0,1","70,2","5,7",,,
27/01/2014 1.00,"2,1","5,9","11,1","0,1","78,9","22,1",,,
27/01/2014 2.00,"3,8","5,1","11,5","0,1","79,2","22,1",,,
27/01/2014 3.00,"3,8","5,0","10,0","0,1","78,2","22,1",,,
27/01/2014 4.00,"2,9","5,9","11,2","0,1","74,8","22,1",,,
27/01/2014 5.00,"0,7","5,1","11,9","0,1","69,7","22,1",,,
27/01/2014 6.00,"2,4","8,9","15,2","0,2","63,6","22,1",,,
27/01/2014 7.00,"1,0","14,1","22,1","0,2","52,9","22,1",,,
27/01/2014 8.00,"0,7","23,9","45,3","0,2","36,4","22,1",,,
27/01/2014 9.00,"0,9","18,0","31,5","0,3","44,0","22,1",,,
27/01/2014 10.00,"1,3","13,2","25,5","0,2","57,8","22,1",,,
27/01/2014 11.00,"1,7","12,5","23,3","0,2","64,2","22,1",,,
27/01/2014 12.00,"2,1","11,5","23,9","0,2","67,6","22,1",,,
27/01/2014 13.00,"1,6","10,8","19,5","0,2","69,7","22,1",,,
27/01/2014 14.00,"1,4","15,7","31,7","0,2","62,0","22,1",,,
27/01/2014 15.00,"1,5","11,8","19,8","0,2","69,7","22,1",,,
27/01/2014 16.00,"1,6","16,1","26,0","0,3","63,2","22,1",,,
27/01/2014 17.00,"0,7","34,0","57,4","0,4","40,3","22,1",,,
27/01/2014 18.00,"0,6","33,3","48,1","0,3","40,8","22,1",,,
27/01/2014 19.00,"1,0","41,6","60,0","0,5","34,7","22,1",,,
27/01/2014 20.00,"1,0","39,8","57,9","0,6","29,6","22,1",,,
27/01/2014 21.00,"1,3","40,4","58,4","0,7","27,0","22,1",,,
27/01/2014 22.00,"1,7","35,6","50,5","0,8","29,5","22,1",,,
27/01/2014 23.00,"1,6","23,4","33,8","0,6","37,9","22,1",,,
28/01/2014 0.00,"1,3","14,8","22,1","0,4","51,8","22,1",,,
28/01/2014 1.00,"1,1","6,8","12,7","0,2",,"14,9",,,
28/01/2014 2.00,"0,8",,,"0,1","76,9","14,9",,,
28/01/2014 3.00,"0,8","5,3","11,4",,"77,8","14,9",,,
28/01/2014 4.00,"0,7","5,8","11,3","0,2","73,8","14,9",,,
28/01/2014 5.00,,"4,7","11,1","0,2","80,0","14,9",,,
28/01/2014 6.00,"0,3","5,5","12,6","0,1","83,2","14,9",,,
28/01/2014 7.00,"0,2","8,3","16,7","0,1","81,8","14,9",,,
28/01/2014 8.00,"0,1","22,0","37,3","0,2","62,9","14,9",,,
28/01/2014 9.00,"0,1","22,1","34,8","0,3","62,9","14,9",,,
28/01/2014 10.00,"0,1","17,7","27,0","0,2","69,3","14,9",,,
28/01/2014 11.00,"0,1","23,2","39,3","0,4","60,2","14,9",,,
28/01/2014 12.00,"0,1","12,4","20,5","0,4","69,8","14,9",,,
28/01/2014 13.00,"1,0",,,"0,3",,"14,9",,,
28/01/2014 14.00,"1,4","17,3","29,9","0,3","65,1","14,9",,,
28/01/2014 15.00,"0,8","11,8","19,1","0,3","71,0","14,9",,,
28/01/2014 16.00,"0,7","8,9","15,3","0,3","76,4","14,9",,,
28/01/2014 17.00,"1,1","13,7","24,5","0,4","68,5","14,9",,,
28/01/2014 18.00,"1,0","26,8","42,8","0,4","51,3","14,9",,,
28/01/2014 19.00,"1,7","40,3","63,8","0,7","30,0","14,9",,,
28/01/2014 20.00,"2,0","41,3","66,8","0,8","20,8","14,9",,,
28/01/2014 21.00,"2,5","40,6","70,4","0,9","19,1","14,9",,,
28/01/2014 22.00,"2,5","27,2","38,7","0,6","29,8","14,9",,,
28/01/2014 23.00,"3,0","23,9","35,1","0,6","28,1","14,9",,,
29/01/2014 0.00,"3,0","19,9","28,3","0,6","32,9","14,9",,,
29/01/2014 1.00,"2,6","18,8","29,6","0,5","33,8","33,2",,,
29/01/2014 2.00,"1,1","12,3","21,6","0,4","44,2","33,2",,,
29/01/2014 3.00,"0,8","11,6","19,6","0,4","41,7","33,2",,,
29/01/2014 4.00,"0,8","13,0","19,5","0,4","26,7","33,2",,,
29/01/2014 5.00,"0,8","13,8","21,2","0,5","17,2","33,2",,,
29/01/2014 6.00,"0,7","15,2","25,9","0,4","42,3","33,2",,,
29/01/2014 7.00,"0,5","28,9","43,7","0,4","38,2","33,2",,,
29/01/2014 8.00,"0,5","42,3","86,5","0,5","18,9","33,2",,,
29/01/2014 9.00,"0,5","39,0","76,0","0,6","26,6","33,2",,,
29/01/2014 10.00,"1,0","16,9","27,4","0,4","62,1","33,2",,,
29/01/2014 11.00,"1,7","13,7","22,3","0,3","71,3","33,2",,,
29/01/2014 12.00,"1,9","12,6","22,3","0,3","78,8","33,2",,,
29/01/2014 13.00,"1,7","11,8","19,6","0,2","82,9","33,2",,,
29/01/2014 14.00,"1,6","15,4","26,6","0,2","80,9","33,2",,,
29/01/2014 15.00,"1,6","11,7","19,2","0,2","84,9","33,2",,,
29/01/2014 16.00,"1,4","13,5","22,3","0,3","83,2","33,2",,,
29/01/2014 17.00,"2,1","29,4","50,5","0,4","59,6","33,2",,,
29/01/2014 18.00,"2,8","56,9","92,0","1,0","33,1","33,2",,,
29/01/2014 19.00,"3,4","62,0","96,0","0,9","24,8","33,2",,,
29/01/2014 20.00,"4,4","61,7","92,5","1,2","24,3","33,2",,,
29/01/2014 21.00,"4,7","61,3","103,4","1,3","14,1","33,2",,,
29/01/2014 22.00,"5,0","54,8","94,6","1,3","12,6","33,2",,,
29/01/2014 23.00,"4,7","40,5","58,0","1,0","23,1","33,2",,,
30/01/2014 0.00,"4,3","22,0","31,3","0,6","42,2","33,2",,,
30/01/2014 1.00,"4,0","16,2","25,5","0,4",,"9,3",,,
