Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
06/01/2014 18.00,"1,4","36,5","55,3","0,9","27,9","14,6",,,
06/01/2014 19.00,"1,9","38,9","64,5","0,9","15,4","14,6",,,
06/01/2014 20.00,"2,1","36,8","55,5","0,9","17,5","14,6",,,
06/01/2014 21.00,"2,3","45,3","85,3","1,1","10,8","14,6",,,
06/01/2014 22.00,"2,6","43,3","64,2","1,0","12,5","14,6",,,
06/01/2014 23.00,"2,5","37,7","57,5","0,9","15,9","14,6",,,
07/01/2014 0.00,"2,1","27,3","40,5","0,8","26,8","14,6",,,
07/01/2014 1.00,"1,9","19,2","27,9","0,7","35,3","22,4",,,
07/01/2014 2.00,"1,8","12,4","20,2","0,6","48,1","22,4",,,
07/01/2014 3.00,"1,7","8,9","14,3","0,6","52,7","22,4",,,
07/01/2014 4.00,"1,4","6,9","11,6","0,6","42,6","22,4",,,
07/01/2014 5.00,"1,2","7,0","14,2","0,6","47,2","22,4",,,
07/01/2014 6.00,"3,7","11,8","18,5","0,6","41,6","22,4",,,
07/01/2014 7.00,,"13,7","22,3","0,6","36,7","22,4",,,
07/01/2014 8.00,,"28,0","53,6","0,7","21,9","22,4",,,
07/01/2014 9.00,,"25,3","47,7","0,7","27,6","22,4",,,
07/01/2014 10.00,,"24,9","45,1","0,7","29,4","22,4",,,
07/01/2014 11.00,,"16,4","27,6","0,6","53,5","22,4",,,
07/01/2014 12.00,,"12,0","21,6","0,6","66,1","22,4",,,
07/01/2014 13.00,,"11,9","20,6","0,6","69,2","22,4",,,
07/01/2014 14.00,,"12,1","20,6","0,6","68,5","22,4",,,
07/01/2014 15.00,,"10,0","17,2","0,6","72,1","22,4",,,
07/01/2014 16.00,,"13,0","20,1","0,6","66,1","22,4",,,
07/01/2014 17.00,,"19,6","29,0","0,7","52,5","22,4",,,
07/01/2014 18.00,,"33,3","52,3","0,9","29,3","22,4",,,
07/01/2014 19.00,,"48,7","88,1","1,1","12,1","22,4",,,
07/01/2014 20.00,,"49,6","89,5","1,1","10,2","22,4",,,
07/01/2014 21.00,,"50,5","120,6","1,6","10,4","22,4",,,
07/01/2014 22.00,,"44,0","73,5","1,2","9,3","22,4",,,
07/01/2014 23.00,,"32,6","47,1","1,0","14,4","22,4",,,
08/01/2014 0.00,,"21,9","31,8","0,9","16,5","22,4",,,
08/01/2014 1.00,,"19,8","28,9","0,9",,"16,3",,,
08/01/2014 2.00,,,,"0,9","16,9","16,3",,,
08/01/2014 3.00,,"13,4","20,4",,"22,3","16,3",,,
08/01/2014 4.00,,"10,7","17,0","0,5","27,3","16,3",,,
08/01/2014 5.00,,"8,5","15,8","0,4","31,0","16,3",,,
08/01/2014 6.00,,"8,0","13,3","0,3","33,5","16,3",,,
08/01/2014 7.00,,"11,9","19,9","0,3","34,3","16,3",,,
08/01/2014 8.00,,"20,2","39,9","0,4","28,2","16,3",,,
08/01/2014 9.00,,"19,0","33,5","0,4","35,4","16,3",,,
08/01/2014 10.00,,"17,3","30,9","0,3","39,6","16,3",,,
08/01/2014 11.00,,"15,6","29,3","0,3","45,0","16,3",,,
08/01/2014 12.00,,"17,1","28,7","0,3","49,4","16,3",,,
