,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
13/01/2014 19.00,"0,6","121,6","77,3","39,6","29,7","1,6","0,7",
13/01/2014 20.00,"0,5","80,4","55,3","39,6","29,7","1,8","0,7",
13/01/2014 21.00,"0,4","60,5","44,9","39,6","29,7","2,0","0,6",
13/01/2014 22.00,"0,4","42,6","33,8","39,6","29,7","1,9","0,6",
13/01/2014 23.00,"0,3","34,1","28,5","39,6","29,7","1,9","0,5",
14/01/2014 0.00,"0,3","42,1","32,0","39,6","29,7","2,0","0,5",
14/01/2014 1.00,,"31,5","25,1","24,7","17,1","1,9","0,5",
14/01/2014 2.00,"0,9",,,"24,7","17,1","1,5","0,4",
14/01/2014 3.00,"0,8","28,6","18,8","24,7","17,1","1,5",,
14/01/2014 4.00,"1,0","16,8","14,0","24,7","17,1","1,6","0,4",
14/01/2014 5.00,"0,9","21,1","18,4","24,7","17,1","1,4","0,4",
14/01/2014 6.00,"0,8","28,2","22,4","24,7","17,1","1,2","0,4",
14/01/2014 7.00,"1,2","95,9","45,9","24,7","17,1","1,2","0,7",
14/01/2014 8.00,"2,3","289,4","72,5","24,7","17,1","2,7","1,2",
14/01/2014 9.00,"2,1","246,8","73,3","24,7","17,1","4,0","1,3",
14/01/2014 10.00,"1,7","143,4","64,7","24,7","17,1","2,9","0,9",
14/01/2014 11.00,"0,9","37,4","24,8","24,7","17,1","1,8","0,4",
14/01/2014 12.00,"1,1","40,7","27,3","24,7","17,1","1,2","0,4",
14/01/2014 13.00,"1,3","32,0","21,5","24,7","17,1","1,0","0,3",
14/01/2014 14.00,"1,3","34,6","23,4","24,7","17,1","0,9","0,3",
14/01/2014 15.00,"1,3","19,7","14,0","24,7","17,1","0,6","0,2",
14/01/2014 16.00,"0,8","22,0","16,4","24,7","17,1","0,5","0,2",
14/01/2014 17.00,"0,8","46,3","34,2","24,7","17,1","0,6","0,4",
14/01/2014 18.00,"1,0","60,9","41,8","24,7","17,1","1,1","0,4",
14/01/2014 19.00,"0,8","38,9","30,0","24,7","17,1","1,0","0,4",
14/01/2014 20.00,"0,8","35,6","26,6","24,7","17,1","0,8","0,3",
14/01/2014 21.00,"0,8","34,7","26,2","24,7","17,1","0,8","0,3",
14/01/2014 22.00,"0,7","19,6","15,5","24,7","17,1","0,7","0,3",
14/01/2014 23.00,"0,7","13,9","11,5","24,7","17,1","0,5","0,2",
15/01/2014 0.00,"0,7","12,9","10,4","24,7","17,1","0,5","0,2",
15/01/2014 1.00,"0,5","11,2","8,8","24,7","10,0","0,5","0,2",
15/01/2014 2.00,"0,5","11,8","9,2","24,7","10,0","0,5","0,2",
15/01/2014 3.00,"0,6","8,2","6,7","24,7","10,0","0,5","0,2",
15/01/2014 4.00,"0,6","15,2","13,5","24,7","10,0","0,5","0,2",
15/01/2014 5.00,"0,8","11,0","8,6","24,7","10,0","0,4","0,2",
15/01/2014 6.00,"0,9","16,4","14,6","24,7","10,0","0,3","0,2",
15/01/2014 7.00,"0,8","83,7","49,6","24,7","10,0","0,6","0,5",
15/01/2014 8.00,"1,1","151,9","71,5","24,7","10,0","1,4","0,9",
15/01/2014 9.00,"1,1","139,7","67,7","24,7","10,0","3,3","0,8",
15/01/2014 10.00,"0,5","117,3","58,1","24,7","10,0","1,7","0,6",
15/01/2014 11.00,"0,8","79,9","48,2","24,7","10,0","1,4","0,4",
15/01/2014 12.00,"0,9","56,2","34,3","24,7","10,0","1,0","0,3",
15/01/2014 13.00,"1,2","47,6","30,3","24,7","10,0","0,8","0,3",
15/01/2014 14.00,"1,2","40,7","25,6","24,7","10,0","0,9","0,3",
