,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
25/11/2014 15.00,"0,6","45,7","28,6","38,9","26,2","1,1","0,4","15,01165962"
25/11/2014 16.00,"1,1","48,4","34,1","38,9","26,2","1,1","0,4","24,34165955"
25/11/2014 17.00,"0,5","86,4","58,1","38,9","26,2","1,6","0,6","36,74232101"
25/11/2014 18.00,"2,7","131,1","69,0","38,9","26,2","1,8","0,7","51,94314957"
25/11/2014 19.00,"2,2","119,6","66,1","38,9","26,2","2,6","0,7","43,56167984"
25/11/2014 20.00,"0,3","135,6","60,9","38,9","26,2","3,0","0,7","48,04463959"
25/11/2014 21.00,"0,5","90,3","55,1","38,9","26,2","2,9","0,7","29,29108047"
25/11/2014 22.00,"0,5","58,0","39,4","38,9","26,2","2,8","0,6","18,65796089"
25/11/2014 23.00,"1,5","48,5","35,9","38,9","26,2","2,4","0,5","13,9370203"
26/11/2014 0.00,"1,3","55,5","38,5","38,9","26,2","1,9","0,5","23,03783989"
26/11/2014 1.00,,"55,1","38,0","36,6","33,3","1,7","0,4","21,15097046"
26/11/2014 2.00,"2,0",,,"36,6","33,3","1,7","0,4","7,53939199"
26/11/2014 3.00,"1,9","30,2","25,5","36,6","33,3","1,4",,"4,91443777"
26/11/2014 4.00,"1,6","21,8","17,2","36,6","33,3","1,3","0,3","2,27266598"
26/11/2014 5.00,"2,6","24,6","20,7","36,6","33,3","1,1","0,3","2,32487202"
26/11/2014 6.00,"1,9","47,1","40,2","36,6","33,3","1,0","0,3","4,62122202"
26/11/2014 7.00,"2,3","46,9","39,4","36,6","33,3","1,1","0,4","11,28211021"
26/11/2014 8.00,"2,3","84,7","59,7","36,6","33,3","1,3","0,5","27,15851021"
26/11/2014 9.00,"2,3","116,6","64,8","36,6","33,3","2,0","0,6","44,13418961"
26/11/2014 10.00,"2,0","119,4","59,4","36,6","33,3","2,3","0,7","42,74303055"
26/11/2014 11.00,"3,0","49,4","32,8","36,6","33,3","1,8","0,5","15,8771801"
26/11/2014 12.00,"3,5","55,6","36,2","36,6","33,3","1,5","0,5","15,99427032"
26/11/2014 13.00,"3,2","56,8","35,9","36,6","33,3","1,7","0,5","15,00895023"
26/11/2014 14.00,"2,6","50,0","30,0","36,6","33,3","1,6","0,4","16,35544968"
26/11/2014 15.00,"3,1","37,8","26,4","36,6","33,3","1,1","0,4","12,46033001"
26/11/2014 16.00,"3,3","42,4","32,2","36,6","33,3","1,1","0,4","15,65168953"
26/11/2014 17.00,"3,3","113,6","69,5","36,6","33,3","1,2","0,6","58,90216064"
26/11/2014 18.00,"3,1","119,9","73,4","36,6","33,3","1,8","0,6","49,26911163"
26/11/2014 19.00,"3,5","117,7","77,6","36,6","33,3","2,0","0,7","46,84117126"
26/11/2014 20.00,"3,5","100,5","65,9","36,6","33,3","2,5","0,7","35,39445114"
26/11/2014 21.00,"3,8","114,4","69,6","36,6","33,3","2,3","0,8","48,02835083"
26/11/2014 22.00,"3,1","74,2","52,1","36,6","33,3","2,7","0,7","32,1583519"
26/11/2014 23.00,"3,0","52,1","39,2","36,6","33,3","2,5","0,6","21,62829018"
27/11/2014 0.00,"3,0","63,6","47,5","36,6","33,3","1,9","0,5","28,31744957"
27/11/2014 1.00,"3,0","36,3","27,7","36,4","15,9","1,9","0,5","10,88125992"
27/11/2014 2.00,"2,7","23,7","17,8","36,4","15,9","1,5","0,5","6,89867878"
27/11/2014 3.00,"2,9","15,9","12,3","36,4","15,9","1,1","0,3","3,162884"
27/11/2014 4.00,"3,1","16,7","12,3","36,4","15,9","0,9","0,3","3,40560794"
27/11/2014 5.00,"2,9","15,3","11,9","36,4","15,9","0,8","0,3","5,17451811"
27/11/2014 6.00,"2,9","31,4","22,6","36,4","15,9","0,8","0,4","11,95522022"
27/11/2014 7.00,"2,9","51,4","36,0","36,4","15,9","1,1","0,4","20,39364052"
27/11/2014 8.00,"2,5","61,1","40,3","36,4","15,9","0,9","0,4","23,69890976"
27/11/2014 9.00,"3,0","100,2","51,9","36,4","15,9","1,5","0,6","39,72418976"
27/11/2014 10.00,"2,6","90,9","51,0","36,4","15,9","1,5","0,5","29,49854088"
27/11/2014 11.00,"2,3","105,6","55,1","36,4","15,9","1,4","0,5","35,4805603"
27/11/2014 12.00,"0,4","86,4","48,7","36,4","15,9","1,7","0,5","21,89608955"
27/11/2014 13.00,"1,1","58,5","36,7","36,4","15,9","1,2","0,5","16,30257988"
27/11/2014 14.00,"0,5","67,0","40,6","36,4","15,9","1,2","0,5","19,7305603"
27/11/2014 15.00,"0,3","69,0","47,5","36,4","15,9","1,4","0,5","28,32423973"
27/11/2014 16.00,"0,1","49,6","35,7","36,4","15,9","0,9","0,4","14,95471001"
27/11/2014 17.00,"0,7","109,9","63,6","36,4","15,9","1,3","0,7","57,42345047"
27/11/2014 18.00,"0,6","199,5","82,6","36,4","15,9","2,4","1,2","105,9365006"
27/11/2014 19.00,"4,2","460,2","110,9","36,4","15,9","4,5","2,0","220,1407013"
27/11/2014 20.00,"4,2","287,2","83,0","36,4","15,9","5,9","1,3","128,0570068"
27/11/2014 21.00,"3,6","192,7","67,9","36,4","15,9","3,4","0,9","80,87963104"
27/11/2014 22.00,"3,5","178,7","57,9","36,4","15,9","2,8","0,8","70,49806213"
27/11/2014 23.00,"3,2","105,5","45,1","36,4","15,9","2,2","0,6","41,98804092"
28/11/2014 0.00,"3,1","67,8","40,0","36,4","15,9","1,7","0,5","24,93152046"
28/11/2014 1.00,,"83,9","45,0","29,8","6,7","1,6","0,7","30,10737991"
28/11/2014 2.00,"3,0",,,"29,8","6,7","1,7","0,6","9,25473976"
28/11/2014 3.00,"3,0","34,8","28,1","29,8","6,7","1,2",,"5,32062483"
28/11/2014 4.00,"2,9","19,5","15,2","29,8","6,7","1,0","0,4","3,51951289"
28/11/2014 5.00,"3,0","21,1","16,6","29,8","6,7","1,2","0,3","7,55702019"
28/11/2014 6.00,"2,9","30,6","22,8","29,8","6,7","1,0","0,4","8,50622463"
28/11/2014 7.00,"3,1","59,9","33,9","29,8","6,7","1,0","0,5","28,83477974"
28/11/2014 8.00,"4,1","215,2","65,7","29,8","6,7","3,2","1,1","104,3451996"
28/11/2014 9.00,"3,2","120,5","56,1","29,8","6,7","2,4","0,6","47,06084061"
28/11/2014 10.00,"3,3","70,5","41,1","29,8","6,7","1,4","0,4","25,59460068"
28/11/2014 11.00,"3,2","35,5","21,5","29,8","6,7","0,8","0,3","13,71938038"
28/11/2014 12.00,"3,0","31,7","19,2","29,8","6,7","0,5","0,3","11,04804993"
28/11/2014 13.00,"2,9","32,1","20,0","29,8","6,7","0,5","0,3","12,79932976"
28/11/2014 14.00,"3,1","41,5","24,7","29,8","6,7","0,6","0,3","16,22731972"
28/11/2014 15.00,"3,2","27,7","17,1","29,8","6,7","0,5","0,3","10,07783031"
28/11/2014 16.00,"3,0","26,6","16,9","29,8","6,7","0,5","0,3","12,61085033"
28/11/2014 17.00,"3,1","32,6","19,5","29,8","6,7","0,6","0,3","19,21323967"
28/11/2014 18.00,"2,9","32,2","20,1","29,8","6,7","0,7","0,3","16,9812603"
28/11/2014 19.00,"2,9","30,3","19,2","29,8","6,7","0,7","0,3","17,88368034"
28/11/2014 20.00,"3,1","30,5","19,5","29,8","6,7","0,8","0,3","17,52705002"
28/11/2014 21.00,"2,8","30,6","20,4","29,8","6,7","0,7","0,3","16,31546021"
28/11/2014 22.00,"2,6","17,5","12,6","29,8","6,7","0,5","0,2","9,44525814"
28/11/2014 23.00,"2,7","11,4","7,6","29,8","6,7","0,3","0,2","4,88297701"
29/11/2014 0.00,"2,6","9,6","6,5","29,8","6,7","0,3","0,2","3,9866569"
29/11/2014 1.00,"2,7","9,5","6,0","41,8","1,5","0,3","0,2","3,84088612"
29/11/2014 2.00,"2,7","7,2","4,5","41,8","1,5","0,3","0,2","3,26729608"
29/11/2014 3.00,"2,5","6,5","3,3","41,8","1,5","0,3","0,2","3,162884"
29/11/2014 4.00,"2,7","6,2","3,4","41,8","1,5","0,3","0,2","1,75806201"
29/11/2014 5.00,"2,6","5,4","2,6","41,8","1,5","0,3","0,2","1,52753997"
29/11/2014 6.00,"2,6","6,2","3,1","41,8","1,5","0,2","0,2","2,07740092"
29/11/2014 7.00,"2,4","9,2","5,8","41,8","1,5","0,3","0,2","3,61172199"
29/11/2014 8.00,"2,6","19,9","14,0","41,8","1,5","0,3","0,3","8,70013332"
29/11/2014 9.00,"2,6","31,0","21,9","41,8","1,5","0,6","0,3","17,02532959"
29/11/2014 10.00,"2,6","29,2","19,5","41,8","1,5","0,8","0,3","13,03460026"
29/11/2014 11.00,"2,8","28,1","16,8","41,8","1,5","0,7","0,3","14,59807968"
29/11/2014 12.00,"2,7","21,6","14,0","41,8","1,5","0,7","0,3","11,09957981"
29/11/2014 13.00,"2,3","27,5","18,6","41,8","1,5","0,6","0,3","15,33506966"
29/11/2014 14.00,"2,7","25,8","16,4","41,8","1,5","0,6","0,3","13,37292004"
29/11/2014 15.00,"2,6","13,2","8,4","41,8","1,5","0,5","0,2","6,10473824"
29/11/2014 16.00,"2,7","13,1","8,5","41,8","1,5","0,4","0,2","6,08304214"
29/11/2014 17.00,"3,0","17,3","11,3","41,8","1,5","0,4","0,2","10,30632019"
29/11/2014 18.00,"2,8","18,7","13,3","41,8","1,5","0,5","0,3","10,10902023"
29/11/2014 19.00,"2,7","28,5","18,8","41,8","1,5","0,6","0,3","13,78582954"
29/11/2014 20.00,"2,6","30,1","22,2","41,8","1,5","0,9","0,3","16,21578979"
29/11/2014 21.00,"3,0","49,1","36,0","41,8","1,5","0,8","0,4","28,73171997"
29/11/2014 22.00,"2,6","40,6","31,2","41,8","1,5","0,9","0,3","20,44651985"
29/11/2014 23.00,"2,9","33,4","24,7","41,8","1,5","0,7","0,3","11,50774002"
30/11/2014 0.00,"2,8","30,3","21,8","41,8","1,5","0,6","0,3","11,85081005"
30/11/2014 1.00,,"31,3","24,2","39,7","1,3","0,4","0,3","11,82843018"
30/11/2014 2.00,"2,8",,,"39,7","1,3","0,5","0,3","13,24477959"
30/11/2014 3.00,"2,7","25,0","20,3","39,7","1,3","0,5",,"7,19815922"
30/11/2014 4.00,"2,7","12,1","8,8","39,7","1,3","0,3","0,2","3,47747707"
30/11/2014 5.00,"2,9","11,1","7,5","39,7","1,3","0,4","0,2","3,09237099"
30/11/2014 6.00,"2,9","10,8","7,3","39,7","1,3","0,3","0,2","2,69641805"
30/11/2014 7.00,"2,5","12,7","8,7","39,7","1,3","0,3","0,2","6,28373098"
30/11/2014 8.00,"2,8","15,5","11,7","39,7","1,3","0,4","0,3","7,04444981"
30/11/2014 9.00,"2,8","17,5","12,4","39,7","1,3","0,4","0,3","9,78358173"
30/11/2014 10.00,"2,6","19,8","13,2","39,7","1,3","0,4","0,3","11,29485035"
30/11/2014 11.00,"2,8","27,4","17,7","39,7","1,3","0,6","0,3","12,09014034"
30/11/2014 12.00,"2,8","26,3","17,2","39,7","1,3","0,5","0,3","13,65497017"
30/11/2014 13.00,"2,7","28,6","17,6","39,7","1,3","0,6","0,3","18,57727051"
30/11/2014 14.00,"1,4","26,6","15,3","39,7","1,3","0,6",,"11,04736996"
30/11/2014 15.00,,"13,9","9,0","39,7","1,3","0,3","0,2","6,3915329"
30/11/2014 16.00,,"15,0","10,6","39,7","1,3","0,3","0,2","6,79901314"
30/11/2014 17.00,,"14,9","10,7","39,7","1,3","0,4","0,2","7,48515177"
30/11/2014 18.00,,"29,9","20,7","39,7","1,3","0,6","0,3","19,92988968"
30/11/2014 19.00,,"31,0","22,3","39,7","1,3","0,8","0,3","17,95215988"
30/11/2014 20.00,,"28,4","21,3","39,7","1,3","0,5","0,3","14,47467995"
30/11/2014 21.00,,"25,0","18,6","39,7","1,3","0,6","0,2","16,36631012"
30/11/2014 22.00,,"21,7","16,4","39,7","1,3","0,5","0,2","9,68798447"
30/11/2014 23.00,,"17,7","12,7","39,7","1,3","0,4","0,2","9,47983646"
01/12/2014 0.00,,"14,9","9,9","39,7","1,3","0,3","0,2","9,91172409"
01/12/2014 1.00,,"10,4","6,8","52,4","12,0","0,3","0,2","3,18119001"
01/12/2014 2.00,,"7,9","4,8","52,4","12,0","0,2","0,2","4,86873913"
01/12/2014 3.00,,"6,1","3,2","52,4","12,0","0,2","0,1","1,59466302"
01/12/2014 4.00,,"6,5","3,5","52,4","12,0","0,2","0,1","1,913324"
01/12/2014 5.00,,"6,1","3,3","52,4","12,0","0,2","0,1","1,492962"
01/12/2014 6.00,,"8,8","5,3","52,4","12,0","0,2","0,1","3,30661988"
01/12/2014 7.00,,"15,0","10,2","52,4","12,0","0,2","0,2","8,06823444"
01/12/2014 8.00,,"54,0","29,6","52,4","12,0","0,4","0,3","26,3546505"
01/12/2014 9.00,,"61,9","34,4","52,4","12,0","1,1","0,4","29,33786011"
01/12/2014 10.00,,"55,8","29,3","52,4","12,0","1,1","0,3","24,53351974"
01/12/2014 11.00,,"45,6","24,6","52,4","12,0","0,8","0,3","19,56987"
01/12/2014 12.00,"2,2","42,8","25,7","52,4","12,0","0,8","0,3","16,78326988"
01/12/2014 13.00,"2,6","36,8","22,0","52,4","12,0","0,8","0,3","18,39081955"
01/12/2014 14.00,"2,3","41,2","24,6","52,4","12,0","0,9","0,3","21,47978973"
01/12/2014 15.00,"2,6","21,3","13,8","52,4","12,0","0,6","0,2","10,48124027"
01/12/2014 16.00,"2,8","19,4","13,0","52,4","12,0","0,4","0,2","9,18558311"
01/12/2014 17.00,"2,4","35,7","21,5","52,4","12,0","0,6","0,3","22,58427048"
01/12/2014 18.00,"2,9","35,7","23,0","52,4","12,0","0,8","0,3","19,90139961"
01/12/2014 19.00,"2,6","37,0","23,3","52,4","12,0","0,8","0,3","20,98077965"
01/12/2014 20.00,"2,6","37,5","23,9","52,4","12,0","0,8","0,3","27,06925964"
01/12/2014 21.00,"2,7","45,0","28,2","52,4","12,0","0,6","0,3","22,46426964"
01/12/2014 22.00,"2,5","23,9","17,4","52,4","12,0","0,7","0,2","12,19727039"
01/12/2014 23.00,"2,4","15,9","11,0","52,4","12,0","0,4","0,2","5,65861177"
02/12/2014 0.00,"2,6","15,5","10,3","52,4","12,0","0,4","0,2","6,99495602"
02/12/2014 1.00,,"15,8","11,3","109,4","23,2","0,3","0,2","4,6660161"
02/12/2014 2.00,"2,8",,,"109,4","23,2","0,3","0,2","2,29842997"
02/12/2014 3.00,"2,4","15,8","12,7","109,4","23,2","0,3",,"1,72405899"
02/12/2014 4.00,"2,5","12,5","9,2","109,4","23,2","0,3","0,2","1,54788101"
02/12/2014 5.00,"2,6","10,3","7,5","109,4","23,2","0,4","0,2","1,82518399"
02/12/2014 6.00,"2,3","37,8","24,5","109,4","23,2","0,4","0,2","8,80861378"
02/12/2014 7.00,"2,8","65,4","47,7","109,4","23,2","0,6","0,4","29,8036499"
02/12/2014 8.00,"3,2","142,3","59,0","109,4","23,2","1,4","0,6","71,5510025"
02/12/2014 9.00,"3,3","161,7","62,9","109,4","23,2","2,2","0,8","76,97840118"
02/12/2014 10.00,"2,8","79,5","42,9","109,4","23,2","2,1","0,5","41,37715149"
02/12/2014 11.00,"2,7","86,4","49,0","109,4","23,2","1,1","0,5","36,84402084"
02/12/2014 12.00,"2,7","53,1","32,7","109,4","23,2","1,3","0,4","17,31007957"
02/12/2014 13.00,"2,5","42,4","26,1","109,4","23,2","0,9","0,3","18,47693062"
02/12/2014 14.00,"2,0","42,2","26,6","109,4","23,2","0,9","0,3","15,73373032"
02/12/2014 15.00,"2,3","25,2","17,6","109,4","23,2","0,7","0,2","9,97884655"
02/12/2014 16.00,"2,7","36,6","25,7","109,4","23,2","0,5","0,3","15,90254974"
02/12/2014 17.00,"3,3","132,0","66,1","109,4","23,2","1,2","0,7","79,28498077"
02/12/2014 18.00,"3,8","182,1","82,3","109,4","23,2","2,7","0,9","98,10700989"
02/12/2014 19.00,"3,7","182,1","76,0","109,4","23,2","2,7","0,9","87,82917023"
02/12/2014 20.00,"3,4","147,1","58,3","109,4","23,2","3,4","0,8","67,31687164"
02/12/2014 21.00,"3,2","120,5","55,2","109,4","23,2","2,1","0,7","62,56270981"
02/12/2014 22.00,"3,1","80,6","43,7","109,4","23,2","2,8","0,6","35,43106079"
02/12/2014 23.00,"2,6","46,6","36,0","109,4","23,2","1,8","0,4","17,77927017"
03/12/2014 0.00,"2,8","37,0","29,3","109,4","23,2","1,4","0,3","12,20065975"
03/12/2014 1.00,"2,8","42,1","28,8","40,9","12,7","1,3","0,4","21,35709"
03/12/2014 2.00,"2,9","21,2","16,4","40,9","12,7","0,9","0,2","5,94744205"
03/12/2014 3.00,"2,4","12,1","8,1","40,9","12,7","0,6","0,2","3,07881093"
03/12/2014 4.00,"2,6","12,9","9,6","40,9","12,7","0,5","0,2","2,33707595"
03/12/2014 5.00,"2,8","17,7","14,0","40,9","12,7","0,6","0,2","3,50459695"
03/12/2014 6.00,"2,8","20,5","16,5","40,9","12,7","0,6","0,2","3,49985099"
03/12/2014 7.00,"2,5","30,2","24,3","40,9","12,7","0,6","0,3","11,03246021"
03/12/2014 8.00,"3,0","95,9","44,4","40,9","12,7","1,0","0,5","56,54000092"
03/12/2014 9.00,"3,0","142,5","57,7","40,9","12,7","2,6","0,7","66,00019073"
03/12/2014 10.00,"2,5","62,6","35,1","40,9","12,7","1,6","0,4","30,11347961"
03/12/2014 11.00,"2,3","36,6","23,4","40,9","12,7","0,7","0,3","12,48474026"
03/12/2014 12.00,"2,6","35,6","23,2","40,9","12,7","0,6","0,2","12,51321983"
03/12/2014 13.00,"2,6","35,9","24,5","40,9","12,7","0,6","0,3","15,31200981"
03/12/2014 14.00,"2,6","31,0","20,8","40,9","12,7","0,6","0,3","12,48744965"
03/12/2014 15.00,"2,5","20,9","14,5","40,9","12,7","0,5","0,2","8,71911716"
03/12/2014 16.00,"2,4","34,8","22,1","40,9","12,7","0,5","0,2","17,00431061"
03/12/2014 17.00,"2,9","51,4","35,4","40,9","12,7","0,6","0,4","31,61322975"
03/12/2014 18.00,"3,2","66,9","45,6","40,9","12,7","1,1","0,4","30,90674973"
03/12/2014 19.00,"2,9","77,2","50,0","40,9","12,7","1,1","0,4","36,95318985"
03/12/2014 20.00,"2,5","105,7","64,2","40,9","12,7","1,7","0,6","48,09413147"
03/12/2014 21.00,"2,9","125,9","64,5","40,9","12,7","1,4","0,6","66,85176086"
03/12/2014 22.00,"2,7","107,4","61,4","40,9","12,7","2,8","0,6","50,44272995"
03/12/2014 23.00,"2,8","39,7","30,9","40,9","12,7","1,2","0,4","16,10663033"
04/12/2014 0.00,"2,6","41,8","29,3","40,9","12,7","1,3","0,4","12,27795029"
04/12/2014 1.00,,"27,0","20,9","40,0","13,6","1,1","0,3","8,99506474"
04/12/2014 2.00,"2,5",,,"40,0","13,6","0,8","0,3","4,65787983"
04/12/2014 3.00,"2,5","23,6","20,1","40,0","13,6","0,8",,"3,21721411"
04/12/2014 4.00,"2,5","16,2","12,9","40,0","13,6","0,7","0,2","2,03875494"
04/12/2014 5.00,"2,6","14,8","11,5","40,0","13,6","0,8","0,2","2,42589402"
04/12/2014 6.00,"2,6","19,3","15,3","40,0","13,6","0,6","0,2","4,34464312"
04/12/2014 7.00,"2,8","93,9","46,4","40,0","13,6","0,6","0,4","30,79285049"
04/12/2014 8.00,"3,1","147,4","63,1","40,0","13,6","1,0","0,7","68,32437134"
04/12/2014 9.00,"3,9","234,0","84,5","40,0","13,6","2,9","0,9","76,97161865"
04/12/2014 10.00,"3,2","81,0","49,4","40,0","13,6","2,1","0,4","24,9125309"
04/12/2014 11.00,"2,8","46,0","28,6","40,0","13,6","1,0","0,3","17,30060005"
04/12/2014 12.00,"3,0","50,2","30,6","40,0","13,6","1,0","0,4","17,64027977"
04/12/2014 13.00,"3,2","37,7","24,1","40,0","13,6","1,0","0,3","13,61835957"
04/12/2014 14.00,"3,1","28,1","19,1","40,0","13,6","0,7","0,3","12,12675953"
04/12/2014 15.00,"3,2","24,8","16,9","40,0","13,6","0,6","0,3","13,95396996"
04/12/2014 16.00,"3,2","26,8","20,2","40,0","13,6","0,6","0,3","12,66644955"
04/12/2014 17.00,"3,4","62,3","43,8","40,0","13,6","0,9","0,4","33,21807098"
04/12/2014 18.00,"3,6","66,6","50,5","40,0","13,6","1,5","0,5","32,65328979"
04/12/2014 19.00,"3,4","93,6","63,3","40,0","13,6","1,7","0,6","42,98809052"
04/12/2014 20.00,"3,5","82,0","57,9","40,0","13,6","1,8","0,5","36,93759155"
04/12/2014 21.00,"3,4","109,9","65,0","40,0","13,6","1,5","0,6","48,31584167"
04/12/2014 22.00,"3,4","82,6","58,7","40,0","13,6","2,1","0,5","36,64537048"
04/12/2014 23.00,"3,3","63,0","44,2","40,0","13,6","1,4","0,4","28,16625977"
05/12/2014 0.00,"3,3","66,7","44,4","40,0","13,6","1,1","0,4","27,0678997"
05/12/2014 1.00,"2,8","40,1","30,2","27,2","10,4","1,0","0,3","13,23731995"
05/12/2014 2.00,"3,1","23,6","17,3","27,2","10,4","0,7","0,2","6,7176528"
05/12/2014 3.00,"3,0","23,1","18,2","27,2","10,4","0,6","0,2","5,52775812"
05/12/2014 4.00,"3,3","22,9","17,6","27,2","10,4","0,5","0,2","3,12694907"
05/12/2014 5.00,"2,8","21,2","17,2","27,2","10,4","0,5","0,2","4,45244503"
05/12/2014 6.00,"2,7","42,3","33,4","27,2","10,4","0,8","0,3","9,34559155"
05/12/2014 7.00,"3,1","63,9","40,9","27,2","10,4","0,7","0,4","32,90686035"
05/12/2014 8.00,"3,6","190,1","59,5","27,2","10,4","1,7","0,8","94,75971222"
05/12/2014 9.00,"4,1","208,0","65,1","27,2","10,4","3,1","1,0","84,56797028"
05/12/2014 10.00,"3,7","145,9","60,9","27,2","10,4","2,8","0,8","53,38594055"
05/12/2014 11.00,"3,7","108,6","52,6","27,2","10,4","1,9","0,5","31,79494095"
05/12/2014 12.00,"3,8","49,5","30,3","27,2","10,4","1,3","0,3","14,05566978"
05/12/2014 13.00,"3,4","59,5","34,5","27,2","10,4","1,1","0,5","20,69197083"
05/12/2014 14.00,"3,4","92,1","50,2","27,2","10,4","1,8","0,5","21,79846954"
05/12/2014 15.00,"3,5","37,9","25,7","27,2","10,4","1,0","0,4","20,10956001"
05/12/2014 16.00,"3,7","40,6","29,0","27,2","10,4","0,9","0,3","14,59671974"
05/12/2014 17.00,"3,7","78,8","47,9","27,2","10,4","0,9","0,4","34,87374115"
05/12/2014 18.00,"3,7","91,6","59,7","27,2","10,4","1,4","0,5","44,22816086"
05/12/2014 19.00,"3,9","97,4","59,7","27,2","10,4","1,7","0,5","38,195961"
05/12/2014 20.00,"3,4","65,2","43,4","27,2","10,4","1,3","0,4","22,26629066"
05/12/2014 21.00,"3,2","74,1","49,4","27,2","10,4","1,1","0,5","34,80459976"
05/12/2014 22.00,"3,4","63,4","48,2","27,2","10,4","1,4","0,3","15,75745964"
05/12/2014 23.00,"3,2","54,5","39,3","27,2","10,4","1,2","0,3","21,21809959"
06/12/2014 0.00,"3,3","36,8","26,7","27,2","10,4","0,8","0,3","7,12377596"
06/12/2014 1.00,,"38,5","26,7","15,4","6,2","0,8","0,3","10,16326046"
06/12/2014 2.00,"3,5",,,"15,4","6,2","0,9","0,3","13,54988003"
06/12/2014 3.00,"3,4","49,4","36,6","15,4","6,2","0,8",,"10,45285034"
06/12/2014 4.00,"3,4","36,7","28,8","15,4","6,2","0,9","0,3","12,21218014"
06/12/2014 5.00,"3,3","36,5","27,9","15,4","6,2","1,0","0,3","7,89127493"
06/12/2014 6.00,"3,1","67,2","33,8","15,4","6,2","0,9","0,3","12,67051029"
06/12/2014 7.00,"3,2","66,3","34,9","15,4","6,2","0,9","0,4","23,33753014"
06/12/2014 8.00,"3,1","92,0","39,2","15,4","6,2","1,0","0,5","40,72016144"
06/12/2014 9.00,"3,6","125,6","46,1","15,4","6,2","1,6","0,6","43,64981079"
06/12/2014 10.00,"3,3","104,2","51,3","15,4","6,2","2,0","0,6","29,78396988"
06/12/2014 11.00,"3,7","65,3","39,1","15,4","6,2","1,3","0,4","16,83547974"
06/12/2014 12.00,"3,8","58,8","34,1","15,4","6,2","1,1","0,3","13,43327045"
06/12/2014 13.00,"3,8","54,5","32,5","15,4","6,2","1,0","0,4","19,04984093"
06/12/2014 14.00,"3,5","59,7","37,9","15,4","6,2","1,4","0,4","17,4822998"
06/12/2014 15.00,"3,5","25,9","18,1","15,4","6,2","0,8","0,2","7,14208221"
06/12/2014 16.00,"3,7","45,1","31,0","15,4","6,2","0,6","0,3","17,40093994"
06/12/2014 17.00,"4,0","61,9","46,0","15,4","6,2","1,0","0,4","26,05768013"
06/12/2014 18.00,"3,8","99,2","65,2","15,4","6,2","1,6","0,5","35,70769119"
06/12/2014 19.00,"3,6","46,2","32,1","15,4","6,2","1,2","0,5","17,67078972"
06/12/2014 20.00,"3,6","92,7","62,5","15,4","6,2","1,4","0,7","32,99906158"
06/12/2014 21.00,"3,7","117,4","74,1","15,4","6,2","2,0","0,6","40,46456146"
06/12/2014 22.00,"3,9","166,9","79,0","15,4","6,2","2,1","0,7","71,07299042"
06/12/2014 23.00,"3,5","127,8","68,0","15,4","6,2","2,2","0,6","44,18611145"
07/12/2014 0.00,"3,5","93,5","56,5","15,4","6,2","1,5","0,5","28,60968018"
07/12/2014 1.00,"3,7","78,8","44,0","17,6","9,4","1,2","0,4","23,76601982"
07/12/2014 2.00,"3,9","93,9","54,3","17,6","9,4","1,5","0,4","35,35039139"
07/12/2014 3.00,"3,3","83,7","49,4","17,6","9,4","1,2","0,3","15,9289999"
07/12/2014 4.00,"3,2","54,3","40,0","17,6","9,4","1,1","0,3","16,47817993"
07/12/2014 5.00,"3,4","39,1","31,4","17,6","9,4","0,8","0,3","12,72340012"
07/12/2014 6.00,"3,5","40,4","29,9","17,6","9,4","1,0","0,3","9,63374329"
07/12/2014 7.00,"3,5","37,8","26,2","17,6","9,4","0,8","0,3","11,92199993"
07/12/2014 8.00,"3,7","63,4","37,1","17,6","9,4","0,9","0,3","20,24921989"
07/12/2014 9.00,"3,4","59,3","34,7","17,6","9,4","1,0","0,4","21,15097046"
07/12/2014 10.00,"3,8","55,2","32,3","17,6","9,4","1,3","0,4","22,24118996"
07/12/2014 11.00,"4,1","73,8","41,0","17,6","9,4","1,7","0,6","22,63783073"
07/12/2014 12.00,"4,0","49,5","30,6","17,6","9,4","1,6","0,4","11,59451962"
07/12/2014 13.00,"4,4","47,2","28,4","17,6","9,4","1,1","0,3","16,32427025"
07/12/2014 14.00,"4,3","34,7","22,6","17,6","9,4","1,0","0,3","11,40264988"
07/12/2014 15.00,"4,4","21,0","14,3","17,6","9,4","0,8","0,2","7,57668209"
07/12/2014 16.00,"4,3","23,6","18,0","17,6","9,4","0,6","0,3","5,7609911"
07/12/2014 17.00,"4,4","60,8","45,8","17,6","9,4","0,9","0,4","20,9584198"
07/12/2014 18.00,"4,8","199,3","80,1","17,6","9,4","2,0","0,8","97,39376068"
07/12/2014 19.00,"4,4","106,7","60,2","17,6","9,4","2,3","0,5","39,60689163"
07/12/2014 20.00,"4,6","71,3","46,3","17,6","9,4","1,5","0,4","23,75177956"
07/12/2014 21.00,"4,2","52,4","41,2","17,6","9,4","1,4","0,4","16,91819954"
07/12/2014 22.00,"4,2","57,2","43,1","17,6","9,4","1,7","0,4","20,79636955"
07/12/2014 23.00,"3,8","45,0","34,4","17,6","9,4","1,7","0,4","15,40151024"
