,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



11/01/2009 4.00,"1,18974762","10,13475867","0,40282438",,"20,02441978","0,54760162"
11/01/2009 5.00,"1,15475468","9,19055762",,"32,0246178",,"0,52282038"
11/01/2009 6.00,"1,0678378","8,60651428","0,39470433","29,96938875","17,58241081","0,53537626"
11/01/2009 7.00,"1,29811202","6,77327147","0,38763395","30,07799655",,"0,51566171"
11/01/2009 8.00,"1,07009554","9,14837699","0,38941407","26,45296185","18,55920982","0,51544103"
11/01/2009 9.00,"1,3093997","12,0020695","0,40490041","26,81992215",,"0,5435265"
11/01/2009 10.00,"1,15588355","14,02026389","0,42856273","29,60574015","20,51280975","0,62304573"
11/01/2009 11.00,"1,59611234","12,04262493","0,40788165","37,11906975",,"0,74441654"
11/01/2009 12.00,"1,41099089","14,89145139","0,43149503","38,48317095","24,42000961","0,69408419"
11/01/2009 13.00,"1,37261236","13,0484765","0,41942447","43,1925879",,"0,73296207"
11/01/2009 14.00,"1,28682332","14,09164076","0,42481143","42,67590285","21,97801971","0,62502786"
11/01/2009 15.00,"1,89862916","13,41513118","0,40042681","42,4208421",,"0,62403629"
11/01/2009 16.00,"1,70221901","13,89534337","0,40677606","40,91028795","17,09399986","0,54550863"
11/01/2009 17.00,"1,58595353","12,98358131","0,40831503","41,83668615",,"0,61445411"
11/01/2009 18.00,"1,61191551","15,39924991","0,42558033","38,800755","24,42000961","0,67469916"
11/01/2009 19.00,"1,16265677","21,41973448","0,43803651","30,5617641",,"1,04883515"
11/01/2009 20.00,"1,3884145","22,90256696","0,44929041","29,4872571","27,35042","0,6632457"
11/01/2009 21.00,"1,75865945","25,38311928","0,44722253","27,4616538",,"0,73593578"
11/01/2009 22.00,"1,30488422","25,46262024","0,45837974","25,74705105","31,74603081","0,67117525"
11/01/2009 23.00,"1,14233813","25,04243912","0,45203165","26,132106",,"0,67403912"
12/01/2009 0.00,"1,35455145","22,95285256","0,43789205","26,9614275","33,21123123","0,65410389"
12/01/2009 1.00,"1,29585428","18,64392538","0,39980237","30,5551806",,"0,81182025"
12/01/2009 2.00,"1,1039596","13,86775894","0,38070919","35,03421495","29,30401993","0,52997904"
12/01/2009 3.00,"1,27102016",,"0,35829692","37,48766595",,"0,52810674"
12/01/2009 4.00,"1,23715711","8,02733889","0,35329674",,"27,35042","0,58053208"
12/01/2009 5.00,"1,04300469","4,42087669",,"36,7527678",,"0,51665329"
12/01/2009 6.00,"1,0678378","9,77946701","0,34042582","32,0622036","24,90842056","0,49561664"
12/01/2009 7.00,"1,29585428","16,81393106","0,35653893","25,59690735",,"0,48944956"
12/01/2009 8.00,"1,55547608","36,18142608","0,46475578","12,95360084","26,86202049","0,54308614"
12/01/2009 9.00,"1,8038112","39,22330336","0,58235088","12,8009175",,"0,85444374"
12/01/2009 10.00,"1,96861402","36,51237416","0,60158853","19,78174569","44,4444313","1,24355709"
12/01/2009 11.00,"2,07246294","34,15187632","0,5429599","25,39660935",,"1,09443235"
12/01/2009 12.00,"2,28016078","31,51719768","0,51068591","26,8315131","45,42124176","0,87272635"
12/01/2009 13.00,"1,8647651","22,03623976","0,47701974","37,78707555",,"0,84210753"
12/01/2009 14.00,"1,5803102","19,8947424","0,44614141","41,6501736","42,97924042","0,67866444"
12/01/2009 15.00,"1,72705313","28,33253224","0,47047826","33,50532675",,"0,67029453"
12/01/2009 16.00,"1,25973248","38,00817","0,50655016","22,8173736","38,58362961","0,64220906"
12/01/2009 17.00,"1,41099089","42,05105576","0,54964467","15,60835532",,"0,67073489"
12/01/2009 18.00,"1,56450704","44,21362336","0,70316837","12,40688904","47,37483978","0,87404743"
12/01/2009 19.00,"1,70899223","42,97089984","0,76131702","12,50867993",,"1,30512424"
12/01/2009 20.00,"1,57805246","38,7220152","0,81855114","13,15718061","58,11965179","1,29135711"
12/01/2009 21.00,"2,00925131","36,00296","0,76011357","11,79286595",,"1,57617101"
12/01/2009 22.00,"1,89862916","31,4977144","0,80104352","11,26585478","73,74845886","1,66251838"
12/01/2009 23.00,"1,65029505","23,95546712","0,75915245","11,66152512",,"1,70260852"
13/01/2009 0.00,"1,57579472","20,94601736","0,7698786","11,34137351","75,21366119","1,97277457"
13/01/2009 1.00,"1,27553564","19,10954327","0,55483941","10,63212906",,"1,17472145"
13/01/2009 2.00,"1,30036874","19,91422568","0,61741156","11,3512328","60,07326126","1,00753376"
13/01/2009 3.00,"1,44033947",,"0,5175163","14,61835851",,"0,93792723"
13/01/2009 4.00,"1,18974762","11,15034042","0,4532118",,"45,90964127","0,75443908"
