,TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO2,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3


14/01/2009 0.00,,"6,58474","2,203786",
14/01/2009 1.00,,"5,231995","2,086979",
14/01/2009 2.00,"0,536665",,,
14/01/2009 3.00,"0,469357","6,58474","2,216765",
14/01/2009 4.00,"0,638166","6,75205","1,92734",
14/01/2009 5.00,"0,531266","5,541972","1,731362",
14/01/2009 6.00,"0,661563","6,257903","1,92734",
14/01/2009 7.00,"0,611171","7,997146","2,638573",
14/01/2009 8.00,"0,473676","11,39911","4,289467",
14/01/2009 9.00,"0,395929","9,081416","3,489979",
14/01/2009 10.00,"0,408168","8,893356","2,663234",
14/01/2009 11.00,"0,39341","9,006191","2,874788",
14/01/2009 12.00,"0,355616","9,412145","3,170702",
14/01/2009 13.00,"0,272472","9,454945","3,047405",
14/01/2009 14.00,"0,316384","9,530168","3,033126",
14/01/2009 15.00,"0,33834","9,432898","2,982511",
14/01/2009 16.00,"0,406008","9,849224","3,850787",
14/01/2009 17.00,"0,181407","11,47563","4,809915",
14/01/2009 18.00,"0,439122","9,986705","4,395893",
14/01/2009 19.00,"0,348058","11,234395","4,908553",
14/01/2009 20.00,"0,412487","11,707789","5,75217",
14/01/2009 21.00,"0,386212","13,828345","7,972827",
14/01/2009 22.00,"0,289748","13,904865","7,046148",
14/01/2009 23.00,"0,375053","13,780356","7,456274",
15/01/2009 0.00,"0,4492","10,449724","4,722955",
15/01/2009 1.00,"0,352017","10,55089","4,55034",
15/01/2009 2.00,"0,294428","11,587171","4,72685",
15/01/2009 3.00,"0,327902","8,486106","2,376404",
15/01/2009 4.00,"0,413926","7,802598","2,157065",
15/01/2009 5.00,"0,346978","8,597644","2,721638",
15/01/2009 6.00,"0,476555","13,043673","5,539318",
15/01/2009 7.00,"0,559701","23,492094","13,430379",
15/01/2009 8.00,"0,8966","76,950791","35,334542",
15/01/2009 9.00,"0,828572","69,167632","34,436418",
15/01/2009 10.00,,"20,445493","10,86319",
15/01/2009 11.00,"0,558621","59,911142","26,997018",
15/01/2009 12.00,"0,301267","42,38642","20,312974",
15/01/2009 13.00,"0,364975","21,972033","11,112379",
15/01/2009 14.00,"0,301986","18,038324","8,948827",
15/01/2009 15.00,"0,267432","12,661067","4,872212",
15/01/2009 16.00,"0,370734","15,386009","7,129211",
15/01/2009 17.00,"0,400248","18,765929","9,657465",
15/01/2009 18.00,"0,542423","27,146976","17,305819",
15/01/2009 19.00,"0,632767","27,58404","18,460922",
15/01/2009 20.00,"0,695036","32,503463","21,621239",
15/01/2009 21.00,"1,020778","64,827968","36,335227",
15/01/2009 22.00,"1,163313","72,194788","37,577282",
15/01/2009 23.00,"1,135957","61,200329","30,941265",
16/01/2009 0.00,"1,339322","65,250783","28,545394",
16/01/2009 1.00,,"34,403534","19,616029",
