,,,Provincia di Lecce,,,
18/02/2009 3.00,,"9,0","17,0","0,1","49,1",
18/02/2009 4.00,,"9,1","16,6","0,1","43,6",
18/02/2009 5.00,,"8,9","17,0","0,1","44,5","23,2"
18/02/2009 6.00,,"14,6","22,4","0,1","53,8","23,2"
18/02/2009 7.00,,"56,5","91,7","0,2","15,6","23,2"
18/02/2009 8.00,,"56,0","101,8","0,3","22,1","23,2"
18/02/2009 9.00,,"34,5","54,7","0,1","37,6","23,2"
18/02/2009 10.00,,"23,8","36,8","0,1","53,1","23,2"
18/02/2009 11.00,,"30,5","43,1","0,1","48,2","23,2"
18/02/2009 12.00,,"34,6","49,3","0,2","44,8","23,2"
18/02/2009 13.00,,"25,7","38,9","0,1","55,6","23,2"
18/02/2009 14.00,,"26,4","37,8","0,1","51,4","23,2"
18/02/2009 15.00,,"27,1","36,3","0,1","47,0","23,2"
18/02/2009 16.00,,"20,0","31,7","0,1","46,7","23,2"
18/02/2009 17.00,,"20,4","32,4","0,1","45,9","23,2"
18/02/2009 18.00,,"21,7","32,9","0,1","45,3","23,2"
18/02/2009 19.00,,"29,1","41,1","0,1","36,8","23,2"
18/02/2009 20.00,,"24,1","35,1","0,2","39,2","23,2"
18/02/2009 21.00,,"20,8","29,9","0,1","42,3","23,2"
18/02/2009 22.00,,"15,0","22,8","0,1","44,7","23,2"
18/02/2009 23.00,,"12,8","18,4","0,1","49,0",
19/02/2009 0.00,,"11,1","15,4","0,1","49,6",
19/02/2009 1.00,,"12,0","17,1","0,1","48,3",
19/02/2009 2.00,"0,4",,,"0,1","50,3",
19/02/2009 3.00,"1,1","7,8","11,7",,"53,4",
19/02/2009 4.00,"2,2","8,0","12,5","0,1","54,1",
19/02/2009 5.00,"2,8","7,1","10,1","0,1",,"13,4"
19/02/2009 6.00,"3,0","9,5","13,0","0,1","51,7","13,4"
19/02/2009 7.00,"3,1","11,6","15,6","0,1","50,6","13,4"
19/02/2009 8.00,"3,6","14,3","21,9","0,1","47,3","13,4"
19/02/2009 9.00,"3,0","13,4","20,6","0,1","48,3","13,4"
19/02/2009 10.00,"1,6","19,4","29,0","0,2","44,0","13,4"
19/02/2009 11.00,"1,2","17,7","27,6","0,1","47,8","13,4"
19/02/2009 12.00,"0,3","16,0","25,5","0,1","49,3","13,4"
19/02/2009 13.00,"0,9","17,0","27,8","0,1","52,5","13,4"
19/02/2009 14.00,"0,1","16,3","24,9","0,1","52,9","13,4"
19/02/2009 15.00,"0,4","14,9","21,8","0,1","54,9","13,4"
19/02/2009 16.00,"0,0","16,0","23,0","0,1","56,6","13,4"
19/02/2009 17.00,,"22,1","30,1","0,2","44,5","13,4"
19/02/2009 18.00,"0,4","26,5","35,7","0,2","37,4","13,4"
19/02/2009 19.00,"1,9","23,9","34,0","0,1","38,4","13,4"
19/02/2009 20.00,"2,6","16,5","24,2","0,2","43,2","13,4"
19/02/2009 21.00,"2,9","15,4","21,9","0,1","44,1","13,4"
19/02/2009 22.00,"2,9","14,0","19,5","0,1","43,6","13,4"
19/02/2009 23.00,"2,9","12,3","18,2","0,1","43,4",
20/02/2009 0.00,"3,4","21,7","27,6","0,1","35,1",
20/02/2009 1.00,"3,5","20,3","26,8","0,1","35,7",
20/02/2009 2.00,"4,4","9,9","15,7","0,1","50,8",
20/02/2009 3.00,"3,8","9,9","14,1","0,1","51,8",
20/02/2009 4.00,"2,7","8,5","12,4","0,1","53,0",
20/02/2009 5.00,"2,1","8,5","14,2","0,1","52,8","14,0"
20/02/2009 6.00,"2,2","11,6","18,0","0,1","51,8","14,0"
20/02/2009 7.00,"1,4","15,1","22,4","0,1","49,0","14,0"
20/02/2009 8.00,"1,4","27,2","43,1","0,1","41,6","14,0"
20/02/2009 9.00,"2,0","19,8","32,5","0,1","49,8","14,0"
20/02/2009 10.00,"0,7","17,7","31,3","0,1","54,2","14,0"
20/02/2009 11.00,"0,5","16,9","29,7","0,1","57,9","14,0"
20/02/2009 12.00,"1,1","16,6","28,9","0,1","60,0","14,0"
20/02/2009 13.00,"1,7","18,0","30,7","0,1","62,3","14,0"
20/02/2009 14.00,"1,5","16,5","28,5","0,1","64,2","14,0"
20/02/2009 15.00,"0,7","15,2","23,0","0,1","67,3","14,0"
20/02/2009 16.00,"0,0","17,6","26,9","0,1","63,7","14,0"
20/02/2009 17.00,"0,0","22,0","30,7","0,2","60,5","14,0"
20/02/2009 18.00,"0,7","35,0","48,3","0,2","46,5","14,0"
20/02/2009 19.00,"1,1","28,5","39,8","0,2","49,5","14,0"
20/02/2009 20.00,"0,7","33,1","43,5","0,2","44,6","14,0"
20/02/2009 21.00,"0,1","27,2","36,4","0,2","44,5","14,0"
20/02/2009 22.00,"0,0","22,1","32,6","0,2","46,8","14,0"
20/02/2009 23.00,,"20,4","29,6","0,2","39,0",
21/02/2009 0.00,"0,0","14,2","22,9","0,1","39,6",
21/02/2009 1.00,,"11,2","18,6","0,1","47,9",
21/02/2009 2.00,"0,0",,,"0,1","46,4",
21/02/2009 3.00,"0,0","9,1","16,0",,"52,7",
21/02/2009 4.00,,"10,9","17,6","0,1","46,7",
21/02/2009 5.00,,"10,0","15,7","0,1",,"13,9"
21/02/2009 6.00,,"14,1","21,8","0,1","35,4","13,9"
21/02/2009 7.00,,"17,3","28,8","0,1","29,9","13,9"
21/02/2009 8.00,,"27,7","54,6","0,1","25,5","13,9"
21/02/2009 9.00,"0,2","19,9","36,8","0,1","39,2","13,9"
21/02/2009 10.00,"1,2","19,2","36,6","0,1","49,9","13,9"
21/02/2009 11.00,"2,0","17,5","33,9","0,1","54,7","13,9"
21/02/2009 12.00,"1,9","19,6","36,2","0,1","55,5","13,9"
21/02/2009 13.00,"1,7","18,5","34,8","0,1","56,7","13,9"
21/02/2009 14.00,"1,7","15,2","26,8","0,1","59,5","13,9"
21/02/2009 15.00,"1,7","15,7","25,5","0,1","59,4","13,9"
21/02/2009 16.00,"1,8","16,5","25,1","0,1","57,7","13,9"
21/02/2009 17.00,"1,3","23,5","31,5","0,1","52,6","13,9"
21/02/2009 18.00,"0,1","41,1","55,1","0,3","35,7","13,9"
21/02/2009 19.00,"0,0","52,3","70,6","0,3","22,2","13,9"
21/02/2009 20.00,"0,1","44,4","61,4","0,3","25,7","13,9"
21/02/2009 21.00,"0,0","40,6","54,1","0,2","27,6","13,9"
21/02/2009 22.00,,"35,4","50,1","0,2","28,7","13,9"
21/02/2009 23.00,"0,0","30,2","44,3","0,2","23,8",
22/02/2009 0.00,,"21,4","33,5","0,1","27,3",
22/02/2009 1.00,,"23,0","38,4","0,2","23,2",
22/02/2009 2.00,"0,0","16,7","28,0","0,1","29,3",
22/02/2009 3.00,,"15,3","24,8","0,1","35,3",
22/02/2009 4.00,,"12,5","23,5","0,1","36,3",
22/02/2009 5.00,,"14,8","25,9","0,1","30,1","15,9"
22/02/2009 6.00,,"15,8","27,4","0,1","29,0","15,9"
22/02/2009 7.00,,"15,2","28,9","0,1","24,7","15,9"
22/02/2009 8.00,"0,0","14,2","26,7","0,1","26,6","15,9"
22/02/2009 9.00,"0,0","16,9","29,5","0,1","28,7","15,9"
22/02/2009 10.00,"0,0","15,2","29,5","0,1","32,2","15,9"
22/02/2009 11.00,"0,0","16,3","32,6","0,1","35,1","15,9"
22/02/2009 12.00,"0,1","15,6","26,9","0,1","35,0","15,9"
22/02/2009 13.00,"0,7","15,4","27,1","0,1","49,1","15,9"
22/02/2009 14.00,"0,6","12,7","20,8","0,1","54,9","15,9"
22/02/2009 15.00,"0,4","12,7","22,9","0,1","60,1","15,9"
22/02/2009 16.00,"0,3","13,7","23,7","0,1","62,6","15,9"
22/02/2009 17.00,"0,1","17,6","25,5","0,1","63,4","15,9"
22/02/2009 18.00,"0,1","25,3","33,8","0,1","55,0","15,9"
22/02/2009 19.00,"0,1","29,4","40,2","0,2","47,0","15,9"
22/02/2009 20.00,"0,1","30,6","39,8","0,2","46,0","15,9"
22/02/2009 21.00,"0,1","29,1","38,0","0,2","45,3","15,9"
22/02/2009 22.00,"0,2","27,0","37,1","0,2","37,4","15,9"
22/02/2009 23.00,"1,0","20,3","28,0","0,2","46,0",
23/02/2009 0.00,"2,2","15,9","22,3","0,1","57,4",
23/02/2009 1.00,,"12,4","18,3","0,1","59,2",
23/02/2009 2.00,"0,5",,,"0,1","58,4",
23/02/2009 3.00,"0,5","12,5","18,3",,"56,1",
23/02/2009 4.00,"0,5","11,1","17,0","0,1","54,9",
23/02/2009 5.00,"0,5","12,3","17,9","0,1",,"17,7"
23/02/2009 6.00,"0,5","17,3","24,1","0,1","43,5","17,7"
23/02/2009 7.00,"1,0","29,0","39,8","0,1","36,6","17,7"
23/02/2009 8.00,"1,6","49,0","82,0","0,2","26,5","17,7"
23/02/2009 9.00,"2,1","35,9","60,3","0,1","41,5","17,7"
23/02/2009 10.00,"3,0","22,6","37,3","0,1","58,8","17,7"
23/02/2009 11.00,"3,5","23,2","39,7","0,1","60,3","17,7"
23/02/2009 12.00,"3,6","22,3","37,3","0,1","65,0","17,7"
23/02/2009 13.00,"3,1","21,7","30,6","0,1","66,8","17,7"
23/02/2009 14.00,"2,8","21,4","30,6","0,1","68,1","17,7"
23/02/2009 15.00,"2,5","20,6","28,0","0,1","69,9","17,7"
23/02/2009 16.00,"2,5","22,6","29,7","0,1","67,0","17,7"
23/02/2009 17.00,"1,8","29,1","37,9","0,1","61,4","17,7"
23/02/2009 18.00,"0,9","41,5","51,7","0,2","48,3","17,7"
23/02/2009 19.00,"0,3","63,3","85,6","0,3","25,1","17,7"
23/02/2009 20.00,"0,4","75,7","116,3","0,4","14,6","17,7"
23/02/2009 21.00,"0,5","82,6","153,9","0,9","9,0","17,7"
23/02/2009 22.00,"0,2","57,7","99,5","0,6","10,7","17,7"
23/02/2009 23.00,"0,2","53,1","91,8","0,6","7,5",
24/02/2009 0.00,"0,2","46,5","79,7","0,5","5,7",
24/02/2009 1.00,"0,3","40,4","95,7","1,0","3,6",
24/02/2009 2.00,"0,4","33,8","94,0","2,2","3,6",
24/02/2009 3.00,"0,2","27,7","63,5","0,5","4,0",
24/02/2009 4.00,"0,2","24,0","43,5","0,3","6,6",
24/02/2009 5.00,"0,2","25,2","45,2","0,2","7,7","29,5"
24/02/2009 6.00,"0,3","33,9","60,7","0,2","5,4","29,5"
24/02/2009 7.00,"0,9","50,1","139,8","0,6","4,8","29,5"
24/02/2009 8.00,"2,1","68,3","192,7","0,5","9,9","29,5"
24/02/2009 9.00,"3,0","35,1","66,1","0,2","45,4","29,5"
24/02/2009 10.00,"3,7","24,4","42,0","0,1","60,3","29,5"
24/02/2009 11.00,"4,0","22,1","36,1","0,1","65,3","29,5"
24/02/2009 12.00,"3,2","25,2","36,6","0,1","65,1","29,5"
24/02/2009 13.00,"3,5","22,1","30,6","0,1","72,1","29,5"
24/02/2009 14.00,"3,1","17,9","25,3","0,1","74,6","29,5"
24/02/2009 15.00,"2,5","17,3","22,2","0,1","77,2","29,5"
24/02/2009 16.00,"2,2","21,0","26,8","0,1","73,6","29,5"
24/02/2009 17.00,"1,3","29,4","35,1","0,1","59,5","29,5"
24/02/2009 18.00,,"61,5","77,7","0,3","28,9","29,5"
24/02/2009 19.00,,"84,6","125,9","0,5","10,9","29,5"
24/02/2009 20.00,,"79,6","110,1","0,5","13,2","29,5"
24/02/2009 21.00,,"79,2","105,0","0,4","11,8","29,5"
24/02/2009 22.00,,"64,4","83,0","0,4","18,1","29,5"
24/02/2009 23.00,,"54,6","71,1","0,3","22,2",
25/02/2009 0.00,,"55,5","71,8","0,3","17,8",
25/02/2009 1.00,,"37,7","51,7","0,3","26,8",
25/02/2009 2.00,"0,6",,,"0,2","25,0",
25/02/2009 3.00,"1,0","29,5","40,9",,"22,2",
25/02/2009 4.00,"1,3","22,8","32,4",,"25,4",
25/02/2009 5.00,"2,4","20,5","29,4",,,"39,0"
25/02/2009 6.00,"2,9","23,2","35,6",,"23,9","39,0"
25/02/2009 7.00,"3,5","30,8","49,3",,"19,0","39,0"
25/02/2009 8.00,"3,6","55,6","120,0",,"16,7","39,0"
25/02/2009 9.00,"4,8","31,9","54,8",,"47,8","39,0"
25/02/2009 10.00,"6,7","23,5","41,5",,"58,9","39,0"
25/02/2009 11.00,"8,4","26,1","44,9",,"60,3","39,0"
25/02/2009 12.00,"9,1","27,4","43,4",,"66,3","39,0"
25/02/2009 13.00,"9,1","25,8","38,6",,"70,7","39,0"
25/02/2009 14.00,"9,1","23,7","34,4",,"73,6","39,0"
25/02/2009 15.00,"7,4","21,4","29,8",,"78,8","39,0"
25/02/2009 16.00,"7,0","21,8","28,3",,"79,6","39,0"
25/02/2009 17.00,"4,8","25,1","31,6",,"73,0","39,0"
25/02/2009 18.00,"4,7","33,9","41,6",,"64,2","39,0"
25/02/2009 19.00,"4,6","39,4","48,0",,"59,3","39,0"
25/02/2009 20.00,"4,7","37,3","44,2",,"59,2","39,0"
25/02/2009 21.00,"4,5","28,8","36,2",,"63,0","39,0"
25/02/2009 22.00,"4,8","21,1","26,7",,"67,9","39,0"
25/02/2009 23.00,"4,4","17,3","24,1",,"68,4",
26/02/2009 0.00,"3,3","16,3","22,3",,"67,0",
26/02/2009 1.00,"3,2","14,1","20,5",,"66,6",
26/02/2009 2.00,"3,3","12,6","17,1",,"67,7",
26/02/2009 3.00,"2,5","11,8","17,2",,"68,1",
26/02/2009 4.00,"1,3","11,9","17,9",,"66,4",
26/02/2009 5.00,"2,6","13,8","19,1",,"68,5","30,2"
26/02/2009 6.00,"3,6","17,7","24,6",,"66,0","30,2"
26/02/2009 7.00,"3,4","27,6","35,5",,"58,5","30,2"
26/02/2009 8.00,"5,5","32,2","47,4",,"57,6","30,2"
26/02/2009 9.00,,,,,"69,4","30,2"
26/02/2009 10.00,,"14,2","21,5",,"70,6","30,2"
26/02/2009 11.00,"0,8","11,1","16,7",,"73,3","30,2"
26/02/2009 12.00,"0,9","10,1","15,6",,"72,0","30,2"
26/02/2009 13.00,"0,6","11,0","16,3",,"67,9","30,2"
26/02/2009 14.00,"0,4","9,7","14,1",,"68,6","30,2"
26/02/2009 15.00,"0,2","7,9","11,5",,"69,6","30,2"
26/02/2009 16.00,"0,0","10,4","14,1",,"68,4","30,2"
26/02/2009 17.00,,"12,8","16,6",,"61,9","30,2"
26/02/2009 18.00,,"19,2","24,0",,"55,1","30,2"
26/02/2009 19.00,,"24,3","29,7",,"43,5","30,2"
26/02/2009 20.00,,"31,1","36,0",,"37,3","30,2"
26/02/2009 21.00,,"31,2","36,3",,"34,5","30,2"
26/02/2009 22.00,,"17,6","21,3",,"42,9","30,2"
26/02/2009 23.00,,"13,7","16,4",,"44,8",
27/02/2009 0.00,,"11,5","14,0",,"44,1",
27/02/2009 1.00,,"8,0","10,9",,"45,6",
27/02/2009 2.00,"0,0",,,,"46,0",
27/02/2009 3.00,"0,0","5,0","8,1",,"54,0",
27/02/2009 4.00,"0,0","4,5","6,8",,"51,3",
27/02/2009 5.00,"0,0","6,4","9,3",,,"18,8"
27/02/2009 6.00,"0,1","12,2","15,0",,"41,1","18,8"
27/02/2009 7.00,"1,6","21,2","28,9",,"32,5","18,8"
27/02/2009 8.00,"3,4","32,0","47,9",,"28,6","18,8"
27/02/2009 9.00,"6,1","24,8","36,1",,"38,7","18,8"
27/02/2009 10.00,"4,4","30,0","44,0",,"43,3","18,8"
27/02/2009 11.00,"4,2","20,3","27,0",,"55,1","18,8"
27/02/2009 12.00,"5,2","18,3","24,4",,"61,8","18,8"
27/02/2009 13.00,"4,6","14,7","19,9",,"70,2","18,8"
27/02/2009 14.00,"4,4","16,0","20,9",,"69,1","18,8"
27/02/2009 15.00,"3,6","15,5","19,2",,"65,8","18,8"
27/02/2009 16.00,"1,8","16,2","20,2",,"66,1","18,8"
27/02/2009 17.00,"1,6","21,0","24,2",,"59,7","18,8"
27/02/2009 18.00,"1,7","44,7","51,2",,"36,7","18,8"
27/02/2009 19.00,"1,6","44,9","52,8",,"30,1","18,8"
27/02/2009 20.00,"1,6","42,5","50,8",,"25,2","18,8"
27/02/2009 21.00,"1,6","35,6","39,9",,"30,6","18,8"
27/02/2009 22.00,"1,5","26,8","30,4",,"31,4","18,8"
27/02/2009 23.00,"1,3","21,0","24,4",,"31,6",
28/02/2009 0.00,"1,2","18,1","21,9",,"32,2",
28/02/2009 1.00,"1,0","14,6","17,4",,"40,7",
28/02/2009 2.00,"1,1","8,4","11,5",,"53,4",
28/02/2009 3.00,"1,1","8,7","11,5",,"51,5",
28/02/2009 4.00,"0,7","8,4","10,9",,"51,0",
28/02/2009 5.00,"0,9","7,4","9,8",,"50,7","26,4"
28/02/2009 6.00,"0,7","7,9","10,5",,"53,7","26,4"
28/02/2009 7.00,"0,9","12,4","15,9",,"52,0","26,4"
28/02/2009 8.00,"1,4","23,9","34,4",,"46,0","26,4"
28/02/2009 9.00,"2,3","20,6","28,1",,"52,3","26,4"
28/02/2009 10.00,"5,1","15,1","21,5",,"59,8","26,4"
28/02/2009 11.00,"5,9","12,4","17,3",,"63,8","26,4"
28/02/2009 12.00,"5,2","10,6","15,9",,"66,7","26,4"
28/02/2009 13.00,"5,0","13,6","20,1",,"66,1","26,4"
28/02/2009 14.00,"5,8","11,6","16,1",,"74,2","26,4"
28/02/2009 15.00,"5,1","10,2","14,1",,"77,0","26,4"
28/02/2009 16.00,"4,7","13,4","16,8",,"74,5","26,4"
28/02/2009 17.00,"4,1","21,1","24,2",,"66,6","26,4"
28/02/2009 18.00,"2,4","47,8","55,0",,"39,7","26,4"
28/02/2009 19.00,"2,2","80,0","115,6",,"10,0","26,4"
28/02/2009 20.00,"3,5","88,9","221,4",,"4,7","26,4"
28/02/2009 21.00,"3,1","70,3","127,1",,"8,0","26,4"
28/02/2009 22.00,"2,7","59,6","80,7",,"7,1","26,4"
28/02/2009 23.00,"2,4","52,4","72,0",,"7,9",
01/03/2009 0.00,"2,7","58,2","89,5",,"5,0",
01/03/2009 1.00,,"49,9","77,6",,"4,4",
01/03/2009 2.00,,,,,"7,4",
01/03/2009 3.00,,"34,0","42,9",,"10,8",
01/03/2009 4.00,,"20,1","23,8",,"26,1",
01/03/2009 5.00,,"16,2","18,6",,,"33,9"
01/03/2009 6.00,,"13,4","16,5",,"34,9","33,9"
01/03/2009 7.00,,"14,8","17,8",,"41,4","33,9"
01/03/2009 8.00,,"11,7","14,9",,"46,2","33,9"
01/03/2009 9.00,,"7,7","10,8",,"58,9","33,9"
01/03/2009 10.00,,"5,9","8,8",,"66,7","33,9"
01/03/2009 11.00,,"6,7","10,0",,"68,5","33,9"
01/03/2009 12.00,"0,0","6,2","9,9",,"68,3","33,9"
01/03/2009 13.00,"0,0","5,2","8,2",,"69,3","33,9"
01/03/2009 14.00,,"4,3","7,5",,"72,0","33,9"
01/03/2009 15.00,,"5,2","8,2",,"71,5","33,9"
01/03/2009 16.00,,"5,7","8,8",,"72,2","33,9"
01/03/2009 17.00,,"6,5","9,3",,"72,7","33,9"
01/03/2009 18.00,,"12,7","15,8",,"66,8","33,9"
01/03/2009 19.00,,"18,8","22,3",,"59,1","33,9"
01/03/2009 20.00,,"17,0","19,8",,"58,2","33,9"
01/03/2009 21.00,,"9,8","12,7",,"66,1","33,9"
01/03/2009 22.00,,"9,3","12,6",,"68,3","33,9"
01/03/2009 23.00,,"5,1","7,4",,"70,8",
02/03/2009 0.00,,"3,6","6,3",,"72,7",
02/03/2009 1.00,,"2,9","5,2",,"71,3",
02/03/2009 2.00,,"2,8","5,0",,"69,5",
02/03/2009 3.00,,"2,9","6,1",,"67,0",
02/03/2009 4.00,,"3,1","6,0",,"64,9",
02/03/2009 5.00,,"5,1","9,5",,"61,8","23,4"
02/03/2009 6.00,,"7,8","11,4",,"56,7","23,4"
02/03/2009 7.00,,"13,1","17,8",,"54,8","23,4"
02/03/2009 8.00,,"22,6","28,6",,"50,0","23,4"
02/03/2009 9.00,,"12,9","16,7",,"58,5","23,4"
02/03/2009 10.00,,"11,8","15,4",,"58,9","23,4"
02/03/2009 11.00,,"8,5","13,0",,"63,6","23,4"
02/03/2009 12.00,,"8,0","12,3",,"65,9","23,4"
02/03/2009 13.00,"0,1","11,2","16,1",,"64,0","23,4"
02/03/2009 14.00,"0,0","11,9","16,6",,"61,2","23,4"
02/03/2009 15.00,"0,0","6,3","9,7",,"68,3","23,4"
02/03/2009 16.00,,"6,8","11,0",,"68,3","23,4"
02/03/2009 17.00,,"11,8","15,1",,"62,3","23,4"
02/03/2009 18.00,,"19,3","22,2",,"51,5","23,4"
02/03/2009 19.00,,"25,3","28,8",,"41,4","23,4"
02/03/2009 20.00,,"44,7","56,3",,"18,0","23,4"
02/03/2009 21.00,,"35,9","41,1",,"24,6","23,4"
02/03/2009 22.00,,"17,7","20,8",,"44,0","23,4"
02/03/2009 23.00,,"8,7","11,7",,"49,4",
03/03/2009 0.00,,"5,7","8,1",,"52,6",
03/03/2009 1.00,,"4,6","7,2",,"54,0",
03/03/2009 2.00,,,,,"50,7",
03/03/2009 3.00,,"3,8","6,5",,"46,7",
03/03/2009 4.00,,"4,2","7,9",,"44,1",
03/03/2009 5.00,,"7,8","11,4",,,"8,8"
03/03/2009 6.00,,"18,0","31,3",,"5,6","8,8"
03/03/2009 7.00,"0,0","34,9","76,0",,"3,2","8,8"
03/03/2009 8.00,"0,1","43,2","96,0",,"11,1","8,8"
03/03/2009 9.00,"1,7","21,5","33,1",,"42,0","8,8"
03/03/2009 10.00,"3,3","11,7","15,9",,"60,1","8,8"
03/03/2009 11.00,"3,5","7,9","12,6",,"66,9","8,8"
03/03/2009 12.00,"3,7","8,5","12,2",,"69,1","8,8"
03/03/2009 13.00,"2,4","12,9","17,2",,"66,2","8,8"
03/03/2009 14.00,"0,8","12,5","16,3",,"66,6","8,8"
03/03/2009 15.00,"0,9","8,0","11,5",,"71,7","8,8"
03/03/2009 16.00,"1,1","11,2","14,7",,"68,4","8,8"
03/03/2009 17.00,"0,5","13,0","16,6",,"64,1","8,8"
03/03/2009 18.00,"0,3","28,5","31,9",,"49,2","8,8"
03/03/2009 19.00,"0,0","39,8","43,7",,"37,6","8,8"
03/03/2009 20.00,"0,1","37,9","41,5",,"34,3","8,8"
03/03/2009 21.00,"0,0","35,3","38,9",,"28,7","8,8"
03/03/2009 22.00,"0,0","24,3","27,6",,"35,3","8,8"
03/03/2009 23.00,"0,0","16,1","19,3",,"40,6",
04/03/2009 0.00,"0,0","8,6","12,2",,"52,0",
04/03/2009 1.00,"0,0","5,7","9,1",,"57,6",
04/03/2009 2.00,"0,0","3,2","6,6",,"62,2",
04/03/2009 3.00,"0,0","4,0","6,7",,"62,7",
04/03/2009 4.00,,"3,2","6,1",,"62,3",
04/03/2009 5.00,"0,0","3,5","6,9",,"59,6","14,7"
04/03/2009 6.00,"0,0","5,2","8,2",,"63,5","14,7"
04/03/2009 7.00,,"10,7","13,9",,"63,6","14,7"
04/03/2009 8.00,"0,0","15,7","21,7",,"60,4","14,7"
04/03/2009 9.00,"0,0","11,7","16,7",,"65,0","14,7"
04/03/2009 10.00,"0,1","7,6","11,3",,"68,5","14,7"
04/03/2009 11.00,"0,4","7,0","10,9",,"70,1","14,7"
04/03/2009 12.00,"0,3","5,8","9,3",,"69,6","14,7"
04/03/2009 13.00,"0,2","9,3","13,2",,"66,9","14,7"
04/03/2009 14.00,"0,0","7,8","10,6",,"67,0","14,7"
04/03/2009 15.00,"0,0","4,8","7,9",,"67,5","14,7"
04/03/2009 16.00,"0,0","5,3","8,4",,"66,1","14,7"
04/03/2009 17.00,"0,0","7,0","10,8",,"64,8","14,7"
04/03/2009 18.00,,"8,4","11,7",,"64,2","14,7"
04/03/2009 19.00,,"7,5","10,5",,"64,3","14,7"
04/03/2009 20.00,,"5,4","8,5",,"64,0","14,7"
04/03/2009 21.00,,"4,8","8,6",,"64,3","14,7"
04/03/2009 22.00,,"3,7","6,7",,"66,6","14,7"
04/03/2009 23.00,,"2,5","5,3",,"68,3",
05/03/2009 0.00,,"2,1","4,2",,"69,0",
05/03/2009 1.00,,"2,0","4,3",,"69,0",
05/03/2009 2.00,,,,,"67,2",
05/03/2009 3.00,,"1,8","4,9",,"67,3",
05/03/2009 4.00,,"2,0","5,1",,"66,7",
05/03/2009 5.00,,"2,0","5,0",,,"2,9"
05/03/2009 6.00,,"3,2","5,3",,"71,4","2,9"
05/03/2009 7.00,,"5,4","8,9",,"62,7","2,9"
05/03/2009 8.00,,"7,8","13,0",,"55,8","2,9"
05/03/2009 9.00,,"6,4","10,0",,"58,3","2,9"
05/03/2009 10.00,"0,1","4,0","6,9",,"63,4","2,9"
05/03/2009 11.00,"0,2","3,7","6,7",,"64,5","2,9"
05/03/2009 12.00,"0,6","4,0","7,1",,"65,8","2,9"
05/03/2009 13.00,"0,5","5,4","9,1",,"63,9","2,9"
05/03/2009 14.00,"0,3","6,4","10,9",,"63,5","2,9"
05/03/2009 15.00,"0,2","3,8","7,2",,"66,5","2,9"
05/03/2009 16.00,"0,0","5,0","8,0",,"66,7","2,9"
05/03/2009 17.00,,"7,8","11,7",,"66,1","2,9"
05/03/2009 18.00,,"10,8","14,6",,"64,1","2,9"
05/03/2009 19.00,,"15,9","19,7",,"60,7","2,9"
05/03/2009 20.00,,"16,0","18,8",,"54,2","2,9"
05/03/2009 21.00,,"17,8","21,4",,"45,4","2,9"
05/03/2009 22.00,"0,0","19,1","23,0",,"41,0","2,9"
05/03/2009 23.00,,"7,8","10,3",,"58,1",
06/03/2009 0.00,,"5,4","8,9",,"60,7",
06/03/2009 1.00,,"6,8","9,2",,"48,0",
06/03/2009 2.00,,"4,4","8,3",,"51,9",
06/03/2009 3.00,,"2,9","5,2",,"56,2",
06/03/2009 4.00,,"3,2","7,2",,"60,1",
06/03/2009 5.00,,"3,8","6,8",,"67,6","1,9"
06/03/2009 6.00,,"3,6","5,8",,"71,8","1,9"
06/03/2009 7.00,"0,0","6,4","9,9",,"70,9","1,9"
06/03/2009 8.00,"0,0","16,9","22,3",,"61,0","1,9"
06/03/2009 9.00,,"8,5","12,4",,"66,1","1,9"
06/03/2009 10.00,,"12,7","17,9",,"66,9","1,9"
06/03/2009 11.00,,"8,6","13,3",,"63,2","1,9"
06/03/2009 12.00,,"5,6","10,0",,"66,1","1,9"
06/03/2009 13.00,"0,1","5,9","9,2",,"66,4","1,9"
06/03/2009 14.00,"2,8","8,1","14,4",,"63,5","1,9"
06/03/2009 15.00,,"5,1","8,6",,"68,6","1,9"
06/03/2009 16.00,,"4,7","7,8",,"69,0","1,9"
06/03/2009 17.00,,"5,5","9,0",,"67,5","1,9"
06/03/2009 18.00,,"7,3","10,0",,"66,2","1,9"
06/03/2009 19.00,,"7,5","10,4",,"68,2","1,9"
06/03/2009 20.00,,"7,0","10,9",,"68,7","1,9"
06/03/2009 21.00,,"5,9","8,6",,"69,1","1,9"
06/03/2009 22.00,,"3,7","6,4",,"70,6","1,9"
06/03/2009 23.00,,"4,0","6,7",,"71,4",
07/03/2009 0.00,,"3,4","5,9",,"69,4",
07/03/2009 1.00,,"3,5","6,4",,"66,0",
07/03/2009 2.00,"0,0",,,,"58,0",
07/03/2009 3.00,"0,1","5,4","8,0",,"52,1",
07/03/2009 4.00,"0,0","4,5","7,5",,"46,6",
07/03/2009 5.00,"0,1","7,1","10,0",,,
07/03/2009 6.00,"0,2","11,4","14,5",,"33,2",
07/03/2009 7.00,"0,0","35,0","53,7",,"9,0",
07/03/2009 8.00,"0,2","45,1","76,1",,"18,1",
07/03/2009 9.00,"0,3","24,9","32,7",,"45,6",
07/03/2009 10.00,"0,3","21,1","30,2",,"48,9",
07/03/2009 11.00,"0,1","9,4","14,0",,"64,1",
07/03/2009 12.00,"1,8","11,4","16,9",,"63,4",
