,Comune Bari,,
,Piazza Duca Savoia,,
Parm,CO,PM10,BENZENE



16/01/2009 2.00,"0,8169446","86,93527985","5,35342901"
16/01/2009 3.00,"0,70808118",,"12,78498159"
16/01/2009 4.00,"0,54396763","74,72527313","4,93228525"
16/01/2009 5.00,"0,40832202",,"3,54953543"
16/01/2009 6.00,"0,44432518","57,63124084","2,68095336"
16/01/2009 7.00,"0,69852585",,"2,33262781"
16/01/2009 8.00,"0,93658661","45,90964127","1,91805692"
16/01/2009 9.00,"1,45049956",,"2,03497022"
16/01/2009 10.00,"1,31984947","61,05006027","2,56674731"
16/01/2009 11.00,"1,13147014",,"3,40421936"
16/01/2009 12.00,"0,95799814","81,56288147","4,40114683"
16/01/2009 13.00,"0,97302664",,"4,37072937"
16/01/2009 14.00,"1,05292234","61,53845978","4,1229302"
16/01/2009 15.00,"1,07195495",,"3,95429432"
16/01/2009 16.00,"0,96537376","53,72404099","3,59720629"
16/01/2009 17.00,"0,99733204",,"3,94025565"
16/01/2009 18.00,"1,17024833","46,88644028","3,53013209"
16/01/2009 19.00,"1,1027226",,"3,50886866"
16/01/2009 20.00,"1,02120172","39,56044006","3,8086111"
16/01/2009 21.00,"1,03630944",,"3,55585812"
16/01/2009 22.00,"0,91926073","50,79365158","3,72691346"
16/01/2009 23.00,"0,6337367",,"3,48420742"
17/01/2009 0.00,"0,46101846","46,39804077","3,65973349"
17/01/2009 1.00,,,"3,00536416"
17/01/2009 2.00,"0,36485587","46,39804077","2,42825022"
17/01/2009 3.00,"0,28956308",,"11,24551818"
17/01/2009 4.00,"0,26682228","30,28083038","2,54110773"
17/01/2009 5.00,"0,27126792",,"1,64578364"
17/01/2009 6.00,"0,27753795","19,53602028","1,30471744"
17/01/2009 7.00,"0,3430226",,"1,16519521"
17/01/2009 8.00,"0,5576156","23,44322014","1,13477674"
17/01/2009 9.00,"0,88682829",,"1,15410279"
17/01/2009 10.00,"0,92334056","34,67642975","1,50667635"
17/01/2009 11.00,"0,85976068",,"1,9907775"
17/01/2009 12.00,"0,88440626","47,86323166","2,57012681"
17/01/2009 13.00,"0,95981321",,"3,02857718"
17/01/2009 14.00,"0,97803148","51,77045059","3,2239256"
17/01/2009 15.00,"0,81854997",,"3,46360199"
17/01/2009 16.00,"0,86793665","34,67642975","3,23385152"
17/01/2009 17.00,"0,9795786",,"2,88430353"
17/01/2009 18.00,"1,31903048","33,69963074","3,27269583"
17/01/2009 19.00,"1,38185543",,"3,27423964"
17/01/2009 20.00,"1,29374881","42,00244141","3,94476401"
17/01/2009 21.00,"1,25183794",,"4,57571996"
17/01/2009 22.00,"1,0154175","55,67765045","4,41321353"
17/01/2009 23.00,"0,90885378",,"4,54711073"
18/01/2009 0.00,"0,77256626","69,35285187","4,15971204"
18/01/2009 1.00,,,"3,69730553"
18/01/2009 2.00,"0,67505692","49,81684113","3,17482077"
18/01/2009 3.00,"0,44368326",,"11,61130257"
18/01/2009 4.00,"0,36909996","57,63124084","3,20687559"
18/01/2009 5.00,"0,2956304",,"2,32087536"
18/01/2009 6.00,"0,29217152","38,0952301","1,79016306"
18/01/2009 7.00,"0,34429129",,"1,51089181"
18/01/2009 8.00,"0,3600351","29,30401993","1,26970925"
18/01/2009 9.00,"0,39084702",,"0,92030567"
18/01/2009 10.00,"0,54084892","33,21123123","1,11649311"
18/01/2009 11.00,"0,831111",,"1,19889147"
18/01/2009 12.00,"0,85321571","29,7924099","1,46139035"
18/01/2009 13.00,"0,8893144",,"1,80099106"
18/01/2009 14.00,"0,76249017","38,0952301","2,28065098"
18/01/2009 15.00,"0,55997123",,"2,83790596"
18/01/2009 16.00,"0,55512134","33,69963074","2,6212036"
18/01/2009 17.00,"0,69780704",,"2,29533646"
18/01/2009 18.00,"0,78761806","32,23442078","1,97270338"
18/01/2009 19.00,"0,792786",,"2,08617007"
18/01/2009 20.00,"0,76471765","30,76922989","2,11665159"
18/01/2009 21.00,"0,7229326",,"2,13194219"
18/01/2009 22.00,"0,74623027","35,16482162","2,35610933"
18/01/2009 23.00,"0,61459692",,"2,41323116"
19/01/2009 0.00,"0,43060381","40,53723145","2,26219853"
19/01/2009 1.00,,,"1,7774048"
19/01/2009 2.00,"0,37104202","32,72283173","1,60962217"
19/01/2009 3.00,"0,34663876",,"9,63990197"
19/01/2009 4.00,"0,29580399","25,88521957","2,1725154"
19/01/2009 5.00,"0,26758885",,"1,43451816"
19/01/2009 6.00,"0,30691459","25,39682007","1,05973027"
19/01/2009 7.00,"0,46942161",,"1,06943855"
19/01/2009 8.00,"0,83209193","18,07081032","1,18566538"
19/01/2009 9.00,"1,48104353",,"1,0510278"
19/01/2009 10.00,"1,43874005","28,32722092","1,6669586"
19/01/2009 11.00,"0,88094271",,"2,80890213"
19/01/2009 12.00,"0,99312988","49,81684113","3,73269205"
19/01/2009 13.00,"1,13642838",,"3,57575471"
19/01/2009 14.00,"1,95169538","54,21244049","3,94233846"
19/01/2009 15.00,"1,9394722",,"3,66156409"
19/01/2009 16.00,"2,09598645","62,02685165","4,98096904"
19/01/2009 17.00,"2,27940522",,"6,53298121"
19/01/2009 18.00,"2,16630469","78,14408112","7,63926771"
19/01/2009 19.00,"0,42392836",,"8,37289388"
19/01/2009 20.00,,"79,12088013","7,35056378"
19/01/2009 21.00,"0,9293904",,"7,56744513"
19/01/2009 22.00,"1,02078232","62,02685165","5,81108105"
19/01/2009 23.00,"0,86267901",,"4,81272368"
20/01/2009 0.00,"0,65513193","52,7472496","4,35661545"
20/01/2009 1.00,,,"4,18231792"
20/01/2009 2.00,"0,38947232","40,53723145","3,32103181"
20/01/2009 3.00,"0,26369193",,"12,15384156"
20/01/2009 4.00,"0,20887868","27,35042","3,23087272"
20/01/2009 5.00,"0,17970941",,"1,98388631"
20/01/2009 6.00,"0,21819751","22,95482063","1,51268987"
20/01/2009 7.00,"0,29094244",,"1,20472091"
20/01/2009 8.00,"0,56575313","26,37360954","1,18083463"
20/01/2009 9.00,"1,36074447",,"1,11897256"
20/01/2009 10.00,"1,78879925","55,67765045","1,43029151"
20/01/2009 11.00,"1,39386775",,"2,35670122"
20/01/2009 12.00,"0,99629169","55,67765045","3,83874888"
20/01/2009 13.00,"1,08785254",,
20/01/2009 14.00,"1,03781579","55,67765045","9,2151804"
20/01/2009 15.00,"0,64202218",,"4,81061543"
20/01/2009 16.00,"0,70110399","55,67765045","4,05460916"
20/01/2009 17.00,"0,92756135",,"3,50268224"
20/01/2009 18.00,"1,18573351","69,35285187","3,10919783"
20/01/2009 19.00,"1,24771151",,"2,94279323"
20/01/2009 20.00,"1,64248574","65,93405151","3,34793552"
20/01/2009 21.00,"1,75250484",,"3,98099565"
20/01/2009 22.00,"1,16134074","60,07326126","4,89702789"
20/01/2009 23.00,"0,80047267",,"5,87245191"
21/01/2009 0.00,"0,67667278","56,16604996","5,08576072"
21/01/2009 1.00,,,"3,86488985"
21/01/2009 2.00,"0,46746324","41,5140419","3,7462751"
21/01/2009 3.00,"0,34285834",,"11,69111673"
