,Foggia,,
,Manfredonia - Capitaneria di Porto,,
Parm,SO2,NO2,PM10



12/01/2009 8.00,"1,37148755","32,82447032",
12/01/2009 9.00,"1,930266","40,68179608",
12/01/2009 10.00,"2,28203715","40,25608928",
12/01/2009 11.00,"2,1594378","41,89012272",
12/01/2009 12.00,"0,72726077","34,08210744",
12/01/2009 13.00,"0,68040148","31,38773616",
12/01/2009 14.00,"0,39362375","26,50253792",
12/01/2009 15.00,"0,2971257","15,58484584",
12/01/2009 16.00,"0,5411335","20,9891712",
12/01/2009 17.00,"0,46667689","19,50310744",
12/01/2009 18.00,"0,40549926","25,47590864",
12/01/2009 19.00,"1,15977765","46,74155504",
12/01/2009 20.00,"0,8524555","54,63260848",
12/01/2009 21.00,"0,58658933","46,46769928",
12/01/2009 22.00,"1,57119991","64,4626976",
12/01/2009 23.00,"0,85205887","53,7318844",
13/01/2009 0.00,"0,7288178","41,97446104",
13/01/2009 1.00,"0,59248183","31,88999944",
13/01/2009 2.00,"0,45910634","17,88467783",
13/01/2009 3.00,"0,41761885","10,22463223",
13/01/2009 4.00,"0,32554679","8,08055367",
13/01/2009 5.00,"0,51304802","7,4874245",
13/01/2009 6.00,"0,47098084","9,76908485",
13/01/2009 7.00,"0,5064243","13,91837341",
13/01/2009 8.00,"0,49479287","21,0657468",
13/01/2009 9.00,"0,50193628","28,75433856",
13/01/2009 10.00,"0,56744837","27,412344",
13/01/2009 11.00,"0,46273907","21,191652",
13/01/2009 12.00,"2,40988727","14,4712741",
13/01/2009 13.00,"0,71804166","23,3071844",
13/01/2009 14.00,"0,76978662","38,16780288",
13/01/2009 15.00,"0,66611466","21,98205368",
13/01/2009 16.00,"0,64617943","12,76457127",
13/01/2009 17.00,"0,44515514","12,40246333",
13/01/2009 18.00,"0,50272954","11,41348706",
13/01/2009 19.00,"0,39026561","12,06241795",
13/01/2009 20.00,"0,511491","15,29022958",
13/01/2009 21.00,"0,48520663","18,26105694",
13/01/2009 22.00,"0,52791555","16,74643746",
13/01/2009 23.00,"0,53344091","10,99556593",
14/01/2009 0.00,"0,37310984","8,64253062",
14/01/2009 1.00,,"12,38040076",
14/01/2009 2.00,,"10,63865671",
14/01/2009 3.00,,"9,08510509",
14/01/2009 4.00,,"7,72493506",
14/01/2009 5.00,,"6,10908474",
14/01/2009 6.00,,"8,00267982",
14/01/2009 7.00,,"8,86446794",
14/01/2009 8.00,,"17,37461168",
14/01/2009 9.00,,"32,22614816",
14/01/2009 10.00,,"38,17560384",
14/01/2009 11.00,,"37,05033448",
14/01/2009 12.00,,"33,89132808",
14/01/2009 13.00,,"35,14506472",
14/01/2009 14.00,,"31,13594488",
14/01/2009 15.00,,"22,42592448",
14/01/2009 16.00,,"24,92561592",
14/01/2009 17.00,,"29,30593144",
14/01/2009 18.00,,"31,8393888",
14/01/2009 19.00,,"28,81665064",
14/01/2009 20.00,,"30,7829132",
14/01/2009 21.00,,"32,21446584",
14/01/2009 22.00,,"33,34751704",
14/01/2009 23.00,,"26,92824472",
15/01/2009 0.00,,"22,42722464",
15/01/2009 1.00,,"18,75684237",
15/01/2009 2.00,,"16,06375595",
15/01/2009 3.00,,"11,83788606",
15/01/2009 4.00,,"8,70612566",
15/01/2009 5.00,,"10,63865671",
15/01/2009 6.00,,"9,76129536",
15/01/2009 7.00,,"18,02874321",
15/01/2009 8.00,,"33,6758648",
15/01/2009 9.00,,"49,93562752",
15/01/2009 10.00,,"50,62738912",
15/01/2009 11.00,,"38,44815944",
15/01/2009 12.00,,"26,11835976",
15/01/2009 13.00,,"16,12865306",
15/01/2009 14.00,,"19,82109216",
15/01/2009 15.00,,"28,42079016",
15/01/2009 16.00,,"24,7335364",
15/01/2009 17.00,,"44,5598292",
15/01/2009 18.00,,"57,54634352",
15/01/2009 19.00,,"40,39235752",
15/01/2009 20.00,,"45,4722356",
15/01/2009 21.00,,"50,591042",
15/01/2009 22.00,,"43,73438056",
15/01/2009 23.00,,"50,85969712",
16/01/2009 0.00,,"42,46116064",
16/01/2009 1.00,,"35,05032512",
16/01/2009 2.00,,,
16/01/2009 3.00,,"16,09101725",
16/01/2009 4.00,,"14,11176074",
16/01/2009 5.00,,"20,98268952",
16/01/2009 6.00,,"24,94898056",
16/01/2009 7.00,,"22,82436616",
16/01/2009 8.00,"0,35634663","28,73099304",
16/01/2009 9.00,"0,43999183","36,53118824",
16/01/2009 10.00,"0,5769319","38,14963888",
16/01/2009 11.00,"0,50897494","28,57784184",
16/01/2009 12.00,"0,33243493","23,224108",
16/01/2009 13.00,"0,36471959","21,53298224",
16/01/2009 14.00,"0,39005204","19,60304768",
16/01/2009 15.00,"0,33439977","15,52514746",
16/01/2009 16.00,"0,35997427","14,01441508",
16/01/2009 17.00,"0,37001003","16,47907294",
16/01/2009 18.00,"0,40211366","18,19746191",
16/01/2009 19.00,"0,43857108","25,14236024",
16/01/2009 20.00,"0,50713112","28,84909728",
16/01/2009 21.00,"0,48987059","34,3832092",
16/01/2009 22.00,"0,28279821","28,01326648",
16/01/2009 23.00,"0,4301371","21,42526016",
17/01/2009 0.00,"0,39171484","17,77435352",
17/01/2009 1.00,,"13,7301829",
17/01/2009 2.00,,"10,14936062",
17/01/2009 3.00,,"7,45108503",
17/01/2009 4.00,,"6,1506172",
17/01/2009 5.00,,"5,6704031",
17/01/2009 6.00,,"7,15776511",
17/01/2009 7.00,,"9,8248923",
17/01/2009 8.00,,"14,82818331",
17/01/2009 9.00,,"17,15267246",
17/01/2009 10.00,,"16,8749296",
17/01/2009 11.00,,"15,82105623",
17/01/2009 12.00,,"16,72696948",
17/01/2009 13.00,,"16,9696692",
17/01/2009 14.00,,"16,02742413",
17/01/2009 15.00,,"13,85088172",
17/01/2009 16.00,,"9,84046746",
17/01/2009 17.00,,"8,62825372",
17/01/2009 18.00,,"11,44852829",
17/01/2009 19.00,,"20,5115536",
17/01/2009 20.00,,"55,77474168",
17/01/2009 21.00,,"51,42297232",
17/01/2009 22.00,,"44,4222608",
17/01/2009 23.00,,"49,05176728",
18/01/2009 0.00,,"42,68440576",
18/01/2009 1.00,,"36,9763592",
18/01/2009 2.00,,"34,1327372",
18/01/2009 3.00,,"28,55187688",
18/01/2009 4.00,,"29,39420848",
18/01/2009 5.00,,"14,93071431",
18/01/2009 6.00,,"19,195524",
18/01/2009 7.00,,"34,33908024",
18/01/2009 8.00,,"30,7219204",
18/01/2009 9.00,,"35,85110896",
18/01/2009 10.00,,"31,20343848",
18/01/2009 11.00,,"21,58359288",
18/01/2009 12.00,,"16,19095558",
18/01/2009 13.00,,"16,69062618",
18/01/2009 14.00,,"14,15459336",
18/01/2009 15.00,,"14,9787361",
18/01/2009 16.00,,"11,68863342",
18/01/2009 17.00,,"23,9132884",
18/01/2009 18.00,,"44,6545688",
18/01/2009 19.00,,"47,5812672",
18/01/2009 20.00,,"51,10370656",
18/01/2009 21.00,,"56,46262192",
18/01/2009 22.00,,"54,63650896",
18/01/2009 23.00,,"48,82074032",
19/01/2009 0.00,,"35,25148664",
19/01/2009 1.00,,"31,3643524",
19/01/2009 2.00,,"15,27724902",
19/01/2009 3.00,,"8,39593616",
19/01/2009 4.00,,"9,53027414",
19/01/2009 5.00,,"10,70874107",
19/01/2009 6.00,,"8,78529584",
19/01/2009 7.00,,"16,38692602",
19/01/2009 8.00,,"23,11638592",
19/01/2009 9.00,,"32,4636568",
19/01/2009 10.00,,"33,6732836",
19/01/2009 11.00,,"25,06580376",
19/01/2009 12.00,,"21,5096176",
19/01/2009 13.00,,"17,71206247",
19/01/2009 14.00,,"15,99756825",
19/01/2009 15.00,,"13,0526982",
19/01/2009 16.00,,"11,76261444",
19/01/2009 17.00,,"17,38499575",
19/01/2009 18.00,,"23,9833632",
19/01/2009 19.00,,"28,95941968",
19/01/2009 20.00,,"41,11528472",
19/01/2009 21.00,,"41,55525504",
19/01/2009 22.00,,"36,77649784",
19/01/2009 23.00,,"34,97244936",
20/01/2009 0.00,,"30,73490288",
20/01/2009 1.00,,"20,88274928",
20/01/2009 2.00,,,
20/01/2009 3.00,,"8,85278562",
20/01/2009 4.00,,"5,86767944",
20/01/2009 5.00,,"11,08382576",
20/01/2009 6.00,,"11,77947828",
20/01/2009 7.00,,"26,79843904",
20/01/2009 8.00,,"48,6624076",
20/01/2009 9.00,,"60,92209424",
20/01/2009 10.00,,"69,51531056",
20/01/2009 11.00,,"37,53575304",
20/01/2009 12.00,,"19,22537032",
