,Comune Bari,,,,
,Via M.L.King,,,,
Parm,SO2,NO2,CO,PM10,BENZENE



10/01/2009 0.00,"0,30957073","57,1154552","0,71414966","38,0952301","2,81357728"
10/01/2009 1.00,"0,137594","52,09787008","0,70630805",,"2,4945454"
10/01/2009 2.00,,"53,32566088","0,6648888","29,7924099","2,24424848"
10/01/2009 3.00,"0,8422794",,"0,5017457",,"2,20242334"
10/01/2009 4.00,"1,02862634","20,23511664","0,47937304","20,51280975","1,35621018"
10/01/2009 5.00,"0,82293199","16,02742413","0,53603747",,"1,22149734"
10/01/2009 6.00,"1,21543806","16,58809327",,"20,02441978","1,23381728"
10/01/2009 7.00,"2,25953907","35,21515864","0,63085216",,"1,35507623"
10/01/2009 8.00,"2,583479","65,53863736","0,63874271","16,11721039","4,15989917"
10/01/2009 9.00,"2,78700612","80,01379664","1,04428154",,"2,33729889"
10/01/2009 10.00,"2,50083046","57,98631384","0,72921894","16,11721039","3,39344424"
10/01/2009 11.00,"2,07179884","52,54044072","0,75570172",,"3,34367633"
10/01/2009 12.00,"2,13572034","47,4956096","0,66672834","11,23320961","2,89884765"
10/01/2009 13.00,"2,56475196","48,0407208","0,61400044",,"2,40960047"
10/01/2009 14.00,"1,29731266","49,18675448","0,67419832","16,60560989","2,32627563"
10/01/2009 15.00,"0,66258669","33,77322384","0,46531615",,"3,31838761"
10/01/2009 16.00,"2,12008803","33,6823656","0,57684626","11,72161007","1,55722633"
10/01/2009 17.00,"1,91640632","39,25802528","0,68443634",,"1,75111026"
10/01/2009 18.00,"1,5427829","47,72405536","0,72084026","19,04759979","1,87398929"
10/01/2009 19.00,"2,98186637","58,85589144","0,83238202",,"2,43083645"
10/01/2009 20.00,"2,61876788","56,7079124","0,63234103","13,18680954","2,55711938"
10/01/2009 21.00,"3,95508046","61,57754696","0,87178931",,"2,53118282"
10/01/2009 22.00,"2,65312723","56,36918248","0,72755881","22,46640968","2,7905585"
10/01/2009 23.00,"2,499128","53,3282612","0,62407885",,"2,32011566"
11/01/2009 0.00,"2,52868914","46,55725736","0,4884647","29,30401993","2,47703774"
11/01/2009 1.00,"1,81750613","37,59934616","0,43247014",,"2,12833895"
11/01/2009 2.00,,"35,825144","0,4139711","31,74603081","1,95099144"
11/01/2009 3.00,"0,2971013",,"0,43111291",,"1,84140563"
11/01/2009 4.00,"0,23607621","33,47600344","0,34931943","24,90842056","1,69858628"
11/01/2009 5.00,"0,57255473","28,70242776","0,38914845",,"1,6209363"
11/01/2009 6.00,"1,12700991","35,4825136",,"26,86202049","1,92278393"
11/01/2009 7.00,"0,05411966","44,36644952","0,73321838",,"4,8666979"
11/01/2009 8.00,"0,45871582","41,93813304","0,75891129","28,32722092","1,81109089"
11/01/2009 9.00,"0,40832753","35,04382432","0,73385214",,"2,44396694"
