,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
15/01/2009 18.00,"1,601982","78,622588","39,48775","32,233341",
15/01/2009 19.00,"1,909015","113,713539","61,286803","32,233341",
15/01/2009 20.00,"1,847608","109,416666","56,040812","32,233341",
15/01/2009 21.00,"1,90179","113,184373","59,764396","32,233341",
15/01/2009 22.00,"1,504455","69,226004","38,771323","32,233341",
15/01/2009 23.00,"1,179363","68,389467","39,481252","32,233341",
16/01/2009 0.00,"1,08906","36,786076","13,192865","32,233341",
16/01/2009 1.00,,"29,807066","7,477042","15,73151",
16/01/2009 2.00,"0,975277",,,"15,73151",
16/01/2009 3.00,"0,953604","29,598256","7,332977","15,73151",
16/01/2009 4.00,"1,11615","26,389538","5,509468","15,73151",
16/01/2009 5.00,"0,810924","26,840885","6,363469","15,73151",
16/01/2009 6.00,"0,883168","26,65022","6,299872","15,73151",
16/01/2009 7.00,"1,033072","27,084703","8,163616","15,73151",
16/01/2009 8.00,"0,8037","28,29997","10,546509","15,73151",
16/01/2009 9.00,"0,821761","28,59698","11,514715","15,73151",
16/01/2009 10.00,"0,850658","26,77863","9,635403","15,73151",
16/01/2009 11.00,"0,832598","27,223494","8,542594","15,73151",
16/01/2009 12.00,"0,973471","29,814848","7,832659","15,73151",
16/01/2009 13.00,"1,101702","35,044246","8,144146","15,73151",
16/01/2009 14.00,"1,145047","40,114123","8,477701","15,73151",
16/01/2009 15.00,"1,11615","41,041462","6,345297","15,73151",
16/01/2009 16.00,"1,399703","40,437058","6,308957","15,73151",
16/01/2009 17.00,"1,213678","37,725096","7,382297","15,73151",
16/01/2009 18.00,"1,128793","34,020943","8,153233","15,73151",
16/01/2009 19.00,"1,20826","31,709697","8,964404","15,73151",
16/01/2009 20.00,"1,060162","30,744769","10,507572","15,73151",
16/01/2009 21.00,"1,007786","33,299811","14,116947","15,73151",
16/01/2009 22.00,"0,998756","35,057206","15,762649","15,73151",
16/01/2009 23.00,"1,11615","33,286828","13,700328","15,73151",
17/01/2009 0.00,"1,27689","32,209034","13,782099","15,73151",
17/01/2009 1.00,"1,172138","29,397209","12,588059","28,58499",
17/01/2009 2.00,"1,058356","24,815007","9,33819","28,58499",
17/01/2009 3.00,"1,108926","24,726806","9,874212","28,58499",
17/01/2009 4.00,"0,942768","19,363817","5,164233","28,58499",
17/01/2009 5.00,"1,043908","21,096587","7,561403","28,58499",
17/01/2009 6.00,"1,040295","21,427305","8,497169","28,58499",
17/01/2009 7.00,"1,184781","33,918477","17,121525","28,58499",
17/01/2009 8.00,"1,007786","20,89426","9,99751","28,58499",
17/01/2009 9.00,"1,040295","31,363414","17,283755","28,58499",
17/01/2009 10.00,"1,052938","25,354553","11,617248","28,58499",
17/01/2009 11.00,"1,042102","24,127603","6,00785","28,58499",
17/01/2009 12.00,"1,452079","33,111747","6,536084","28,58499",
17/01/2009 13.00,"1,293145","42,877976","7,159063","28,58499",
17/01/2009 14.00,"1,672419","47,597671","7,981915","28,58499",
17/01/2009 15.00,"1,475558","46,684595","7,870296","28,58499",
17/01/2009 16.00,"1,755499","45,582174","7,833957","28,58499",
17/01/2009 17.00,"1,630879","54,976154","15,74318","28,58499",
17/01/2009 18.00,"2,015572","82,805336","40,588337","28,58499",
17/01/2009 19.00,"1,659777","62,81767","28,18328","28,58499",
17/01/2009 20.00,"1,813293","61,707431","33,642137","28,58499",
17/01/2009 21.00,"1,863863","62,327395","37,90823","28,58499",
17/01/2009 22.00,"1,334684","57,116163","36,593479","28,58499",
