NetC,Foggia,,,
,Stat,Manfredonia - Zona 167 - Viale Michelangelo,,,
Parm,SO2,NO2,CO,PM10



10/01/2009 17.00,"2,26842155",,,"9,39044952"
10/01/2009 18.00,"1,91804471",,,"9,39044952"
10/01/2009 19.00,"1,89817762",,,"9,39044952"
10/01/2009 20.00,"1,83496598",,,"9,39044952"
10/01/2009 21.00,"2,14560965",,,"9,39044952"
10/01/2009 22.00,"2,06072371",,,"9,39044952"
10/01/2009 23.00,"1,95416652",,,"9,39044952"
11/01/2009 0.00,"1,98848111",,,"9,39044952"
11/01/2009 1.00,"1,88011773",,,"25,42206001"
11/01/2009 2.00,"1,78439566",,,"25,42206001"
11/01/2009 3.00,"2,12935494",,,"25,42206001"
11/01/2009 4.00,"1,86205683",,,"25,42206001"
11/01/2009 5.00,"1,88914767",,,"25,42206001"
11/01/2009 6.00,"1,93791181",,,"25,42206001"
11/01/2009 7.00,"1,73563152",,,"25,42206001"
11/01/2009 8.00,"1,85483206",,,"25,42206001"
11/01/2009 9.00,"1,89095387",,,"25,42206001"
11/01/2009 10.00,"1,88011773",,,"25,42206001"
11/01/2009 11.00,"2,15825198",,,"25,42206001"
11/01/2009 12.00,"2,01376679",,,"25,42206001"
11/01/2009 13.00,"2,04988757",,,"25,42206001"
11/01/2009 14.00,"2,10587546",,,"25,42206001"
11/01/2009 15.00,"1,82051746",,,"25,42206001"
11/01/2009 16.00,"1,86928058",,,"25,42206001"
11/01/2009 17.00,"1,86566819",,,"25,42206001"
11/01/2009 18.00,"2,42374389",,,"25,42206001"
11/01/2009 19.00,"1,82954741",,,"25,42206001"
11/01/2009 20.00,"1,81329269",,,"25,42206001"
11/01/2009 21.00,"2,06794848",,,"25,42206001"
11/01/2009 22.00,"2,08962075",,,"25,42206001"
11/01/2009 23.00,"1,97042021",,,"25,42206001"
12/01/2009 0.00,"1,8837291",,,"25,42206001"
12/01/2009 1.00,,,,"44,42721176"
12/01/2009 2.00,"1,83857735",,,"44,42721176"
12/01/2009 3.00,"1,759111","12,06241795",,"44,42721176"
12/01/2009 4.00,"1,9198509","9,01112598",,"44,42721176"
12/01/2009 5.00,"1,79703798","7,17593485",,"44,42721176"
12/01/2009 6.00,"1,72479539","13,47190994",,"44,42721176"
12/01/2009 7.00,"2,39484686","21,93402424",,"44,42721176"
12/01/2009 8.00,"2,61518702","29,13721656",,"44,42721176"
12/01/2009 9.00,"2,95472773","32,79590504",,"44,42721176"
12/01/2009 10.00,"2,78495789","23,34999408",,"44,42721176"
12/01/2009 11.00,"2,38942828","25,5693672",,"44,42721176"
12/01/2009 12.00,"1,91081994","24,68160648",,"44,42721176"
12/01/2009 13.00,"2,00654202","14,57509761",,"44,42721176"
12/01/2009 14.00,"2,41110157","11,11237957",,"44,42721176"
12/01/2009 15.00,"2,70910291",,,"44,42721176"
12/01/2009 16.00,"1,49542426",,,"44,42721176"
12/01/2009 17.00,"1,28411505","28,87504312",,"44,42721176"
12/01/2009 18.00,"2,16005817","47,24383744",,"44,42721176"
12/01/2009 19.00,"2,67117491","53,97199336",,"44,42721176"
12/01/2009 20.00,"2,69826575","59,6501936",,"44,42721176"
12/01/2009 21.00,"2,35691886","47,801912",,"44,42721176"
12/01/2009 22.00,"2,28648245","43,07118424",,"44,42721176"
12/01/2009 23.00,"2,21423986","31,2670316",,"44,42721176"
13/01/2009 0.00,"2,10768165","22,4920988",,"44,42721176"
13/01/2009 1.00,"2,06072371","13,2979925",,"18,92794991"
13/01/2009 2.00,"2,17450669","11,65877946",,"18,92794991"
13/01/2009 3.00,"2,05349996","7,91182923",,"18,92794991"
13/01/2009 4.00,"1,97042021","5,76255386",,"18,92794991"
13/01/2009 5.00,"2,07156086","6,7709981",,"18,92794991"
