MASSAFRA,,,,
,SO2,NO2,O3,BENZENE
21/01/2011 18.00,"2,422657",,"20,578624","3,026846"
21/01/2011 19.00,"1,372208",,"13,765827","3,288418"
21/01/2011 20.00,"3,816159",,"11,357134","3,416306"
21/01/2011 21.00,"3,047248",,"10,224926","3,118274"
21/01/2011 22.00,"3,205764",,"2,977651","3,103172"
21/01/2011 23.00,"2,58827",,"2,942601","3,000557"
22/01/2011 0.00,"2,623758",,"15,759622","2,553433"
22/01/2011 1.00,"4,192334",,"22,246384","2,395086"
22/01/2011 2.00,,,"25,065079","1,924774"
22/01/2011 3.00,"2,496001",,"25,431882","1,731493"
22/01/2011 4.00,"1,843019",,,"1,747003"
22/01/2011 5.00,"1,826458",,"25,863259","1,646065"
22/01/2011 6.00,"1,391135",,"27,409106","1,66488"
22/01/2011 7.00,"2,872173",,"21,294251","1,894213"
22/01/2011 8.00,"2,214459",,"18,555983","1,8665"
22/01/2011 9.00,"4,237284",,"17,292548","2,037153"
22/01/2011 10.00,"7,814489",,"11,403122","3,306267"
