NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



27/09/2006 14.00,1,12,0.00,16
27/09/2006 15.00,1,11,"0,64868566",14
27/09/2006 16.00,1,25,1,24
27/09/2006 17.00,1,16,"0,0562185",19
27/09/2006 18.00,2,25,1,25
27/09/2006 19.00,2,41,4,35
27/09/2006 20.00,2,43,5,36
27/09/2006 21.00,2,52,10,37
27/09/2006 22.00,2,38,4,34
27/09/2006 23.00,2,46,5,39
28/09/2006 0.00,2,30,"0,90816017",30
28/09/2006 1.00,1,15,"0,03459677",18
28/09/2006 2.00,1,7,0.00,12
28/09/2006 3.00,1,5,0.00,10
28/09/2006 4.00,1,5,0.00,10
28/09/2006 5.00,1,5,0.00,10
28/09/2006 6.00,1,6,0.00,10
28/09/2006 7.00,1,10,0.00,15
28/09/2006 8.00,1,11,0.00,16
28/09/2006 9.00,2,26,2,24
28/09/2006 10.00,2,21,1,21
28/09/2006 11.00,2,22,"0,84329123",21
28/09/2006 12.00,2,21,"0,29839588",22
28/09/2006 13.00,2,25,"0,8735634",24
28/09/2006 14.00,2,27,2,25
28/09/2006 15.00,2,24,1,23
28/09/2006 16.00,2,18,"0,19028098",20
28/09/2006 17.00,2,15,"0,31136842",18
28/09/2006 18.00,2,20,"0,45840468",22
28/09/2006 19.00,2,20,"0,0562185",23
28/09/2006 20.00,2,19,"0,03027217",23
28/09/2006 21.00,2,30,"0,79139608",31
28/09/2006 22.00,2,35,1,34
28/09/2006 23.00,2,33,"0,73517758",33
29/09/2006 0.00,2,28,"0,69193162",28
29/09/2006 1.00,,17,0.00,20
29/09/2006 2.00,1,,,
29/09/2006 3.00,1,8,0.00,13
29/09/2006 4.00,1,5,0.00,10
29/09/2006 5.00,1,5,0.00,10
29/09/2006 6.00,"0,99213333",7,0.00,12
29/09/2006 7.00,1,16,"0,41083413",19
29/09/2006 8.00,2,69,19,40
29/09/2006 9.00,2,106,32,58
29/09/2006 10.00,2,55,8,44
29/09/2006 11.00,1,34,2,32
29/09/2006 12.00,1,19,"0,20757936",21
29/09/2006 13.00,1,19,"0,31569301",21
29/09/2006 14.00,1,17,"0,12973788",20
29/09/2006 15.00,1,10,"0,01297379",14
29/09/2006 16.00,1,7,0.00,12
29/09/2006 17.00,2,10,0.00,14
29/09/2006 18.00,2,10,0.00,15
29/09/2006 19.00,2,5,0.00,11
29/09/2006 20.00,7,3,0.00,9
29/09/2006 21.00,2,68,15,46
29/09/2006 22.00,2,61,12,43
29/09/2006 23.00,2,43,4,37
30/09/2006 0.00,1,35,2,32
30/09/2006 1.00,1,30,"0,56219374",30
30/09/2006 2.00,1,19,"0,05189515",22
30/09/2006 3.00,1,12,0.00,16
30/09/2006 4.00,1,9,0.00,14
30/09/2006 5.00,"0,94068432",9,0.00,13
30/09/2006 6.00,1,11,0.00,15
30/09/2006 7.00,1,21,"0,22487775",22
30/09/2006 8.00,2,52,10,38
30/09/2006 9.00,2,66,16,42
30/09/2006 10.00,2,53,9,40
30/09/2006 11.00,4,30,1,29
30/09/2006 12.00,1,14,"0,14703502",17
30/09/2006 13.00,1,13,2,15
30/09/2006 14.00,2,36,7,28
30/09/2006 15.00,1,10,"0,09081652",14
30/09/2006 16.00,1,5,0.00,10
30/09/2006 17.00,1,7,0.00,12
30/09/2006 18.00,1,7,0.00,12
30/09/2006 19.00,1,9,0.00,14
30/09/2006 20.00,1,7,0.00,12
30/09/2006 21.00,1,18,"0,01729838",22
30/09/2006 22.00,2,66,8,53
30/09/2006 23.00,2,62,11,45
01/10/2006 0.00,2,43,4,37
01/10/2006 1.00,,39,3,35
01/10/2006 2.00,1,,,
01/10/2006 3.00,1,32,2,31
01/10/2006 4.00,1,28,"0,78707148",27
01/10/2006 5.00,1,23,"0,82166825",24
01/10/2006 6.00,1,16,"0,03459677",18
01/10/2006 7.00,1,36,4,31
01/10/2006 8.00,1,37,6,28
01/10/2006 9.00,1,43,7,32
01/10/2006 10.00,1,41,6,33
01/10/2006 11.00,1,22,"0,1124395",23
01/10/2006 12.00,1,8,0.00,13
01/10/2006 13.00,1,9,0.00,14
01/10/2006 14.00,1,7,0.00,12
01/10/2006 15.00,1,6,0.00,11
01/10/2006 16.00,1,7,0.00,12
01/10/2006 17.00,"0,99547418",7,0.00,12
01/10/2006 18.00,1,7,0.00,12
01/10/2006 19.00,1,7,0.00,12
01/10/2006 20.00,1,8,0.00,13
01/10/2006 21.00,1,8,0.00,13
01/10/2006 22.00,2,42,2,40
01/10/2006 23.00,2,49,6,41
02/10/2006 0.00,1,41,5,33
02/10/2006 1.00,1,27,"0,84329123",27
02/10/2006 2.00,1,26,"0,46272928",27
02/10/2006 3.00,1,16,"0,03027217",20
02/10/2006 4.00,1,12,0.00,16
02/10/2006 5.00,1,16,"0,29407003",17
02/10/2006 6.00,1,17,"0,78707148",17
02/10/2006 7.00,1,39,6,30
02/10/2006 8.00,2,99,36,45
02/10/2006 9.00,1,54,11,37
02/10/2006 10.00,1,72,18,45
02/10/2006 11.00,2,34,4,28
02/10/2006 12.00,1,14,"0,09513987",17
02/10/2006 13.00,"0,99915063",12,0.00,15
02/10/2006 14.00,1,10,0.00,14
02/10/2006 15.00,1,31,1,31
02/10/2006 16.00,"0,94204812",18,"0,20325477",22
02/10/2006 17.00,1,11,0.00,16
02/10/2006 18.00,1,10,0.00,15
02/10/2006 19.00,1,10,0.00,15
02/10/2006 20.00,1,10,0.00,15
02/10/2006 21.00,1,27,"0,12973788",30
02/10/2006 22.00,2,52,3,49
02/10/2006 23.00,1,46,2,42
03/10/2006 0.00,1,31,"0,21622855",32
03/10/2006 1.00,,27,"0,10811365",30
03/10/2006 2.00,"0,56097212",,,
03/10/2006 3.00,"0,59656915",14,0.00,17
03/10/2006 4.00,"0,67937532",10,0.00,14
03/10/2006 5.00,"0,701132",10,"0,03459677",13
03/10/2006 6.00,"0,79392715",15,"0,22920234",17
03/10/2006 7.00,"0,96989663",54,14,33
03/10/2006 8.00,1,85,30,41
03/10/2006 9.00,2,132,55,49
03/10/2006 10.00,"0,87631941",40,5,32
03/10/2006 11.00,"0,66125747",20,"0,168658",22
03/10/2006 12.00,"0,68983924",11,"0,03027217",15
03/10/2006 13.00,"0,81795886",13,0.00,16
03/10/2006 14.00,"0,65349572",11,"0,02594758",16
03/10/2006 15.00,"0,71824303",28,1,29
03/10/2006 16.00,"0,72558984",17,"0,03459677",21
03/10/2006 17.00,"0,70535052",19,0.00,24
03/10/2006 18.00,"0,78879639",14,0.00,19
03/10/2006 19.00,"0,94444315",37,"0,91680812",39
03/10/2006 20.00,1,89,19,61
03/10/2006 21.00,2,143,53,64
03/10/2006 22.00,2,138,53,58
03/10/2006 23.00,1,81,20,52
04/10/2006 0.00,"0,72236696",31,"0,95140613",31
04/10/2006 1.00,"0,64530786",24,"0,37191276",26
04/10/2006 2.00,"0,6018545",21,"0,49732605",23
04/10/2006 3.00,"0,6462079",15,"0,10811365",18
04/10/2006 4.00,"0,59741021",10,0.00,15
04/10/2006 5.00,"0,55774924",9,0.00,13
04/10/2006 6.00,"0,69494661",10,"0,09081652",13
04/10/2006 7.00,"0,6585197",23,"0,64436106",24
04/10/2006 8.00,"0,75921999",32,5,27
04/10/2006 9.00,2,101,33,51
04/10/2006 10.00,1,76,22,44
04/10/2006 11.00,"0,94085314",37,4,30
04/10/2006 12.00,1,78,24,42
04/10/2006 13.00,1,86,29,43
04/10/2006 14.00,2,117,40,57
04/10/2006 15.00,"0,94138605",47,6,38
04/10/2006 16.00,"0,79889215",31,2,29
04/10/2006 17.00,"0,83131411",27,2,27
04/10/2006 18.00,"0,98390275",16,0.00,20
04/10/2006 19.00,"0,7208852",15,"0,08216732",18
04/10/2006 20.00,2,84,28,42
04/10/2006 21.00,1,82,26,43
04/10/2006 22.00,1,57,13,38
04/10/2006 23.00,1,43,8,30
05/10/2006 0.00,1,46,11,30
05/10/2006 1.00,,37,7,27
05/10/2006 2.00,1,,,
05/10/2006 3.00,1,10,0.00,14
05/10/2006 4.00,1,8,0.00,13
05/10/2006 5.00,1,7,0.00,12
05/10/2006 6.00,1,7,0.00,11
05/10/2006 7.00,1,13,"0,15136086",16
05/10/2006 8.00,1,22,1,22
05/10/2006 9.00,2,70,21,39
05/10/2006 10.00,1,38,6,28
05/10/2006 11.00,1,34,5,27
05/10/2006 12.00,1,31,4,25
05/10/2006 13.00,1,31,4,24
05/10/2006 14.00,1,28,2,26
05/10/2006 15.00,1,20,"0,50597524",22
05/10/2006 16.00,1,10,"0,06054434",17
05/10/2006 17.00,1,10,0.00,16
05/10/2006 18.00,1,22,1,24
05/10/2006 19.00,1,26,1,26
05/10/2006 20.00,1,24,"0,24650073",27
05/10/2006 21.00,1,34,2,32
05/10/2006 22.00,2,52,12,35
05/10/2006 23.00,2,61,17,35
06/10/2006 0.00,1,32,4,26
06/10/2006 1.00,1,23,"0,27244705",25
06/10/2006 2.00,1,18,"0,06054434",21
06/10/2006 3.00,1,9,0.00,14
06/10/2006 4.00,1,7,0.00,12
06/10/2006 5.00,1,9,0.00,14
06/10/2006 6.00,1,8,0.00,13
06/10/2006 7.00,1,13,"0,04324596",17
06/10/2006 8.00,1,25,"0,85194042",25
06/10/2006 9.00,1,36,5,30
06/10/2006 10.00,1,28,2,26
06/10/2006 11.00,1,30,2,27
06/10/2006 12.00,1,29,3,25
06/10/2006 13.00,1,31,3,27
06/10/2006 14.00,1,35,4,29
06/10/2006 15.00,2,27,2,25
06/10/2006 16.00,1,19,"0,29839588",21
06/10/2006 17.00,1,21,"0,44975549",22
06/10/2006 18.00,1,19,"0,07784148",22
06/10/2006 19.00,1,22,"0,06486769",25
06/10/2006 20.00,2,32,1,30
06/10/2006 21.00,1,34,2,31
06/10/2006 22.00,1,35,3,31
06/10/2006 23.00,1,32,1,31
07/10/2006 0.00,1,20,"0,06486769",23
07/10/2006 1.00,,16,"0,23352694",20
07/10/2006 2.00,"0,95532505",,,
07/10/2006 3.00,"0,90768369",9,0.00,14
07/10/2006 4.00,1,8,0.00,13
07/10/2006 5.00,1,7,0.00,11
07/10/2006 6.00,1,9,0.00,13
07/10/2006 7.00,1,31,3,28
07/10/2006 8.00,1,57,11,41
07/10/2006 9.00,1,59,11,43
07/10/2006 10.00,1,41,5,34
07/10/2006 11.00,1,22,1,21
07/10/2006 12.00,1,16,"0,38488655",19
07/10/2006 13.00,1,13,"0,2767729",16
07/10/2006 14.00,1,10,"0,02162298",15
07/10/2006 15.00,1,11,"0,01297379",15
07/10/2006 16.00,1,9,0.00,14
07/10/2006 17.00,1,11,0.00,15
07/10/2006 18.00,1,9,0.00,14
07/10/2006 19.00,"0,98910674",9,0.00,13
07/10/2006 20.00,1,19,"0,69625622",22
07/10/2006 21.00,1,60,9,46
07/10/2006 22.00,1,31,"0,58381672",31
07/10/2006 23.00,1,31,"0,82166825",30
08/10/2006 0.00,1,24,"0,41083413",25
08/10/2006 1.00,1,34,3,30
08/10/2006 2.00,"0,97105804",21,"0,28974669",24
08/10/2006 3.00,1,16,0.00,20
08/10/2006 4.00,"0,90694636",11,0.00,16
08/10/2006 5.00,"0,99475414",9,0.00,14
08/10/2006 6.00,"0,86200717",7,0.00,12
08/10/2006 7.00,1,7,0.00,12
08/10/2006 8.00,1,8,0.00,14
08/10/2006 9.00,"0,99057631",11,0.00,16
08/10/2006 10.00,1,18,"0,25947451",20
08/10/2006 11.00,1,22,"0,86923881",22
08/10/2006 12.00,1,23,"0,94275694",23
08/10/2006 13.00,2,31,3,27
08/10/2006 14.00,3,28,2,26
08/10/2006 15.00,2,14,"0,02162298",18
08/10/2006 16.00,2,11,0.00,16
08/10/2006 17.00,1,15,"0,0562185",19
08/10/2006 18.00,1,16,"0,08216732",19
08/10/2006 19.00,1,23,"0,07351813",25
08/10/2006 20.00,1,28,"0,25514992",29
08/10/2006 21.00,1,26,1,26
08/10/2006 22.00,1,34,3,29
08/10/2006 23.00,1,27,2,25
09/10/2006 0.00,1,23,1,22
09/10/2006 1.00,,15,"0,01729838",19
09/10/2006 2.00,"0,95543285",,,
09/10/2006 3.00,"0,96112602",11,0.00,14
09/10/2006 4.00,"0,93952697",9,0.00,12
09/10/2006 5.00,1,10,0.00,14
09/10/2006 6.00,1,13,"0,05189515",16
09/10/2006 7.00,1,22,"0,41948332",22
09/10/2006 8.00,1,29,2,26
09/10/2006 9.00,1,34,4,29
09/10/2006 10.00,1,33,5,27
09/10/2006 11.00,1,21,1,21
09/10/2006 12.00,1,28,2,26
09/10/2006 13.00,1,27,"0,94275694",26
09/10/2006 14.00,1,26,"0,40650953",26
09/10/2006 15.00,1,22,"0,4411063",23
09/10/2006 16.00,1,17,"0,17730719",20
09/10/2006 17.00,1,,,
09/10/2006 18.00,1,20,"0,12108869",22
09/10/2006 19.00,1,23,"0,00864919",25
09/10/2006 20.00,1,27,"0,20757936",28
09/10/2006 21.00,1,28,"0,1643334",28
09/10/2006 22.00,1,24,"0,10811365",26
09/10/2006 23.00,1,19,"0,01297379",22
10/10/2006 0.00,1,16,"0,02162298",20
10/10/2006 1.00,1,13,0.00,16
10/10/2006 2.00,"0,97158993",8,0.00,13
10/10/2006 3.00,"0,9769424",9,0.00,13
10/10/2006 4.00,1,7,0.00,12
10/10/2006 5.00,"0,96332783",7,0.00,11
10/10/2006 6.00,1,7,0.00,12
10/10/2006 7.00,1,13,"0,09946571",16
10/10/2006 8.00,1,18,"0,25082532",21
10/10/2006 9.00,1,22,"0,52759822",23
10/10/2006 10.00,1,28,1,26
10/10/2006 11.00,1,26,1,24
10/10/2006 12.00,1,28,2,25
10/10/2006 13.00,1,17,"0,94275694",18
10/10/2006 14.00,1,10,"0,06486769",14
10/10/2006 15.00,2,14,"0,09946571",17
10/10/2006 16.00,1,12,"0,01729838",16
10/10/2006 17.00,1,13,"0,54057076",16
10/10/2006 18.00,1,21,"0,04757056",24
10/10/2006 19.00,1,31,"0,7135546",30
10/10/2006 20.00,1,38,2,35
10/10/2006 21.00,1,52,6,43
10/10/2006 22.00,1,58,9,45
10/10/2006 23.00,1,52,7,41
11/10/2006 0.00,1,37,3,33
11/10/2006 1.00,,29,"0,51894903",28
11/10/2006 2.00,1,,,
11/10/2006 3.00,1,12,0.00,16
11/10/2006 4.00,1,10,0.00,14
11/10/2006 5.00,1,11,0.00,14
11/10/2006 6.00,1,16,"0,32434221",18
11/10/2006 7.00,1,35,3,30
11/10/2006 8.00,2,75,20,46
11/10/2006 9.00,2,97,30,53
11/10/2006 10.00,2,78,21,46
11/10/2006 11.00,2,41,8,29
11/10/2006 12.00,1,14,"0,24650073",17
11/10/2006 13.00,1,10,0.00,15
11/10/2006 14.00,2,9,0.00,14
11/10/2006 15.00,2,14,"0,30704507",17
11/10/2006 16.00,2,24,"0,83464204",23
11/10/2006 17.00,2,21,"0,19460557",22
11/10/2006 18.00,2,16,0.00,19
11/10/2006 19.00,1,16,"0,09513987",20
11/10/2006 20.00,3,35,3,32
11/10/2006 21.00,2,57,10,42
11/10/2006 22.00,2,57,10,41
11/10/2006 23.00,2,62,13,43
12/10/2006 0.00,2,47,7,36
12/10/2006 1.00,1,30,2,27
12/10/2006 2.00,1,17,0.00,20
12/10/2006 3.00,1,16,"0,0043246",16
12/10/2006 4.00,1,14,0.00,15
12/10/2006 5.00,1,16,"0,56732514",15
12/10/2006 6.00,1,16,"0,06919354",16
12/10/2006 7.00,2,34,5,27
12/10/2006 8.00,2,68,21,37
12/10/2006 9.00,3,173,79,54
12/10/2006 10.00,2,103,39,45
12/10/2006 11.00,2,45,9,32
12/10/2006 12.00,2,17,"0,2767729",17
12/10/2006 13.00,1,14,"0,02162298",14
12/10/2006 14.00,1,11,"0,04324596",14
12/10/2006 15.00,1,19,"0,43245711",21
12/10/2006 16.00,2,38,3,33
12/10/2006 17.00,1,37,2,34
12/10/2006 18.00,2,10,"0,02162298",14
12/10/2006 19.00,1,15,"0,20325477",18
12/10/2006 20.00,2,62,8,50
12/10/2006 21.00,2,68,12,50
12/10/2006 22.00,2,69,14,48
12/10/2006 23.00,2,61,12,43
13/10/2006 0.00,1,35,3,30
13/10/2006 1.00,,24,"0,54057076",24
13/10/2006 2.00,1,,,
13/10/2006 3.00,1,19,0.00,20
13/10/2006 4.00,1,16,0.00,16
13/10/2006 5.00,2,16,"0,10811365",16
13/10/2006 6.00,1,20,"0,35029103",20
13/10/2006 7.00,2,58,13,39
13/10/2006 8.00,2,113,41,52
13/10/2006 9.00,3,182,80,63
13/10/2006 10.00,3,142,52,64
13/10/2006 11.00,2,53,9,39
13/10/2006 12.00,2,22,"0,38921239",22
13/10/2006 13.00,3,43,4,37
13/10/2006 14.00,3,34,2,31
13/10/2006 15.00,2,18,"0,18163303",19
13/10/2006 16.00,2,13,0.00,16
13/10/2006 17.00,2,13,0.00,16
13/10/2006 18.00,3,9,0.00,13
13/10/2006 19.00,2,24,"0,33731724",26
13/10/2006 20.00,2,38,2,37
13/10/2006 21.00,2,57,5,50
13/10/2006 22.00,2,64,6,55
13/10/2006 23.00,2,60,7,50
14/10/2006 0.00,2,49,4,44
14/10/2006 1.00,1,38,1,36
14/10/2006 2.00,1,24,"0,06919354",24
14/10/2006 3.00,1,21,"0,03459677",22
14/10/2006 4.00,1,18,"0,14271167",19
14/10/2006 5.00,2,27,2,25
14/10/2006 6.00,2,23,1,21
14/10/2006 7.00,2,48,7,37
14/10/2006 8.00,2,77,19,49
14/10/2006 9.00,3,123,41,61
14/10/2006 10.00,2,89,25,52
14/10/2006 11.00,1,28,2,27
14/10/2006 12.00,2,21,"0,40218493",22
14/10/2006 13.00,2,18,"0,39786034",20
14/10/2006 14.00,2,14,0.00,18
14/10/2006 15.00,2,13,0.00,17
14/10/2006 16.00,1,13,0.00,16
14/10/2006 17.00,1,14,0.00,17
14/10/2006 18.00,1,13,0.00,17
14/10/2006 19.00,1,16,0.00,19
14/10/2006 20.00,1,28,"0,41948332",28
14/10/2006 21.00,1,35,1,33
14/10/2006 22.00,2,35,4,30
14/10/2006 23.00,2,81,21,50
15/10/2006 0.00,2,54,10,40
15/10/2006 1.00,,45,7,35
15/10/2006 2.00,1,,,
15/10/2006 3.00,1,32,2,29
15/10/2006 4.00,1,25,"0,34596519",24
15/10/2006 5.00,1,21,"0,74815012",20
15/10/2006 6.00,1,16,"0,08649067",17
15/10/2006 7.00,1,22,2,19
15/10/2006 8.00,"0,99165636",24,2,21
15/10/2006 9.00,"0,96503232",22,"0,56219374",21
15/10/2006 10.00,"0,93573458",26,2,23
15/10/2006 11.00,1,46,8,35
15/10/2006 12.00,1,39,5,31
15/10/2006 13.00,"0,97127365",23,3,19
15/10/2006 14.00,1,29,4,23
15/10/2006 15.00,1,25,3,19
15/10/2006 16.00,1,28,4,21
15/10/2006 17.00,1,23,2,20
15/10/2006 18.00,1,23,1,21
15/10/2006 19.00,"0,98979728",23,"0,25514992",23
15/10/2006 20.00,1,26,1,25
15/10/2006 21.00,2,65,17,40
15/10/2006 22.00,1,67,16,44
15/10/2006 23.00,1,64,14,42
16/10/2006 0.00,1,43,6,33
16/10/2006 1.00,1,32,3,27
16/10/2006 2.00,1,18,"0,0562185",19
16/10/2006 3.00,"0,90222341",14,0.00,17
16/10/2006 4.00,"0,90998923",13,0.00,16
16/10/2006 5.00,1,13,0.00,16
16/10/2006 6.00,1,11,0.00,15
16/10/2006 7.00,1,26,2,24
16/10/2006 8.00,2,82,26,43
16/10/2006 9.00,2,78,23,43
16/10/2006 10.00,1,59,13,39
16/10/2006 11.00,1,30,4,25
16/10/2006 12.00,1,14,"0,11676285",14
16/10/2006 13.00,2,25,2,22
16/10/2006 14.00,1,31,3,27
16/10/2006 15.00,1,31,2,28
16/10/2006 16.00,1,23,"0,29407003",25
16/10/2006 17.00,1,30,2,27
16/10/2006 18.00,1,29,"0,80004527",28
16/10/2006 19.00,1,36,2,34
16/10/2006 20.00,1,47,5,40
16/10/2006 21.00,2,58,9,45
16/10/2006 22.00,1,45,6,36
16/10/2006 23.00,1,43,6,34
17/10/2006 0.00,1,45,6,36
17/10/2006 1.00,,39,5,31
17/10/2006 2.00,"0,98166434",,,
17/10/2006 3.00,1,40,6,30
17/10/2006 4.00,1,32,3,27
17/10/2006 5.00,1,30,2,26
17/10/2006 6.00,1,41,5,34
17/10/2006 7.00,1,45,10,30
17/10/2006 8.00,2,91,31,44
17/10/2006 9.00,2,113,43,48
17/10/2006 10.00,2,59,15,36
17/10/2006 11.00,1,35,6,26
17/10/2006 12.00,2,41,8,29
17/10/2006 13.00,2,37,6,28
17/10/2006 14.00,2,36,6,27
17/10/2006 15.00,1,25,2,22
17/10/2006 16.00,1,23,"0,8822126",23
17/10/2006 17.00,1,26,1,25
17/10/2006 18.00,1,29,"0,99897544",27
17/10/2006 19.00,1,41,3,36
17/10/2006 20.00,1,53,6,44
17/10/2006 21.00,1,68,13,49
17/10/2006 22.00,1,54,7,43
17/10/2006 23.00,1,56,8,44
18/10/2006 0.00,1,51,7,40
18/10/2006 1.00,1,29,2,26
18/10/2006 2.00,"0,80599182",20,"0,7135546",19
18/10/2006 3.00,"0,87109813",18,"0,18595638",18
18/10/2006 4.00,"0,81663676",16,"0,10811365",16
18/10/2006 5.00,"0,85679199",15,0.00,15
18/10/2006 6.00,"0,98166434",23,1,22
18/10/2006 7.00,1,30,2,26
18/10/2006 8.00,1,52,9,38
18/10/2006 9.00,1,55,10,40
18/10/2006 10.00,1,53,11,36
18/10/2006 12.00,,,,
18/10/2006 13.00,"0,98342069",10,"0,09081652",14
18/10/2006 14.00,1,9,0.00,13
18/10/2006 15.00,1,11,"0,0043246",15
18/10/2006 16.00,1,22,"0,46705387",22
18/10/2006 17.00,1,18,1,17
18/10/2006 18.00,1,21,1,21
18/10/2006 19.00,1,20,0.00,21
18/10/2006 20.00,1,31,1,30
18/10/2006 21.00,1,81,19,52
18/10/2006 22.00,1,68,15,45
18/10/2006 23.00,"0,99757733",56,10,41
19/10/2006 0.00,"0,99025595",43,5,36
19/10/2006 1.00,,33,3,28
19/10/2006 2.00,1,,,
19/10/2006 3.00,1,20,2,18
19/10/2006 4.00,1,23,2,20
19/10/2006 5.00,1,34,3,29
19/10/2006 6.00,1,33,4,27
19/10/2006 7.00,2,62,17,37
19/10/2006 8.00,2,134,58,47
19/10/2006 9.00,3,173,80,54
19/10/2006 10.00,2,65,18,38
19/10/2006 11.00,2,38,6,30
19/10/2006 12.00,1,18,"0,71787795",17
19/10/2006 13.00,2,15,"0,03459677",16
19/10/2006 14.00,2,19,"0,19893017",20
19/10/2006 16.00,1,26,"0,19893017",
19/10/2006 17.00,2,26,"0,34596519",26
19/10/2006 18.00,1,25,"0,05189515",26
19/10/2006 19.00,1,34,1,32
19/10/2006 20.00,1,46,5,39
19/10/2006 21.00,1,29,2,26
19/10/2006 22.00,1,32,3,28
19/10/2006 23.00,1,23,"0,21190396",23
20/10/2006 0.00,1,51,8,39
20/10/2006 1.00,1,36,3,31
20/10/2006 2.00,1,26,2,23
20/10/2006 3.00,1,20,1,18
20/10/2006 4.00,1,16,"0,20757936",16
20/10/2006 5.00,1,20,1,18
20/10/2006 6.00,1,23,3,19
20/10/2006 7.00,1,34,4,29
20/10/2006 8.00,1,19,"0,61841349",18
20/10/2006 9.00,1,29,4,23
20/10/2006 10.00,2,100,39,42
20/10/2006 11.00,1,52,11,35
20/10/2006 12.00,1,26,2,24
20/10/2006 13.00,1,30,2,27
20/10/2006 14.00,1,22,1,21
20/10/2006 15.00,1,21,2,18
20/10/2006 16.00,"0,990139",21,"0,89086179",19
20/10/2006 17.00,1,20,"0,17298259",20
20/10/2006 18.00,1,22,"0,34164059",22
20/10/2006 19.00,1,28,"0,41515872",27
20/10/2006 20.00,2,88,26,49
20/10/2006 21.00,2,173,80,53
20/10/2006 22.00,2,117,47,47
20/10/2006 23.00,2,93,33,44
21/10/2006 0.00,2,74,24,38
21/10/2006 1.00,,46,11,30
21/10/2006 2.00,1,,,
21/10/2006 3.00,1,35,8,23
21/10/2006 4.00,1,22,4,16
21/10/2006 5.00,"0,96065515",20,3,15
21/10/2006 6.00,1,22,4,16
21/10/2006 7.00,1,47,14,26
21/10/2006 8.00,2,90,39,33
21/10/2006 9.00,2,147,71,40
21/10/2006 10.00,2,117,48,45
21/10/2006 11.00,1,50,9,37
21/10/2006 12.00,1,32,3,27
21/10/2006 13.00,1,26,1,24
21/10/2006 14.00,1,24,1,24
21/10/2006 15.00,"0,90169051",21,"0,67895658",22
21/10/2006 16.00,"0,7953479",11,"0,14271167",15
21/10/2006 17.00,"0,9491",12,"0,00864919",17
21/10/2006 18.00,1,20,"0,19460557",20
21/10/2006 19.00,1,26,"0,81734366",25
21/10/2006 20.00,1,28,"0,47570307",27
21/10/2006 21.00,1,48,4,42
21/10/2006 22.00,1,41,2,38
21/10/2006 23.00,2,130,49,56
22/10/2006 0.00,1,80,24,43
22/10/2006 1.00,1,56,14,35
22/10/2006 2.00,"0,98244031",39,6,30
22/10/2006 3.00,1,32,5,24
22/10/2006 4.00,"0,92794334",31,4,24
22/10/2006 5.00,1,42,10,27
22/10/2006 6.00,1,21,3,17
22/10/2006 7.00,1,46,13,27
22/10/2006 8.00,1,44,11,27
22/10/2006 9.00,1,73,28,32
22/10/2006 10.00,1,59,18,32
22/10/2006 11.00,"0,94370583",29,4,23
22/10/2006 12.00,"0,94890066",18,1,17
22/10/2006 13.00,1,26,3,22
22/10/2006 14.00,"0,85140087",15,"0,83464204",16
22/10/2006 15.00,"0,85845072",15,1,13
22/10/2006 16.00,"0,88454185",14,"0,72652839",13
22/10/2006 17.00,"0,96241049",9,0.00,11
22/10/2006 18.00,"0,9311235",11,0.00,13
22/10/2006 19.00,"0,85835105",10,0.00,13
22/10/2006 20.00,1,31,3,27
22/10/2006 21.00,1,53,10,38
22/10/2006 22.00,1,95,34,44
22/10/2006 23.00,"0,86348487",48,10,32
23/10/2006 0.00,1,38,6,29
23/10/2006 1.00,,35,7,24
23/10/2006 2.00,1,,,
23/10/2006 3.00,1,21,3,17
23/10/2006 4.00,1,15,2,13
23/10/2006 5.00,1,16,2,13
23/10/2006 6.00,1,22,4,16
23/10/2006 7.00,1,36,9,23
23/10/2006 8.00,1,58,15,36
23/10/2006 9.00,1,56,16,33
23/10/2006 10.00,1,61,20,31
23/10/2006 11.00,1,18,1,16
23/10/2006 12.00,1,18,"0,92978315",17
23/10/2006 13.00,1,20,2,17
23/10/2006 14.00,1,21,3,16
23/10/2006 15.00,"0,99089259",22,2,18
23/10/2006 16.00,"0,92843456",30,4,25
23/10/2006 17.00,1,25,2,23
23/10/2006 18.00,"0,94709345",22,"0,58381672",21
23/10/2006 19.00,1,27,"0,83464204",26
23/10/2006 20.00,1,34,2,31
23/10/2006 21.00,1,43,6,35
23/10/2006 22.00,1,43,8,32
23/10/2006 23.00,2,93,33,44
24/10/2006 0.00,1,72,24,37
24/10/2006 1.00,1,51,13,31
24/10/2006 2.00,1,28,4,22
24/10/2006 3.00,1,24,4,18
24/10/2006 4.00,1,18,3,14
24/10/2006 5.00,1,19,3,14
24/10/2006 6.00,1,24,5,17
24/10/2006 7.00,2,71,29,28
24/10/2006 8.00,2,152,77,36
24/10/2006 9.00,3,224,118,48
24/10/2006 10.00,2,259,133,59
24/10/2006 11.00,1,117,49,44
24/10/2006 12.00,1,133,58,46
24/10/2006 13.00,1,130,57,45
24/10/2006 14.00,1,81,25,43
24/10/2006 15.00,1,64,14,42
24/10/2006 16.00,1,36,1,35
24/10/2006 17.00,1,32,"0,0043246",33
24/10/2006 18.00,1,35,"0,00864919",35
24/10/2006 19.00,2,87,24,50
24/10/2006 20.00,3,200,90,65
24/10/2006 21.00,3,205,92,67
24/10/2006 22.00,2,169,71,62
